,PPV,TPR,F1,INF
2QUW_1_B,0.0,0.0,0.0,0.0
6R5Q_1_3,0.0,0.0,0.0,0.0
3NKB_1_B,0.0,0.0,0.0,0.0
6XA1_1_Bv,0.0,0.0,0.0,0.0
1QTQ_1_B,0.0,0.0,0.0,0.0
6UFG_1_B,1.0,1.0,1.0,1.0
3K1V_1_A,0.667,1.0,0.8,0.816
7KGA_1_B,1.0,1.0,1.0,1.0
2XDB_1_G,0.0,0.0,0.0,0.0
1GAX_1_D,1.0,1.0,1.0,1.0
7OIF_1_z,0.0,0.0,0.0,0.0
7P48_1_5,0.0,0.0,0.0,0.0
7MLW_1_F,0.0,0.0,0.0,0.0
4FEN_1_B,0.333,1.0,0.5,0.577
5E81_1_2K,0.0,0.0,0.0,0.0
3HHN_1_E,0.091,0.2,0.125,0.135
4YCO_1_D,1.0,1.0,1.0,1.0
1H4S_1_T,0.0,0.0,0.0,0.0
4JF2_1_A,1.0,1.0,1.0,1.0
7O1A_1_B8,0.0,0.0,0.0,0.0
4ZDO_1_E,0.0,0.0,0.0,0.0
5HR7_1_D,0.0,0.0,0.0,0.0
4PRF_1_B,0.75,1.0,0.857,0.866
6FZ0_1_A,0.0,0.0,0.0,0.0
3RG5_1_B,0.0,0.0,0.0,0.0
3ZGZ_1_B,0.0,0.0,0.0,0.0
5AXM_1_P,0.0,0.0,0.0,0.0
5D5L_1_A,0.0,0.0,0.0,0.0
6R5Q_1_2,0.0,0.0,0.0,0.0
6ZVI_1_e,1.0,1.0,1.0,1.0
2ZZM_1_B,0.0,0.0,0.0,0.0
3EPH_1_E,0.0,0.0,0.0,0.0
1Y26_1_X,0.0,0.0,0.0,0.0
1F7U_1_B,0.0,0.0,0.0,0.0
7P3K_1_V,0.0,0.0,0.0,0.0
6WJR_1_X,0.0,0.0,0.0,0.0
4PR6_1_B,0.75,1.0,0.857,0.866
7K16_1_P,0.0,0.0,0.0,0.0
3FOZ_1_D,0.0,0.0,0.0,0.0
3AM1_1_B,0.0,0.0,0.0,0.0
6DB9_1_R,0.0,0.0,0.0,0.0
1ET4_1_A,1.0,1.0,1.0,1.0
6PMO_1_B,0.0,0.0,0.0,0.0
4LX6_1_A,0.0,0.0,0.0,0.0
2A43_1_A,1.0,1.0,1.0,1.0
2Z75_1_B,0.625,0.714,0.667,0.668
4XNR_1_X,0.0,0.0,0.0,0.0
7D7W_1_A,0.0,0.0,0.0,0.0
6UFM_1_B,1.0,1.0,1.0,1.0
7B5K_1_z,0.0,0.0,0.0,0.0
3RKF_1_C,0.0,0.0,0.0,0.0
7OBR_1_1,0.0,0.0,0.0,0.0
4JRC_1_B,1.0,1.0,1.0,1.0
4YAZ_1_R,0.0,0.0,0.0,0.0
1N78_1_C,0.0,0.0,0.0,0.0
5WTI_1_B,0.0,0.0,0.0,0.0
6UGG_1_B,1.0,1.0,1.0,1.0
6T4Q_1_6,0.0,0.0,0.0,0.0
5B63_1_D,0.0,0.0,0.0,0.0
7OT5_1_z,0.0,0.0,0.0,0.0
7B5K_1_x,0.0,0.0,0.0,0.0
7KVT_1_B,0.0,0.0,0.0,0.0
7O7Z_1_AH,0.0,0.0,0.0,0.0
6ZP4_1_1,1.0,1.0,1.0,1.0
5HC9_1_D,0.0,0.0,0.0,0.0
4M6D_1_H,1.0,1.0,1.0,1.0
3KFU_1_L,0.0,0.0,0.0,0.0
4V8D_1_CD,0.0,0.0,0.0,0.0
2ZUE_1_B,0.0,0.0,0.0,0.0
5U30_1_B,0.0,0.0,0.0,0.0
7O7Y_1_AT,0.0,0.0,0.0,0.0
6GSJ_1_3L,0.0,0.0,0.0,0.0
5UD5_1_C,0.0,0.0,0.0,0.0
6T4Q_1_7,0.0,0.0,0.0,0.0
4JXZ_1_B,0.0,0.0,0.0,0.0
7AS8_1_2,0.0,0.0,0.0,0.0
6CFJ_1_1x,1.0,1.0,1.0,1.0
3SUX_1_X,1.0,1.0,1.0,1.0
2BTE_1_B,0.0,0.0,0.0,0.0
4V90_1_AV,1.0,1.0,1.0,1.0
3SKL_1_B,0.667,1.0,0.8,0.816
6E1S_1_A,0.5,1.0,0.667,0.707
4YYE_1_C,0.0,0.0,0.0,0.0
1L2X_1_A,1.0,1.0,1.0,1.0
6Y2L_1_B4,1.0,1.0,1.0,1.0
1IL2_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.0,0.0,0.0,0.0
4ENC_1_A,0.0,0.0,0.0,0.0
7EQJ_1_B,0.0,0.0,0.0,0.0
2AZX_1_D,0.0,0.0,0.0,0.0
2ZZN_1_D,0.0,0.0,0.0,0.0
5SWD_1_B,0.0,0.0,0.0,0.0
7D8O_1_B,0.0,0.0,0.0,0.0
3NPQ_1_A,0.8,0.8,0.8,0.8
5E81_1_1K,0.0,0.0,0.0,0.0
3LA5_1_A,0.0,0.0,0.0,0.0
3G9C_1_Q,0.556,0.833,0.667,0.68
7R81_1_t1,0.0,0.0,0.0,0.0
4FRG_1_B,0.0,0.0,0.0,0.0
7MKY_1_A,1.0,1.0,1.0,1.0
5X2G_1_B,0.0,0.0,0.0,0.0
