,PPV,TPR,F1,INF
6YWE_1_bb,0.647,1.0,0.786,0.804
6P7M_1_B,0.75,0.6,0.667,0.671
4N0T_1_B,0.353,0.545,0.429,0.439
2PJP_1_B,1.0,0.778,0.875,0.882
4XNR_1_X,0.773,0.85,0.81,0.81
2XLK_1_C,1.0,0.8,0.889,0.894
2XDB_1_G,0.3,0.6,0.4,0.424
6SKG_1_BB,0.522,0.897,0.66,0.685
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.667,0.824,0.737,0.741
3BT7_1_D,1.0,0.833,0.909,0.913
361D_1_A,1.0,0.833,0.909,0.913
5E81_1_1K,0.406,0.929,0.565,0.614
7AS8_1_2,0.263,0.25,0.256,0.256
3K1V_1_A,0.267,1.0,0.421,0.516
4FEN_1_B,0.714,0.833,0.769,0.772
4V8D_1_CD,0.273,0.48,0.348,0.362
3NVI_1_F,0.333,0.2,0.25,0.258
7MSF_1_R,1.0,0.75,0.857,0.866
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,1.0,0.818,0.9,0.905
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,0.2,0.333,0.447
3RKF_1_C,0.789,0.789,0.789,0.789
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.6,0.75,0.667,0.671
6LT7_1_C,1.0,0.75,0.857,0.866
7MLW_1_F,0.478,0.564,0.518,0.519
6YDP_1_AV,0.25,0.6,0.353,0.387
7OLC_1_3,0.579,0.611,0.595,0.595
3HAX_1_E,0.813,0.813,0.813,0.813
2ZZM_1_B,0.222,0.211,0.216,0.216
2OIU_1_Q,0.857,0.818,0.837,0.837
6UGI_1_A,0.909,0.833,0.87,0.87
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.737,0.875,0.8,0.803
7ODF_1_F,0.667,0.333,0.444,0.471
5WTI_1_B,0.536,0.6,0.566,0.567
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.368,0.333,0.35,0.35
6DVK_1_H,0.794,0.844,0.818,0.819
6Y2L_1_B4,0.579,1.0,0.733,0.761
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.273,0.3,0.286,0.286
5DH6_1_A,0.571,0.8,0.667,0.676
1ZBH_1_F,0.8,0.667,0.727,0.73
4X4V_1_B,0.9,0.818,0.857,0.858
7DCO_1_B,0.5,0.537,0.518,0.518
4C8Z_1_C,1.0,0.667,0.8,0.816
3GS5_1_A,0.6,0.429,0.5,0.507
3NPQ_1_A,0.294,0.417,0.345,0.35
5M0I_1_E,0.833,0.833,0.833,0.833
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.667,0.737,0.7,0.701
3AKZ_1_E,0.261,0.316,0.286,0.287
3MJA_1_B,0.9,0.818,0.857,0.858
5W1H_1_B,0.0,0.0,0.0,0.0
4V90_1_AV,0.71,1.0,0.83,0.842
1F1T_1_A,0.625,0.833,0.714,0.722
7O7Y_1_AT,0.286,0.333,0.308,0.309
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.542,0.65,0.591,0.593
3G9C_1_Q,0.442,0.487,0.463,0.464
3DD2_1_B,0.0,0.0,0.0,0.0
2BTE_1_B,0.636,0.7,0.667,0.667
6MWN_1_B,0.629,0.733,0.677,0.679
1F7U_1_B,0.0,0.0,0.0,0.0
3LQX_1_B,0.8,0.8,0.8,0.8
6PIJ_1_1,0.0,0.0,0.0,0.0
5Y85_1_D,0.357,0.455,0.4,0.403
1R3E_1_C,1.0,0.8,0.889,0.894
3OVB_1_C,0.0,0.0,0.0,0.0
6DU4_1_B,1.0,1.0,1.0,1.0
3EPH_1_E,0.579,0.647,0.611,0.612
1G2E_1_B,0.0,0.0,0.0,0.0
2OEU_1_A,0.5,0.75,0.6,0.612
7RYG_1_B,0.514,0.6,0.554,0.555
3JCS_1_6,0.0,0.0,0.0,0.0
6X5M_1_r,1.0,0.444,0.615,0.667
5M0J_1_E,0.833,0.833,0.833,0.833
7CPU_1_S6,0.206,0.318,0.25,0.256
4M6D_1_H,0.0,0.0,0.0,0.0
3EGZ_1_B,0.75,0.938,0.833,0.839
5VJ9_1_C,1.0,0.8,0.889,0.894
2Y9H_1_F,1.0,0.667,0.8,0.816
4Z31_1_E,0.8,0.8,0.8,0.8
7OS0_1_F,1.0,0.333,0.5,0.577
5AXM_1_P,0.105,0.1,0.103,0.103
6IV9_1_B,0.0,0.0,0.0,0.0
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,1.0,0.909,0.952,0.953
5D0B_1_F,0.833,1.0,0.909,0.913
5WWF_1_B,0.0,0.0,0.0,0.0
5JBG_1_X,0.778,0.875,0.824,0.825
3VJR_1_B,0.909,0.833,0.87,0.87
7D8O_1_B,0.0,0.0,0.0,0.0
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.3,0.5,0.375,0.387
7O1A_1_B8,0.636,0.913,0.75,0.762
6CFJ_1_1x,0.423,0.5,0.458,0.46
1L9A_1_B,0.615,0.615,0.615,0.615
4V8B_1_AB,0.289,0.367,0.324,0.326
7KGA_1_B,0.63,0.81,0.708,0.714
3HHN_1_E,0.487,0.594,0.535,0.538
2BH2_1_D,0.833,1.0,0.909,0.913
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.6,1.0,0.75,0.775
3IEV_1_D,0.0,0.0,0.0,0.0
7A9W_1_B,0.0,0.0,0.0,0.0
4ZLD_1_B,1.0,0.833,0.909,0.913
3AGV_1_S,0.0,0.0,0.0,0.0
7P3K_1_V,0.7,0.737,0.718,0.718
2B3J_1_E,0.0,0.0,0.0,0.0
7CPU_1_L7,0.5,0.821,0.621,0.641
7P48_1_5,0.773,0.895,0.829,0.831
7MQA_1_L0,0.0,0.0,0.0,0.0
4ZDO_1_E,0.583,0.56,0.571,0.572
1Y26_1_X,0.667,0.8,0.727,0.73
7EQJ_1_B,0.261,0.353,0.3,0.303
6XH2_1_D,0.889,0.889,0.889,0.889
4PRF_1_B,0.0,0.0,0.0,0.0
2C4Q_1_R,1.0,0.833,0.909,0.913
7QEP_1_2,0.676,0.694,0.685,0.685
1L2X_1_A,0.5,1.0,0.667,0.707
6AZ3_1_5,0.469,0.536,0.5,0.501
3SUX_1_X,0.625,0.741,0.678,0.68
6VRB_1_B,0.8,1.0,0.889,0.894
1EC6_1_C,0.8,1.0,0.889,0.894
6ZVI_1_e,0.294,0.333,0.313,0.313
3BOY_1_D,0.0,0.0,0.0,0.0
4JRC_1_B,0.2,0.235,0.216,0.217
6XRQ_1_B,0.0,0.0,0.0,0.0
5F5F_1_B,0.714,1.0,0.833,0.845
7B5K_1_x,0.263,0.313,0.286,0.287
6BHJ_1_E,0.0,0.0,0.0,0.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,0.692,0.9,0.783,0.789
7KKV_1_B,0.842,0.8,0.821,0.821
4TUW_1_C,1.0,0.667,0.8,0.816
2Y9H_1_J,1.0,0.333,0.5,0.577
4YYE_1_C,0.346,0.5,0.409,0.416
7MJV_1_E,1.0,1.0,1.0,1.0
5DEA_1_A,0.333,0.429,0.375,0.378
7MQA_1_L2,0.574,0.519,0.545,0.546
6XU8_1_A7,0.4,0.667,0.5,0.516
2Y9H_1_N,1.0,0.714,0.833,0.845
2Y9H_1_H,1.0,0.833,0.909,0.913
5ZQ8_1_D,0.0,0.0,0.0,0.0
5NDH_1_A,0.0,0.0,0.0,0.0
3RG5_1_B,0.857,0.889,0.873,0.873
5FJ4_1_H,0.0,0.0,0.0,0.0
7OT5_1_z,0.462,0.353,0.4,0.404
5XH7_1_B,0.0,0.0,0.0,0.0
7KI3_1_C,1.0,0.5,0.667,0.707
4FRG_1_B,0.296,0.4,0.34,0.344
6GSJ_1_3L,0.636,0.955,0.764,0.779
6XRQ_1_A,0.0,0.0,0.0,0.0
6W5C_1_B,0.0,0.0,0.0,0.0
7D81_1_A,0.813,0.765,0.788,0.788
5WZK_1_B,0.0,0.0,0.0,0.0
6UGG_1_B,0.5,0.5,0.5,0.5
6F4H_1_D,1.0,0.833,0.909,0.913
1HMH_1_A,0.2,0.333,0.25,0.258
6KC8_1_B,0.828,0.667,0.738,0.743
5IB7_1_3L,0.444,0.8,0.571,0.596
6ZU5_1_L70,0.18,0.344,0.237,0.249
5F5H_1_C,0.7,1.0,0.824,0.837
6KYV_1_G,1.0,0.889,0.941,0.943
4C8Y_1_C,0.667,0.667,0.667,0.667
6T4Q_1_6,0.0,0.0,0.0,0.0
7EU9_1_B,1.0,0.6,0.75,0.775
4C9D_1_D,0.0,0.0,0.0,0.0
3SNP_1_D,0.0,0.0,0.0,0.0
3IBK_1_A,0.0,0.0,0.0,0.0
1Q96_1_A,0.556,1.0,0.714,0.745
2DRA_1_B,0.9,0.75,0.818,0.822
2Y8Y_1_B,1.0,0.4,0.571,0.632
7NHN_1_B,0.122,0.143,0.132,0.132
5MSF_1_R,1.0,0.8,0.889,0.894
7A9X_1_B,0.0,0.0,0.0,0.0
1MMS_1_C,0.55,0.688,0.611,0.615
5F5F_1_F,0.667,0.8,0.727,0.73
5UDZ_1_W,1.0,1.0,1.0,1.0
4ZT0_1_D,0.765,0.813,0.788,0.788
6T4Q_1_7,0.6,0.632,0.615,0.616
7OZQ_1_H,0.875,0.875,0.875,0.875
6UFM_1_B,0.519,0.519,0.519,0.519
5D5L_1_A,0.654,0.85,0.739,0.745
5NS3_1_C,0.636,0.875,0.737,0.746
1H4S_1_T,0.588,0.625,0.606,0.606
4X4U_1_G,0.778,1.0,0.875,0.882
2ZUE_1_B,0.0,0.0,0.0,0.0
1KUQ_1_B,0.619,0.813,0.703,0.709
6KWQ_1_B,1.0,1.0,1.0,1.0
2UWM_1_D,0.818,1.0,0.9,0.905
5WZJ_1_B,0.0,0.0,0.0,0.0
5B2P_1_B,0.409,0.474,0.439,0.44
6FZ0_1_A,0.0,0.0,0.0,0.0
6RJA_1_D,0.643,0.6,0.621,0.621
3IBK_1_B,0.0,0.0,0.0,0.0
361D_1_B,1.0,0.8,0.889,0.894
4LX6_1_A,0.692,0.9,0.783,0.789
5L2L_1_D,0.0,0.0,0.0,0.0
5ZTM_1_C,0.857,0.706,0.774,0.778
6PMO_1_A,0.833,0.789,0.811,0.811
4Z7K_1_C,0.0,0.0,0.0,0.0
5WLH_1_B,0.0,0.0,0.0,0.0
1MJI_1_D,0.7,0.778,0.737,0.738
3OXE_1_A,0.8,0.8,0.8,0.8
4QIL_1_C,1.0,0.5,0.667,0.707
1U0B_1_A,0.526,0.435,0.476,0.478
6ERI_1_Ax,0.483,0.806,0.604,0.624
6LAX_1_A,0.688,0.733,0.71,0.71
7LYT_1_B,0.0,0.0,0.0,0.0
6F4G_1_C,1.0,0.667,0.8,0.816
6KWR_1_B,0.833,1.0,0.909,0.913
5J7L_1_DB,0.156,0.263,0.196,0.203
7KGB_1_B,0.351,0.5,0.413,0.419
6CB3_1_B,0.684,0.813,0.743,0.746
4YCO_1_D,0.8,0.727,0.762,0.763
6ASO_1_I,0.429,0.462,0.444,0.445
6S0Z_1_B,0.733,0.71,0.721,0.721
