,PPV,TPR,F1,INF
7A01_d2,0.771,0.9,0.831,0.833
7A09_f,0.7,0.737,0.718,0.718
7A0R_Y,0.441,0.625,0.517,0.525
7A0S_Y,0.469,0.652,0.545,0.553
7A18_Y,0.5,0.682,0.577,0.584
7A5F_24,0.875,1.0,0.933,0.935
7A5F_C,0.875,1.0,0.933,0.935
7A5G_24,0.875,1.0,0.933,0.935
7A5G_C,0.875,1.0,0.933,0.935
7A5G_j,0.389,0.538,0.452,0.458
7A5H_24,1.0,1.0,1.0,1.0
7A5I_94,0.875,1.0,0.933,0.935
7A5I_99,0.778,0.875,0.824,0.825
7A5I_X,0.875,1.0,0.933,0.935
7A5J_G,0.875,1.0,0.933,0.935
7A5J_x,0.875,1.0,0.933,0.935
7A5K_24,0.875,1.0,0.933,0.935
7A5K_FE,0.875,1.0,0.933,0.935
7A5P_2,0.871,1.0,0.931,0.933
7ABF_6,0.636,0.778,0.7,0.704
7ABG_5,0.929,1.0,0.963,0.964
7ABI_5,0.964,1.0,0.982,0.982
7ABZ_3,0.257,0.31,0.281,0.282
7ABZ_7,0.333,0.556,0.417,0.43
7AC7_3,0.294,0.345,0.317,0.318
7AC7_7,0.5,0.667,0.571,0.577
7ACJ_3,0.303,0.357,0.328,0.329
7ACR_3,0.303,0.357,0.328,0.329
7AJT_D4,0.364,0.5,0.421,0.426
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.774,0.889,0.828,0.83
7AQC_T,0.95,1.0,0.974,0.975
7AQD_B,0.774,0.889,0.828,0.83
7AQD_T,0.952,1.0,0.976,0.976
7AS8_B,0.774,0.889,0.828,0.83
7AS9_2,0.955,1.0,0.977,0.977
7AS9_B,0.774,0.889,0.828,0.83
7ASA_A,0.353,0.4,0.375,0.376
7ASM_B,0.483,0.519,0.5,0.5
7ASN_B,0.211,0.25,0.229,0.229
7ASO_C,0.0,0.0,0.0,0.0
7ASP_3,0.0,0.0,0.0,0.0
7AZY_F,0.703,0.813,0.754,0.756
7B0Y_a,0.825,0.971,0.892,0.895
7B5K_9,0.722,0.929,0.813,0.819
7B5K_B,0.278,0.333,0.303,0.304
7B5K_x,0.238,0.278,0.256,0.257
7B5K_z,0.211,0.25,0.229,0.229
7B7D_LB,0.703,0.813,0.754,0.756
7B7D_Sm,0.762,0.727,0.744,0.744
7B7D_Sn,0.762,0.727,0.744,0.744
7B9V_5,0.471,0.571,0.516,0.519
7BG9_B,0.091,0.109,0.099,0.1
7BGB_B,0.778,0.955,0.857,0.862
7BHP_L7,0.778,0.903,0.836,0.838
7BL2_B,0.273,0.321,0.295,0.296
7BL3_B,0.278,0.333,0.303,0.304
7BL4_B,0.278,0.333,0.303,0.304
7BL5_B,0.323,0.357,0.339,0.339
7BL6_B,0.278,0.333,0.303,0.304
7BT6_3,0.724,0.84,0.778,0.78
7BTB_3,0.733,0.846,0.786,0.788
7BV8_B,0.278,0.333,0.303,0.304
7C79_A,0.605,0.7,0.649,0.651
7C7A_A,0.585,0.676,0.627,0.629
7CHD_I,0.857,0.947,0.9,0.901
7CHD_J,0.857,0.947,0.9,0.901
7CPJ_9,0.952,1.0,0.976,0.976
7CPJ_B,0.265,0.333,0.295,0.297
7CPU_L7,0.778,0.903,0.836,0.838
7CPV_L7,0.778,0.903,0.836,0.838
7D4I_3A,0.659,0.806,0.725,0.729
7D6Z_2,0.0,0.0,0.0,0.0
7D6Z_3,0.474,0.563,0.514,0.516
7D6Z_4,0.765,0.867,0.813,0.814
7D6Z_B,0.257,0.31,0.281,0.282
7D7V_A,0.0,0.0,0.0,0.0
7D80_a,0.273,0.333,0.3,0.302
7D80_X,0.167,0.167,0.167,0.167
7D80_y,0.533,0.571,0.552,0.552
7D80_Z,0.556,0.556,0.556,0.556
