,PPV,TPR,F1,INF
7MQ8_L2,0.61,0.818,0.699,0.707
7MQ9_L2,0.574,0.833,0.68,0.691
7MQA_L2,0.638,0.881,0.74,0.75
7QXA_B,0.2,0.25,0.222,0.224
7V9A_R,0.071,0.111,0.087,0.089
7TRD_B,0.291,0.403,0.338,0.342
7BG9_B,0.168,0.241,0.198,0.201
7TRE_B,0.282,0.407,0.333,0.339
7V99_R,0.245,0.365,0.293,0.299
7TRF_B,0.291,0.403,0.338,0.342
7TRC_B,0.595,0.962,0.735,0.757
7BGB_B,0.694,0.962,0.806,0.817
7QXS_B,0.194,0.253,0.22,0.222
7QXB_B,0.196,0.253,0.221,0.223
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.364,0.595,0.452,0.466
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.175,0.266,0.211,0.216
7C79_A,0.365,0.597,0.453,0.467
7ELD_B,0.661,1.0,0.796,0.813
6XRZ_A,0.426,0.833,0.563,0.595
7O7Z_AH,0.6,0.783,0.679,0.685
7KGA_B,0.636,1.0,0.778,0.798
7KGA_A,0.636,0.84,0.724,0.731
7MQ9_L0,0.284,0.377,0.324,0.327
7MQ8_L0,0.307,0.377,0.338,0.34
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.885,0.958,0.92,0.921
7SAM_A,0.513,0.796,0.624,0.639
7SCQ_C,0.391,0.8,0.526,0.56
7SC6_C,0.435,0.787,0.561,0.585
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.475,0.707,0.569,0.58
6JQ6_U,0.586,0.944,0.723,0.744
5T5A_A,0.207,0.4,0.273,0.288
6TFE_A,0.391,0.643,0.486,0.502
6TF0_A,0.455,0.833,0.588,0.615
6TFH_A,0.455,0.833,0.588,0.615
6TFF_A,0.391,0.643,0.486,0.502
6TFG_A,0.391,0.643,0.486,0.502
6TB7_A,0.391,0.643,0.486,0.502
7D7V_A,0.0,0.0,0.0,0.0
7D7Y_A,0.727,1.0,0.842,0.853
6TF3_A,0.391,0.643,0.486,0.502
6TF1_A,0.391,0.643,0.486,0.502
7D7X_A,0.727,1.0,0.842,0.853
7D82_A,0.85,1.0,0.919,0.922
7D81_A,0.773,1.0,0.872,0.879
7D7W_A,0.727,1.0,0.842,0.853
7D7Z_A,0.727,1.0,0.842,0.853
6TF2_A,0.391,0.643,0.486,0.502
7ELR_B,0.522,0.857,0.649,0.669
7ELS_A,0.409,0.692,0.514,0.532
7ELQ_A,0.391,0.692,0.5,0.52
7ELR_A,0.391,0.692,0.5,0.52
7ELS_B,0.5,0.857,0.632,0.655
7ELQ_B,0.5,0.857,0.632,0.655
7ELP_B,0.5,0.857,0.632,0.655
7ELP_A,0.409,0.692,0.514,0.532
1M5V_E,0.636,0.875,0.737,0.746
1M5K_B,0.583,0.875,0.7,0.714
1M5P_B,0.6,0.875,0.712,0.725
1M5P_E,0.656,0.875,0.75,0.758
1M5O_E,0.636,0.875,0.737,0.746
1M5V_B,0.636,0.875,0.737,0.746
1M5K_E,0.618,0.875,0.724,0.735
1M5O_B,0.618,0.875,0.724,0.735
