,PPV,TPR,F1,INF
100D_1_A-B,1.0,1.0,1.0,1.0
157D_1_A-B,0.714,1.0,0.833,0.845
165D_1_A-B,0.25,1.0,0.4,0.5
17RA_7_A,0.889,1.0,0.941,0.943
1A1T_1_B,0.8,1.0,0.889,0.894
1A34_1_B-C,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.643,1.0,0.783,0.802
1A4D_1_A-B,0.737,1.0,0.848,0.858
1A4T_1_A,0.833,1.0,0.909,0.913
1A51_3_A,0.737,1.0,0.848,0.858
1A60_1_A,0.5,1.0,0.667,0.707
1A9L_1_A,0.824,1.0,0.903,0.907
1A9N_1_Q,0.714,0.625,0.667,0.668
1A9N_1_R,0.714,0.625,0.667,0.668
1AFX_2_A,0.8,1.0,0.889,0.894
1AJF_1_A,0.875,1.0,0.933,0.935
1AJL_1_A-B,0.375,0.75,0.5,0.53
1AJT_1_A-B,0.429,0.75,0.545,0.567
1AJU_9_A,0.688,1.0,0.815,0.829
1AKX_1_A,0.733,1.0,0.846,0.856
1AL5_1_A-B,1.0,1.0,1.0,1.0
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,0.909,1.0,0.952,0.953
1AQ3_1_R,0.4,1.0,0.571,0.632
1AQ3_1_S,0.667,1.0,0.8,0.816
1AQ4_1_R,0.4,1.0,0.571,0.632
1AQ4_1_S,0.5,1.0,0.667,0.707
1AQO_3_A,0.786,1.0,0.88,0.886
1ARJ_7_N,0.833,1.0,0.909,0.913
1ASY_1_R,0.355,0.647,0.458,0.479
1ASY_1_S,0.367,0.647,0.468,0.487
1ASZ_1_R,0.333,0.647,0.44,0.464
1ASZ_1_S,0.367,0.647,0.468,0.487
1ATO_1_A,0.75,1.0,0.857,0.866
1ATV_1_A,0.6,1.0,0.75,0.775
1ATW_1_A,0.625,1.0,0.769,0.791
1AUD_8_B,0.529,1.0,0.692,0.728
1B23_1_R,0.375,0.571,0.453,0.463
1B36_8_A,0.474,0.75,0.581,0.596
1B7F_1_Q,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.25,0.3,0.273,0.274
1BGZ_1_A,0.385,0.625,0.476,0.49
1BIV_5_A,0.917,1.0,0.957,0.957
1BJ2_1_A-B,0.35,0.438,0.389,0.391
1BN0_2_A,1.0,1.0,1.0,1.0
1BVJ_1_A,0.727,1.0,0.842,0.853
1BYJ_31_A,0.75,1.0,0.857,0.866
1BZ2_1_A,0.714,1.0,0.833,0.845
1BZ3_1_A,0.625,1.0,0.769,0.791
1BZT_1_A,0.667,1.0,0.8,0.816
1BZU_1_A,0.8,1.0,0.889,0.894
1C04_1_E,0.536,0.938,0.682,0.709
1C04_1_F,0.533,0.889,0.667,0.689
1C0O_1_A,0.625,1.0,0.769,0.791
1C2X_1_C,0.217,0.27,0.241,0.242
1C4L_1_A-B,0.889,1.0,0.941,0.943
1CQ5_1_A,0.522,1.0,0.686,0.722
1CQL_10_A,0.571,1.0,0.727,0.756
1CSL_1_B-A,0.333,1.0,0.5,0.577
1D0T_1_A,0.556,1.0,0.714,0.745
1D0U_14_A,0.727,1.0,0.842,0.853
1D4R_1_B-A,0.0,0.0,0.0,0.0
1D6K_4_B,0.611,1.0,0.759,0.782
1DDY_1_A,0.053,0.143,0.077,0.087
1DDY_1_C,0.059,0.143,0.083,0.092
1DDY_1_E,0.053,0.143,0.077,0.087
1DDY_1_G,0.056,0.143,0.08,0.089
1DFU_1_M-N,0.688,1.0,0.815,0.829
1DI2_1_C-D,1.0,1.0,1.0,1.0
1DK1_1_B,0.407,0.688,0.512,0.529
1DQF_1_B-A,1.0,1.0,1.0,1.0
1DQH_1_B-A,1.0,1.0,1.0,1.0
1DRZ_1_B,0.194,0.412,0.264,0.283
1DUL_1_B,0.714,1.0,0.833,0.845
1DUQ_1_B-A,0.833,0.909,0.87,0.87
1DUQ_1_D-C,0.909,0.909,0.909,0.909
1DUQ_1_F-E,0.833,0.909,0.87,0.87
1DUQ_1_H-G,0.909,0.909,0.909,0.909
1DZ5_1_C-D,0.0,0.0,0.0,0.0
1E4P_8_A,0.583,1.0,0.737,0.764
1E7K_1_C,0.0,0.0,0.0,0.0
1E7K_1_D,0.0,0.0,0.0,0.0
1E8O_1_E,0.714,1.0,0.833,0.845
1E95_14_A,0.316,1.0,0.48,0.562
1EBQ_1_A,0.769,0.909,0.833,0.836
