,PPV,TPR,F1,INF
6YWE_1_bb,0.647,1.0,0.786,0.804
6P7M_1_B,0.75,0.5,0.6,0.612
4N0T_1_B,0.588,0.714,0.645,0.648
2PJP_1_B,1.0,0.778,0.875,0.882
4XNR_1_X,0.773,0.85,0.81,0.81
2XLK_1_C,1.0,0.8,0.889,0.894
2XDB_1_G,0.0,0.0,0.0,0.0
6SKG_1_BB,0.582,0.975,0.729,0.753
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.667,0.824,0.737,0.741
3BT7_1_D,1.0,0.833,0.909,0.913
361D_1_A,1.0,0.833,0.909,0.913
5E81_1_1K,0.438,0.824,0.571,0.6
7AS8_1_2,0.842,0.762,0.8,0.801
3K1V_1_A,0.2,1.0,0.333,0.447
4FEN_1_B,0.714,0.833,0.769,0.772
4V8D_1_CD,0.455,0.952,0.615,0.658
3NVI_1_F,0.333,0.5,0.4,0.408
7MSF_1_R,1.0,0.75,0.857,0.866
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,0.889,0.8,0.842,0.843
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,0.2,0.333,0.447
3RKF_1_C,0.789,0.789,0.789,0.789
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.6,0.75,0.667,0.671
6LT7_1_C,1.0,0.75,0.857,0.866
7MLW_1_F,0.63,0.744,0.682,0.685
6YDP_1_AV,0.472,1.0,0.642,0.687
7OLC_1_3,0.658,0.735,0.694,0.696
3HAX_1_E,0.813,0.813,0.813,0.813
2ZZM_1_B,0.667,0.6,0.632,0.632
2OIU_1_Q,0.81,0.85,0.829,0.83
6UGI_1_A,0.909,0.833,0.87,0.87
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.421,0.8,0.552,0.58
7ODF_1_F,0.667,0.333,0.444,0.471
5WTI_1_B,0.5,0.636,0.56,0.564
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.6,1.0,0.75,0.775
5AH5_1_D,0.474,0.529,0.5,0.501
6DVK_1_H,0.765,0.867,0.813,0.814
6Y2L_1_B4,0.553,1.0,0.712,0.743
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.364,0.421,0.39,0.391
5DH6_1_A,0.0,0.0,0.0,0.0
1ZBH_1_F,0.8,0.667,0.727,0.73
4X4V_1_B,0.9,0.818,0.857,0.858
7DCO_1_B,0.432,0.528,0.475,0.477
4C8Z_1_C,1.0,0.667,0.8,0.816
3GS5_1_A,0.2,0.143,0.167,0.169
3NPQ_1_A,0.412,0.7,0.519,0.537
5M0I_1_E,0.5,0.75,0.6,0.612
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.857,0.75,0.8,0.802
3AKZ_1_E,0.696,0.762,0.727,0.728
3MJA_1_B,0.9,0.9,0.9,0.9
5W1H_1_B,0.0,0.0,0.0,0.0
4V90_1_AV,0.677,1.0,0.808,0.823
1F1T_1_A,0.75,1.0,0.857,0.866
7O7Y_1_AT,0.333,0.438,0.378,0.382
7NQ4_1_C,0.8,1.0,0.889,0.894
3NKB_1_B,0.333,0.5,0.4,0.408
3G9C_1_Q,0.488,0.568,0.525,0.526
3DD2_1_B,0.0,0.0,0.0,0.0
2BTE_1_B,0.818,0.818,0.818,0.818
6MWN_1_B,0.543,0.633,0.585,0.586
1F7U_1_B,0.0,0.0,0.0,0.0
3LQX_1_B,0.8,0.8,0.8,0.8
6PIJ_1_1,0.0,0.0,0.0,0.0
5Y85_1_D,0.714,0.909,0.8,0.806
1R3E_1_C,1.0,0.8,0.889,0.894
3OVB_1_C,0.0,0.0,0.0,0.0
6DU4_1_B,1.0,1.0,1.0,1.0
3EPH_1_E,0.579,0.786,0.667,0.674
1G2E_1_B,0.0,0.0,0.0,0.0
2OEU_1_A,0.5,0.6,0.545,0.548
7RYG_1_B,0.657,0.793,0.719,0.722
3JCS_1_6,0.0,0.0,0.0,0.0
6X5M_1_r,1.0,0.444,0.615,0.667
5M0J_1_E,0.5,0.75,0.6,0.612
7CPU_1_S6,0.471,0.842,0.604,0.63
4M6D_1_H,0.385,0.625,0.476,0.49
3EGZ_1_B,0.75,0.938,0.833,0.839
5VJ9_1_C,1.0,0.8,0.889,0.894
2Y9H_1_F,1.0,0.667,0.8,0.816
4Z31_1_E,0.8,1.0,0.889,0.894
7OS0_1_F,0.5,0.2,0.286,0.316
5AXM_1_P,0.737,0.778,0.757,0.757
6IV9_1_B,0.0,0.0,0.0,0.0
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,0.0,0.0,0.0,0.0
5D0B_1_F,0.833,1.0,0.909,0.913
5WWF_1_B,0.0,0.0,0.0,0.0
5JBG_1_X,0.667,0.857,0.75,0.756
3VJR_1_B,0.909,0.833,0.87,0.87
7D8O_1_B,0.0,0.0,0.0,0.0
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.25,0.455,0.323,0.337
7O1A_1_B8,0.636,1.0,0.778,0.798
6CFJ_1_1x,0.423,0.611,0.5,0.508
1L9A_1_B,0.615,0.615,0.615,0.615
4V8B_1_AB,0.658,1.0,0.794,0.811
7KGA_1_B,0.481,0.765,0.591,0.607
3HHN_1_E,0.564,0.629,0.595,0.595
2BH2_1_D,0.0,0.0,0.0,0.0
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.6,1.0,0.75,0.775
3IEV_1_D,0.0,0.0,0.0,0.0
7A9W_1_B,0.0,0.0,0.0,0.0
4ZLD_1_B,1.0,1.0,1.0,1.0
3AGV_1_S,0.0,0.0,0.0,0.0
7P3K_1_V,0.7,0.737,0.718,0.718
2B3J_1_E,0.6,1.0,0.75,0.775
7CPU_1_L7,0.531,0.971,0.687,0.718
7P48_1_5,0.773,0.895,0.829,0.831
7MQA_1_L0,0.0,0.0,0.0,0.0
4ZDO_1_E,0.583,0.636,0.609,0.609
1Y26_1_X,0.667,0.8,0.727,0.73
7EQJ_1_B,0.783,0.857,0.818,0.819
6XH2_1_D,0.889,1.0,0.941,0.943
4PRF_1_B,0.0,0.0,0.0,0.0
2C4Q_1_R,0.8,0.8,0.8,0.8
7QEP_1_2,0.757,0.8,0.778,0.778
1L2X_1_A,0.5,0.833,0.625,0.645
6AZ3_1_5,0.406,0.591,0.481,0.49
3SUX_1_X,0.594,0.792,0.679,0.686
6VRB_1_B,0.8,1.0,0.889,0.894
1EC6_1_C,0.8,1.0,0.889,0.894
6ZVI_1_e,0.647,0.688,0.667,0.667
3BOY_1_D,0.0,0.0,0.0,0.0
4JRC_1_B,0.55,0.786,0.647,0.657
6XRQ_1_B,0.0,0.0,0.0,0.0
5F5F_1_B,0.714,1.0,0.833,0.845
7B5K_1_x,0.737,0.737,0.737,0.737
6BHJ_1_E,0.0,0.0,0.0,0.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,0.769,0.909,0.833,0.836
7KKV_1_B,0.684,0.765,0.722,0.723
4TUW_1_C,1.0,0.667,0.8,0.816
2Y9H_1_J,1.0,0.333,0.5,0.577
