,PPV,TPR,F1,INF
1M5K_E,0.7,0.875,0.778,0.783
1M5O_B,0.655,0.826,0.731,0.736
1M5O_E,0.667,0.818,0.735,0.739
1M5P_B,0.63,0.773,0.694,0.698
1M5P_E,0.667,0.783,0.72,0.722
1M5V_B,0.667,0.783,0.72,0.722
1M5V_E,0.7,0.913,0.792,0.799
4C9D_D,0.0,0.0,0.0,0.0
6LQM_5,,,,
6LSR_5,,,,
6LSS_5,,,,
6LU8_5,,,,
6LVR_B,0.143,0.182,0.16,0.161
6LVR_D,0.143,0.182,0.16,0.161
6M62_3,,,,
6NSH_RB,,,,
6NSH_YB,,,,
6NTA_RB,,,,
6NTA_YB,,,,
6NUO_QV,,,,
6NUO_RB,,,,
6NUO_XV,,,,
6NUO_YB,,,,
6NWY_QV,,,,
6NWY_RB,,,,
6NWY_XV,,,,
6NWY_YB,,,,
6O3M_QV,,,,
6O3M_RB,,,,
6O3M_XV,,,,
6O3M_YB,,,,
6O8W_B,,,,
6O8X_B,,,,
6O8Y_B,,,,
6O8Z_B,,,,
6O90_B,,,,
6OF6_QV,,,,
6OF6_QW,,,,
6OF6_RB,,,,
6OF6_XV,,,,
6OF6_XW,,,,
6OF6_YB,,,,
6OIG_7,,,,
6OJ2_QV,,,,
6OJ2_QW,,,,
6OJ2_RB,,,,
6OJ2_XV,,,,
6OJ2_XW,,,,
6OJ2_YB,,,,
6OM6_3,,,,
6OM6_5,,,,
6OPE_QV,,,,
6OPE_RB,,,,
6OPE_XV,,,,
6OPE_YB,,,,
6ORD_QV,,,,
6ORD_RB,,,,
6ORD_XV,,,,
6ORD_YB,,,,
6OSI_RB,,,,
6OSI_YB,,,,
6PC5_J,,,,
6PC6_J,,,,
6PC7_J,,,,
6PC8_J,,,,
6PCH_J,,,,
6PCQ_J,,,,
6PCR_J,,,,
6PCS_J,,,,
6PCT_J,,,,
6SKF_BB,,,,
6SKG_BB,,,,
6SWA_s,,,,
6TF0_A,,,,
6TFH_A,,,,
6TH6_BB,,,,
6TNN_V,,,,
6TPQ_V,,,,
6UBU_B,0.636,0.875,0.737,0.746
6UC7_B,0.619,0.867,0.722,0.732
6UC8_B,0.667,0.875,0.757,0.764
6UC9_B,0.609,0.875,0.718,0.73
6VU3_B,,,,
6VU3_d,,,,
6VWL_3,,,,
6VWL_4,0.6,0.231,0.333,0.372
6VWL_5,,,,
6VWM_3,,,,
6VWM_4,0.571,0.308,0.4,0.419
6VWM_5,0.381,0.421,0.4,0.401
6VWN_3,,,,
6VWN_4,0.5,0.308,0.381,0.392
6VWN_5,0.591,0.65,0.619,0.62
6VWT_B,0.75,0.789,0.769,0.769
6VWV_B,0.714,0.833,0.769,0.772
6VYQ_B,,,,
6VYQ_d,,,,
6VYR_B,,,,
6VYR_d,,,,
6VYS_B,,,,
6VYS_d,,,,
6VYT_B,,,,
6VYT_d,,,,
6VYU_B,,,,
6VYU_d,,,,
6VYW_B,,,,
6VYW_d,,,,
6VYX_B,,,,
6VYX_d,,,,
6VYY_B,,,,
6VYY_d,,,,
6VYZ_B,,,,
6VYZ_d,,,,
6VZ2_B,,,,
6VZ2_d,,,,
6VZ3_B,,,,
6VZ3_d,,,,
6VZ5_B,,,,
6VZ5_d,,,,
6VZ7_B,,,,
6VZ7_d,,,,
6VZJ_B,,,,
6VZJ_d,,,,
6W6L_E,,,,
6W6L_v,0.455,0.5,0.476,0.477
6W6P_B,,,,
6WD0_2,,,,
6WD0_5,,,,
6WD0_6,,,,
6WD1_2,,,,
6WD1_5,,,,
6WD2_2,,,,
6WD2_5,,,,
6WD2_6,,,,
6WD2_7,0.783,0.857,0.818,0.819
6WD3_2,,,,
6WD3_5,,,,
6WD3_6,,,,
6WD3_7,0.773,0.81,0.791,0.791
6WD4_2,,,,
6WD4_5,,,,
6WD4_6,,,,
6WD4_7,0.727,0.762,0.744,0.744
6WD5_2,,,,
6WD5_5,,,,
6WD5_6,,,,
6WD5_7,0.7,0.667,0.683,0.683
6WD6_2,,,,
6WD6_5,,,,
6WD6_6,,,,
6WD6_7,0.778,0.7,0.737,0.738
6WD7_2,,,,
6WD7_5,,,,
6WD7_6,,,,
6WD7_7,0.8,0.762,0.78,0.781
6WD8_2,,,,
6WD8_5,,,,
6WD8_6,,,,
6WD8_7,0.684,0.65,0.667,0.667
6WD9_2,,,,
6WD9_5,,,,
6WD9_6,,,,
6WD9_7,0.8,0.762,0.78,0.781
6WDA_2,,,,
6WDA_5,,,,
6WDA_6,,,,
6WDA_7,0.8,0.762,0.78,0.781
6WDB_2,,,,
6WDB_5,,,,
6WDB_6,,,,
6WDB_7,,,,
6WDC_2,,,,
6WDC_5,,,,
6WDC_6,,,,
6WDC_7,,,,
6WDD_2,,,,
6WDD_5,,,,
6WDD_6,,,,
6WDD_7,0.762,0.762,0.762,0.762
6WDE_2,,,,
6WDE_5,,,,
6WDE_6,,,,
6WDE_7,0.714,0.75,0.732,0.732
6WDF_2,,,,
6WDF_5,,,,
6WDF_7,0.722,0.65,0.684,0.685
6WDG_2,,,,
6WDG_5,,,,
6WDG_7,0.8,0.8,0.8,0.8
6WDH_2,,,,
6WDH_5,,,,
6WDH_6,,,,
6WDH_7,,,,
6WDI_2,,,,
6WDI_5,,,,
6WDI_6,,,,
6WDI_7,,,,
6WDJ_2,,,,
6WDJ_5,,,,
6WDJ_6,,,,
6WDJ_7,0.773,0.85,0.81,0.81
6WDK_2,,,,
6WDK_5,,,,
6WDK_6,,,,
6WDK_7,0.857,0.9,0.878,0.878
6WDL_2,,,,
6WDL_5,,,,
6WDL_6,,,,
6WDL_7,0.714,0.75,0.732,0.732
6WDM_2,,,,
6WDM_5,,,,
6WDM_6,,,,
6WDM_7,0.714,0.789,0.75,0.751
6WJR_X,,,,
6WJS_X,,,,
6WNW_5,,,,
6WNW_7,0.708,0.81,0.756,0.757
6WOO_3,,,,
6WOO_7,,,,
6WQN_2,,,,
6WQQ_2,,,,
6WRS_2,,,,
6WRU_2,,,,
6WU9_B,,,,
6WYV_J,,,,
6WZR_A,0.421,0.615,0.5,0.509
6WZR_B,0.471,0.615,0.533,0.538
6WZS_B,0.278,0.455,0.345,0.355
6X6T_B,,,,
6X6T_d,,,,
6X7F_B,,,,
6X7F_d,,,,
6X7K_B,,,,
6X7K_d,,,,
6X9Q_B,,,,
6X9Q_d,,,,
6XA1_Bv,,,,
6XA1_L7,,,,
6XDQ_B,,,,
6XDQ_d,,,,
6XDR_B,,,,
6XDR_d,,,,
6XGF_B,,,,
6XGF_d,,,,
6XHV_1B,,,,
6XHV_1w,0.185,0.238,0.208,0.21
6XHV_1x,,,,
6XHV_2B,,,,
6XHV_2w,0.179,0.227,0.2,0.201
6XHV_2x,,,,
6XHV_2y,0.152,0.227,0.182,0.186
6XHW_1B,,,,
6XHW_1w,0.179,0.238,0.204,0.206
6XHW_1x,,,,
6XHW_2B,,,,
6XHW_2w,0.192,0.227,0.208,0.209
6XHW_2x,,,,
6XHW_2y,0.152,0.227,0.182,0.186
6XHX_1B,,,,
6XHX_2B,,,,
6XHY_1B,,,,
6XHY_1w,0.172,0.238,0.2,0.203
6XHY_1x,,,,
6XHY_2B,,,,
6XHY_2w,0.179,0.227,0.2,0.201
6XHY_2x,,,,
6XHY_2y,0.147,0.217,0.175,0.179
6XII_B,,,,
6XII_d,,,,
6XIJ_B,,,,
6XIJ_d,,,,
6XIQ_3,,,,
6XIQ_AX,,,,
6XIQ_AZ,,,,
6XIR_3,,,,
6XIR_AX,,,,
6XIR_AZ,,,,
6XQD_1B,,,,
6XQD_1x,,,,
6XQD_2B,,,,
6XQD_2x,,,,
6XQE_1B,,,,
6XQE_1x,,,,
6XQE_2B,,,,
6XQE_2x,,,,
6XU6_A7,,,,
6XU7_A7,,,,
6XU8_A7,,,,
6XZ7_B,,,,
6XZ7_f,,,,
6XZ7_g,0.091,0.091,0.091,0.091
6XZA_B2,,,,
6XZA_f2,,,,
6XZB_B2,,,,
6XZB_f2,,,,
6XZB_g2,0.167,0.211,0.186,0.187
6Y3G_F,0.214,0.25,0.231,0.231
6Y4B_F,0.214,0.231,0.222,0.222
6Y50_2,0.455,0.625,0.526,0.533
6Y53_2,0.8,0.696,0.744,0.746
6Y5Q_2,0.613,0.594,0.603,0.603
6Y69_B,,,,
6Y69_w,,,,
6Y6X_L7,,,,
6YDP_BB,,,,
6YDW_BB,,,,
6YEF_B,,,,
6YEF_x,,,,
6YHS_5,,,,
6YLG_3,,,,
6YLH_3,,,,
6YPU_4,0.195,0.205,0.2,0.2
6YS3_v,,,,
6YS5_3,0.294,0.351,0.32,0.321
6YS5_7,0.667,0.8,0.727,0.73
6YSI_5,,,,
6YSR_B,,,,
6YSR_w,0.833,0.526,0.645,0.662
6YSS_B,,,,
6YSS_w,0.8,0.632,0.706,0.711
6YST_B,,,,
6YST_w,0.684,0.684,0.684,0.684
6YSU_B,,,,
6YSU_w,0.6,0.563,0.581,0.581
6YT9_4,0.171,0.167,0.169,0.169
6YTF_3,0.243,0.293,0.266,0.267
6YTF_7,0.75,0.6,0.667,0.671
6YWE_bb,0.647,0.957,0.772,0.787
6YWX_bb,0.2,0.438,0.275,0.296
6YWY_bb,0.541,0.909,0.678,0.701
6Z6J_C4,,,,
6Z6K_C4,,,,
6Z6L_L7,,,,
6Z6M_L7,,,,
6Z6N_L7,,,,
6ZJ3_LJ,0.0,0.0,0.0,0.0
6ZJ3_LO,,,,
6ZJ3_S2,0.559,1.0,0.717,0.748
6ZJ3_S3,0.559,0.864,0.679,0.695
6ZJ3_S4,0.571,1.0,0.727,0.756
6ZM5_w,,,,
6ZM5_x,0.72,0.947,0.818,0.826
6ZM6_w,,,,
6ZM6_x,0.708,0.895,0.791,0.796
6ZM7_L7,,,,
6ZME_L7,,,,
6ZMI_L7,,,,
6ZMO_CB,,,,
6ZMO_L7,,,,
6ZOL_2,0.105,0.128,0.116,0.116
6ZP4_1,,,,
6ZTJ_AW,,,,
6ZTJ_AX,0.2,0.25,0.222,0.224
6ZTJ_BB,,,,
6ZTL_AW,,,,
6ZTL_AX,0.2,0.25,0.222,0.224
6ZTL_BB,,,,
6ZTM_AW,,,,
6ZTM_AX,0.192,0.238,0.213,0.214
6ZTM_BB,,,,
6ZTN_AW,,,,
6ZTN_AX,0.192,0.238,0.213,0.214
6ZTN_AZ,0.152,0.238,0.185,0.19
6ZTN_BB,,,,
6ZTO_AW,,,,
6ZTO_AX,0.185,0.227,0.204,0.205
6ZTO_BB,,,,
6ZTP_AW,,,,
6ZTP_AX,0.185,0.227,0.204,0.205
6ZTP_BB,,,,
6ZU1_AW,,,,
6ZU1_AX,0.185,0.227,0.204,0.205
6ZU1_BB,,,,
6ZU5_L70,,,,
6ZU9_1,,,,
6ZVH_x,,,,
6ZVI_d,0.765,0.722,0.743,0.743
6ZVI_e,,,,
6ZVK_d2,,,,
6ZYM_5,0.684,0.684,0.684,0.684
6ZYM_6,0.417,0.455,0.435,0.435
7A01_d2,,,,
7A09_f,,,,
7A5F_24,0.171,0.368,0.233,0.251
7A5G_24,0.15,0.333,0.207,0.224
7A5H_24,0.188,0.333,0.24,0.25
7A5I_94,0.167,0.333,0.222,0.236
7A5I_99,,,,
7A5I_X,,,,
7A5J_x,0.227,0.294,0.256,0.259
7A5K_24,,,,
7A5K_FE,,,,
7A5P_5,1.0,0.375,0.545,0.612
7AAV_5,0.667,0.588,0.625,0.626
7AAV_6,0.571,0.5,0.533,0.535
7ABF_5,0.667,0.286,0.4,0.436
7ABF_6,0.833,0.5,0.625,0.645
7ABG_5,,,,
7ABH_2,0.8,0.667,0.727,0.73
7ABI_5,,,,
7ABZ_3,,,,
7ABZ_7,0.353,0.4,0.375,0.376
7AC7_3,,,,
7AC7_7,0.154,0.111,0.129,0.131
7ACJ_3,0.188,0.2,0.194,0.194
7ACR_3,0.206,0.206,0.206,0.206
7AQC_B,0.436,0.5,0.466,0.467
7AQC_P,,,,
7AQD_B,,,,
7AS8_2,,,,
7AS8_B,,,,
7AS9_2,,,,
7AS9_B,,,,
7ASA_2,0.7,0.778,0.737,0.738
7ASE_1,,,,
7ASM_B,0.324,0.367,0.344,0.344
7ASN_B,0.24,0.24,0.24,0.24
7ASP_3,,,,
7AZY_F,0.581,0.486,0.529,0.531
7B5K_9,,,,
7B5K_B,,,,
7B5K_x,,,,
7B5K_z,0.273,0.333,0.3,0.302
7B7D_LB,,,,
7B7D_Sm,0.588,1.0,0.741,0.767
7B9V_5,0.783,0.692,0.735,0.736
7BG9_B,0.205,0.243,0.222,0.223
7BGB_B,0.84,0.808,0.824,0.824
7BHP_L7,0.508,0.892,0.647,0.673
7BL2_B,0.212,0.212,0.212,0.212
7BL3_B,,,,
7BL4_B,,,,
7BL5_B,,,,
7BL6_B,,,,
7BT6_3,,,,
7BTB_3,0.667,0.519,0.583,0.588
7BV8_B,0.167,0.171,0.169,0.169
7CHD_I,0.875,0.824,0.848,0.849
7CHD_J,0.875,0.824,0.848,0.849
7CPJ_9,0.7,0.667,0.683,0.683
7CPJ_B,,,,
7CPU_L7,,,,
7CPU_S6,,,,
7CPV_L7,,,,
7CPV_S6,,,,
7D6Z_2,,,,
7D6Z_3,0.12,0.158,0.136,0.138
7D6Z_4,0.6,0.667,0.632,0.632
7D6Z_B,0.179,0.2,0.189,0.189
7D7W_A,,,,
7D7X_A,,,,
7D7Y_A,,,,
7D7Z_A,,,,
7D80_X,,,,
7D80_Z,0.3,0.273,0.286,0.286
7D81_A,,,,
7D82_A,,,,
7DA7_C,0.0,0.0,0.0,0.0
7DAS_C,0.0,0.0,0.0,0.0
7DCO_B,0.795,0.745,0.769,0.77
7DVQ_B,0.833,0.625,0.714,0.722
7E8O_X,0.737,0.737,0.737,0.737
7ELP_B,0.579,0.917,0.71,0.728
7ELQ_B,0.588,0.833,0.69,0.7
7ELR_B,0.529,0.692,0.6,0.605
7ELS_B,0.588,0.769,0.667,0.673
7EQJ_B,,,,
7F36_E,0.526,0.526,0.526,0.526
7F36_F,,,,
7F36_H,,,,
7JIL_3,0.154,0.194,0.171,0.173
7JQC_i,0.167,0.154,0.16,0.16
7JQL_1B,,,,
7JQL_1x,,,,
7JQL_2B,0.138,0.25,0.178,0.186
7JQL_2x,0.714,1.0,0.833,0.845
7JQM_1B,,,,
7JQM_1x,,,,
7JQM_2B,0.149,0.27,0.192,0.201
7JQM_2x,0.741,0.952,0.833,0.84
7JSS_2,0.175,0.2,0.187,0.187
7JSS_5,0.708,0.85,0.773,0.776
7JSW_2,0.194,0.206,0.2,0.2
7JSW_5,,,,
7JSZ_2,,,,
7JSZ_5,,,,
7JT1_2,,,,
7JT1_5,,,,
7JT2_2,,,,
7JT2_5,,,,
7JT3_2,,,,
7JT3_5,,,,
7K00_b,,,,
7K00_Z,,,,
7K50_2,,,,
7K50_5,,,,
7K50_6,,,,
7K50_7,,,,
7K51_2,,,,
7K51_5,,,,
7K51_6,,,,
7K52_2,,,,
7K52_5,,,,
7K52_6,,,,
7K53_2,,,,
7K53_5,,,,
7K53_6,,,,
7K53_7,,,,
7K54_2,,,,
7K54_5,,,,
7K54_6,,,,
7K55_2,,,,
7K55_5,,,,
7K55_6,,,,
7K98_F,0.217,0.294,0.25,0.253
7K9M_C,0.609,0.778,0.683,0.688
7KA0_C,0.545,0.667,0.6,0.603
7KA0_F,0.524,0.647,0.579,0.582
7KAB_C,0.609,0.778,0.683,0.688
7KGA_B,0.63,0.81,0.708,0.714
7KGB_B,,,,
7KJT_A,,,,
7KJU_A,,,,
7LH5_AV,,,,
7LH5_AW,0.452,0.7,0.549,0.562
7LH5_BB,,,,
7LH5_CV,,,,
