,PPV,TPR,F1,INF
6AZ3_1_6,0.0,0.0,0.0,0.0
6YDP_1_AV,0.0,0.0,0.0,0.0
3AKZ_1_E,0.0,0.0,0.0,0.0
7C7L_1_C,0.0,0.0,0.0,0.0
7KGB_1_B,0.069,0.2,0.103,0.117
5E81_1_2K,0.0,0.0,0.0,0.0
6ERI_1_AB,0.063,0.111,0.08,0.083
7B5K_1_x,0.0,0.0,0.0,0.0
4PCJ_1_A,0.0,0.0,0.0,0.0
3NPQ_1_A,0.0,0.0,0.0,0.0
1N78_1_C,0.0,0.0,0.0,0.0
1G2E_1_B,0.0,0.0,0.0,0.0
5F9F_1_F,0.0,0.0,0.0,0.0
7QEP_1_2,0.0,0.0,0.0,0.0
3MIJ_1_A,0.0,0.0,0.0,0.0
4V9F_1_9,0.0,0.0,0.0,0.0
6H0R_1_A,0.0,0.0,0.0,0.0
6ZDQ_1_C,0.0,0.0,0.0,0.0
6W5C_1_B,0.0,0.0,0.0,0.0
5HR6_1_C,0.0,0.0,0.0,0.0
7N2V_1_Dt,0.0,0.0,0.0,0.0
7ONU_1_T,0.0,0.0,0.0,0.0
5XH7_1_B,0.0,0.0,0.0,0.0
361D_1_A,0.0,0.0,0.0,0.0
6UGG_1_B,0.0,0.0,0.0,0.0
6ZMI_1_L7,0.04,0.059,0.048,0.049
6ZP4_1_1,0.0,0.0,0.0,0.0
6XH2_1_D,0.0,0.0,0.0,0.0
2OZB_1_C,0.0,0.0,0.0,0.0
5UD5_1_C,0.0,0.0,0.0,0.0
5XTM_1_D,0.0,0.0,0.0,0.0
6F4H_1_D,1.0,1.0,1.0,1.0
2VPL_1_B,0.0,0.0,0.0,0.0
4P5J_1_A,0.0,0.0,0.0,0.0
5J7L_1_DB,0.0,0.0,0.0,0.0
5NWQ_1_A,0.154,0.286,0.2,0.21
5ID6_1_G,0.0,0.0,0.0,0.0
3G9C_1_Q,0.077,0.111,0.091,0.092
4V8D_1_CD,0.0,0.0,0.0,0.0
4XWF_1_A,0.0,0.0,0.0,0.0
6N2V_1_A,0.0,0.0,0.0,0.0
5SWD_1_B,0.0,0.0,0.0,0.0
7N2V_1_Pt,0.0,0.0,0.0,0.0
2Z75_1_B,0.048,0.083,0.061,0.063
1HMH_1_A,0.0,0.0,0.0,0.0
7KI3_1_C,0.0,0.0,0.0,0.0
2B3J_1_E,0.0,0.0,0.0,0.0
4X4N_1_D,0.0,0.0,0.0,0.0
7JRR_1_A,0.0,0.0,0.0,0.0
7ODF_1_F,0.0,0.0,0.0,0.0
2OEU_1_A,0.0,0.0,0.0,0.0
6YL5_1_I,0.0,0.0,0.0,0.0
6CFJ_1_1x,0.0,0.0,0.0,0.0
6TB3_1_n,0.0,0.0,0.0,0.0
1XOK_1_A,0.0,0.0,0.0,0.0
6PMO_1_A,0.0,0.0,0.0,0.0
3HJW_1_D,0.0,0.0,0.0,0.0
5WWE_1_B,0.0,0.0,0.0,0.0
2F8K_1_B,0.0,0.0,0.0,0.0
5XTM_1_B,0.0,0.0,0.0,0.0
1B7F_1_Q,0.0,0.0,0.0,0.0
1ZL3_1_B,0.0,0.0,0.0,0.0
6ZM6_1_x,0.0,0.0,0.0,0.0
1IL2_1_C,0.0,0.0,0.0,0.0
4PKD_1_V,0.0,0.0,0.0,0.0
5ZQ8_1_D,0.0,0.0,0.0,0.0
7KGA_1_A,0.0,0.0,0.0,0.0
5NS3_1_C,0.0,0.0,0.0,0.0
5D8H_1_A,0.053,0.1,0.069,0.073
3K1V_1_A,0.0,0.0,0.0,0.0
5DEA_1_C,0.0,0.0,0.0,0.0
6M0X_1_B,0.0,0.0,0.0,0.0
1M5K_1_B,0.077,0.143,0.1,0.105
5F5F_1_F,0.0,0.0,0.0,0.0
5DEA_1_A,0.0,0.0,0.0,0.0
5B63_1_D,0.0,0.0,0.0,0.0
6H9H_1_D,0.0,0.0,0.0,0.0
4V90_1_AV,0.273,0.429,0.333,0.342
6UFG_1_A,0.0,0.0,0.0,0.0
5B2T_1_A,0.0,0.0,0.0,0.0
2DRA_1_B,0.0,0.0,0.0,0.0
5DH6_1_A,0.0,0.0,0.0,0.0
5W1H_1_B,0.0,0.0,0.0,0.0
2ANN_1_B,0.0,0.0,0.0,0.0
6YWE_1_bb,0.231,0.333,0.273,0.277
3FOZ_1_D,0.091,0.167,0.118,0.123
6SVS_1_A,0.0,0.0,0.0,0.0
6RFL_1_U,0.0,0.0,0.0,0.0
4Z31_1_E,0.0,0.0,0.0,0.0
7P48_1_5,0.0,0.0,0.0,0.0
5NFV_1_B,0.0,0.0,0.0,0.0
5BTM_1_A,0.0,0.0,0.0,0.0
