,PPV,TPR,F1,INF
7A01_d2,0.667,0.913,0.771,0.78
7A09_f,0.714,0.962,0.82,0.829
7A0R_Y,0.629,0.975,0.765,0.783
7A0S_Y,0.667,0.95,0.784,0.796
7A18_Y,0.6,0.878,0.713,0.726
7A5F_24,0.195,0.348,0.25,0.261
7A5F_C,0.195,0.348,0.25,0.261
7A5G_24,0.175,0.318,0.226,0.236
7A5G_C,0.175,0.318,0.226,0.236
7A5G_j,0.605,0.92,0.73,0.746
7A5H_24,0.179,0.304,0.226,0.234
7A5I_94,0.194,0.318,0.241,0.249
7A5I_99,0.219,0.318,0.259,0.264
7A5I_X,0.194,0.304,0.237,0.243
7A5J_G,0.175,0.318,0.226,0.236
7A5J_x,0.175,0.318,0.226,0.236
7A5K_24,0.179,0.304,0.226,0.234
7A5K_FE,0.179,0.304,0.226,0.234
7A5P_2,0.674,0.906,0.773,0.782
7ABF_6,0.467,1.0,0.636,0.683
7ABG_5,0.667,0.903,0.767,0.776
7ABI_5,0.634,0.839,0.722,0.729
7ABZ_3,0.724,0.955,0.824,0.831
7ABZ_7,0.563,0.857,0.679,0.694
7AC7_3,0.717,0.956,0.819,0.828
7AC7_7,0.808,1.0,0.894,0.899
7ACJ_3,0.695,0.932,0.796,0.805
7ACR_3,0.707,0.911,0.796,0.803
7AJT_D4,0.165,0.56,0.255,0.304
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.614,0.833,0.707,0.715
7AQC_T,0.781,1.0,0.877,0.884
7AQD_B,0.614,0.833,0.707,0.715
7AQD_T,0.735,1.0,0.847,0.857
7AS8_B,0.603,0.814,0.693,0.701
7AS9_2,0.658,1.0,0.794,0.811
7AS9_B,0.569,0.881,0.692,0.708
7ASA_A,0.419,0.867,0.565,0.603
7ASM_B,0.629,0.886,0.736,0.747
7ASN_B,0.411,0.742,0.529,0.552
7ASO_C,0.127,0.194,0.154,0.157
7ASP_3,0.295,0.462,0.36,0.369
7AZY_F,0.578,0.881,0.698,0.714
7B0Y_a,0.492,0.738,0.59,0.603
7B5K_9,0.568,0.955,0.712,0.736
7B5K_B,0.721,0.978,0.83,0.84
7B5K_x,0.806,0.962,0.877,0.881
7B5K_z,0.735,1.0,0.847,0.857
7B7D_LB,0.597,0.881,0.712,0.725
7B7D_Sm,0.765,1.0,0.867,0.874
7B7D_Sn,0.794,1.0,0.885,0.891
7B9V_5,0.26,0.594,0.362,0.393
7BG9_B,0.092,0.275,0.138,0.159
7BGB_B,0.667,0.923,0.774,0.784
7BHP_L7,0.646,0.894,0.75,0.76
7BL2_B,0.729,0.956,0.827,0.835
7BL3_B,0.733,0.978,0.838,0.847
7BL4_B,0.721,0.978,0.83,0.84
7BL5_B,0.69,0.889,0.777,0.783
7BL6_B,0.71,0.978,0.822,0.833
7BT6_3,0.518,0.725,0.604,0.613
7BTB_3,0.559,0.846,0.673,0.688
7BV8_B,0.721,0.978,0.83,0.84
7C79_A,0.405,0.729,0.52,0.543
7C7A_A,0.403,0.754,0.525,0.551
7CHD_I,0.8,0.909,0.851,0.853
7CHD_J,0.769,0.909,0.833,0.836
7CPJ_9,0.758,1.0,0.862,0.87
7CPJ_B,0.694,0.956,0.804,0.814
7CPU_L7,0.672,0.915,0.775,0.784
7CPV_L7,0.672,0.915,0.775,0.784
7D4I_3A,0.459,0.85,0.596,0.625
7D6Z_2,0.368,0.778,0.5,0.535
7D6Z_3,0.71,0.957,0.815,0.824
7D6Z_4,0.679,0.905,0.776,0.784
7D6Z_B,0.683,0.977,0.804,0.817
7D7V_A,0.545,0.632,0.585,0.587
