,PPV,TPR,F1,INF
7MQ8_L2,0.878,0.857,0.867,0.868
7MQ9_L2,0.875,0.854,0.864,0.864
7MQA_L2,0.767,0.673,0.717,0.719
7QXA_B,0.281,0.295,0.288,0.288
7V9A_R,0.176,0.171,0.174,0.174
7TRD_B,0.403,0.446,0.424,0.424
7BG9_B,0.0,0.0,0.0,0.0
7TRE_B,0.387,0.421,0.403,0.404
7V99_R,0.0,0.0,0.0,0.0
7TRF_B,0.397,0.439,0.417,0.417
7TRC_B,0.962,1.0,0.98,0.981
7BGB_B,0.926,0.962,0.943,0.944
7QXS_B,0.0,0.0,0.0,0.0
7QXB_B,0.0,0.0,0.0,0.0
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.671,0.679,0.675,0.675
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.478,0.544,0.509,0.51
7C79_A,0.716,0.734,0.725,0.725
7ELD_B,0.976,1.0,0.988,0.988
6XRZ_A,0.714,0.741,0.727,0.727
7O7Z_AH,0.769,0.769,0.769,0.769
7KGA_B,0.724,1.0,0.84,0.851
7KGA_A,0.75,1.0,0.857,0.866
7MQ9_L0,0.379,0.386,0.383,0.383
7MQ8_L0,0.379,0.386,0.383,0.383
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.957,1.0,0.978,0.978
7SAM_A,0.923,0.941,0.932,0.932
7SCQ_C,0.882,0.938,0.909,0.91
7SC6_C,0.868,0.939,0.902,0.903
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.932,0.953,0.943,0.943
6JQ6_U,0.947,0.947,0.947,0.947
5T5A_A,0.524,0.611,0.564,0.566
6TFE_A,0.5,0.667,0.571,0.577
6TF0_A,0.263,0.385,0.313,0.318
6TFH_A,0.263,0.385,0.313,0.318
6TFF_A,0.5,0.667,0.571,0.577
6TFG_A,0.5,0.667,0.571,0.577
6TB7_A,0.5,0.667,0.571,0.577
7D7V_A,0.842,1.0,0.914,0.918
7D7Y_A,0.842,0.941,0.889,0.89
6TF3_A,0.5,0.667,0.571,0.577
6TF1_A,0.5,0.667,0.571,0.577
7D7X_A,0.842,0.941,0.889,0.89
7D82_A,1.0,1.0,1.0,1.0
7D81_A,1.0,1.0,1.0,1.0
7D7W_A,0.842,0.941,0.889,0.89
7D7Z_A,0.842,0.941,0.889,0.89
6TF2_A,0.5,0.667,0.571,0.577
7ELR_B,0.733,0.786,0.759,0.759
7ELS_A,0.733,0.786,0.759,0.759
7ELQ_A,0.733,0.786,0.759,0.759
7ELR_A,0.733,0.786,0.759,0.759
7ELS_B,0.733,0.786,0.759,0.759
7ELQ_B,0.733,0.786,0.759,0.759
7ELP_B,0.733,0.786,0.759,0.759
7ELP_A,0.733,0.786,0.759,0.759
1M5V_E,0.895,0.85,0.872,0.872
1M5K_B,0.889,0.842,0.865,0.865
1M5P_B,0.895,0.85,0.872,0.872
1M5P_E,0.9,0.857,0.878,0.878
1M5O_E,0.905,0.864,0.884,0.884
1M5V_B,0.895,0.85,0.872,0.872
1M5K_E,0.905,0.864,0.884,0.884
1M5O_B,0.9,0.857,0.878,0.878
