,PPV,TPR,F1,INF
7MQ8_L2,0.707,1.0,0.829,0.841
7MQ9_L2,0.7,1.0,0.824,0.837
7MQA_L2,0.721,1.0,0.838,0.849
7QXA_B,0.094,0.231,0.133,0.147
7V9A_R,0.441,0.789,0.566,0.59
7TRD_B,0.226,0.389,0.286,0.296
7BG9_B,0.167,0.314,0.218,0.229
7TRE_B,0.274,0.459,0.343,0.355
7V99_R,0.104,0.219,0.141,0.151
7TRF_B,0.238,0.405,0.3,0.311
7TRC_B,0.885,0.92,0.902,0.902
7BGB_B,0.889,0.96,0.923,0.924
7QXS_B,0.167,0.306,0.216,0.226
7QXB_B,0.167,0.306,0.216,0.226
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.573,0.825,0.676,0.687
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.533,0.857,0.658,0.676
7C79_A,0.593,0.857,0.701,0.713
7ELD_B,0.976,1.0,0.988,0.988
6XRZ_A,0.643,1.0,0.783,0.802
7O7Z_AH,0.692,0.947,0.8,0.81
7KGA_B,0.828,1.0,0.906,0.91
7KGA_A,0.714,1.0,0.833,0.845
7MQ9_L0,0.379,0.564,0.454,0.463
7MQ8_L0,0.379,0.564,0.454,0.463
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,1.0,1.0,1.0,1.0
7SAM_A,0.731,0.905,0.809,0.813
7SCQ_C,0.765,0.907,0.83,0.833
7SC6_C,0.679,0.9,0.774,0.782
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.932,0.953,0.943,0.943
6JQ6_U,0.737,1.0,0.848,0.858
5T5A_A,0.524,0.786,0.629,0.642
6TFE_A,0.85,0.944,0.895,0.896
6TF0_A,0.632,0.8,0.706,0.711
6TFH_A,0.632,0.8,0.706,0.711
6TFF_A,0.85,0.944,0.895,0.896
6TFG_A,0.85,0.944,0.895,0.896
6TB7_A,0.85,0.944,0.895,0.896
7D7V_A,0.632,0.667,0.649,0.649
7D7Y_A,0.842,0.889,0.865,0.865
6TF3_A,0.85,0.944,0.895,0.896
6TF1_A,0.85,0.944,0.895,0.896
7D7X_A,0.842,0.889,0.865,0.865
7D82_A,1.0,1.0,1.0,1.0
7D81_A,1.0,1.0,1.0,1.0
7D7W_A,0.842,0.889,0.865,0.865
7D7Z_A,0.842,0.889,0.865,0.865
6TF2_A,0.85,0.944,0.895,0.896
7ELR_B,0.733,1.0,0.846,0.856
7ELS_A,0.733,1.0,0.846,0.856
7ELQ_A,0.733,1.0,0.846,0.856
7ELR_A,0.733,1.0,0.846,0.856
7ELS_B,0.733,1.0,0.846,0.856
7ELQ_B,0.733,1.0,0.846,0.856
7ELP_B,0.733,1.0,0.846,0.856
7ELP_A,0.733,1.0,0.846,0.856
1M5V_E,0.737,0.875,0.8,0.803
1M5K_B,0.778,0.933,0.848,0.852
1M5P_B,0.737,0.875,0.8,0.803
1M5P_E,0.7,0.824,0.757,0.759
1M5O_E,0.667,0.778,0.718,0.72
1M5V_B,0.737,0.875,0.8,0.803
1M5K_E,0.667,0.778,0.718,0.72
1M5O_B,0.7,0.824,0.757,0.759
