,PPV,TPR,F1,INF
100D_1_A-B,0.1,0.333,0.154,0.183
157D_1_A-B,0.286,0.8,0.421,0.478
165D_1_A-B,0.0,0.0,0.0,0.0
17RA_7_A,0.111,0.2,0.143,0.149
1A1T_1_B,0.3,0.75,0.429,0.474
1A34_1_B-C,0.111,0.333,0.167,0.192
1A3M_1_A-B,0.071,0.2,0.105,0.12
1A4D_1_A-B,0.0,0.0,0.0,0.0
1A4T_1_A,0.0,0.0,0.0,0.0
1A51_3_A,0.0,0.0,0.0,0.0
1A60_1_A,0.0,0.0,0.0,0.0
1A9L_1_A,0.235,0.571,0.333,0.367
1A9N_1_Q,0.286,0.667,0.4,0.436
1A9N_1_R,0.286,0.667,0.4,0.436
1AFX_2_A,0.6,1.0,0.75,0.775
1AJF_1_A,0.125,0.333,0.182,0.204
1AJL_1_A-B,0.0,0.0,0.0,0.0
1AJT_1_A-B,0.0,0.0,0.0,0.0
1AJU_9_A,0.125,0.222,0.16,0.167
1AKX_1_A,0.133,0.222,0.167,0.172
1AL5_1_A-B,0.083,0.25,0.125,0.144
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,0.273,0.6,0.375,0.405
1AQ3_1_R,0.0,0.0,0.0,0.0
1AQ3_1_S,0.0,0.0,0.0,0.0
1AQ4_1_R,0.0,0.0,0.0,0.0
1AQ4_1_S,0.0,0.0,0.0,0.0
1AQO_3_A,0.071,0.2,0.105,0.12
1ARJ_7_N,0.25,0.5,0.333,0.354
1ASY_1_R,0.032,0.111,0.05,0.06
1ASY_1_S,0.033,0.111,0.051,0.061
1ASZ_1_R,0.03,0.111,0.048,0.058
1ASZ_1_S,0.033,0.111,0.051,0.061
1ATO_1_A,0.25,0.667,0.364,0.408
1ATV_1_A,0.2,0.667,0.308,0.365
1ATW_1_A,0.0,0.0,0.0,0.0
1AUD_8_B,0.059,0.25,0.095,0.121
1B23_1_R,0.031,0.143,0.051,0.067
1B36_8_A,0.0,0.0,0.0,0.0
1B7F_1_Q,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.0,0.0,0.0,0.0
1BGZ_1_A,0.077,0.333,0.125,0.16
1BIV_5_A,0.333,0.444,0.381,0.385
1BJ2_1_A-B,0.0,0.0,0.0,0.0
1BN0_2_A,0.375,0.75,0.5,0.53
1BVJ_1_A,0.182,0.667,0.286,0.348
1BYJ_31_A,0.083,0.2,0.118,0.129
1BZ2_1_A,0.0,0.0,0.0,0.0
1BZ3_1_A,0.0,0.0,0.0,0.0
1BZT_1_A,0.167,1.0,0.286,0.408
1BZU_1_A,0.2,1.0,0.333,0.447
1C04_1_E,0.107,0.375,0.167,0.2
1C04_1_F,0.067,0.167,0.095,0.105
1C0O_1_A,0.0,0.0,0.0,0.0
1C2X_1_C,0.739,1.0,0.85,0.86
1C4L_1_A-B,0.111,0.333,0.167,0.192
1CQ5_1_A,0.043,0.167,0.069,0.085
1CQL_10_A,0.048,0.167,0.074,0.089
1CSL_1_B-A,0.167,0.333,0.222,0.236
1D0T_1_A,0.0,0.0,0.0,0.0
1D0U_14_A,0.091,0.333,0.143,0.174
1D4R_1_B-A,0.0,0.0,0.0,0.0
1D6K_4_B,0.0,0.0,0.0,0.0
1DDY_1_A,0.0,0.0,0.0,0.0
1DDY_1_C,0.0,0.0,0.0,0.0
1DDY_1_E,0.0,0.0,0.0,0.0
1DDY_1_G,0.0,0.0,0.0,0.0
1DFU_1_M-N,0.063,0.2,0.095,0.112
1DI2_1_C-D,0.0,0.0,0.0,0.0
1DK1_1_B,0.111,0.25,0.154,0.167
1DQF_1_B-A,0.0,0.0,0.0,0.0
1DQH_1_B-A,0.0,0.0,0.0,0.0
1DRZ_1_B,0.0,0.0,0.0,0.0
1DUL_1_B,0.048,0.25,0.08,0.109
1DUQ_1_B-A,0.25,0.5,0.333,0.354
1DUQ_1_D-C,0.273,0.5,0.353,0.369
1DUQ_1_F-E,0.25,0.5,0.333,0.354
1DUQ_1_H-G,0.273,0.5,0.353,0.369
1DZ5_1_C-D,0.056,0.25,0.091,0.118
1E4P_8_A,0.167,0.667,0.267,0.333
1E7K_1_C,0.0,0.0,0.0,0.0
1E7K_1_D,0.0,0.0,0.0,0.0
1E8O_1_E,0.048,0.2,0.077,0.098
1E95_14_A,0.0,0.0,0.0,0.0
1EBQ_1_A,0.154,0.286,0.2,0.21
1EBR_1_A,0.308,0.571,0.4,0.419
1EBS_1_A,0.154,0.286,0.2,0.21
1EC6_1_C,0.0,0.0,0.0,0.0
1EC6_1_D,0.0,0.0,0.0,0.0
1EFW_1_C,0.172,0.455,0.25,0.28
1EFW_1_D,0.152,0.455,0.227,0.262
1EHT_3_A,0.091,0.5,0.154,0.213
1EHZ_1_A,0.043,0.111,0.063,0.07
1EI2_9_A,0.222,0.4,0.286,0.298
1EIY_1_C,0.656,1.0,0.792,0.81
1EKA_1_A-B,0.125,1.0,0.222,0.354
1EKD_1_A-B,0.25,0.667,0.364,0.408
1EKZ_4_B,0.118,0.222,0.154,0.162
1ELH_1_B-A,0.0,0.0,0.0,0.0
1ESH_1_A,0.0,0.0,0.0,0.0
1ESY_2_A,0.0,0.0,0.0,0.0
1ET4_1_A,0.0,0.0,0.0,0.0
1ET4_1_B,0.0,0.0,0.0,0.0
1ET4_1_C,0.0,0.0,0.0,0.0
1ET4_1_D,0.0,0.0,0.0,0.0
1ET4_1_E,0.0,0.0,0.0,0.0
1ETF_1_A,0.188,0.5,0.273,0.306
1ETG_14_A,0.176,0.5,0.261,0.297
1EUQ_1_B,0.216,0.571,0.314,0.351
1EUY_1_B,0.235,0.615,0.34,0.381
1EVV_1_A,0.043,0.111,0.063,0.07
1EXD_1_B,0.273,0.643,0.383,0.419
1EXY_1_A,0.0,0.0,0.0,0.0
1F1T_1_A,0.143,0.4,0.211,0.239
1F27_1_A,0.0,0.0,0.0,0.0
1F5G_1_A-B,0.083,0.333,0.133,0.167
1F5H_1_A-B,0.1,0.333,0.154,0.183
1F5U_1_A,0.1,0.333,0.154,0.183
1F5U_1_B,0.091,0.333,0.143,0.174
1F6U_2_B,0.111,0.5,0.182,0.236
1F6X_1_A,0.071,0.25,0.111,0.134
1F6Z_1_A,0.067,0.2,0.1,0.115
1F78_1_A,0.077,0.25,0.118,0.139
1F79_1_A,0.067,0.2,0.1,0.115
1F7F_3_A,0.071,0.25,0.111,0.134
1F7G_1_A,0.071,0.2,0.105,0.12
1F7H_5_A,0.071,0.25,0.111,0.134
1F7I_2_A,0.059,0.2,0.091,0.108
1F7U_1_B,0.0,0.0,0.0,0.0
1F7V_1_B,0.0,0.0,0.0,0.0
1F7Y_1_B,0.111,0.25,0.154,0.167
1F84_10_A,0.105,0.4,0.167,0.205
1F85_1_A,0.0,0.0,0.0,0.0
