,PPV,TPR,F1,INF
6PIJ_1_1,0.0,0.0,0.0,0.0
5IB7_1_3L,0.615,0.727,0.667,0.669
1L2X_1_A,0.625,1.0,0.769,0.791
5D8H_1_A,0.882,0.882,0.882,0.882
6Y2L_1_B4,0.95,1.0,0.974,0.975
5ZQ8_1_D,0.0,0.0,0.0,0.0
6QW6_1_5,0.941,1.0,0.97,0.97
1E7K_1_C,0.0,0.0,0.0,0.0
7REX_1_A,0.8,1.0,0.889,0.894
5D5L_1_A,0.792,1.0,0.884,0.89
4JRC_1_B,0.353,0.353,0.353,0.353
1MJI_1_D,0.9,1.0,0.947,0.949
6R5Q_1_3,0.286,0.353,0.316,0.318
5B63_1_D,0.889,1.0,0.941,0.943
7ONU_1_T,1.0,1.0,1.0,1.0
2Y9H_1_H,1.0,1.0,1.0,1.0
6F4H_1_B,1.0,1.0,1.0,1.0
6TQB_1_B,1.0,1.0,1.0,1.0
6E8S_1_A,1.0,1.0,1.0,1.0
7K16_1_P,0.375,0.5,0.429,0.433
5F5H_1_D,1.0,1.0,1.0,1.0
7CPU_1_L7,0.833,0.857,0.845,0.845
4QIL_1_C,1.0,1.0,1.0,1.0
6PMO_1_A,0.95,1.0,0.974,0.975
6AZ3_1_6,0.7,0.875,0.778,0.783
7JRR_1_A,0.308,0.308,0.308,0.308
6DLR_1_A,0.75,0.828,0.787,0.788
4X4N_1_D,1.0,1.0,1.0,1.0
5NDI_1_B,0.571,1.0,0.727,0.756
2DRA_1_B,1.0,1.0,1.0,1.0
2BH2_1_D,1.0,1.0,1.0,1.0
6N2V_1_A,0.969,0.969,0.969,0.969
4PRF_1_B,0.0,0.0,0.0,0.0
3EPH_1_E,0.722,0.929,0.813,0.819
6KYV_1_G,1.0,1.0,1.0,1.0
6UFG_1_B,0.955,1.0,0.977,0.977
2JLT_1_A,0.0,0.0,0.0,0.0
6LTU_1_B,0.833,1.0,0.909,0.913
4AY2_1_C,1.0,1.0,1.0,1.0
6WJR_1_X,0.452,0.538,0.491,0.493
3LA5_1_A,0.833,1.0,0.909,0.913
6P7M_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.667,0.696,0.681,0.681
5F5F_1_B,1.0,1.0,1.0,1.0
3D0U_1_A,0.696,0.75,0.722,0.723
5BTM_1_A,0.833,1.0,0.909,0.913
3DIL_1_A,0.726,0.776,0.75,0.75
5H9F_1_L,1.0,1.0,1.0,1.0
5MSF_1_R,1.0,1.0,1.0,1.0
4Z0C_1_C,1.0,1.0,1.0,1.0
4IFD_1_R,1.0,1.0,1.0,1.0
6P2H_1_A,0.65,0.765,0.703,0.705
4Z31_1_E,1.0,1.0,1.0,1.0
4FRG_1_B,0.36,0.409,0.383,0.384
2ZY6_1_A,0.778,0.778,0.778,0.778
7L0Z_1_G,0.524,0.524,0.524,0.524
2Y9H_1_N,1.0,1.0,1.0,1.0
7P48_1_5,0.952,1.0,0.976,0.976
5M0H_1_A,1.0,1.0,1.0,1.0
5VW1_1_C,0.941,1.0,0.97,0.97
1JID_1_B,0.5,0.5,0.5,0.5
5D0A_1_F,1.0,1.0,1.0,1.0
6QW6_1_4,0.536,0.6,0.566,0.567
6DU4_1_B,1.0,1.0,1.0,1.0
3AKZ_1_E,0.476,0.588,0.526,0.529
2Y8Y_1_B,1.0,1.0,1.0,1.0
6T4Q_1_7,0.85,0.895,0.872,0.872
6YL5_1_I,0.5,0.429,0.462,0.463
7JIL_1_3,0.323,0.357,0.339,0.339
4AOB_1_A,0.586,0.739,0.654,0.658
4RUM_1_A,0.966,1.0,0.982,0.983
1SER_1_T,0.2,0.222,0.211,0.211
2ZZM_1_B,0.3,0.353,0.324,0.325
3HAX_1_E,1.0,1.0,1.0,1.0
1U1Y_1_R,0.6,0.6,0.6,0.6
2XDB_1_G,0.571,1.0,0.727,0.756
4LX6_1_A,0.84,1.0,0.913,0.917
7NQ4_1_C,1.0,1.0,1.0,1.0
6AJK_1_B,1.0,1.0,1.0,1.0
3OVB_1_C,1.0,1.0,1.0,1.0
6SZV_1_V,0.0,0.0,0.0,0.0
2ANN_1_B,0.0,0.0,0.0,0.0
5E81_1_3L,0.688,0.786,0.733,0.735
3GS5_1_A,0.75,1.0,0.857,0.866
7OX8_1_A,0.765,0.765,0.765,0.765
4LGT_1_E,0.667,0.8,0.727,0.73
7EU9_1_B,0.833,1.0,0.909,0.913
4K50_1_B,1.0,1.0,1.0,1.0
5T5A_1_A,0.524,0.611,0.564,0.566
2Y9H_1_J,1.0,1.0,1.0,1.0
5UDZ_1_W,1.0,1.0,1.0,1.0
4QLM_1_A,0.457,0.571,0.508,0.511
6SKG_1_BB,0.892,0.943,0.917,0.917
3NVI_1_F,0.667,0.667,0.667,0.667
4JXZ_1_B,0.95,1.0,0.974,0.975
5NDH_1_A,0.0,0.0,0.0,0.0
3NPQ_1_A,0.429,0.5,0.462,0.463
6ERI_1_AB,0.958,0.958,0.958,0.958
2QUW_1_B,0.75,1.0,0.857,0.866
6UFM_1_B,0.828,0.923,0.873,0.874
5WTI_1_B,0.6,0.72,0.655,0.657
2A43_1_A,0.571,1.0,0.727,0.756
6JQ6_1_U,0.947,0.947,0.947,0.947
4TUW_1_C,1.0,1.0,1.0,1.0
6AAY_1_B,1.0,1.0,1.0,1.0
7KGB_1_B,0.6,0.75,0.667,0.671
1B23_1_R,0.6,0.632,0.615,0.616
5UD5_1_C,0.958,1.0,0.979,0.979
6ZP4_1_1,0.286,0.3,0.293,0.293
6TB3_1_n,0.571,0.6,0.585,0.586
6TC3_1_PTR1,0.333,0.389,0.359,0.36
6MWN_1_B,0.867,0.867,0.867,0.867
5X2G_1_B,0.667,0.667,0.667,0.667
6ERI_1_Ax,0.771,0.794,0.783,0.783
6DVK_1_H,1.0,1.0,1.0,1.0
5WLH_1_B,0.8,1.0,0.889,0.894
6LT7_1_C,0.857,1.0,0.923,0.926
6AAX_1_B,1.0,1.0,1.0,1.0
5MGA_1_B,0.0,0.0,0.0,0.0
4JF2_1_A,0.792,1.0,0.884,0.89
4V99_1_C2,0.0,0.0,0.0,0.0
5SWD_1_B,0.783,1.0,0.878,0.885
3KFU_1_L,0.955,1.0,0.977,0.977
4ZT0_1_D,0.824,0.778,0.8,0.8
5M0I_1_E,1.0,1.0,1.0,1.0
3BT7_1_D,1.0,1.0,1.0,1.0
7KI3_1_C,1.0,1.0,1.0,1.0
6RJA_1_D,0.571,0.8,0.667,0.676
5T5H_1_D,0.0,0.0,0.0,0.0
1IL2_1_C,0.35,0.389,0.368,0.369
6DCC_1_B,0.778,1.0,0.875,0.882
5M0I_1_F,1.0,1.0,1.0,1.0
3G9C_1_Q,0.619,0.65,0.634,0.634
6CFJ_1_1x,0.524,0.5,0.512,0.512
5F9F_1_F,1.0,1.0,1.0,1.0
6KC8_1_B,0.949,1.0,0.974,0.974
5AXM_1_P,0.25,0.238,0.244,0.244
6AZ3_1_4,0.708,0.773,0.739,0.74
6YAL_1_1,0.75,0.682,0.714,0.715
7ELQ_1_A,0.733,0.786,0.759,0.759
5DM6_1_Y,0.771,0.818,0.794,0.794
6DME_1_A,0.839,0.929,0.881,0.882
7C79_1_A,0.716,0.734,0.725,0.725
3ADD_1_C,0.818,0.871,0.844,0.844
7D3J_1_B,0.833,1.0,0.909,0.913
5D0B_1_F,0.833,1.0,0.909,0.913
6R5Q_1_2,0.267,0.286,0.276,0.276
2ZZN_1_D,0.955,1.0,0.977,0.977
7O7Y_1_B7,0.829,0.853,0.841,0.841
1QU2_1_T,0.318,0.304,0.311,0.311
7ODF_1_F,1.0,1.0,1.0,1.0
5M0J_1_E,1.0,1.0,1.0,1.0
1Y26_1_X,0.8,1.0,0.889,0.894
6YWE_1_bb,0.95,1.0,0.974,0.975
6WOO_1_3,0.476,0.526,0.5,0.501
7OT5_1_z,0.421,0.4,0.41,0.41
7LYT_1_B,1.0,1.0,1.0,1.0
3V7E_1_C,0.826,0.95,0.884,0.886
1H4S_1_T,0.75,0.75,0.75,0.75
7MQA_1_L2,0.767,0.673,0.717,0.719
7JNH_1_B,1.0,1.0,1.0,1.0
5IBB_1_1L,1.0,1.0,1.0,1.0
3FOZ_1_D,0.5,0.5,0.5,0.5
6SVS_1_A,0.375,0.375,0.375,0.375
2OZB_1_C,1.0,1.0,1.0,1.0
3TRZ_1_U,1.0,1.0,1.0,1.0
5F5H_1_C,1.0,1.0,1.0,1.0
1RLG_1_D,0.4,0.667,0.5,0.516
6AZ3_1_8,0.833,0.938,0.882,0.884
4PKD_1_V,0.733,0.733,0.733,0.733
2Z75_1_B,0.75,0.774,0.762,0.762
7R81_1_t1,0.2,0.2,0.2,0.2
5ID6_1_G,1.0,1.0,1.0,1.0
6PRV_1_A,0.929,1.0,0.963,0.964
6ZDP_1_B,0.952,1.0,0.976,0.976
3OXE_1_A,0.923,0.96,0.941,0.941
6ZMI_1_CC,0.8,0.842,0.821,0.821
7O7Z_1_AH,0.769,0.769,0.769,0.769
1KUQ_1_B,0.684,0.722,0.703,0.703
6T4Q_1_6,0.19,0.2,0.195,0.195
5B2T_1_A,0.824,0.778,0.8,0.8
4C9D_1_D,0.0,0.0,0.0,0.0
5XUZ_1_B,0.0,0.0,0.0,0.0
5E81_1_2K,0.524,0.5,0.512,0.512
3CUL_1_C,1.0,1.0,1.0,1.0
7N2V_1_Dt,0.286,0.333,0.308,0.309
2QWY_1_C,0.0,0.0,0.0,0.0
5Y58_1_X,1.0,1.0,1.0,1.0
6E8U_1_B,0.0,0.0,0.0,0.0
6GSJ_1_1K,1.0,1.0,1.0,1.0
4AL5_1_B,1.0,1.0,1.0,1.0
6X5M_1_r,1.0,1.0,1.0,1.0
1U9S_1_A,0.429,0.525,0.472,0.474
1QTQ_1_B,0.45,0.529,0.486,0.488
3HJW_1_D,1.0,1.0,1.0,1.0
2QUX_1_F,1.0,1.0,1.0,1.0
4QI2_1_G,0.0,0.0,0.0,0.0
6E8T_1_D,1.0,1.0,1.0,1.0
2PJP_1_B,0.8,0.889,0.842,0.843
6PMO_1_B,0.909,1.0,0.952,0.953
4RGE_1_C,0.0,0.0,0.0,0.0
6CB3_1_B,0.818,0.844,0.831,0.831
3NDB_1_M,1.0,1.0,1.0,1.0
6GSJ_1_3L,0.947,1.0,0.973,0.973
3LQX_1_B,1.0,1.0,1.0,1.0
5FJC_1_A,0.724,0.75,0.737,0.737
4P95_1_A,0.5,0.556,0.526,0.527
6WBR_1_B,0.727,0.762,0.744,0.744
6OL3_1_C,0.913,1.0,0.955,0.956
1MMS_1_C,0.857,0.857,0.857,0.857
6YS3_1_v,1.0,1.0,1.0,1.0
6E1S_1_A,0.714,1.0,0.833,0.845
5T83_1_A,0.348,0.4,0.372,0.373
361D_1_B,1.0,1.0,1.0,1.0
2Y8W_1_B,1.0,1.0,1.0,1.0
4FEN_1_B,0.826,1.0,0.905,0.909
5TBW_1_AS,0.838,0.861,0.849,0.849
7OJN_1_D,0.0,0.0,0.0,0.0
2I82_1_F,1.0,1.0,1.0,1.0
5NWQ_1_A,0.0,0.0,0.0,0.0
5L4O_1_A,0.524,0.524,0.524,0.524
5LYS_1_B,0.762,0.842,0.8,0.801
7N2V_1_Pt,0.524,0.579,0.55,0.551
3SUX_1_X,0.733,0.846,0.786,0.788
7KVT_1_B,0.682,0.833,0.75,0.754
2OEU_1_A,0.8,0.8,0.8,0.8
7DCO_1_B,0.617,0.644,0.63,0.631
5U30_1_B,0.321,0.375,0.346,0.347
5JBG_1_X,0.889,1.0,0.941,0.943
4OOG_1_D,1.0,1.0,1.0,1.0
5VJ9_1_C,1.0,1.0,1.0,1.0
6FQ3_1_B,0.8,1.0,0.889,0.894
7MSF_1_R,1.0,1.0,1.0,1.0
5FJ4_1_H,0.0,0.0,0.0,0.0
2BTE_1_B,0.708,0.85,0.773,0.776
7OAX_1_A,0.6,0.6,0.6,0.6
4PCJ_1_A,0.833,1.0,0.909,0.913
5WTK_1_B,0.8,1.0,0.889,0.894
4C4W_1_H,0.0,0.0,0.0,0.0
4V8B_1_AB,0.381,0.333,0.356,0.356
3JCS_1_5,0.222,0.2,0.211,0.211
1S03_1_B,0.889,0.941,0.914,0.915
7C7L_1_C,0.629,0.71,0.667,0.668
3SIU_1_F,1.0,1.0,1.0,1.0
1F1T_1_A,0.5,0.833,0.625,0.645
7OBR_1_1,0.784,0.806,0.795,0.795
4V9F_1_9,0.75,0.889,0.814,0.816
6UGG_1_B,0.545,0.632,0.585,0.587
6ASO_1_I,0.706,0.857,0.774,0.778
6XKO_1_A,0.821,0.92,0.868,0.869
6AZ3_1_5,0.64,0.615,0.627,0.628
6FZ0_1_A,0.0,0.0,0.0,0.0
7AQC_1_T,0.9,1.0,0.947,0.949
6XA1_1_Bv,0.353,0.353,0.353,0.353
1GAX_1_D,0.955,1.0,0.977,0.977
7NHN_1_B,0.242,0.235,0.239,0.239
6LAX_1_A,1.0,1.0,1.0,1.0
4QOZ_1_A,1.0,1.0,1.0,1.0
4YCO_1_D,0.955,1.0,0.977,0.977
6UGI_1_A,1.0,1.0,1.0,1.0
4FAR_1_A,0.603,0.716,0.655,0.657
6BHJ_1_E,1.0,1.0,1.0,1.0
6ZVI_1_e,0.45,0.429,0.439,0.439
6ZM6_1_x,0.762,1.0,0.865,0.873
7MLW_1_F,0.675,0.73,0.701,0.702
6S0Z_1_B,0.897,0.963,0.929,0.929
3AM1_1_B,0.833,0.862,0.847,0.848
1R3E_1_C,1.0,1.0,1.0,1.0
6ZMI_1_L7,0.833,0.857,0.845,0.845
3RG5_1_B,0.933,1.0,0.966,0.966
1S03_1_A,0.889,0.941,0.914,0.915
2XLK_1_C,1.0,1.0,1.0,1.0
5HR6_1_C,0.524,0.688,0.595,0.6
7MKY_1_A,0.769,1.0,0.87,0.877
1XJR_1_A,0.733,0.733,0.733,0.733
6HC5_1_A,0.833,0.833,0.833,0.833
4QEI_1_C,0.81,0.944,0.872,0.874
6YDP_1_AV,0.529,0.75,0.621,0.63
4ENC_1_A,0.333,0.455,0.385,0.389
6XU8_1_A7,0.8,0.8,0.8,0.8
3SNP_1_D,0.0,0.0,0.0,0.0
6SY6_1_D,1.0,1.0,1.0,1.0
5HC9_1_D,0.955,1.0,0.977,0.977
5UZ6_1_A,1.0,1.0,1.0,1.0
6XH2_1_D,0.9,1.0,0.947,0.949
4ATO_1_G,0.429,1.0,0.6,0.655
1ET4_1_A,0.125,0.167,0.143,0.144
6MSF_1_R,1.0,1.0,1.0,1.0
7EOG_1_A,0.933,1.0,0.966,0.966
6E8T_1_A,1.0,1.0,1.0,1.0
7OLC_1_3,0.784,0.784,0.784,0.784
2OIU_1_Q,0.957,1.0,0.978,0.978
1ZBH_1_F,1.0,1.0,1.0,1.0
6SQN_1_Y,1.0,1.0,1.0,1.0
5DEA_1_C,0.714,0.833,0.769,0.772
5J7L_1_DB,0.278,0.263,0.27,0.27
1EC6_1_D,1.0,1.0,1.0,1.0
3TS2_1_V,1.0,1.0,1.0,1.0
4L8H_1_R,1.0,1.0,1.0,1.0
5HR7_1_D,0.524,0.688,0.595,0.6
6F4G_1_C,1.0,1.0,1.0,1.0
6ZDQ_1_C,0.833,0.882,0.857,0.857
6IV9_1_B,0.889,0.889,0.889,0.889
3JCS_1_6,0.0,0.0,0.0,0.0
5NS3_1_C,0.8,1.0,0.889,0.894
1U0B_1_A,0.8,0.8,0.8,0.8
6YML_1_A,0.5,0.429,0.462,0.463
1YLS_1_B,0.0,0.0,0.0,0.0
7O1A_1_B8,0.909,0.952,0.93,0.93
2F8K_1_B,0.833,1.0,0.909,0.913
6DB9_1_R,0.889,0.941,0.914,0.915
5W1H_1_B,0.8,1.0,0.889,0.894
5FQ5_1_A,0.824,0.824,0.824,0.824
6W5C_1_B,0.0,0.0,0.0,0.0
2B3J_1_E,0.0,0.0,0.0,0.0
6Q8V_1_A,0.6,1.0,0.75,0.775
4X4U_1_G,0.714,1.0,0.833,0.845
4P5J_1_A,0.667,0.783,0.72,0.722
6UFJ_1_C,0.417,0.5,0.455,0.456
5M0J_1_F,1.0,1.0,1.0,1.0
5T16_1_H,1.0,1.0,1.0,1.0
4XNR_1_X,0.84,1.0,0.913,0.917
1HMH_1_A,1.0,1.0,1.0,1.0
1F7U_1_B,0.353,0.353,0.353,0.353
1M5K_1_B,0.889,0.842,0.865,0.865
5XTM_1_D,0.455,0.5,0.476,0.477
6N5P_1_A,0.667,0.828,0.738,0.743
7KGA_1_B,0.724,1.0,0.84,0.851
5WT1_1_C,0.0,0.0,0.0,0.0
3JCS_1_3,0.342,0.382,0.361,0.362
1Q96_1_A,0.833,1.0,0.909,0.913
1XOK_1_A,1.0,1.0,1.0,1.0
1F27_1_A,1.0,1.0,1.0,1.0
6F4H_1_D,1.0,1.0,1.0,1.0
6B44_1_M,0.0,0.0,0.0,0.0
5O7H_1_A,1.0,1.0,1.0,1.0
6H9H_1_E,0.0,0.0,0.0,0.0
5T5H_1_G,0.444,0.471,0.457,0.457
7OS0_1_F,1.0,1.0,1.0,1.0
2AZX_1_D,0.947,1.0,0.973,0.973
7KKV_1_B,0.905,0.95,0.927,0.927
3HHN_1_E,0.622,0.8,0.7,0.706
1A9N_1_Q,1.0,1.0,1.0,1.0
7O80_1_AT,0.565,0.684,0.619,0.622
5K7D_1_A,0.417,0.5,0.455,0.456
