,PPV,TPR,F1,INF
7MQ8_L2,0.561,0.605,0.582,0.583
7MQ9_L2,0.55,0.595,0.571,0.572
7MQA_L2,0.442,0.5,0.469,0.47
7QXA_B,0.141,0.15,0.145,0.145
7V9A_R,0.206,0.194,0.2,0.2
7TRD_B,0.323,0.4,0.357,0.359
7BG9_B,0.182,0.207,0.194,0.194
7TRE_B,0.355,0.44,0.393,0.395
7V99_R,0.269,0.327,0.295,0.297
7TRF_B,0.333,0.412,0.368,0.37
7TRC_B,0.846,0.957,0.898,0.9
7BGB_B,0.815,0.917,0.863,0.864
7QXS_B,0.212,0.233,0.222,0.222
7QXB_B,0.212,0.233,0.222,0.222
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.707,0.784,0.744,0.745
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.511,0.657,0.575,0.58
7C79_A,0.741,0.833,0.784,0.786
7ELD_B,0.81,0.944,0.872,0.874
6XRZ_A,0.25,0.333,0.286,0.289
7O7Z_AH,0.154,0.235,0.186,0.19
7KGA_B,0.586,1.0,0.739,0.766
7KGA_A,0.607,1.0,0.756,0.779
7MQ9_L0,0.328,0.413,0.365,0.368
7MQ8_L0,0.328,0.413,0.365,0.368
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.913,1.0,0.955,0.956
7SAM_A,0.692,0.818,0.75,0.753
7SCQ_C,0.667,0.791,0.723,0.726
7SC6_C,0.642,0.791,0.708,0.712
4C9D_D,1.0,1.0,1.0,1.0
7LYF_A,0.909,0.952,0.93,0.93
6JQ6_U,0.789,0.882,0.833,0.835
5T5A_A,0.524,0.611,0.564,0.566
6TFE_A,0.8,0.941,0.865,0.868
6TF0_A,0.632,0.75,0.686,0.688
6TFH_A,0.632,0.75,0.686,0.688
6TFF_A,0.8,0.941,0.865,0.868
6TFG_A,0.8,0.941,0.865,0.868
6TB7_A,0.8,0.941,0.865,0.868
7D7V_A,0.0,0.0,0.0,0.0
7D7Y_A,0.684,1.0,0.813,0.827
6TF3_A,0.8,0.941,0.865,0.868
6TF1_A,0.8,0.941,0.865,0.868
7D7X_A,0.684,1.0,0.813,0.827
7D82_A,0.813,1.0,0.897,0.901
7D81_A,0.824,1.0,0.903,0.907
7D7W_A,0.684,1.0,0.813,0.827
7D7Z_A,0.684,1.0,0.813,0.827
6TF2_A,0.8,0.941,0.865,0.868
7ELR_B,0.733,1.0,0.846,0.856
7ELS_A,0.733,1.0,0.846,0.856
7ELQ_A,0.733,1.0,0.846,0.856
7ELR_A,0.733,1.0,0.846,0.856
7ELS_B,0.733,1.0,0.846,0.856
7ELQ_B,0.733,1.0,0.846,0.856
7ELP_B,0.733,1.0,0.846,0.856
7ELP_A,0.733,1.0,0.846,0.856
1M5V_E,0.947,0.9,0.923,0.923
1M5K_B,0.944,0.895,0.919,0.919
1M5P_B,0.947,0.9,0.923,0.923
1M5P_E,0.95,0.905,0.927,0.927
1M5O_E,0.952,0.909,0.93,0.93
1M5V_B,0.947,0.9,0.923,0.923
1M5K_E,0.952,0.909,0.93,0.93
1M5O_B,0.95,0.905,0.927,0.927
