,PPV,TPR,F1,INF
7A01_d2,0.333,0.35,0.341,0.342
7A09_f,0.385,0.5,0.435,0.439
7A0R_Y,0.28,0.389,0.326,0.33
7A0S_Y,0.364,0.571,0.444,0.456
7A18_Y,0.259,0.412,0.318,0.327
7A5F_24,0.032,0.048,0.038,0.039
7A5F_C,0.032,0.048,0.038,0.039
7A5G_24,0.0,0.0,0.0,0.0
7A5G_C,0.0,0.0,0.0,0.0
7A5G_j,0.4,0.667,0.5,0.516
7A5H_24,0.0,0.0,0.0,0.0
7A5I_94,0.0,0.0,0.0,0.0
7A5I_99,0.0,0.0,0.0,0.0
7A5I_X,0.0,0.0,0.0,0.0
7A5J_G,0.0,0.0,0.0,0.0
7A5J_x,0.0,0.0,0.0,0.0
7A5K_24,0.0,0.0,0.0,0.0
7A5K_FE,0.0,0.0,0.0,0.0
7A5P_2,0.1,0.125,0.111,0.112
7ABF_6,0.0,0.0,0.0,0.0
7ABG_5,0.25,0.375,0.3,0.306
7ABI_5,0.0,0.0,0.0,0.0
7ABZ_3,0.35,0.438,0.389,0.391
7ABZ_7,0.333,0.333,0.333,0.333
7AC7_3,0.333,0.471,0.39,0.396
7AC7_7,0.333,0.667,0.444,0.471
7ACJ_3,0.333,0.4,0.364,0.365
7ACR_3,0.35,0.389,0.368,0.369
7AJT_D4,0.027,0.056,0.036,0.039
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.304,0.35,0.326,0.326
7AQC_T,0.6,0.667,0.632,0.632
7AQD_B,0.304,0.35,0.326,0.326
7AQD_T,0.455,0.625,0.526,0.533
7AS8_B,0.292,0.333,0.311,0.312
7AS9_2,0.286,0.364,0.32,0.322
7AS9_B,0.281,0.375,0.321,0.325
7ASA_A,0.083,0.25,0.125,0.144
7ASM_B,0.3,0.429,0.353,0.359
7ASN_B,0.147,0.25,0.185,0.192
7ASO_C,0.075,0.091,0.082,0.083
7ASP_3,0.128,0.156,0.141,0.142
7AZY_F,0.13,0.231,0.167,0.173
7B0Y_a,0.15,0.2,0.171,0.173
