,PPV,TPR,F1,INF
6YWE_1_bb,0.735,1.0,0.847,0.857
6P7M_1_B,0.75,0.6,0.667,0.671
4N0T_1_B,0.765,0.765,0.765,0.765
2PJP_1_B,1.0,0.7,0.824,0.837
4XNR_1_X,0.727,0.8,0.762,0.763
2XLK_1_C,1.0,0.8,0.889,0.894
2XDB_1_G,0.3,0.429,0.353,0.359
6SKG_1_BB,0.612,0.911,0.732,0.747
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.762,0.8,0.78,0.781
3BT7_1_D,1.0,0.833,0.909,0.913
361D_1_A,1.0,0.833,0.909,0.913
5E81_1_1K,0.5,0.941,0.653,0.686
7AS8_1_2,0.947,0.783,0.857,0.861
3K1V_1_A,0.4,1.0,0.571,0.632
4FEN_1_B,0.762,0.762,0.762,0.762
4V8D_1_CD,0.5,0.917,0.647,0.677
3NVI_1_F,0.667,0.667,0.667,0.667
7MSF_1_R,1.0,0.75,0.857,0.866
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,1.0,0.818,0.9,0.905
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,0.2,0.333,0.447
3RKF_1_C,0.789,0.682,0.732,0.734
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,1.0,0.833,0.909,0.913
6LT7_1_C,1.0,0.75,0.857,0.866
7MLW_1_F,0.522,0.727,0.608,0.616
6YDP_1_AV,0.472,0.895,0.618,0.65
7OLC_1_3,0.789,0.75,0.769,0.769
3HAX_1_E,0.875,0.778,0.824,0.825
2ZZM_1_B,0.833,0.789,0.811,0.811
2OIU_1_Q,1.0,0.778,0.875,0.882
6UGI_1_A,1.0,0.846,0.917,0.92
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.632,0.75,0.686,0.688
7ODF_1_F,0.667,0.4,0.5,0.516
5WTI_1_B,0.607,0.654,0.63,0.63
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.6,1.0,0.75,0.775
5AH5_1_D,0.684,0.619,0.65,0.651
6DVK_1_H,0.794,0.818,0.806,0.806
6Y2L_1_B4,0.737,1.0,0.848,0.858
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.5,0.611,0.55,0.553
5DH6_1_A,0.571,0.8,0.667,0.676
1ZBH_1_F,0.8,0.667,0.727,0.73
4X4V_1_B,0.9,0.9,0.9,0.9
7DCO_1_B,0.364,0.615,0.457,0.473
4C8Z_1_C,1.0,0.667,0.8,0.816
3GS5_1_A,0.6,0.333,0.429,0.447
3NPQ_1_A,0.176,0.429,0.25,0.275
5M0I_1_E,1.0,0.857,0.923,0.926
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.762,0.696,0.727,0.728
3AKZ_1_E,0.739,0.708,0.723,0.724
3MJA_1_B,0.9,0.818,0.857,0.858
5W1H_1_B,0.0,0.0,0.0,0.0
4V90_1_AV,0.871,1.0,0.931,0.933
1F1T_1_A,1.0,1.0,1.0,1.0
7O7Y_1_AT,0.333,0.368,0.35,0.35
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.542,0.813,0.65,0.663
3G9C_1_Q,0.535,0.719,0.613,0.62
3DD2_1_B,0.0,0.0,0.0,0.0
2BTE_1_B,0.773,0.739,0.756,0.756
6MWN_1_B,0.629,0.71,0.667,0.668
1F7U_1_B,0.0,0.0,0.0,0.0
3LQX_1_B,0.933,0.778,0.848,0.852
6PIJ_1_1,0.333,0.25,0.286,0.289
5Y85_1_D,0.786,1.0,0.88,0.886
1R3E_1_C,1.0,0.8,0.889,0.894
3OVB_1_C,0.0,0.0,0.0,0.0
6DU4_1_B,1.0,1.0,1.0,1.0
3EPH_1_E,0.895,0.739,0.81,0.813
1G2E_1_B,0.0,0.0,0.0,0.0
2OEU_1_A,0.667,0.667,0.667,0.667
7RYG_1_B,0.8,0.737,0.767,0.768
3JCS_1_6,0.0,0.0,0.0,0.0
6X5M_1_r,1.0,0.444,0.615,0.667
5M0J_1_E,1.0,0.857,0.923,0.926
7CPU_1_S6,0.647,0.917,0.759,0.77
4M6D_1_H,0.692,0.75,0.72,0.721
3EGZ_1_B,0.7,0.933,0.8,0.808
5VJ9_1_C,1.0,0.8,0.889,0.894
2Y9H_1_F,1.0,0.667,0.8,0.816
4Z31_1_E,0.8,0.8,0.8,0.8
7OS0_1_F,0.5,0.25,0.333,0.354
5AXM_1_P,0.895,0.773,0.829,0.831
6IV9_1_B,0.0,0.0,0.0,0.0
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,1.0,0.909,0.952,0.953
5D0B_1_F,1.0,1.0,1.0,1.0
5WWF_1_B,0.0,0.0,0.0,0.0
5JBG_1_X,0.889,0.889,0.889,0.889
3VJR_1_B,1.0,0.846,0.917,0.92
7D8O_1_B,0.375,0.429,0.4,0.401
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.3,0.6,0.4,0.424
7O1A_1_B8,0.727,1.0,0.842,0.853
6CFJ_1_1x,0.846,0.957,0.898,0.9
1L9A_1_B,0.359,0.5,0.418,0.424
4V8B_1_AB,0.737,1.0,0.848,0.858
7KGA_1_B,0.741,0.833,0.784,0.786
3HHN_1_E,0.59,0.657,0.622,0.623
2BH2_1_D,0.833,1.0,0.909,0.913
1YLS_1_B,0.0,0.0,0.0,0.0
