,PPV,TPR,F1,INF
100D_1_A-B,0.8,1.0,0.889,0.894
157D_1_A-B,0.0,0.0,0.0,0.0
165D_1_A-B,0.0,0.0,0.0,0.0
17RA_7_A,1.0,1.0,1.0,1.0
1A1T_1_B,1.0,1.0,1.0,1.0
1A34_1_B-C,0.0,0.0,0.0,0.0
1A3M_1_A-B,1.0,1.0,1.0,1.0
1A4D_1_A-B,1.0,1.0,1.0,1.0
1A4T_1_A,1.0,1.0,1.0,1.0
1A51_3_A,1.0,1.0,1.0,1.0
1A60_1_A,0.786,1.0,0.88,0.886
1A9L_1_A,1.0,1.0,1.0,1.0
1A9N_1_Q,1.0,1.0,1.0,1.0
1A9N_1_R,1.0,1.0,1.0,1.0
1AFX_2_A,1.0,1.0,1.0,1.0
1AJF_1_A,1.0,1.0,1.0,1.0
1AJL_1_A-B,0.333,0.667,0.444,0.471
1AJT_1_A-B,0.333,0.667,0.444,0.471
1AJU_9_A,1.0,1.0,1.0,1.0
1AKX_1_A,1.0,1.0,1.0,1.0
1AL5_1_A-B,0.833,1.0,0.909,0.913
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,1.0,1.0,1.0,1.0
1AQ3_1_R,1.0,1.0,1.0,1.0
1AQ3_1_S,0.0,0.0,0.0,0.0
1AQ4_1_R,1.0,1.0,1.0,1.0
1AQ4_1_S,0.0,0.0,0.0,0.0
1AQO_3_A,0.917,1.0,0.957,0.957
1ARJ_7_N,1.0,1.0,1.0,1.0
1ASY_1_R,0.55,0.579,0.564,0.564
1ASY_1_S,0.55,0.579,0.564,0.564
1ASZ_1_R,0.55,0.579,0.564,0.564
1ASZ_1_S,0.55,0.579,0.564,0.564
1ATO_1_A,1.0,1.0,1.0,1.0
1ATV_1_A,1.0,1.0,1.0,1.0
1ATW_1_A,1.0,1.0,1.0,1.0
1AUD_8_B,0.444,0.5,0.471,0.471
1B23_1_R,0.6,0.632,0.615,0.616
1B36_8_A,1.0,1.0,1.0,1.0
1BAU_1_A-B,0.294,0.333,0.313,0.313
1BGZ_1_A,0.5,0.444,0.471,0.471
1BIV_5_A,1.0,1.0,1.0,1.0
1BJ2_1_A-B,0.35,0.438,0.389,0.391
1BN0_2_A,1.0,1.0,1.0,1.0
1BVJ_1_A,1.0,1.0,1.0,1.0
1BYJ_31_A,1.0,1.0,1.0,1.0
1BZ2_1_A,1.0,1.0,1.0,1.0
1BZ3_1_A,0.833,1.0,0.909,0.913
