,PPV,TPR,F1,INF
6YWE_1_bb,0.676,0.958,0.793,0.805
6P7M_1_B,0.556,1.0,0.714,0.745
4N0T_1_B,0.455,1.0,0.625,0.674
2PJP_1_B,0.7,0.875,0.778,0.783
4XNR_1_X,0.553,1.0,0.712,0.743
2XLK_1_C,0.833,1.0,0.909,0.913
2XDB_1_G,0.0,0.0,0.0,0.0
6SKG_1_BB,0.522,0.897,0.66,0.685
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.538,1.0,0.7,0.734
6ZDQ_1_C,0.182,0.571,0.276,0.322
3BT7_1_D,1.0,1.0,1.0,1.0
361D_1_A,0.875,1.0,0.933,0.935
5E81_1_1K,0.469,0.789,0.588,0.608
7AS8_1_2,0.588,0.909,0.714,0.731
6RFL_1_U,0.267,0.571,0.364,0.39
3K1V_1_A,0.227,1.0,0.37,0.477
4FEN_1_B,0.514,1.0,0.679,0.717
4V8D_1_CD,0.455,0.952,0.615,0.658
3DIL_1_A,0.511,0.889,0.649,0.674
3NVI_1_F,0.429,1.0,0.6,0.655
5L4O_1_A,0.655,0.905,0.76,0.77
5M0H_1_A,0.474,1.0,0.643,0.688
7MSF_1_R,1.0,1.0,1.0,1.0
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,0.909,0.909,0.909,0.909
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,1.0,1.0,1.0
1A9N_1_Q,0.714,1.0,0.833,0.845
6N2V_1_A,0.689,0.969,0.805,0.817
3RKF_1_C,0.571,0.952,0.714,0.738
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.429,0.6,0.5,0.507
6LT7_1_C,0.929,1.0,0.963,0.964
7MLW_1_F,0.471,0.914,0.621,0.656
6YDP_1_AV,0.139,0.5,0.217,0.264
7OLC_1_3,0.542,0.889,0.674,0.694
3HAX_1_E,0.762,1.0,0.865,0.873
2ZZM_1_B,0.35,0.56,0.431,0.443
2OIU_1_Q,0.71,1.0,0.83,0.842
6UGI_1_A,0.923,1.0,0.96,0.961
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.583,0.7,0.636,0.639
7ODF_1_F,0.714,1.0,0.833,0.845
5WTI_1_B,0.178,0.32,0.229,0.239
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.429,1.0,0.6,0.655
5AH5_1_D,0.395,0.789,0.526,0.558
7C79_1_A,0.429,0.635,0.512,0.522
5T5A_1_A,0.414,0.667,0.511,0.525
6DVK_1_H,0.689,1.0,0.816,0.83
6Y2L_1_B4,0.368,0.737,0.491,0.521
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.257,0.474,0.333,0.349
5DH6_1_A,0.0,0.0,0.0,0.0
7REX_1_A,0.217,1.0,0.357,0.466
1ZBH_1_F,0.857,1.0,0.923,0.926
4X4V_1_B,0.833,1.0,0.909,0.913
7DCO_1_B,0.343,0.571,0.429,0.443
4C8Z_1_C,0.75,1.0,0.857,0.866
3GS5_1_A,0.5,1.0,0.667,0.707
3NPQ_1_A,0.167,0.5,0.25,0.289
5M0I_1_E,0.75,0.857,0.8,0.802
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,0.571,1.0,0.727,0.756
7OIF_1_z,0.415,0.708,0.523,0.542
3AKZ_1_E,0.514,1.0,0.679,0.717
6OL3_1_C,0.811,1.0,0.896,0.901
3MJA_1_B,0.833,0.909,0.87,0.87
5W1H_1_B,0.571,1.0,0.727,0.756
3MXH_1_R,0.391,0.9,0.545,0.593
4V90_1_AV,0.452,0.737,0.56,0.577
1F1T_1_A,0.429,0.75,0.545,0.567
5VW1_1_C,0.583,0.875,0.7,0.714
7O7Y_1_AT,0.333,0.467,0.389,0.394
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.389,0.7,0.5,0.522
7N2V_1_Dt,0.393,0.647,0.489,0.504
6XKO_1_A,0.444,0.727,0.552,0.569
7KGA_1_A,0.636,1.0,0.778,0.798
3G9C_1_Q,0.339,0.606,0.435,0.453
3DD2_1_B,0.0,0.0,0.0,0.0
6P2H_1_A,0.472,1.0,0.642,0.687
2BTE_1_B,0.447,0.81,0.576,0.602
6MWN_1_B,0.683,1.0,0.812,0.826
1F7U_1_B,0.0,0.0,0.0,0.0
5HR6_1_C,0.5,1.0,0.667,0.707
3LQX_1_B,0.619,1.0,0.765,0.787
1QU2_1_T,0.636,1.0,0.778,0.798
6PIJ_1_1,0.667,1.0,0.8,0.816
5Y85_1_D,0.556,0.769,0.645,0.654
3CUL_1_C,0.765,0.963,0.852,0.858
1R3E_1_C,0.714,1.0,0.833,0.845
3OVB_1_C,0.923,1.0,0.96,0.961
6DU4_1_B,0.7,1.0,0.824,0.837
3EPH_1_E,0.5,0.895,0.642,0.669
1G2E_1_B,0.0,0.0,0.0,0.0
2OEU_1_A,0.444,1.0,0.615,0.667
7RYG_1_B,0.404,0.793,0.535,0.566
3JCS_1_6,0.0,0.0,0.0,0.0
1B23_1_R,0.313,0.625,0.417,0.442
5M0J_1_E,0.75,0.857,0.8,0.802
6X5M_1_r,0.9,1.0,0.947,0.949
7CPU_1_S6,0.529,0.9,0.667,0.69
6ZMI_1_CC,0.324,0.706,0.444,0.478
4M6D_1_H,0.381,1.0,0.552,0.617
3EGZ_1_B,0.567,1.0,0.723,0.753
5VJ9_1_C,1.0,1.0,1.0,1.0
2Y9H_1_F,1.0,1.0,1.0,1.0
6TFF_1_A,0.435,0.667,0.526,0.538
4Z31_1_E,0.0,0.0,0.0,0.0
7OS0_1_F,0.75,0.857,0.8,0.802
5AXM_1_P,0.156,0.278,0.2,0.208
6IV9_1_B,0.8,0.889,0.842,0.843
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,0.786,1.0,0.88,0.886
5D0B_1_F,0.625,1.0,0.769,0.791
5WWF_1_B,0.0,0.0,0.0,0.0
2QWY_1_C,0.207,1.0,0.343,0.455
3VJR_1_B,0.857,0.923,0.889,0.889
5JBG_1_X,0.8,1.0,0.889,0.894
4P95_1_A,0.273,0.628,0.38,0.414
7D8O_1_B,0.0,0.0,0.0,0.0
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.25,0.429,0.316,0.327
7O1A_1_B8,0.636,1.0,0.778,0.798
6CFJ_1_1x,0.423,0.579,0.489,0.495
1L9A_1_B,0.418,0.8,0.549,0.578
4V8B_1_AB,0.579,1.0,0.733,0.761
7KGA_1_B,0.606,0.952,0.741,0.76
3HHN_1_E,0.557,0.895,0.687,0.706
2BH2_1_D,0.714,1.0,0.833,0.845
4QI2_1_G,0.0,0.0,0.0,0.0
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.375,1.0,0.545,0.612
3IEV_1_D,0.0,0.0,0.0,0.0
7A9W_1_B,0.0,0.0,0.0,0.0
4ZLD_1_B,0.0,0.0,0.0,0.0
3AGV_1_S,0.0,0.0,0.0,0.0
7P3K_1_V,0.606,1.0,0.755,0.778
2B3J_1_E,0.667,1.0,0.8,0.816
7CPU_1_L7,0.453,0.829,0.586,0.613
7P48_1_5,0.548,0.85,0.667,0.683
7MQA_1_L0,0.0,0.0,0.0,0.0
4ZDO_1_E,0.472,0.708,0.567,0.578
1Y26_1_X,0.525,1.0,0.689,0.725
7EQJ_1_B,0.471,0.727,0.571,0.585
6XH2_1_D,0.727,1.0,0.842,0.853
4PRF_1_B,0.184,0.35,0.241,0.254
2C4Q_1_R,1.0,1.0,1.0,1.0
7QEP_1_2,0.328,0.633,0.432,0.455
1L2X_1_A,0.313,1.0,0.476,0.559
6AZ3_1_5,0.289,0.619,0.394,0.423
3SUX_1_X,0.55,0.88,0.677,0.696
6VRB_1_B,0.8,1.0,0.889,0.894
3D0U_1_A,0.488,0.872,0.626,0.653
1EC6_1_C,0.667,1.0,0.8,0.816
6ZVI_1_e,0.514,0.947,0.667,0.698
5CCB_1_N,0.514,0.95,0.667,0.698
3BOY_1_D,0.0,0.0,0.0,0.0
4JRC_1_B,0.483,0.875,0.622,0.65
6XRQ_1_B,0.0,0.0,0.0,0.0
5F5F_1_B,0.0,0.0,0.0,0.0
7B5K_1_x,0.161,0.238,0.192,0.196
6BHJ_1_E,0.0,0.0,0.0,0.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,0.714,1.0,0.833,0.845
5DM6_1_Y,0.254,0.593,0.356,0.388
7KKV_1_B,0.667,0.9,0.766,0.775
4TUW_1_C,1.0,1.0,1.0,1.0
2Y9H_1_J,1.0,1.0,1.0,1.0
4YYE_1_C,0.27,0.625,0.377,0.411
7MJV_1_E,0.75,1.0,0.857,0.866
5DEA_1_A,0.238,0.833,0.37,0.445
7MQA_1_L2,0.345,0.541,0.421,0.432
6XU8_1_A7,0.277,0.563,0.371,0.395
2Y9H_1_N,1.0,1.0,1.0,1.0
2Y9H_1_H,1.0,1.0,1.0,1.0
