,PPV,TPR,F1,INF-MCC
100D_1_A-B,0.8,1.0,0.889,0.894
157D_1_A-B,0.643,1.0,0.783,0.802
165D_1_A-B,0.625,1.0,0.769,0.791
17RA_7_A,0.889,1.0,0.941,0.943
1A1T_1_B,0.8,1.0,0.889,0.894
1A34_1_B-C,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.714,1.0,0.833,0.845
1A4D_1_A-B,0.789,1.0,0.882,0.889
1A4T_1_A,0.667,1.0,0.8,0.816
1A51_3_A,0.789,1.0,0.882,0.889
1A60_1_A,0.636,1.0,0.778,0.798
1A9L_1_A,0.824,1.0,0.903,0.907
1A9N_1_Q,0.429,0.5,0.462,0.463
1A9N_1_R,0.429,0.5,0.462,0.463
1AFX_2_A,0.8,1.0,0.889,0.894
1AJF_1_A,0.875,1.0,0.933,0.935
1AJL_1_A-B,0.125,1.0,0.222,0.354
1AJT_1_A-B,0.143,1.0,0.25,0.378
1AJU_9_A,0.688,1.0,0.815,0.829
1AKX_1_A,0.733,1.0,0.846,0.856
1AL5_1_A-B,1.0,1.0,1.0,1.0
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,0.909,1.0,0.952,0.953
1AQ3_1_R,0.6,1.0,0.75,0.775
1AQ3_1_S,0.333,1.0,0.5,0.577
1AQ4_1_R,0.6,1.0,0.75,0.775
1AQ4_1_S,0.0,0.0,0.0,0.0
1AQO_3_A,0.857,1.0,0.923,0.926
1ARJ_7_N,0.833,1.0,0.909,0.913
1ASY_1_R,0.355,0.524,0.423,0.431
1ASY_1_S,0.367,0.524,0.431,0.438
1ASZ_1_R,0.333,0.524,0.407,0.418
1ASZ_1_S,0.367,0.524,0.431,0.438
1ATO_1_A,0.75,1.0,0.857,0.866
1ATV_1_A,0.6,1.0,0.75,0.775
1ATW_1_A,0.625,1.0,0.769,0.791
1AUD_8_B,0.588,0.909,0.714,0.731
1B23_1_R,0.344,0.647,0.449,0.472
1B36_8_A,0.526,0.769,0.625,0.636
1B7F_1_Q,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.25,0.3,0.273,0.274
1BGZ_1_A,0.538,0.778,0.636,0.647
1BIV_5_A,0.917,1.0,0.957,0.957
1BJ2_1_A-B,0.45,0.5,0.474,0.474
1BN0_2_A,1.0,1.0,1.0,1.0
