,PPV,TPR,F1,INF-MCC
100D_1_A-B,0.0,0.0,0.0,0.0
157D_1_A-B,0.0,0.0,0.0,0.0
165D_1_A-B,0.0,0.0,0.0,0.0
17RA_7_A,0.875,1.0,0.933,0.935
1A1T_1_B,1.0,1.0,1.0,1.0
1A34_1_B-C,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.889,1.0,0.941,0.943
1A4D_1_A-B,0.917,1.0,0.957,0.957
1A4T_1_A,0.8,1.0,0.889,0.894
1A51_3_A,0.917,1.0,0.957,0.957
1A60_1_A,0.714,1.0,0.833,0.845
1A9L_1_A,0.929,1.0,0.963,0.964
1A9N_1_Q,0.0,0.0,0.0,0.0
1A9N_1_R,0.0,0.0,0.0,0.0
1AFX_2_A,0.75,1.0,0.857,0.866
1AJF_1_A,0.857,1.0,0.923,0.926
1AJL_1_A-B,0.0,0.0,0.0,0.0
1AJT_1_A-B,0.0,0.0,0.0,0.0
1AJU_9_A,0.909,1.0,0.952,0.953
1AKX_1_A,0.909,1.0,0.952,0.953
1AL5_1_A-B,0.75,1.0,0.857,0.866
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,0.9,1.0,0.947,0.949
1AQ3_1_R,1.0,1.0,1.0,1.0
1AQ3_1_S,0.0,0.0,0.0,0.0
1AQ4_1_R,0.0,0.0,0.0,0.0
1AQ4_1_S,0.0,0.0,0.0,0.0
1AQO_3_A,0.833,1.0,0.909,0.913
1ARJ_7_N,0.9,1.0,0.947,0.949
1ASY_1_R,0.2,0.286,0.235,0.239
1ASY_1_S,0.3,0.333,0.316,0.316
1ASZ_1_R,0.2,0.286,0.235,0.239
1ASZ_1_S,0.3,0.333,0.316,0.316
1ATO_1_A,0.833,1.0,0.909,0.913
1ATV_1_A,0.833,1.0,0.909,0.913
1ATW_1_A,0.8,1.0,0.889,0.894
1AUD_8_B,0.444,0.5,0.471,0.471
1B23_1_R,0.3,0.375,0.333,0.335
1B36_8_A,0.889,1.0,0.941,0.943
1BAU_1_A-B,0.294,0.357,0.323,0.324
1BGZ_1_A,0.375,0.375,0.375,0.375
1BIV_5_A,0.818,1.0,0.9,0.905
1BJ2_1_A-B,0.35,0.438,0.389,0.391
1BN0_2_A,0.875,1.0,0.933,0.935
1BVJ_1_A,1.0,1.0,1.0,1.0
1BYJ_31_A,0.889,1.0,0.941,0.943
1BZ2_1_A,0.8,1.0,0.889,0.894
1BZ3_1_A,0.667,1.0,0.8,0.816
1BZT_1_A,0.75,1.0,0.857,0.866
1BZU_1_A,0.75,1.0,0.857,0.866
1C04_1_E,0.933,1.0,0.966,0.966
1C04_1_F,0.714,1.0,0.833,0.845
1C0O_1_A,0.0,0.0,0.0,0.0
1C2X_1_C,0.276,0.267,0.271,0.271
1C4L_1_A-B,0.625,1.0,0.769,0.791
1CQ5_1_A,0.909,1.0,0.952,0.953
1CQL_10_A,0.917,1.0,0.957,0.957
1CSL_1_B-A,0.889,1.0,0.941,0.943
1D0T_1_A,0.667,1.0,0.8,0.816
1D0U_14_A,0.875,1.0,0.933,0.935
1D4R_1_B-A,0.0,0.0,0.0,0.0
1D6K_4_B,1.0,1.0,1.0,1.0
1DDY_1_A,0.125,0.167,0.143,0.144
1DDY_1_C,0.125,0.167,0.143,0.144
1DDY_1_E,0.125,0.167,0.143,0.144
1DDY_1_G,0.125,0.167,0.143,0.144
1DFU_1_M-N,0.889,1.0,0.941,0.943
1DI2_1_C-D,0.7,1.0,0.824,0.837
1DK1_1_B,0.632,0.706,0.667,0.668
1DQF_1_B-A,0.667,1.0,0.8,0.816
1DQH_1_B-A,0.667,1.0,0.8,0.816
1DRZ_1_B,0.0,0.0,0.0,0.0
1DUL_1_B,1.0,1.0,1.0,1.0
1DUQ_1_B-A,0.0,0.0,0.0,0.0
1DUQ_1_D-C,0.0,0.0,0.0,0.0
1DUQ_1_F-E,0.0,0.0,0.0,0.0
1DUQ_1_H-G,0.0,0.0,0.0,0.0
1DZ5_1_C-D,0.5,0.538,0.519,0.519
1E4P_8_A,0.833,1.0,0.909,0.913
1E7K_1_C,0.0,0.0,0.0,0.0
1E7K_1_D,0.0,0.0,0.0,0.0
1E8O_1_E,0.222,0.286,0.25,0.252
1E95_14_A,0.417,0.625,0.5,0.51
1EBQ_1_A,0.9,1.0,0.947,0.949
1EBR_1_A,0.9,1.0,0.947,0.949
1EBS_1_A,0.9,1.0,0.947,0.949
1EC6_1_C,0.75,1.0,0.857,0.866
1EC6_1_D,0.75,1.0,0.857,0.866
1EFW_1_C,0.333,0.467,0.389,0.394
1EFW_1_D,0.952,1.0,0.976,0.976
1EHT_3_A,0.889,1.0,0.941,0.943
1EHZ_1_A,0.222,0.25,0.235,0.236
1EI2_9_A,0.75,1.0,0.857,0.866
1EIY_1_C,0.909,1.0,0.952,0.953
1EKA_1_A-B,0.625,1.0,0.769,0.791
1EKD_1_A-B,0.0,0.0,0.0,0.0
1EKZ_4_B,0.923,1.0,0.96,0.961
1ELH_1_B-A,1.0,1.0,1.0,1.0
1ESH_1_A,0.8,1.0,0.889,0.894
1ESY_2_A,1.0,1.0,1.0,1.0
1ET4_1_A,0.125,0.167,0.143,0.144
1ET4_1_B,0.125,0.167,0.143,0.144
1ET4_1_C,0.125,0.167,0.143,0.144
1ET4_1_D,0.125,0.167,0.143,0.144
1ET4_1_E,0.125,0.167,0.143,0.144
1ETF_1_A,1.0,1.0,1.0,1.0
1ETG_14_A,1.0,1.0,1.0,1.0
1EUQ_1_B,0.5,0.526,0.513,0.513
1EUY_1_B,0.5,0.526,0.513,0.513
1EVV_1_A,0.222,0.25,0.235,0.236
1EXD_1_B,0.5,0.476,0.488,0.488
1EXY_1_A,0.917,1.0,0.957,0.957
1F1T_1_A,0.3,0.6,0.4,0.424
1F27_1_A,0.8,1.0,0.889,0.894
1F5G_1_A-B,0.0,0.0,0.0,0.0
1F5H_1_A-B,0.0,0.0,0.0,0.0
1F5U_1_A,0.857,1.0,0.923,0.926
1F5U_1_B,0.857,1.0,0.923,0.926
1F6U_2_B,1.0,1.0,1.0,1.0
1F6X_1_A,0.909,1.0,0.952,0.953
1F6Z_1_A,0.909,1.0,0.952,0.953
1F78_1_A,0.909,1.0,0.952,0.953
1F79_1_A,0.909,1.0,0.952,0.953
1F7F_3_A,0.909,1.0,0.952,0.953
1F7G_1_A,0.909,1.0,0.952,0.953
1F7H_5_A,0.909,1.0,0.952,0.953
1F7I_2_A,0.909,1.0,0.952,0.953
1F7U_1_B,0.353,0.375,0.364,0.364
1F7V_1_B,0.353,0.375,0.364,0.364
1F7Y_1_B,0.632,0.706,0.667,0.668
1F84_10_A,0.857,1.0,0.923,0.926
1F85_1_A,0.8,1.0,0.889,0.894
1F9L_1_A,0.857,1.0,0.923,0.926
1FCW_1_A,0.222,0.25,0.235,0.236
1FCW_1_B,0.222,0.25,0.235,0.236
1FCW_1_C,0.222,0.25,0.235,0.236
1FCW_1_D,0.222,0.25,0.235,0.236
1FCW_1_E,0.222,0.25,0.235,0.236
1FEQ_1_A,0.8,1.0,0.889,0.894
1FEU_1_C-B,0.9,1.0,0.947,0.949
1FEU_1_F-E,0.9,1.0,0.947,0.949
1FFK_1_9,0.912,0.939,0.925,0.925
1FFY_1_T,0.455,0.476,0.465,0.465
1FFZ_1_A,0.531,0.546,0.538,0.539
1FG0_1_A,0.535,0.55,0.542,0.542
1FHK_4_A,0.667,1.0,0.8,0.816
1FIR_1_A,0.235,0.308,0.267,0.269
1FJE_1_A,0.75,1.0,0.857,0.866
1FL8_1_A,0.75,1.0,0.857,0.866
1FMN_1_A,0.9,1.0,0.947,0.949
1FOQ_1_A,0.905,0.974,0.938,0.939
1FOQ_1_B,1.0,1.0,1.0,1.0
1FOQ_1_C,0.905,0.974,0.938,0.939
1FOQ_1_D,1.0,1.0,1.0,1.0
1FOQ_1_E,1.0,1.0,1.0,1.0
1FQZ_1_A,0.0,0.0,0.0,0.0
1FUF_1_A-B,0.0,0.0,0.0,0.0
1FYO_1_A,0.778,1.0,0.875,0.882
1FYP_1_A,0.778,1.0,0.875,0.882
1G1X_1_D-E,0.63,0.68,0.654,0.654
1G1X_1_J-I,0.63,0.68,0.654,0.654
1G59_1_B,0.682,0.75,0.714,0.715
1G59_1_D,0.682,0.75,0.714,0.715
1G70_1_A,0.909,1.0,0.952,0.953
1GAX_1_C,0.5,0.55,0.524,0.524
1GAX_1_D,0.5,0.647,0.564,0.569
1GID_1_A,0.875,0.913,0.894,0.894
1GID_1_B,0.875,0.913,0.894,0.894
1GRZ_1_A,0.535,0.613,0.571,0.573
1GRZ_1_B,0.81,0.864,0.836,0.837
1GTR_1_B,0.95,1.0,0.974,0.975
1GTS_1_B,0.95,1.0,0.974,0.975
1GUC_1_A-B,0.0,0.0,0.0,0.0
1H3E_1_B,0.88,1.0,0.936,0.938
1H4Q_1_T,0.75,0.789,0.769,0.769
1H4S_1_T,0.75,0.789,0.769,0.769
1HC8_1_C,0.929,1.0,0.963,0.964
1HC8_1_D,0.929,1.0,0.963,0.964
1HJI_1_A,1.0,1.0,1.0,1.0
1HLX_1_A,0.875,1.0,0.933,0.935
1HMH_1_A,1.0,1.0,1.0,1.0
1HMH_1_C,1.0,1.0,1.0,1.0
1HMH_1_E,1.0,1.0,1.0,1.0
1HQ1_1_B,1.0,1.0,1.0,1.0
1HR2_1_A,0.543,0.61,0.575,0.576
1HR2_1_B,0.851,0.909,0.879,0.88
1HS1_1_A,0.0,0.0,0.0,0.0
1HS2_1_A,0.0,0.0,0.0,0.0
1HS3_1_A,0.0,0.0,0.0,0.0
1HS4_1_A,0.0,0.0,0.0,0.0
1HS8_1_A,0.0,0.0,0.0,0.0
1HVU_1_C,0.4,1.0,0.571,0.632
1HVU_1_F,0.4,1.0,0.571,0.632
1HVU_1_I,0.4,1.0,0.571,0.632
1HVU_1_L,0.4,1.0,0.571,0.632
1HWQ_1_A,0.889,1.0,0.941,0.943
1I3X_1_A,0.857,1.0,0.923,0.926
1I3Y_8_A,0.857,1.0,0.923,0.926
1I46_1_A,0.8,1.0,0.889,0.894
1I4B_1_A,0.8,1.0,0.889,0.894
1I4C_1_A,0.8,1.0,0.889,0.894
1I6U_1_C,0.8,0.857,0.828,0.828
1I6U_1_D,0.8,0.857,0.828,0.828
1I9F_5_A,0.917,1.0,0.957,0.957
1I9V_1_A,0.238,0.385,0.294,0.303
1I9X_1_A-B,0.667,0.889,0.762,0.77
1IBL_1_Y-Z,0.429,1.0,0.6,0.655
1IBM_1_Y-Z,0.0,0.0,0.0,0.0
1ICG_1_A-B,0.0,0.0,0.0,0.0
1ID9_1_A-B,0.0,0.0,0.0,0.0
1IDV_1_A,0.0,0.0,0.0,0.0
1IDW_1_A-B,0.0,0.0,0.0,0.0
1IE1_4_A,0.75,1.0,0.857,0.866
1IE2_16_A,0.5,1.0,0.667,0.707
