,PPV,TPR,F1,INF
6YWE_1_bb,0.676,0.958,0.793,0.805
6P7M_1_B,0.75,0.5,0.6,0.612
4N0T_1_B,0.412,0.583,0.483,0.49
2PJP_1_B,1.0,0.778,0.875,0.882
4XNR_1_X,0.773,0.85,0.81,0.81
2XLK_1_C,1.0,0.8,0.889,0.894
2XDB_1_G,0.0,0.0,0.0,0.0
6SKG_1_BB,0.537,0.878,0.667,0.687
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.619,0.867,0.722,0.732
3BT7_1_D,1.0,0.833,0.909,0.913
361D_1_A,1.0,0.833,0.909,0.913
5E81_1_1K,0.438,0.824,0.571,0.6
7AS8_1_2,0.842,0.762,0.8,0.801
3K1V_1_A,0.267,1.0,0.421,0.516
4FEN_1_B,0.714,0.833,0.769,0.772
4V8D_1_CD,0.455,0.952,0.615,0.658
3NVI_1_F,0.667,0.667,0.667,0.667
7MSF_1_R,1.0,0.75,0.857,0.866
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,1.0,0.818,0.9,0.905
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,0.2,0.333,0.447
3RKF_1_C,0.789,0.789,0.789,0.789
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.6,0.75,0.667,0.671
6LT7_1_C,1.0,0.75,0.857,0.866
7MLW_1_F,0.5,0.575,0.535,0.536
6YDP_1_AV,0.5,1.0,0.667,0.707
7OLC_1_3,0.658,0.714,0.685,0.686
3HAX_1_E,0.813,0.813,0.813,0.813
2ZZM_1_B,0.722,0.722,0.722,0.722
2OIU_1_Q,0.81,0.85,0.829,0.83
6UGI_1_A,0.909,0.833,0.87,0.87
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.737,0.824,0.778,0.779
7ODF_1_F,0.667,0.333,0.444,0.471
5WTI_1_B,0.464,0.52,0.491,0.491
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.6,1.0,0.75,0.775
5AH5_1_D,0.632,0.6,0.615,0.616
6DVK_1_H,0.794,0.871,0.831,0.832
6Y2L_1_B4,0.579,0.957,0.721,0.744
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.5,0.55,0.524,0.524
5DH6_1_A,0.571,0.8,0.667,0.676
1ZBH_1_F,0.8,0.667,0.727,0.73
4X4V_1_B,0.9,0.818,0.857,0.858
7DCO_1_B,0.5,0.5,0.5,0.5
4C8Z_1_C,1.0,0.667,0.8,0.816
3GS5_1_A,0.0,0.0,0.0,0.0
3NPQ_1_A,0.294,0.417,0.345,0.35
5M0I_1_E,0.833,0.833,0.833,0.833
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.667,0.737,0.7,0.701
3AKZ_1_E,0.652,0.714,0.682,0.683
3MJA_1_B,0.7,0.875,0.778,0.783
5W1H_1_B,0.0,0.0,0.0,0.0
4V90_1_AV,0.71,1.0,0.83,0.842
1F1T_1_A,0.875,1.0,0.933,0.935
7O7Y_1_AT,0.286,0.353,0.316,0.318
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.542,0.65,0.591,0.593
3G9C_1_Q,0.651,0.718,0.683,0.684
3DD2_1_B,0.0,0.0,0.0,0.0
2BTE_1_B,0.636,0.7,0.667,0.667
6MWN_1_B,0.629,0.733,0.677,0.679
1F7U_1_B,0.0,0.0,0.0,0.0
3LQX_1_B,0.8,0.8,0.8,0.8
6PIJ_1_1,0.0,0.0,0.0,0.0
5Y85_1_D,0.714,0.909,0.8,0.806
1R3E_1_C,1.0,0.8,0.889,0.894
3OVB_1_C,0.0,0.0,0.0,0.0
6DU4_1_B,1.0,1.0,1.0,1.0
3EPH_1_E,0.789,0.714,0.75,0.751
1G2E_1_B,0.0,0.0,0.0,0.0
2OEU_1_A,0.5,0.75,0.6,0.612
7RYG_1_B,0.571,0.769,0.656,0.663
3JCS_1_6,0.0,0.0,0.0,0.0
6X5M_1_r,1.0,0.444,0.615,0.667
5M0J_1_E,0.833,0.833,0.833,0.833
7CPU_1_S6,0.588,0.952,0.727,0.748
4M6D_1_H,0.462,0.75,0.571,0.588
3EGZ_1_B,0.75,0.938,0.833,0.839
5VJ9_1_C,1.0,0.8,0.889,0.894
2Y9H_1_F,1.0,0.667,0.8,0.816
4Z31_1_E,0.8,0.8,0.8,0.8
7OS0_1_F,1.0,0.333,0.5,0.577
5AXM_1_P,0.737,0.737,0.737,0.737
6IV9_1_B,0.0,0.0,0.0,0.0
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,1.0,0.909,0.952,0.953
5D0B_1_F,0.833,1.0,0.909,0.913
5WWF_1_B,0.0,0.0,0.0,0.0
5JBG_1_X,0.778,0.875,0.824,0.825
3VJR_1_B,0.909,0.833,0.87,0.87
7D8O_1_B,0.0,0.0,0.0,0.0
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.25,0.417,0.313,0.323
7O1A_1_B8,0.636,1.0,0.778,0.798
6CFJ_1_1x,0.769,1.0,0.87,0.877
1L9A_1_B,0.615,0.615,0.615,0.615
4V8B_1_AB,0.658,1.0,0.794,0.811
7KGA_1_B,0.63,0.81,0.708,0.714
3HHN_1_E,0.564,0.647,0.603,0.604
2BH2_1_D,0.833,1.0,0.909,0.913
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.6,1.0,0.75,0.775
3IEV_1_D,0.0,0.0,0.0,0.0
7A9W_1_B,0.0,0.0,0.0,0.0
4ZLD_1_B,1.0,0.833,0.909,0.913
3AGV_1_S,0.0,0.0,0.0,0.0
7P3K_1_V,0.7,0.737,0.718,0.718
2B3J_1_E,0.8,1.0,0.889,0.894
7CPU_1_L7,0.359,0.605,0.451,0.466
7P48_1_5,0.773,0.895,0.829,0.831
7MQA_1_L0,0.0,0.0,0.0,0.0
4ZDO_1_E,0.583,0.56,0.571,0.572
1Y26_1_X,0.667,0.8,0.727,0.73
7EQJ_1_B,0.783,0.857,0.818,0.819
6XH2_1_D,0.889,0.889,0.889,0.889
4PRF_1_B,0.444,0.857,0.585,0.617
2C4Q_1_R,0.6,0.6,0.6,0.6
7QEP_1_2,0.324,0.353,0.338,0.338
1L2X_1_A,0.5,1.0,0.667,0.707
6AZ3_1_5,0.125,0.167,0.143,0.144
3SUX_1_X,0.594,0.704,0.644,0.646
6VRB_1_B,0.8,1.0,0.889,0.894
1EC6_1_C,0.8,1.0,0.889,0.894
6ZVI_1_e,0.647,0.688,0.667,0.667
3BOY_1_D,0.0,0.0,0.0,0.0
4JRC_1_B,0.6,0.75,0.667,0.671
6XRQ_1_B,0.0,0.0,0.0,0.0
5F5F_1_B,0.714,1.0,0.833,0.845
7B5K_1_x,0.789,0.75,0.769,0.769
6BHJ_1_E,0.0,0.0,0.0,0.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,0.769,0.909,0.833,0.836
7KKV_1_B,0.789,0.682,0.732,0.734
4TUW_1_C,1.0,0.667,0.8,0.816
2Y9H_1_J,1.0,0.333,0.5,0.577
4YYE_1_C,0.5,0.591,0.542,0.544
7MJV_1_E,1.0,1.0,1.0,1.0
5DEA_1_A,0.333,0.5,0.4,0.408
7MQA_1_L2,0.532,0.581,0.556,0.556
6XU8_1_A7,0.277,0.5,0.356,0.372
2Y9H_1_N,1.0,0.714,0.833,0.845
2Y9H_1_H,1.0,0.833,0.909,0.913
5ZQ8_1_D,1.0,1.0,1.0,1.0
5NDH_1_A,0.0,0.0,0.0,0.0
3RG5_1_B,0.857,0.857,0.857,0.857
5FJ4_1_H,0.857,0.75,0.8,0.802
7OT5_1_z,0.462,0.375,0.414,0.416
5XH7_1_B,0.0,0.0,0.0,0.0
7KI3_1_C,1.0,0.5,0.667,0.707
4FRG_1_B,0.63,0.895,0.739,0.751
6GSJ_1_3L,0.636,0.955,0.764,0.779
6XRQ_1_A,0.0,0.0,0.0,0.0
6W5C_1_B,0.0,0.0,0.0,0.0
7D81_1_A,0.813,0.765,0.788,0.788
5WZK_1_B,0.0,0.0,0.0,0.0
6UGG_1_B,0.8,0.762,0.78,0.781
6F4H_1_D,1.0,0.833,0.909,0.913
1HMH_1_A,0.2,0.333,0.25,0.258
6KC8_1_B,0.793,0.657,0.719,0.722
5IB7_1_3L,0.556,0.952,0.702,0.727
6ZU5_1_L70,0.492,0.769,0.6,0.615
5F5H_1_C,0.7,1.0,0.824,0.837
6KYV_1_G,1.0,0.889,0.941,0.943
4C8Y_1_C,0.667,0.667,0.667,0.667
6T4Q_1_6,0.0,0.0,0.0,0.0
7EU9_1_B,1.0,0.6,0.75,0.775
4C9D_1_D,0.0,0.0,0.0,0.0
3SNP_1_D,1.0,0.7,0.824,0.837
3IBK_1_A,0.0,0.0,0.0,0.0
1Q96_1_A,0.556,1.0,0.714,0.745
2DRA_1_B,0.9,0.75,0.818,0.822
2Y8Y_1_B,1.0,0.4,0.571,0.632
7NHN_1_B,0.561,0.676,0.613,0.616
5MSF_1_R,1.0,0.8,0.889,0.894
7A9X_1_B,0.0,0.0,0.0,0.0
1MMS_1_C,0.6,0.8,0.686,0.693
5F5F_1_F,0.667,0.8,0.727,0.73
5UDZ_1_W,1.0,1.0,1.0,1.0
4ZT0_1_D,0.471,0.727,0.571,0.585
6T4Q_1_7,0.6,0.667,0.632,0.632
7OZQ_1_H,0.875,0.778,0.824,0.825
6UFM_1_B,0.519,0.519,0.519,0.519
5D5L_1_A,0.654,0.85,0.739,0.745
5NS3_1_C,0.636,0.875,0.737,0.746
1H4S_1_T,0.353,0.353,0.353,0.353
4X4U_1_G,0.778,1.0,0.875,0.882
2ZUE_1_B,0.0,0.0,0.0,0.0
1KUQ_1_B,0.81,0.944,0.872,0.874
6KWQ_1_B,0.0,0.0,0.0,0.0
2UWM_1_D,0.818,1.0,0.9,0.905
5WZJ_1_B,0.0,0.0,0.0,0.0
5B2P_1_B,0.409,0.474,0.439,0.44
6FZ0_1_A,0.0,0.0,0.0,0.0
6RJA_1_D,0.643,0.6,0.621,0.621
3IBK_1_B,0.0,0.0,0.0,0.0
361D_1_B,1.0,0.8,0.889,0.894
4LX6_1_A,0.692,0.9,0.783,0.789
5L2L_1_D,0.0,0.0,0.0,0.0
5ZTM_1_C,0.786,0.647,0.71,0.713
6PMO_1_A,0.833,0.789,0.811,0.811
4Z7K_1_C,0.0,0.0,0.0,0.0
5WLH_1_B,0.0,0.0,0.0,0.0
1MJI_1_D,0.7,0.778,0.737,0.738
3OXE_1_A,0.8,0.769,0.784,0.784
4QIL_1_C,1.0,0.5,0.667,0.707
1U0B_1_A,0.737,0.667,0.7,0.701
6ERI_1_Ax,0.483,0.784,0.598,0.615
6LAX_1_A,0.688,0.688,0.688,0.688
7LYT_1_B,0.0,0.0,0.0,0.0
6F4G_1_C,1.0,0.667,0.8,0.816
6KWR_1_B,0.0,0.0,0.0,0.0
5J7L_1_DB,0.469,0.833,0.6,0.625
7KGB_1_B,0.541,0.625,0.58,0.581
6CB3_1_B,0.711,0.818,0.761,0.762
4YCO_1_D,0.8,0.727,0.762,0.763
6ASO_1_I,0.429,0.545,0.48,0.483
6S0Z_1_B,0.667,0.714,0.69,0.69
2Z75_1_B,0.487,0.76,0.594,0.608
2QUX_1_F,0.875,0.778,0.824,0.825
3GS5_1_C,0.421,1.0,0.593,0.649
2JLT_1_A,0.333,0.333,0.333,0.333
6ZDP_1_B,0.826,0.864,0.844,0.845
3TS2_1_V,1.0,1.0,1.0,1.0
5E81_1_2K,0.769,1.0,0.87,0.877
5DEA_1_C,0.375,0.5,0.429,0.433
5F9F_1_F,1.0,0.9,0.947,0.949
6FQ3_1_B,1.0,0.8,0.889,0.894
6ZMI_1_L7,0.359,0.605,0.451,0.466
6O16_1_C,0.0,0.0,0.0,0.0
1N78_1_C,0.727,0.727,0.727,0.727
5XTM_1_D,0.083,0.143,0.105,0.109
6GSJ_1_1K,0.552,0.8,0.653,0.664
6AZ4_1_A,0.0,0.0,0.0,0.0
6YML_1_A,0.333,0.25,0.286,0.289
6ERI_1_AB,0.55,0.846,0.667,0.682
7R81_1_t1,0.471,0.727,0.571,0.585
4OOG_1_D,1.0,0.786,0.88,0.886
6SQN_1_Y,1.0,1.0,1.0,1.0
1F27_1_A,1.0,0.8,0.889,0.894
7KVT_1_B,0.63,0.85,0.723,0.732
7D3J_1_B,1.0,0.8,0.889,0.894
6R5Q_1_2,0.625,0.833,0.714,0.722
1S03_1_B,0.867,0.722,0.788,0.791
2QUW_1_B,0.75,0.818,0.783,0.783
5D0A_1_F,0.833,1.0,0.909,0.913
6WBR_1_B,0.929,0.722,0.813,0.819
7MJW_1_G,1.0,1.0,1.0,1.0
5T5H_1_H,0.1,0.136,0.115,0.117
2ATW_1_B,0.0,0.0,0.0,0.0
6ZM6_1_x,0.75,0.9,0.818,0.822
6E8S_1_A,0.429,0.75,0.545,0.567
3P22_1_A,1.0,0.909,0.952,0.953
