,PPV,TPR,F1,INF
6YWE_1_bb,0.647,0.917,0.759,0.77
6P7M_1_B,0.75,0.6,0.667,0.671
4N0T_1_B,0.412,0.583,0.483,0.49
2PJP_1_B,1.0,0.7,0.824,0.837
4XNR_1_X,0.773,0.85,0.81,0.81
2XLK_1_C,1.0,0.8,0.889,0.894
2XDB_1_G,0.3,0.6,0.4,0.424
6SKG_1_BB,0.522,0.833,0.642,0.66
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.667,0.824,0.737,0.741
3BT7_1_D,1.0,0.833,0.909,0.913
361D_1_A,1.0,0.833,0.909,0.913
5E81_1_1K,0.594,0.95,0.731,0.751
7AS8_1_2,0.263,0.25,0.256,0.256
3K1V_1_A,0.267,1.0,0.421,0.516
4FEN_1_B,0.714,0.833,0.769,0.772
4V8D_1_CD,0.455,0.909,0.606,0.643
3NVI_1_F,0.333,0.5,0.4,0.408
7MSF_1_R,1.0,0.75,0.857,0.866
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,1.0,0.818,0.9,0.905
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,0.2,0.333,0.447
3RKF_1_C,0.789,0.789,0.789,0.789
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,1.0,1.0,1.0,1.0
6LT7_1_C,1.0,0.75,0.857,0.866
7MLW_1_F,0.652,0.75,0.698,0.699
6YDP_1_AV,0.25,0.6,0.353,0.387
7OLC_1_3,0.579,0.629,0.603,0.603
3HAX_1_E,0.813,0.813,0.813,0.813
2ZZM_1_B,0.167,0.188,0.176,0.177
2OIU_1_Q,0.762,0.762,0.762,0.762
6UGI_1_A,0.909,0.833,0.87,0.87
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.737,0.824,0.778,0.779
7ODF_1_F,0.667,0.333,0.444,0.471
5WTI_1_B,0.607,0.63,0.618,0.618
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.263,0.217,0.238,0.239
6DVK_1_H,0.794,0.844,0.818,0.819
6Y2L_1_B4,0.368,0.519,0.431,0.437
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.364,0.421,0.39,0.391
5DH6_1_A,0.571,0.8,0.667,0.676
1ZBH_1_F,0.8,0.667,0.727,0.73
4X4V_1_B,0.9,0.818,0.857,0.858
7DCO_1_B,0.5,0.524,0.512,0.512
4C8Z_1_C,1.0,0.667,0.8,0.816
3GS5_1_A,0.6,0.375,0.462,0.474
3NPQ_1_A,0.294,0.385,0.333,0.336
5M0I_1_E,0.833,0.833,0.833,0.833
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.619,0.722,0.667,0.669
3AKZ_1_E,0.261,0.273,0.267,0.267
3MJA_1_B,0.9,0.818,0.857,0.858
5W1H_1_B,0.0,0.0,0.0,0.0
4V90_1_AV,0.677,0.84,0.75,0.754
1F1T_1_A,0.75,0.857,0.8,0.802
7O7Y_1_AT,0.333,0.389,0.359,0.36
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.5,0.6,0.545,0.548
3G9C_1_Q,0.651,0.718,0.683,0.684
3DD2_1_B,0.0,0.0,0.0,0.0
2BTE_1_B,0.591,0.591,0.591,0.591
6MWN_1_B,0.629,0.733,0.677,0.679
1F7U_1_B,0.0,0.0,0.0,0.0
3LQX_1_B,0.8,0.8,0.8,0.8
6PIJ_1_1,0.0,0.0,0.0,0.0
5Y85_1_D,0.714,0.909,0.8,0.806
1R3E_1_C,1.0,0.8,0.889,0.894
3OVB_1_C,0.0,0.0,0.0,0.0
6DU4_1_B,1.0,1.0,1.0,1.0
3EPH_1_E,0.737,0.667,0.7,0.701
1G2E_1_B,0.0,0.0,0.0,0.0
2OEU_1_A,0.5,0.75,0.6,0.612
7RYG_1_B,0.6,0.677,0.636,0.638
3JCS_1_6,0.0,0.0,0.0,0.0
6X5M_1_r,1.0,0.444,0.615,0.667
5M0J_1_E,0.833,0.833,0.833,0.833
7CPU_1_S6,0.471,0.696,0.561,0.572
4M6D_1_H,0.538,0.778,0.636,0.647
3EGZ_1_B,0.75,0.882,0.811,0.813
5VJ9_1_C,1.0,0.8,0.889,0.894
2Y9H_1_F,1.0,0.667,0.8,0.816
4Z31_1_E,0.8,0.8,0.8,0.8
7OS0_1_F,1.0,0.333,0.5,0.577
5AXM_1_P,0.105,0.1,0.103,0.103
6IV9_1_B,0.0,0.0,0.0,0.0
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,1.0,0.909,0.952,0.953
5D0B_1_F,0.833,1.0,0.909,0.913
5WWF_1_B,0.0,0.0,0.0,0.0
5JBG_1_X,0.889,0.889,0.889,0.889
3VJR_1_B,0.909,0.833,0.87,0.87
7D8O_1_B,0.375,0.6,0.462,0.474
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.3,0.5,0.375,0.387
7O1A_1_B8,0.667,0.917,0.772,0.782
6CFJ_1_1x,0.423,0.478,0.449,0.45
1L9A_1_B,0.538,0.525,0.532,0.532
4V8B_1_AB,0.316,0.387,0.348,0.35
7KGA_1_B,0.63,0.81,0.708,0.714
3HHN_1_E,0.564,0.647,0.603,0.604
2BH2_1_D,0.833,1.0,0.909,0.913
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.6,1.0,0.75,0.775
3IEV_1_D,0.0,0.0,0.0,0.0
7A9W_1_B,0.0,0.0,0.0,0.0
4ZLD_1_B,1.0,0.833,0.909,0.913
3AGV_1_S,0.0,0.0,0.0,0.0
7P3K_1_V,0.7,0.737,0.718,0.718
2B3J_1_E,0.2,1.0,0.333,0.447
7CPU_1_L7,0.484,0.738,0.585,0.598
7P48_1_5,0.773,0.895,0.829,0.831
7MQA_1_L0,0.0,0.0,0.0,0.0
4ZDO_1_E,0.583,0.56,0.571,0.572
1Y26_1_X,0.667,0.8,0.727,0.73
7EQJ_1_B,0.522,0.632,0.571,0.574
6XH2_1_D,0.889,0.889,0.889,0.889
4PRF_1_B,0.222,0.353,0.273,0.28
2C4Q_1_R,0.6,0.6,0.6,0.6
7QEP_1_2,0.703,0.722,0.712,0.712
1L2X_1_A,0.5,1.0,0.667,0.707
6AZ3_1_5,0.156,0.208,0.179,0.18
3SUX_1_X,0.625,0.69,0.656,0.657
6VRB_1_B,0.8,1.0,0.889,0.894
1EC6_1_C,0.8,1.0,0.889,0.894
6ZVI_1_e,0.647,0.688,0.667,0.667
3BOY_1_D,0.0,0.0,0.0,0.0
4JRC_1_B,0.25,0.278,0.263,0.264
6XRQ_1_B,0.0,0.0,0.0,0.0
5F5F_1_B,0.714,1.0,0.833,0.845
7B5K_1_x,0.526,0.526,0.526,0.526
6BHJ_1_E,0.0,0.0,0.0,0.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,0.769,0.909,0.833,0.836
7KKV_1_B,0.526,0.526,0.526,0.526
4TUW_1_C,1.0,0.667,0.8,0.816
2Y9H_1_J,1.0,0.333,0.5,0.577
4YYE_1_C,0.615,0.762,0.681,0.685
7MJV_1_E,1.0,1.0,1.0,1.0
5DEA_1_A,0.333,0.429,0.375,0.378
7MQA_1_L2,0.681,0.744,0.711,0.712
6XU8_1_A7,0.292,0.528,0.376,0.393
2Y9H_1_N,1.0,0.714,0.833,0.845
2Y9H_1_H,1.0,0.833,0.909,0.913
5ZQ8_1_D,1.0,1.0,1.0,1.0
5NDH_1_A,0.0,0.0,0.0,0.0
3RG5_1_B,0.857,0.889,0.873,0.873
5FJ4_1_H,0.0,0.0,0.0,0.0
7OT5_1_z,0.308,0.267,0.286,0.286
5XH7_1_B,0.0,0.0,0.0,0.0
7KI3_1_C,1.0,0.5,0.667,0.707
4FRG_1_B,0.63,0.85,0.723,0.732
6GSJ_1_3L,0.667,0.957,0.786,0.799
6XRQ_1_A,0.0,0.0,0.0,0.0
6W5C_1_B,0.0,0.0,0.0,0.0
7D81_1_A,0.875,0.778,0.824,0.825
5WZK_1_B,0.0,0.0,0.0,0.0
6UGG_1_B,0.8,0.727,0.762,0.763
6F4H_1_D,1.0,0.833,0.909,0.913
1HMH_1_A,0.2,0.333,0.25,0.258
6KC8_1_B,0.862,0.658,0.746,0.753
5IB7_1_3L,0.583,0.955,0.724,0.746
6ZU5_1_L70,0.492,0.75,0.594,0.607
5F5H_1_C,0.7,1.0,0.824,0.837
6KYV_1_G,1.0,0.889,0.941,0.943
4C8Y_1_C,1.0,0.75,0.857,0.866
6T4Q_1_6,0.0,0.0,0.0,0.0
7EU9_1_B,1.0,0.6,0.75,0.775
4C9D_1_D,0.667,0.667,0.667,0.667
3SNP_1_D,1.0,0.7,0.824,0.837
3IBK_1_A,0.0,0.0,0.0,0.0
1Q96_1_A,0.556,1.0,0.714,0.745
2DRA_1_B,0.9,0.75,0.818,0.822
2Y8Y_1_B,1.0,0.4,0.571,0.632
7NHN_1_B,0.366,0.429,0.395,0.396
5MSF_1_R,1.0,0.8,0.889,0.894
7A9X_1_B,0.0,0.0,0.0,0.0
1MMS_1_C,0.55,0.688,0.611,0.615
5F5F_1_F,0.667,0.8,0.727,0.73
5UDZ_1_W,1.0,1.0,1.0,1.0
4ZT0_1_D,0.765,0.867,0.813,0.814
6T4Q_1_7,0.6,0.632,0.615,0.616
7OZQ_1_H,0.875,0.875,0.875,0.875
6UFM_1_B,0.519,0.519,0.519,0.519
5D5L_1_A,0.654,0.895,0.756,0.765
5NS3_1_C,0.636,0.875,0.737,0.746
1H4S_1_T,0.412,0.389,0.4,0.4
4X4U_1_G,0.889,0.889,0.889,0.889
2ZUE_1_B,0.0,0.0,0.0,0.0
1KUQ_1_B,0.476,0.714,0.571,0.583
6KWQ_1_B,1.0,1.0,1.0,1.0
2UWM_1_D,0.818,1.0,0.9,0.905
5WZJ_1_B,0.0,0.0,0.0,0.0
5B2P_1_B,0.409,0.643,0.5,0.513
6FZ0_1_A,0.0,0.0,0.0,0.0
6RJA_1_D,0.786,0.688,0.733,0.735
3IBK_1_B,0.0,0.0,0.0,0.0
361D_1_B,1.0,0.8,0.889,0.894
4LX6_1_A,0.692,0.9,0.783,0.789
5L2L_1_D,0.0,0.0,0.0,0.0
5ZTM_1_C,0.857,0.667,0.75,0.756
6PMO_1_A,0.833,0.75,0.789,0.791
4Z7K_1_C,0.0,0.0,0.0,0.0
5WLH_1_B,0.0,0.0,0.0,0.0
1MJI_1_D,0.7,0.778,0.737,0.738
3OXE_1_A,0.8,0.769,0.784,0.784
4QIL_1_C,1.0,0.5,0.667,0.707
1U0B_1_A,0.579,0.524,0.55,0.551
6ERI_1_Ax,0.55,0.846,0.667,0.682
6LAX_1_A,0.5,0.5,0.5,0.5
7LYT_1_B,0.0,0.0,0.0,0.0
6F4G_1_C,1.0,0.667,0.8,0.816
6KWR_1_B,0.0,0.0,0.0,0.0
5J7L_1_DB,0.156,0.27,0.198,0.205
7KGB_1_B,0.541,0.645,0.588,0.591
6CB3_1_B,0.842,0.97,0.901,0.904
4YCO_1_D,0.55,0.5,0.524,0.524
6ASO_1_I,0.429,0.545,0.48,0.483
6S0Z_1_B,0.367,0.367,0.367,0.367
2Z75_1_B,0.564,0.759,0.647,0.654
2QUX_1_F,0.875,0.778,0.824,0.825
3GS5_1_C,0.474,1.0,0.643,0.688
2JLT_1_A,0.0,0.0,0.0,0.0
6ZDP_1_B,0.478,0.611,0.537,0.541
3TS2_1_V,1.0,1.0,1.0,1.0
5E81_1_2K,0.423,0.478,0.449,0.45
5DEA_1_C,0.375,0.429,0.4,0.401
5F9F_1_F,1.0,0.9,0.947,0.949
6FQ3_1_B,1.0,0.8,0.889,0.894
6ZMI_1_L7,0.484,0.738,0.585,0.598
6O16_1_C,0.0,0.0,0.0,0.0
1N78_1_C,0.727,0.727,0.727,0.727
5XTM_1_D,0.25,0.6,0.353,0.387
6GSJ_1_1K,0.448,0.65,0.531,0.54
6AZ4_1_A,0.571,1.0,0.727,0.756
6YML_1_A,0.333,0.286,0.308,0.309
6ERI_1_AB,0.575,0.885,0.697,0.713
7R81_1_t1,0.441,0.625,0.517,0.525
4OOG_1_D,1.0,0.786,0.88,0.886
6SQN_1_Y,1.0,1.0,1.0,1.0
1F27_1_A,1.0,0.8,0.889,0.894
7KVT_1_B,0.63,0.81,0.708,0.714
7D3J_1_B,1.0,0.8,0.889,0.894
6R5Q_1_2,0.292,0.438,0.35,0.357
1S03_1_B,0.733,0.647,0.688,0.689
2QUW_1_B,0.5,0.6,0.545,0.548
5D0A_1_F,0.833,1.0,0.909,0.913
6WBR_1_B,0.714,0.455,0.556,0.57
7MJW_1_G,1.0,1.0,1.0,1.0
5T5H_1_H,0.1,0.136,0.115,0.117
2ATW_1_B,0.0,0.0,0.0,0.0
6ZM6_1_x,0.667,0.842,0.744,0.749
6E8S_1_A,0.429,0.75,0.545,0.567
3P22_1_A,1.0,0.909,0.952,0.953
2I82_1_F,0.0,0.0,0.0,0.0
3HJW_1_D,0.778,0.875,0.824,0.825
5LYS_1_B,0.7,0.778,0.737,0.738
7O7Y_1_B7,0.476,0.769,0.588,0.605
5HC9_1_D,0.667,0.8,0.727,0.73
7RYG_1_v,0.563,0.5,0.529,0.53
6PMO_1_B,0.235,0.25,0.242,0.243
4K50_1_B,0.857,1.0,0.923,0.926
3AM1_1_B,0.68,0.63,0.654,0.654
3NDB_1_M,0.767,0.688,0.725,0.726
1ET4_1_A,0.0,0.0,0.0,0.0
6F4H_1_B,1.0,0.833,0.909,0.913
5T16_1_H,1.0,0.538,0.7,0.734
6TQB_1_B,1.0,1.0,1.0,1.0
3SIU_1_F,0.667,0.571,0.615,0.617
6ZM6_1_w,0.12,0.167,0.14,0.141
7EL1_1_B,0.842,1.0,0.914,0.918
3ZGZ_1_B,0.591,0.619,0.605,0.605
4PR6_1_B,0.241,0.438,0.311,0.325
6H9H_1_D,1.0,0.667,0.8,0.816
7B5K_1_z,0.182,0.2,0.19,0.191
4V99_1_C2,0.0,0.0,0.0,0.0
6HC5_1_A,0.75,1.0,0.857,0.866
5WTK_1_B,0.5,0.333,0.4,0.408
1ZL3_1_B,1.0,0.857,0.923,0.926
7OL0_1_P,0.0,0.0,0.0,0.0
6E8T_1_D,0.5,0.714,0.588,0.598
1XOK_1_A,1.0,0.667,0.8,0.816
5UD5_1_C,0.783,0.783,0.783,0.783
6E8T_1_A,0.455,0.833,0.588,0.615
4Z0C_1_C,0.0,0.0,0.0,0.0
5XTM_1_B,0.231,0.5,0.316,0.34
4L8H_1_R,1.0,0.625,0.769,0.791
2ZZN_1_D,0.842,0.696,0.762,0.765
7OBR_1_1,0.086,0.102,0.093,0.093
6SZV_1_V,0.0,0.0,0.0,0.0
6WOO_1_3,0.773,0.85,0.81,0.81
1JID_1_B,0.5,0.429,0.462,0.463
5X2G_1_B,0.731,0.826,0.776,0.777
4AY2_1_C,1.0,0.857,0.923,0.926
3OIN_1_C,1.0,1.0,1.0,1.0
7OX8_1_A,0.769,0.667,0.714,0.716
3RW6_1_H,0.762,0.8,0.78,0.781
5HO4_1_B,0.0,0.0,0.0,0.0
5ZW4_1_D,1.0,0.6,0.75,0.775
4ENC_1_A,0.667,0.909,0.769,0.778
7R81_1_B1,0.567,0.944,0.708,0.732
7MKY_1_A,0.731,0.95,0.826,0.833
6VQV_1_L,0.0,0.0,0.0,0.0
6SY6_1_D,0.2,0.667,0.308,0.365
5SWD_1_B,0.455,0.714,0.556,0.57
5HR7_1_D,0.8,0.8,0.8,0.8
6JOO_1_B,0.783,0.667,0.72,0.722
7OB9_1_R,0.0,0.0,0.0,0.0
5H9F_1_L,1.0,0.8,0.889,0.894
6YS3_1_v,0.364,0.267,0.308,0.311
4JF2_1_A,0.667,0.947,0.783,0.795
6TC3_1_PTR1,0.034,0.043,0.038,0.039
5F5H_1_D,0.667,1.0,0.8,0.816
5V3F_1_A,0.0,0.0,0.0,0.0
1SDS_1_D,0.0,0.0,0.0,0.0
6TQA_1_G,1.0,0.75,0.857,0.866
6M0X_1_B,0.0,0.0,0.0,0.0
6AZ3_1_4,0.569,0.66,0.611,0.613
6YDP_1_BB,0.6,1.0,0.75,0.775
6YYM_1_B,0.0,0.0,0.0,0.0
