,PPV,TPR,F1,INF
7MQ8_L2,0.542,0.711,0.615,0.621
7MQ9_L2,0.508,0.705,0.59,0.598
7MQA_L2,0.586,0.739,0.654,0.658
7QXA_B,0.15,0.227,0.181,0.185
7V9A_R,0.196,0.306,0.239,0.245
7TRD_B,0.163,0.23,0.19,0.193
7BG9_B,0.134,0.216,0.166,0.171
7TRE_B,0.176,0.259,0.21,0.214
7V99_R,0.255,0.353,0.296,0.3
7TRF_B,0.174,0.246,0.204,0.207
7TRC_B,0.571,0.857,0.686,0.7
7BGB_B,0.667,0.857,0.75,0.756
7QXS_B,0.155,0.225,0.184,0.187
7QXB_B,0.157,0.225,0.185,0.188
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.442,0.626,0.518,0.526
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.392,0.618,0.48,0.492
7C79_A,0.444,0.615,0.516,0.523
7ELD_B,0.645,1.0,0.784,0.803
6XRZ_A,0.383,0.75,0.507,0.536
7O7Z_AH,0.6,0.947,0.735,0.754
7KGA_B,0.636,0.955,0.764,0.779
7KGA_A,0.636,0.955,0.764,0.779
7MQ9_L0,0.21,0.309,0.25,0.255
7MQ8_L0,0.227,0.309,0.262,0.265
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.885,1.0,0.939,0.941
7SAM_A,0.658,0.877,0.752,0.76
7SCQ_C,0.543,0.877,0.671,0.69
7SC6_C,0.6,0.911,0.723,0.739
4C9D_D,0.6,1.0,0.75,0.775
7LYF_A,0.705,1.0,0.827,0.84
6JQ6_U,0.621,1.0,0.766,0.788
5T5A_A,0.414,0.857,0.558,0.596
6TFE_A,0.696,0.889,0.78,0.786
6TF0_A,0.364,0.727,0.485,0.514
6TFH_A,0.364,0.727,0.485,0.514
6TFF_A,0.696,0.889,0.78,0.786
6TFG_A,0.696,0.889,0.78,0.786
6TB7_A,0.696,0.889,0.78,0.786
7D7V_A,0.455,0.556,0.5,0.503
7D7Y_A,0.455,1.0,0.625,0.674
6TF3_A,0.696,0.889,0.78,0.786
6TF1_A,0.696,0.889,0.78,0.786
7D7X_A,0.455,1.0,0.625,0.674
7D82_A,0.85,1.0,0.919,0.922
7D81_A,0.773,1.0,0.872,0.879
7D7W_A,0.455,1.0,0.625,0.674
7D7Z_A,0.455,1.0,0.625,0.674
6TF2_A,0.696,0.889,0.78,0.786
7ELR_B,0.435,1.0,0.606,0.659
7ELS_A,0.455,1.0,0.625,0.674
7ELQ_A,0.435,1.0,0.606,0.659
7ELR_A,0.435,1.0,0.606,0.659
7ELS_B,0.417,1.0,0.588,0.645
7ELQ_B,0.417,1.0,0.588,0.645
7ELP_B,0.417,1.0,0.588,0.645
7ELP_A,0.455,1.0,0.625,0.674
1M5V_E,0.606,1.0,0.755,0.778
1M5K_B,0.556,1.0,0.714,0.745
1M5P_B,0.571,1.0,0.727,0.756
1M5P_E,0.625,1.0,0.769,0.791
1M5O_E,0.606,1.0,0.755,0.778
1M5V_B,0.606,1.0,0.755,0.778
1M5K_E,0.588,1.0,0.741,0.767
1M5O_B,0.588,1.0,0.741,0.767
