,PPV,TPR,F1,INF
100D_1_A-B,0.8,1.0,0.889,0.894
157D_1_A-B,0.0,0.0,0.0,0.0
165D_1_A-B,0.0,0.0,0.0,0.0
17RA_7_A,0.889,1.0,0.941,0.943
1A1T_1_B,0.8,1.0,0.889,0.894
1A34_1_B-C,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.643,1.0,0.783,0.802
1A4D_1_A-B,0.737,1.0,0.848,0.858
1A4T_1_A,0.833,1.0,0.909,0.913
1A51_3_A,0.737,1.0,0.848,0.858
1A60_1_A,0.5,1.0,0.667,0.707
1A9L_1_A,0.824,1.0,0.903,0.907
1A9N_1_Q,0.714,1.0,0.833,0.845
1A9N_1_R,0.714,1.0,0.833,0.845
1AFX_2_A,0.8,1.0,0.889,0.894
1AJF_1_A,0.875,1.0,0.933,0.935
1AJL_1_A-B,0.0,0.0,0.0,0.0
1AJT_1_A-B,0.0,0.0,0.0,0.0
1AJU_9_A,0.688,1.0,0.815,0.829
1AKX_1_A,0.733,1.0,0.846,0.856
1AL5_1_A-B,0.75,1.0,0.857,0.866
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,0.909,1.0,0.952,0.953
1AQ3_1_R,1.0,1.0,1.0,1.0
1AQ3_1_S,0.0,0.0,0.0,0.0
1AQ4_1_R,1.0,1.0,1.0,1.0
1AQ4_1_S,0.0,0.0,0.0,0.0
1AQO_3_A,0.786,1.0,0.88,0.886
1ARJ_7_N,0.833,1.0,0.909,0.913
1ASY_1_R,0.226,0.35,0.275,0.281
1ASY_1_S,0.233,0.35,0.28,0.286
1ASZ_1_R,0.212,0.35,0.264,0.272
1ASZ_1_S,0.233,0.35,0.28,0.286
1ATO_1_A,0.75,1.0,0.857,0.866
1ATV_1_A,0.6,1.0,0.75,0.775
1ATW_1_A,0.625,1.0,0.769,0.791
1AUD_8_B,0.235,0.5,0.32,0.343
1B23_1_R,0.375,0.6,0.462,0.474
1B36_8_A,0.474,1.0,0.643,0.688
1B7F_1_Q,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.25,0.333,0.286,0.289
1BGZ_1_A,0.538,0.875,0.667,0.686
1BIV_5_A,0.917,1.0,0.957,0.957
1BJ2_1_A-B,0.35,0.438,0.389,0.391
1BN0_2_A,1.0,1.0,1.0,1.0
1BVJ_1_A,0.727,1.0,0.842,0.853
1BYJ_31_A,0.75,1.0,0.857,0.866
1BZ2_1_A,0.714,1.0,0.833,0.845
