,PPV,TPR,F1,INF
7A09_f,,,,
7A0R_Y,0.516,0.889,0.653,0.677
7A0S_Y,0.561,0.914,0.696,0.716
7A18_Y,,,,
7A5F_24,0.171,0.35,0.23,0.244
7A5F_C,0.171,0.35,0.23,0.244
7A5G_24,0.175,0.35,0.233,0.247
7A5G_C,,,,
7A5G_j,,,,
7A5H_24,0.179,0.35,0.237,0.251
7A5I_94,0.194,0.35,0.25,0.261
7A5I_99,,,,
7A5I_X,,,,
7A5J_G,0.175,0.368,0.237,0.254
7A5J_x,0.175,0.368,0.237,0.254
7A5K_24,,,,
7A5K_FE,,,,
7A5P_2,0.535,0.885,0.667,0.688
7ABF_6,0.667,0.833,0.741,0.745
7ABG_5,,,,
7ABI_5,,,,
7ABZ_3,,,,
7ABZ_7,0.25,0.381,0.302,0.309
7AC7_3,,,,
7AC7_7,0.231,0.261,0.245,0.245
7ACJ_3,0.169,0.25,0.202,0.206
7ACR_3,0.172,0.238,0.2,0.203
7AJT_D4,0.294,0.5,0.37,0.383
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.386,0.595,0.468,0.479
7AQC_T,0.375,0.48,0.421,0.424
7AQD_B,,,,
7AQD_T,,,,
7AS8_B,,,,
7AS9_2,,,,
7AS9_B,,,,
7ASA_A,0.484,0.75,0.588,0.602
7ASM_B,0.113,0.2,0.144,0.15
7ASN_B,0.268,0.469,0.341,0.354
7ASO_C,,,,
7ASP_3,,,,
7AZY_F,0.406,0.605,0.486,0.496
7B0Y_a,0.317,0.4,0.354,0.356
7B5K_9,,,,
7B5K_B,,,,
7B5K_x,,,,
7B5K_z,0.0,0.0,0.0,0.0
7B7D_LB,,,,
7B7D_Sm,0.5,0.773,0.607,0.622
7B7D_Sn,0.5,0.773,0.607,0.622
7B9V_5,0.438,0.615,0.512,0.519
7BG9_B,0.168,0.235,0.196,0.199
7BGB_B,0.722,0.963,0.825,0.834
7BHP_L7,0.538,0.897,0.673,0.695
7BL2_B,0.169,0.244,0.2,0.203
7BL3_B,,,,
7BL4_B,,,,
7BL5_B,,,,
7BL6_B,,,,
7BT6_3,,,,
7BTB_3,0.407,0.585,0.48,0.488
7BV8_B,0.164,0.238,0.194,0.198
7C79_A,0.532,0.657,0.588,0.591
7C7A_A,0.512,0.653,0.574,0.578
7CHD_I,0.44,0.478,0.458,0.459
7CHD_J,0.423,0.478,0.449,0.45
7CPJ_9,0.394,0.5,0.441,0.444
7CPJ_B,,,,
7CPU_L7,,,,
7CPV_L7,,,,
7D4I_3A,0.446,0.688,0.541,0.554
7D6Z_2,,,,
7D6Z_3,0.387,0.545,0.453,0.46
7D6Z_4,0.536,0.682,0.6,0.604
7D6Z_B,0.143,0.22,0.173,0.177
7D7V_A,,,,
7D80_a,,,,
7D80_X,,,,
7D80_y,0.367,0.524,0.431,0.438
7D80_Z,0.357,0.5,0.417,0.423
7DCO_B,0.457,0.627,0.529,0.536
7E8O_X,0.242,0.4,0.302,0.311
7EAF_A,0.511,0.821,0.63,0.648
7ELP_A,0.545,0.857,0.667,0.684
7ELP_B,0.5,0.857,0.632,0.655
7ELQ_A,0.522,0.857,0.649,0.669
7ELQ_B,0.5,0.857,0.632,0.655
7ELR_A,0.522,0.857,0.649,0.669
7ELR_B,0.522,0.857,0.649,0.669
7ELS_A,0.545,0.857,0.667,0.684
7ELS_B,0.5,0.857,0.632,0.655
7EQJ_A,,,,
7EQJ_B,,,,
7EZ0_N,0.453,0.717,0.555,0.57
7F36_E,0.417,0.682,0.517,0.533
7F36_F,,,,
7F36_G,,,,
7JIL_3,0.167,0.303,0.215,0.225
7JQC_i,0.236,0.472,0.315,0.334
7JQL_1B,,,,
7JQL_1x,,,,
7JQL_2B,0.446,0.69,0.542,0.555
7JQL_2x,0.714,1.0,0.833,0.845
7JQM_1B,,,,
7JQM_1x,,,,
7JQM_2B,0.448,0.732,0.556,0.572
7JQM_2x,0.741,0.952,0.833,0.84
7JQQ_K,0.6,0.907,0.722,0.738
7JQQ_L,0.613,0.884,0.724,0.736
7JQQ_M,0.661,0.929,0.772,0.783
7JQQ_N,0.567,0.905,0.697,0.716
7JQQ_O,0.563,0.878,0.686,0.703
7JSS_2,0.169,0.238,0.198,0.201
7JSS_5,0.606,1.0,0.755,0.778
7JSW_2,0.161,0.238,0.192,0.196
7JSW_5,,,,
7JSZ_2,,,,
7JSZ_5,,,,
7JT1_2,,,,
7JT1_5,,,,
7JT2_2,,,,
7JT2_5,,,,
7JT3_2,,,,
7JT3_5,,,,
7K00_b,,,,
7K00_Y,,,,
7K00_Z,,,,
7K50_2,,,,
