,PPV,TPR,F1,INF
7A09_f,,,,
7A0R_Y,0.597,1.0,0.747,0.773
7A0S_Y,0.632,0.973,0.766,0.784
7A18_Y,,,,
7A5F_24,0.195,0.4,0.262,0.279
7A5F_C,0.195,0.4,0.262,0.279
7A5G_24,0.175,0.368,0.237,0.254
7A5G_C,,,,
7A5G_j,,,,
7A5H_24,0.179,0.35,0.237,0.251
7A5I_94,0.194,0.368,0.255,0.268
7A5I_99,,,,
7A5I_X,,,,
7A5J_G,0.175,0.368,0.237,0.254
7A5J_x,0.175,0.368,0.237,0.254
7A5K_24,,,,
7A5K_FE,,,,
7A5P_2,0.535,0.885,0.667,0.688
7ABF_6,0.667,1.0,0.8,0.816
7ABG_5,,,,
7ABI_5,,,,
7ABZ_3,,,,
7ABZ_7,0.531,0.85,0.654,0.672
7AC7_3,,,,
7AC7_7,0.769,1.0,0.87,0.877
7ACJ_3,0.475,0.8,0.596,0.616
7ACR_3,0.483,0.8,0.602,0.621
7AJT_D4,0.329,0.7,0.448,0.48
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.404,0.676,0.505,0.522
7AQC_T,0.656,1.0,0.792,0.81
7AQD_B,,,,
7AQD_T,,,,
7AS8_B,,,,
7AS9_2,,,,
7AS9_B,,,,
7ASA_A,0.419,0.813,0.553,0.584
7ASM_B,0.306,0.655,0.418,0.448
7ASN_B,0.268,0.577,0.366,0.393
7ASO_C,,,,
7ASP_3,,,,
7AZY_F,0.422,0.675,0.519,0.534
7B0Y_a,0.667,0.933,0.778,0.789
7B5K_9,,,,
7B5K_B,,,,
7B5K_x,,,,
7B5K_z,0.618,1.0,0.764,0.786
7B7D_LB,,,,
7B7D_Sm,0.5,0.773,0.607,0.622
7B7D_Sn,0.5,0.773,0.607,0.622
7B9V_5,0.438,0.615,0.512,0.519
7BG9_B,0.168,0.244,0.199,0.202
7BGB_B,0.694,0.926,0.794,0.802
7BHP_L7,0.354,0.605,0.447,0.463
7BL2_B,0.339,0.625,0.44,0.46
7BL3_B,,,,
7BL4_B,,,,
7BL5_B,,,,
7BL6_B,,,,
7BT6_3,,,,
7BTB_3,0.424,0.658,0.515,0.528
7BV8_B,0.492,0.833,0.619,0.64
7C79_A,0.5,0.636,0.56,0.564
7C7A_A,0.481,0.633,0.546,0.551
7CHD_I,0.8,0.952,0.87,0.873
7CHD_J,0.769,0.952,0.851,0.856
7CPJ_9,0.636,1.0,0.778,0.798
7CPJ_B,,,,
7CPU_L7,,,,
7CPV_L7,,,,
7D4I_3A,0.311,0.426,0.359,0.364
7D6Z_2,,,,
7D6Z_3,0.613,0.95,0.745,0.763
7D6Z_4,0.5,0.875,0.636,0.661
7D6Z_B,0.317,0.645,0.426,0.453
7D7V_A,,,,
7D80_a,,,,
7D80_X,,,,
7D80_y,0.5,0.789,0.612,0.628
7D80_Z,0.429,0.8,0.558,0.586
7DCO_B,0.457,0.627,0.529,0.536
7E8O_X,0.636,1.0,0.778,0.798
7EAF_A,0.467,0.84,0.6,0.626
7ELP_A,0.545,0.857,0.667,0.684
7ELP_B,0.5,0.857,0.632,0.655
7ELQ_A,0.522,0.857,0.649,0.669
7ELQ_B,0.5,0.857,0.632,0.655
7ELR_A,0.522,0.857,0.649,0.669
7ELR_B,0.522,0.857,0.649,0.669
7ELS_A,0.545,0.857,0.667,0.684
7ELS_B,0.5,0.857,0.632,0.655
7EQJ_A,,,,
7EQJ_B,,,,
7EZ0_N,0.478,0.793,0.596,0.616
7F36_E,0.583,1.0,0.737,0.764
7F36_F,,,,
7F36_G,,,,
7JIL_3,0.317,0.731,0.442,0.481
7JQC_i,0.236,0.548,0.33,0.36
7JQL_1B,,,,
7JQL_1x,,,,
7JQL_2B,0.554,0.878,0.679,0.697
7JQL_2x,0.714,1.0,0.833,0.845
7JQM_1B,,,,
7JQM_1x,,,,
7JQM_2B,0.567,0.95,0.71,0.734
7JQM_2x,0.741,1.0,0.851,0.861
7JQQ_K,0.6,0.907,0.722,0.738
7JQQ_L,0.629,0.907,0.743,0.755
7JQQ_M,0.678,0.952,0.792,0.804
7JQQ_N,0.582,0.929,0.716,0.735
7JQQ_O,0.578,0.902,0.705,0.722
7JSS_2,0.576,0.895,0.701,0.718
7JSS_5,0.606,1.0,0.755,0.778
7JSW_2,0.548,0.895,0.68,0.7
7JSW_5,,,,
7JSZ_2,,,,
7JSZ_5,,,,
7JT1_2,,,,
7JT1_5,,,,
7JT2_2,,,,
7JT2_5,,,,
7JT3_2,,,,
7JT3_5,,,,
7K00_b,,,,
7K00_Y,,,,
7K00_Z,,,,
7K50_2,,,,
7K50_5,,,,
7K50_6,,,,
7K50_7,,,,
7K51_2,,,,
7K51_5,,,,
7K51_6,,,,
7K52_2,,,,
7K52_5,,,,
7K52_6,,,,
7K53_2,,,,
7K53_5,,,,
7K53_6,,,,
7K53_7,,,,
7K54_2,,,,
7K54_5,,,,
7K54_6,,,,
7K55_2,,,,
7K55_5,,,,
7K55_6,,,,
7K98_C,0.6,1.0,0.75,0.775
7K98_F,0.583,1.0,0.737,0.764
7KD1_A,,,,
7KGA_A,0.636,1.0,0.778,0.798
7KGA_B,0.636,1.0,0.778,0.798
7KGB_B,,,,
7KGB_y,,,,
7LH5_AW,0.484,0.714,0.577,0.588
7LH5_BB,,,,
7LH5_CW,0.294,0.5,0.37,0.383
7LH5_DB,,,,
7LJ3_A,,,,
7LJ3_B,,,,
7LJ3_C,,,,
7LMB_B,,,,
7LS1_B2,,,,
7LS2_B2,,,,
7LV0_2,,,,
7LV0_5,,,,
7LV0_6,,,,
7LVA_A,,,,
7LVK_J,,,,
7LYF_A,0.705,0.956,0.811,0.821
7M4V_B,,,,
7M4W_B,,,,
7M4X_B,,,,
7M4X_v,,,,
7M4Y_B,,,,
7M4Y_v,,,,
7M4Z_B,,,,
7MD7_1B,,,,
7MD7_2B,,,,
7MDZ_2,0.667,1.0,0.8,0.816
7MDZ_7,,,,
7MQ8_L0,0.307,0.397,0.346,0.349
7MQ8_L2,,,,
7MQ9_L0,0.284,0.397,0.331,0.336
7MQ9_L2,,,,
7MQA_L2,,,,
7MRL_A,,,,
7MSC_B,,,,
7MSC_y,,,,
7MSH_B,,,,
7MSH_y,,,,
7MSM_B,,,,
7MSM_y,,,,
7MSZ_B,,,,
7MSZ_y,,,,
7MT2_B,,,,
7MT2_y,,,,
7MT3_B,,,,
7MT3_y,,,,
7MT7_B,,,,
7MT7_x,,,,
7MT7_y,,,,
7N1P_5,,,,
7N1P_Dt,0.741,1.0,0.851,0.861
7N2C_5,,,,
7N2C_Dt,0.69,1.0,0.816,0.83
7N2U_5,,,,
7N2U_Dt,0.714,1.0,0.833,0.845
7N2U_Pt,,,,
7N2V_5,,,,
7N2V_Dt,0.714,1.0,0.833,0.845
7N2V_Pt,,,,
7N30_5,,,,
7N30_Dt,0.714,1.0,0.833,0.845
7N31_5,,,,
7N31_Dt,0.645,1.0,0.784,0.803
7N31_Pt,,,,
7NBU_b,,,,
7NBU_V,,,,
7NFX_1,,,,
7NFX_7,,,,
7NHK_B,,,,
7NHL_B,,,,
7NHM_B,,,,
7NHN_B,,,,
7NRC_LB,,,,
7NRC_Sm,,,,
7NRC_Sn,,,,
7NRD_LB,,,,
7NRD_Sm,,,,
7NRD_Sn,,,,
7NSO_8,0.694,1.0,0.82,0.833
7NSO_B,,,,
7NSP_8,0.625,1.0,0.769,0.791
