,PPV,TPR,F1,INF
7MQ8_L2,0.902,0.925,0.914,0.914
7MQ9_L2,0.9,0.923,0.911,0.911
7MQA_L2,0.907,0.929,0.918,0.918
7QXA_B,0.297,0.311,0.304,0.304
7V9A_R,0.618,0.583,0.6,0.6
7TRD_B,0.258,0.276,0.267,0.267
7BG9_B,0.258,0.274,0.266,0.266
7TRE_B,0.306,0.322,0.314,0.314
7V99_R,0.343,0.404,0.371,0.372
7TRF_B,0.27,0.288,0.279,0.279
7TRC_B,0.923,0.923,0.923,0.923
7BGB_B,0.926,0.962,0.943,0.944
7QXS_B,0.258,0.266,0.262,0.262
7QXB_B,0.258,0.266,0.262,0.262
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.707,0.725,0.716,0.716
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.678,0.753,0.713,0.714
7C79_A,0.728,0.756,0.742,0.742
7ELD_B,0.976,1.0,0.988,0.988
6XRZ_A,0.714,0.87,0.784,0.788
7O7Z_AH,0.769,0.769,0.769,0.769
7KGA_B,0.724,1.0,0.84,0.851
7KGA_A,0.75,1.0,0.857,0.866
7MQ9_L0,0.431,0.431,0.431,0.431
7MQ8_L0,0.431,0.431,0.431,0.431
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.957,1.0,0.978,0.978
7SAM_A,0.923,0.923,0.923,0.923
7SCQ_C,0.882,0.918,0.9,0.9
7SC6_C,0.887,0.922,0.904,0.904
4C9D_D,1.0,1.0,1.0,1.0
7LYF_A,0.932,0.953,0.943,0.943
6JQ6_U,0.947,0.947,0.947,0.947
5T5A_A,0.524,0.611,0.564,0.566
6TFE_A,0.85,0.944,0.895,0.896
6TF0_A,0.632,0.706,0.667,0.668
6TFH_A,0.632,0.706,0.667,0.668
6TFF_A,0.85,0.944,0.895,0.896
6TFG_A,0.85,0.944,0.895,0.896
6TB7_A,0.85,0.944,0.895,0.896
7D7V_A,0.842,1.0,0.914,0.918
7D7Y_A,0.842,0.941,0.889,0.89
6TF3_A,0.85,0.944,0.895,0.896
6TF1_A,0.85,0.944,0.895,0.896
7D7X_A,0.842,0.941,0.889,0.89
7D82_A,1.0,1.0,1.0,1.0
7D81_A,1.0,1.0,1.0,1.0
7D7W_A,0.842,0.941,0.889,0.89
7D7Z_A,0.842,0.941,0.889,0.89
6TF2_A,0.85,0.944,0.895,0.896
7ELR_B,0.733,1.0,0.846,0.856
7ELS_A,0.733,1.0,0.846,0.856
7ELQ_A,0.733,1.0,0.846,0.856
7ELR_A,0.733,1.0,0.846,0.856
7ELS_B,0.733,1.0,0.846,0.856
7ELQ_B,0.733,1.0,0.846,0.856
7ELP_B,0.733,1.0,0.846,0.856
7ELP_A,0.733,1.0,0.846,0.856
1M5V_E,0.947,1.0,0.973,0.973
1M5K_B,0.944,1.0,0.971,0.972
1M5P_B,0.947,1.0,0.973,0.973
1M5P_E,0.95,1.0,0.974,0.975
1M5O_E,0.952,1.0,0.976,0.976
1M5V_B,0.947,1.0,0.973,0.973
1M5K_E,0.952,1.0,0.976,0.976
1M5O_B,0.95,1.0,0.974,0.975
