,PPV,TPR,F1,INF
7MQ8_L2,0.0,0.0,0.0,0.0
7MQ9_L2,0.0,0.0,0.0,0.0
7MQA_L2,0.0,0.0,0.0,0.0
7QXA_B,0.0,0.0,0.0,0.0
7V9A_R,0.071,0.143,0.095,0.101
7TRD_B,0.0,0.0,0.0,0.0
7BG9_B,0.0,0.0,0.0,0.0
7TRE_B,0.0,0.0,0.0,0.0
7V99_R,0.0,0.0,0.0,0.0
7TRF_B,0.0,0.0,0.0,0.0
7TRC_B,0.0,0.0,0.0,0.0
7BGB_B,0.0,0.0,0.0,0.0
7QXS_B,0.0,0.0,0.0,0.0
7QXB_B,0.0,0.0,0.0,0.0
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.053,0.083,0.065,0.066
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.0,0.0,0.0,0.0
7C79_A,0.028,0.042,0.033,0.034
7ELD_B,0.353,0.375,0.364,0.364
6XRZ_A,0.0,0.0,0.0,0.0
7O7Z_AH,0.0,0.0,0.0,0.0
7KGA_B,0.0,0.0,0.0,0.0
7KGA_A,0.0,0.0,0.0,0.0
7MQ9_L0,0.0,0.0,0.0,0.0
7MQ8_L0,0.0,0.0,0.0,0.0
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.5,1.0,0.667,0.707
7SAM_A,0.188,0.429,0.261,0.283
7SCQ_C,0.077,0.143,0.1,0.105
7SC6_C,0.154,0.286,0.2,0.21
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.333,0.714,0.455,0.488
6JQ6_U,0.0,0.0,0.0,0.0
5T5A_A,0.0,0.0,0.0,0.0
6TFE_A,0.333,0.5,0.4,0.408
6TF0_A,0.333,1.0,0.5,0.577
6TFH_A,0.333,1.0,0.5,0.577
6TFF_A,0.333,0.5,0.4,0.408
6TFG_A,0.333,0.5,0.4,0.408
6TB7_A,0.333,0.5,0.4,0.408
7D7V_A,0.0,0.0,0.0,0.0
7D7Y_A,0.333,0.333,0.333,0.333
6TF3_A,0.333,0.5,0.4,0.408
6TF1_A,0.333,0.5,0.4,0.408
7D7X_A,0.333,0.333,0.333,0.333
7D82_A,0.5,0.5,0.5,0.5
7D81_A,0.25,0.333,0.286,0.289
7D7W_A,0.333,0.333,0.333,0.333
7D7Z_A,0.333,0.333,0.333,0.333
6TF2_A,0.333,0.5,0.4,0.408
7ELR_B,0.167,0.333,0.222,0.236
7ELS_A,0.2,0.333,0.25,0.258
7ELQ_A,0.167,0.333,0.222,0.236
7ELR_A,0.167,0.333,0.222,0.236
7ELS_B,0.143,0.2,0.167,0.169
7ELQ_B,0.125,0.333,0.182,0.204
7ELP_B,0.143,0.2,0.167,0.169
7ELP_A,0.2,0.333,0.25,0.258
1M5V_E,0.0,0.0,0.0,0.0
1M5K_B,0.0,0.0,0.0,0.0
1M5P_B,0.0,0.0,0.0,0.0
1M5P_E,0.0,0.0,0.0,0.0
1M5O_E,0.0,0.0,0.0,0.0
1M5V_B,0.0,0.0,0.0,0.0
1M5K_E,0.0,0.0,0.0,0.0
1M5O_B,0.0,0.0,0.0,0.0
