,PPV,TPR,F1,INF
5D0A_1_F,0.833,1.0,0.909,0.913
1ZL3_1_B,0.875,1.0,0.933,0.935
7ONU_1_T,0.714,1.0,0.833,0.845
1QTQ_1_B,0.576,1.0,0.731,0.759
6QW6_1_5,0.805,1.0,0.892,0.897
3OIN_1_C,1.0,1.0,1.0,1.0
2XDB_1_G,0.25,0.8,0.381,0.447
7P48_1_5,0.645,1.0,0.784,0.803
7MLW_1_F,0.603,0.911,0.726,0.741
3JCS_1_5,0.114,0.148,0.129,0.13
3JCS_1_3,0.204,0.5,0.29,0.32
6M0X_1_B,0.0,0.0,0.0,0.0
6W5C_1_B,0.0,0.0,0.0,0.0
7N2V_1_Pt,0.387,0.5,0.436,0.44
6PRV_1_A,0.481,0.867,0.619,0.646
5T16_1_H,1.0,1.0,1.0,1.0
5E81_1_2K,0.423,0.478,0.449,0.45
6TB3_1_n,0.4,0.545,0.462,0.467
6JQ6_1_U,0.621,0.947,0.75,0.767
6LTU_1_B,0.833,1.0,0.909,0.913
1H4S_1_T,0.345,0.5,0.408,0.415
1F27_1_A,1.0,1.0,1.0,1.0
6E8T_1_D,0.333,1.0,0.5,0.577
6U8D_1_A,0.771,1.0,0.871,0.878
1E7K_1_C,0.0,0.0,0.0,0.0
4ZDO_1_E,0.472,0.68,0.557,0.567
5WZJ_1_B,0.0,0.0,0.0,0.0
3NDB_1_M,0.648,0.939,0.767,0.78
6KWQ_1_B,0.857,1.0,0.923,0.926
6SY4_1_C,0.222,1.0,0.364,0.471
7RYG_1_B,0.491,0.8,0.609,0.627
4PRF_1_B,0.184,0.35,0.241,0.254
1U1Y_1_R,0.714,1.0,0.833,0.845
4BW0_1_A,0.545,1.0,0.706,0.739
6KYV_1_G,0.9,1.0,0.947,0.949
3ZGZ_1_B,0.432,0.667,0.525,0.537
6ZVI_1_e,0.514,0.9,0.655,0.68
2ZZM_1_B,0.125,0.208,0.156,0.161
7LJ3_1_A,0.295,0.591,0.394,0.418
4Z7K_1_C,0.0,0.0,0.0,0.0
6XN5_1_R,0.0,0.0,0.0,0.0
1Y26_1_X,0.525,1.0,0.689,0.725
5B2T_1_A,0.583,0.737,0.651,0.656
5HR6_1_C,0.625,0.833,0.714,0.722
7OZQ_1_H,0.571,0.889,0.696,0.713
4FAR_1_A,0.462,0.868,0.603,0.633
4ZNP_1_A,0.484,0.75,0.588,0.602
5F5F_1_F,0.714,1.0,0.833,0.845
4AL5_1_B,0.833,1.0,0.909,0.913
4PR6_1_B,0.179,0.412,0.25,0.272
3FOZ_1_D,0.375,0.6,0.462,0.474
2VPL_1_B,0.789,0.938,0.857,0.86
6TC3_1_PTR1,0.034,0.043,0.038,0.039
5WT1_1_C,0.613,0.95,0.745,0.763
5K7D_1_A,0.227,0.455,0.303,0.321
1XJR_1_A,0.5,0.8,0.615,0.632
7JRR_1_A,0.0,0.0,0.0,0.0
5M0J_1_E,0.75,1.0,0.857,0.866
7RQB_1_1B,0.47,0.738,0.574,0.589
5B2P_1_B,0.314,0.688,0.431,0.465
6YDP_1_AV,0.25,0.6,0.353,0.387
1ET4_1_A,0.059,0.143,0.083,0.092
7AQC_1_B,0.351,0.588,0.44,0.454
7C7L_1_C,0.545,0.828,0.658,0.672
6H9H_1_D,0.75,1.0,0.857,0.866
4LX6_1_A,0.525,1.0,0.689,0.725
2A43_1_A,0.267,1.0,0.421,0.516
6ZU5_1_L70,0.492,0.75,0.594,0.607
2Z75_1_B,0.463,0.758,0.575,0.592
4Z0C_1_C,0.0,0.0,0.0,0.0
7KI3_1_C,0.75,1.0,0.857,0.866
6TQA_1_G,1.0,1.0,1.0,1.0
4XNR_1_X,0.553,1.0,0.712,0.743
5FJC_1_A,0.455,0.8,0.58,0.603
7D7W_1_A,0.727,0.941,0.821,0.827
5DEA_1_A,0.238,0.714,0.357,0.412
6ZM6_1_x,0.563,0.947,0.706,0.73
6WBR_1_B,0.44,0.458,0.449,0.449
6H0R_1_A,0.929,1.0,0.963,0.964
6UGG_1_B,0.636,0.955,0.764,0.779
6DLR_1_A,0.483,0.933,0.636,0.671
7A9X_1_B,0.0,0.0,0.0,0.0
4IFD_1_R,1.0,1.0,1.0,1.0
6SZV_1_V,0.0,0.0,0.0,0.0
5WZI_1_B,0.0,0.0,0.0,0.0
5T5H_1_G,0.291,0.41,0.34,0.345
6XKO_1_A,0.417,0.789,0.545,0.574
4PCJ_1_A,0.0,0.0,0.0,0.0
3MXH_1_R,0.174,0.381,0.239,0.257
7N2V_1_Dt,0.25,0.304,0.275,0.276
6JOO_1_B,0.655,0.613,0.633,0.634
7KVT_1_B,0.396,0.864,0.543,0.585
7O80_1_AT,0.154,0.24,0.188,0.192
6ZMI_1_CC,0.486,0.857,0.621,0.646
5L4O_1_A,0.414,0.5,0.453,0.455
7O7Z_1_AH,0.667,0.741,0.702,0.703
6ZP4_1_1,0.457,0.727,0.561,0.577
3KFU_1_L,0.618,1.0,0.764,0.786
6XH2_1_D,0.818,1.0,0.9,0.905
2Y8Y_1_B,1.0,1.0,1.0,1.0
2ZUE_1_B,0.457,0.667,0.542,0.552
5F9F_1_F,0.909,1.0,0.952,0.953
5XTM_1_D,0.15,0.429,0.222,0.254
5XTM_1_B,0.136,0.429,0.207,0.242
6F4H_1_D,0.857,1.0,0.923,0.926
6MSF_1_S,0.0,0.0,0.0,0.0
7AS8_1_2,0.206,0.269,0.233,0.235
1QU2_1_T,0.636,0.955,0.764,0.779
3SN2_1_B,0.846,1.0,0.917,0.92
5DEA_1_C,0.25,0.714,0.37,0.423
4QI2_1_G,1.0,1.0,1.0,1.0
2Y9H_1_N,1.0,1.0,1.0,1.0
7JIL_1_3,0.35,0.7,0.467,0.495
