,PPV,TPR,F1,INF
7A01_d2,0.943,0.943,0.943,0.943
7A09_f,0.55,0.524,0.537,0.537
7A0R_Y,0.882,0.909,0.896,0.896
7A0S_Y,0.906,0.935,0.921,0.921
7A18_Y,0.933,0.966,0.949,0.949
7A5F_24,0.875,0.778,0.824,0.825
7A5F_C,0.875,0.778,0.824,0.825
7A5G_24,0.875,0.778,0.824,0.825
7A5G_C,0.875,0.778,0.824,0.825
7A5G_j,0.0,0.0,0.0,0.0
7A5H_24,1.0,1.0,1.0,1.0
7A5I_94,0.875,0.778,0.824,0.825
7A5I_99,0.778,0.7,0.737,0.738
7A5I_X,0.875,0.778,0.824,0.825
7A5J_G,0.875,0.778,0.824,0.825
7A5J_x,0.875,0.778,0.824,0.825
7A5K_24,0.875,0.778,0.824,0.825
7A5K_FE,0.875,0.778,0.824,0.825
7A5P_2,0.742,1.0,0.852,0.861
7ABF_6,0.909,0.909,0.909,0.909
7ABG_5,1.0,1.0,1.0,1.0
7ABI_5,1.0,1.0,1.0,1.0
7ABZ_3,0.257,0.231,0.243,0.244
7ABZ_7,0.267,0.308,0.286,0.286
7AC7_3,0.294,0.27,0.282,0.282
7AC7_7,0.3,0.3,0.3,0.3
7ACJ_3,0.303,0.27,0.286,0.286
7ACR_3,0.303,0.27,0.286,0.286
7AJT_D4,0.568,0.658,0.61,0.611
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.71,0.688,0.698,0.699
7AQC_T,0.55,0.524,0.537,0.537
7AQD_B,0.71,0.688,0.698,0.699
7AQD_T,0.571,0.545,0.558,0.558
7AS8_B,0.71,0.688,0.698,0.699
7AS9_2,0.318,0.333,0.326,0.326
7AS9_B,0.71,0.688,0.698,0.699
7ASA_A,0.824,0.875,0.848,0.849
7ASM_B,0.241,0.233,0.237,0.237
7ASN_B,0.579,0.55,0.564,0.564
7ASO_C,0.0,0.0,0.0,0.0
7ASP_3,0.0,0.0,0.0,0.0
7AZY_F,0.703,0.667,0.684,0.684
7B0Y_a,0.475,0.452,0.463,0.464
7B5K_9,0.722,0.722,0.722,0.722
7B5K_B,0.278,0.25,0.263,0.264
7B5K_x,0.238,0.227,0.233,0.233
7B5K_z,0.0,0.0,0.0,0.0
7B7D_LB,0.703,0.667,0.684,0.684
7B7D_Sm,0.81,0.773,0.791,0.791
7B7D_Sn,0.81,0.773,0.791,0.791
