,PPV,TPR,F1,INF
6YWE_1_bb,0.676,0.958,0.793,0.805
6P7M_1_B,0.556,1.0,0.714,0.745
4N0T_1_B,0.364,0.533,0.432,0.44
2PJP_1_B,0.8,0.889,0.842,0.843
4XNR_1_X,0.553,1.0,0.712,0.743
2XLK_1_C,0.833,1.0,0.909,0.913
2XDB_1_G,0.25,0.8,0.381,0.447
6SKG_1_BB,0.552,0.902,0.685,0.706
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.654,1.0,0.791,0.809
6ZDQ_1_C,0.682,0.882,0.769,0.776
3BT7_1_D,1.0,1.0,1.0,1.0
361D_1_A,0.875,1.0,0.933,0.935
5E81_1_1K,0.438,0.824,0.571,0.6
7AS8_1_2,0.206,0.28,0.237,0.24
6RFL_1_U,0.3,0.563,0.391,0.411
3K1V_1_A,0.227,1.0,0.37,0.477
4FEN_1_B,0.514,1.0,0.679,0.717
4V8D_1_CD,0.523,0.958,0.676,0.708
3DIL_1_A,0.532,0.909,0.671,0.695
3NVI_1_F,0.143,0.2,0.167,0.169
5L4O_1_A,0.414,0.5,0.453,0.455
5M0H_1_A,0.789,1.0,0.882,0.889
7MSF_1_R,0.8,1.0,0.889,0.894
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,0.909,0.909,0.909,0.909
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,1.0,1.0,1.0
1A9N_1_Q,0.714,1.0,0.833,0.845
6N2V_1_A,0.689,0.939,0.795,0.804
3RKF_1_C,0.571,1.0,0.727,0.756
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.429,0.6,0.5,0.507
6LT7_1_C,0.857,1.0,0.923,0.926
7MLW_1_F,0.456,0.721,0.559,0.573
6YDP_1_AV,0.25,0.6,0.353,0.387
7OLC_1_3,0.203,0.308,0.245,0.25
3HAX_1_E,0.762,1.0,0.865,0.873
2ZZM_1_B,0.425,0.654,0.515,0.527
2OIU_1_Q,0.71,0.88,0.786,0.79
6UGI_1_A,0.923,1.0,0.96,0.961
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.583,0.7,0.636,0.639
7ODF_1_F,0.714,0.833,0.769,0.772
5WTI_1_B,0.467,0.636,0.538,0.545
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.316,0.5,0.387,0.397
7C79_1_A,0.532,0.657,0.588,0.591
5T5A_1_A,0.207,0.316,0.25,0.256
6DVK_1_H,0.711,0.914,0.8,0.806
6Y2L_1_B4,0.579,0.957,0.721,0.744
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.257,0.346,0.295,0.298
5DH6_1_A,0.455,1.0,0.625,0.674
7REX_1_A,0.217,1.0,0.357,0.466
1ZBH_1_F,0.857,1.0,0.923,0.926
4X4V_1_B,0.917,1.0,0.957,0.957
7DCO_1_B,0.457,0.627,0.529,0.536
4C8Z_1_C,0.75,1.0,0.857,0.866
3GS5_1_A,0.5,0.75,0.6,0.612
3NPQ_1_A,0.25,0.429,0.316,0.327
5M0I_1_E,0.75,0.857,0.8,0.802
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,0.714,1.0,0.833,0.845
7OIF_1_z,0.415,0.63,0.5,0.511
3AKZ_1_E,0.27,0.417,0.328,0.336
6OL3_1_C,0.811,1.0,0.896,0.901
3MJA_1_B,0.833,0.833,0.833,0.833
5W1H_1_B,0.571,1.0,0.727,0.756
3MXH_1_R,0.13,0.261,0.174,0.184
4V90_1_AV,0.71,1.0,0.83,0.842
1F1T_1_A,0.214,0.6,0.316,0.359
5VW1_1_C,0.583,1.0,0.737,0.764
7O7Y_1_AT,0.286,0.333,0.308,0.309
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.389,0.667,0.491,0.509
7N2V_1_Dt,0.214,0.261,0.235,0.236
6XKO_1_A,0.222,0.308,0.258,0.261
7KGA_1_A,0.636,1.0,0.778,0.798
3G9C_1_Q,0.458,0.643,0.535,0.542
3DD2_1_B,0.0,0.0,0.0,0.0
6P2H_1_A,0.194,0.389,0.259,0.275
2BTE_1_B,0.474,0.783,0.59,0.609
6MWN_1_B,0.634,0.813,0.712,0.718
1F7U_1_B,0.0,0.0,0.0,0.0
5HR6_1_C,0.625,1.0,0.769,0.791
3LQX_1_B,0.714,1.0,0.833,0.845
1QU2_1_T,0.212,0.269,0.237,0.239
6PIJ_1_1,0.0,0.0,0.0,0.0
5Y85_1_D,0.556,0.769,0.645,0.654
3CUL_1_C,0.794,1.0,0.885,0.891
1R3E_1_C,0.714,1.0,0.833,0.845
3OVB_1_C,0.923,1.0,0.96,0.961
6DU4_1_B,0.7,1.0,0.824,0.837
3EPH_1_E,0.5,0.81,0.618,0.636
1G2E_1_B,0.0,0.0,0.0,0.0
2OEU_1_A,0.444,0.8,0.571,0.596
7RYG_1_B,0.404,0.605,0.484,0.494
3JCS_1_6,0.0,0.0,0.0,0.0
1B23_1_R,0.375,0.6,0.462,0.474
5M0J_1_E,0.75,0.857,0.8,0.802
6X5M_1_r,0.9,1.0,0.947,0.949
7CPU_1_S6,0.324,0.5,0.393,0.402
6ZMI_1_CC,0.514,0.864,0.644,0.666
4M6D_1_H,0.0,0.0,0.0,0.0
3EGZ_1_B,0.533,0.941,0.681,0.708
5VJ9_1_C,1.0,1.0,1.0,1.0
2Y9H_1_F,1.0,1.0,1.0,1.0
6TFF_1_A,0.739,0.944,0.829,0.836
4Z31_1_E,0.833,1.0,0.909,0.913
7OS0_1_F,0.75,0.75,0.75,0.75
5AXM_1_P,0.156,0.208,0.179,0.18
6IV9_1_B,0.8,0.889,0.842,0.843
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,0.786,0.917,0.846,0.849
5D0B_1_F,0.625,1.0,0.769,0.791
5WWF_1_B,0.0,0.0,0.0,0.0
2QWY_1_C,0.138,0.444,0.211,0.248
3VJR_1_B,0.857,1.0,0.923,0.926
5JBG_1_X,0.8,1.0,0.889,0.894
4P95_1_A,0.232,0.404,0.295,0.306
7D8O_1_B,0.0,0.0,0.0,0.0
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.25,0.6,0.353,0.387
7O1A_1_B8,0.667,1.0,0.8,0.816
6CFJ_1_1x,0.769,1.0,0.87,0.877
1L9A_1_B,0.358,0.615,0.453,0.47
4V8B_1_AB,0.289,0.355,0.319,0.32
7KGA_1_B,0.636,1.0,0.778,0.798
3HHN_1_E,0.557,0.895,0.687,0.706
2BH2_1_D,0.714,1.0,0.833,0.845
4QI2_1_G,0.0,0.0,0.0,0.0
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.375,1.0,0.545,0.612
3IEV_1_D,0.0,0.0,0.0,0.0
7A9W_1_B,0.0,0.0,0.0,0.0
4ZLD_1_B,1.0,1.0,1.0,1.0
3AGV_1_S,0.0,0.0,0.0,0.0
7P3K_1_V,0.606,1.0,0.755,0.778
2B3J_1_E,0.0,0.0,0.0,0.0
7CPU_1_L7,0.547,0.897,0.68,0.701
7P48_1_5,0.645,1.0,0.784,0.803
7MQA_1_L0,0.0,0.0,0.0,0.0
4ZDO_1_E,0.472,0.68,0.557,0.567
1Y26_1_X,0.525,1.0,0.689,0.725
7EQJ_1_B,0.206,0.292,0.241,0.245
6XH2_1_D,0.818,1.0,0.9,0.905
4PRF_1_B,0.0,0.0,0.0,0.0
2C4Q_1_R,1.0,1.0,1.0,1.0
7QEP_1_2,0.586,0.85,0.694,0.706
1L2X_1_A,0.313,1.0,0.476,0.559
6AZ3_1_5,0.289,0.419,0.342,0.348
3SUX_1_X,0.525,0.677,0.592,0.596
6VRB_1_B,0.8,1.0,0.889,0.894
3D0U_1_A,0.488,0.854,0.621,0.646
1EC6_1_C,0.667,1.0,0.8,0.816
6ZVI_1_e,0.514,0.947,0.667,0.698
5CCB_1_N,0.378,0.56,0.452,0.46
3BOY_1_D,0.0,0.0,0.0,0.0
4JRC_1_B,0.552,0.941,0.696,0.721
6XRQ_1_B,0.0,0.0,0.0,0.0
5F5F_1_B,0.75,1.0,0.857,0.866
7B5K_1_x,0.161,0.2,0.179,0.18
6BHJ_1_E,0.0,0.0,0.0,0.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,0.786,1.0,0.88,0.886
5DM6_1_Y,0.508,0.889,0.646,0.672
7KKV_1_B,0.667,0.818,0.735,0.739
4TUW_1_C,1.0,1.0,1.0,1.0
2Y9H_1_J,1.0,1.0,1.0,1.0
4YYE_1_C,0.297,0.458,0.361,0.369
7MJV_1_E,0.75,1.0,0.857,0.866
5DEA_1_A,0.238,0.714,0.357,0.412
7MQA_1_L2,0.69,0.8,0.741,0.743
6XU8_1_A7,0.4,0.65,0.495,0.51
2Y9H_1_N,1.0,1.0,1.0,1.0
2Y9H_1_H,1.0,1.0,1.0,1.0
