,PPV,TPR,F1,INF
7A01_d2,,,,
7A09_f,,,,
7A0R_Y,,,,
7A0S_Y,,,,
7A18_Y,,,,
7A5F_24,,,,
7A5F_C,,,,
7A5G_24,,,,
7A5G_C,,,,
7A5G_j,,,,
7A5H_24,,,,
7A5I_94,,,,
7A5I_99,,,,
7A5I_X,,,,
7A5J_G,,,,
7A5J_x,,,,
7A5K_24,,,,
7A5K_FE,,,,
7A5P_2,,,,
7ABF_6,,,,
7ABG_5,,,,
7ABI_5,,,,
7ABZ_3,,,,
7ABZ_7,,,,
7AC7_3,,,,
7AC7_7,,,,
7ACJ_3,,,,
7ACR_3,,,,
7AJT_D4,,,,
7AOR_A,,,,
7AQC_B,,,,
7AQC_T,,,,
7AQD_B,,,,
7AQD_T,,,,
7AS8_B,,,,
7AS9_2,,,,
7AS9_B,,,,
7ASA_A,,,,
7ASM_B,,,,
7ASN_B,,,,
7ASO_C,,,,
7ASP_3,,,,
7AZY_F,,,,
7B0Y_a,,,,
7B5K_9,,,,
7B5K_B,,,,
7B5K_x,,,,
7B5K_z,,,,
7B7D_LB,,,,
7B7D_Sm,,,,
7B7D_Sn,,,,
7B9V_5,,,,
7BG9_B,0.515,0.642,0.571,0.575
7BGB_B,0.667,0.72,0.692,0.693
7BHP_L7,,,,
7BL2_B,,,,
7BL3_B,,,,
7BL4_B,,,,
7BL5_B,,,,
7BL6_B,,,,
7BT6_3,,,,
7BTB_3,,,,
7BV8_B,,,,
7C79_A,0.741,0.822,0.779,0.78
7C7A_A,0.671,0.733,0.701,0.701
7CHD_I,,,,
7CHD_J,,,,
7CPJ_9,,,,
7CPJ_B,,,,
7CPU_L7,,,,
7CPV_L7,,,,
7D4I_3A,,,,
7D6Z_2,,,,
7D6Z_3,,,,
7D6Z_4,,,,
7D6Z_B,,,,
7D7V_A,0.842,0.889,0.865,0.865
7D80_a,,,,
7D80_X,,,,
7D80_y,,,,
7D80_Z,,,,
7DCO_B,,,,
7E8O_X,,,,
7EAF_A,,,,
7ELP_A,0.8,1.0,0.889,0.894
7ELP_B,0.8,1.0,0.889,0.894
7ELQ_A,0.8,1.0,0.889,0.894
7ELQ_B,0.8,1.0,0.889,0.894
7ELR_A,0.8,1.0,0.889,0.894
7ELR_B,0.8,1.0,0.889,0.894
7ELS_A,0.8,1.0,0.889,0.894
7ELS_B,0.8,1.0,0.889,0.894
7EQJ_A,,,,
7EQJ_B,,,,
7EZ0_N,,,,
7F36_E,,,,
7F36_F,,,,
7F36_G,,,,
7JIL_3,,,,
7JQC_i,,,,
7JQL_1B,,,,
7JQL_1x,,,,
7JQL_2B,,,,
7JQL_2x,,,,
7JQM_1B,,,,
7JQM_1x,,,,
7JQM_2B,,,,
7JQM_2x,,,,
7JQQ_K,,,,
7JQQ_L,,,,
7JQQ_M,,,,
7JQQ_N,,,,
7JQQ_O,,,,
7JSS_2,,,,
7JSS_5,,,,
7JSW_2,,,,
7JSW_5,,,,
7JSZ_2,,,,
7JSZ_5,,,,
7JT1_2,,,,
7JT1_5,,,,
7JT2_2,,,,
7JT2_5,,,,
7JT3_2,,,,
7JT3_5,,,,
7K00_b,,,,
7K00_Y,,,,
7K00_Z,,,,
7K50_2,,,,
7K50_5,,,,
7K50_6,,,,
7K50_7,,,,
7K51_2,,,,
7K51_5,,,,
7K51_6,,,,
7K52_2,,,,
7K52_5,,,,
7K52_6,,,,
7K53_2,,,,
7K53_5,,,,
7K53_6,,,,
7K53_7,,,,
7K54_2,,,,
7K54_5,,,,
7K54_6,,,,
7K55_2,,,,
7K55_5,,,,
7K55_6,,,,
7K98_C,,,,
7K98_F,,,,
7KD1_A,,,,
7KGA_A,0.571,0.889,0.696,0.713
7KGA_B,0.586,0.895,0.708,0.724
7KGB_B,,,,
7KGB_y,,,,
7LH5_AW,,,,
7LH5_BB,,,,
7LH5_CW,,,,
7LH5_DB,,,,
7LJ3_A,,,,
7LJ3_B,,,,
7LJ3_C,,,,
7LMB_B,,,,
7LS1_B2,,,,
7LS2_B2,,,,
7LV0_2,,,,
7LV0_5,,,,
7LV0_6,,,,
7LVA_A,,,,
7LVK_J,,,,
7LYF_A,0.955,0.933,0.944,0.944
7M4V_B,,,,
7M4W_B,,,,
7M4X_B,,,,
7M4X_v,,,,
7M4Y_B,,,,
7M4Y_v,,,,
7M4Z_B,,,,
7MD7_1B,,,,
7MD7_2B,,,,
7MDZ_2,,,,
7MDZ_7,,,,
7MQ8_L0,0.362,0.412,0.385,0.386
7MQ8_L2,0.634,0.667,0.65,0.65
7MQ9_L0,0.362,0.412,0.385,0.386
7MQ9_L2,0.625,0.658,0.641,0.641
7MQA_L2,0.767,0.846,0.805,0.806
7MRL_A,,,,
7MSC_B,,,,
7MSC_y,,,,
7MSH_B,,,,
7MSH_y,,,,
7MSM_B,,,,
7MSM_y,,,,
7MSZ_B,,,,
7MSZ_y,,,,
7MT2_B,,,,
7MT2_y,,,,
7MT3_B,,,,
7MT3_y,,,,
7MT7_B,,,,
7MT7_x,,,,
7MT7_y,,,,
7N1P_5,,,,
7N1P_Dt,,,,
7N2C_5,,,,
7N2C_Dt,,,,
7N2U_5,,,,
7N2U_Dt,,,,
7N2U_Pt,,,,
7N2V_5,,,,
7N2V_Dt,,,,
7N2V_Pt,,,,
7N30_5,,,,
7N30_Dt,,,,
7N31_5,,,,
7N31_Dt,,,,
7N31_Pt,,,,
7NBU_b,,,,
7NBU_V,,,,
7NFX_1,,,,
7NFX_7,,,,
7NHK_B,,,,
7NHL_B,,,,
7NHM_B,,,,
7NHN_B,,,,
7NRC_LB,,,,
7NRC_Sm,,,,
7NRC_Sn,,,,
7NRD_LB,,,,
7NRD_Sm,,,,
7NRD_Sn,,,,
7NSO_8,,,,
7NSO_B,,,,
7NSP_8,,,,
7NSP_B,,,,
7NSP_v,,,,
7NSQ_8,,,,
7NSQ_B,,,,
7NSQ_v,,,,
7NWG_33,,,,
7NWG_71,,,,
7NWG_q3,,,,
7NWH_7,,,,
7NWI_2,,,,
7NWI_7,,,,
7NWT_3,,,,
7NWW_3,,,,
7NWW_z,,,,
7O19_B8,,,,
7O19_BB,,,,
7O1A_B8,,,,
7O1A_BB,,,,
7O1C_B8,,,,
7O1C_BB,,,,
7O5B_Y,,,,
7O7Y_B7,,,,
7O7Z_AH,0.846,0.846,0.846,0.846
7O7Z_B7,,,,
7O80_AT,,,,
7O80_B7,,,,
7O81_AJ,,,,
7O81_AT,,,,
7O81_B7,,,,
7OBQ_1,,,,
7OBR_1,,,,
7OBR_7,,,,
7OH3_3,,,,
7OHQ_3,,,,
7OIF_3,,,,
7OIF_z,,,,
7OIG_3,,,,
7OIG_z,,,,
7OII_3,,,,
7OII_z,,,,
7OIZ_b,,,,
7OJ0_b,,,,
7OLC_3,,,,
7OLD_3,,,,
7OLD_5,,,,
7OPE_2,,,,
7OPE_B,,,,
7OSA_AB,,,,
7OSA_PSIT,,,,
7OSM_AB,,,,
7OSM_ASIT,,,,
7OSM_PSIT,,,,
7OT5_3,,,,
7OT5_z,,,,
7P3K_b,,,,
7P3K_V,,,,
7P48_5,,,,
7P48_B,,,,
7P7Q_B,,,,
7P7R_B,,,,
7P7S_B,,,,
7P7T_B,,,,
7P7T_C,,,,
7P7U_B,,,,
7PJS_B,,,,
7PJT_B,,,,
7PJT_v,,,,
7PJT_w,,,,
7PJU_B,,,,
7PJU_v,,,,
7PJU_w,,,,
7PJV_B,,,,
7PJV_v,,,,
7PJV_w,,,,
7PJW_B,,,,
7PJW_v,,,,
7PJW_w,,,,
7PJX_B,,,,
7PJX_v,,,,
7PJX_w,,,,
7PJY_B,,,,
7PJY_v,,,,
7PJY_w,,,,
7PJZ_B,,,,
7PJZ_v,,,,
7PJZ_w,,,,
7PWG_3,,,,
7PWO_3,,,,
7Q3L_2,,,,
7QEP_2,,,,
7QG8_A,,,,
7QG8_M,,,,
7QG8_O,,,,
7QGH_M,,,,
7QGH_O,,,,
7QGH_u,,,,
7QGN_A,,,,
7QGN_M,,,,
7QGN_O,,,,
7QGU_B,,,,
7QH4_B,,,,
7QV1_B,,,,
7QV2_B,,,,
7QV3_B,,,,
7QWQ_1,,,,
7QWQ_7,,,,
7QWR_7,,,,
7QWS_7,,,,
7QXA_B,0.234,0.366,0.286,0.293
7QXB_B,0.485,0.604,0.538,0.541
7QXS_B,0.485,0.604,0.538,0.541
7R6L_A,,,,
7R6M_A,,,,
7R6N_A,,,,
7R81_B1,,,,
7R81_t1,,,,
7R81_u1,,,,
7RQ8_1B,,,,
7RQ8_1w,,,,
7RQ8_1x,,,,
7RQ8_1y,,,,
7RQ8_2B,,,,
7RQ8_2x,,,,
7RQ9_1B,,,,
7RQ9_1w,,,,
7RQ9_1x,,,,
7RQ9_1y,,,,
7RQ9_2B,,,,
7RQ9_2x,,,,
7RQA_1B,,,,
7RQA_2B,,,,
7RQB_1B,,,,
7RQB_2B,,,,
7RQC_1B,,,,
7RQC_2B,,,,
7RQD_1B,,,,
7RQD_2B,,,,
7RQE_1B,,,,
7RQE_2B,,,,
7RR5_A,,,,
7RR5_C4,,,,
7RR5_P,,,,
7RYF_B,,,,
7RYF_v,,,,
7RYG_B,,,,
7RYG_v,,,,
7RYH_B,,,,
7S0S_i,,,,
7S1G_A,,,,
7S1G_J,,,,
7S1H_J,,,,
7S1I_A,,,,
7S1I_J,,,,
7S1J_J,,,,
7S1K_A,,,,
7S1K_J,,,,
7SAM_A,0.673,0.778,0.722,0.724
7SC6_C,0.623,0.733,0.673,0.676
7SCQ_C,0.706,0.75,0.727,0.728
7SS9_2,,,,
7SS9_5,,,,
7SS9_6,,,,
7SSD_2,,,,
7SSD_5,,,,
7SSD_6,,,,
7SSL_2,,,,
7SSL_5,,,,
7SSL_6,,,,
7SSN_2,,,,
7SSN_5,,,,
7SSN_6,,,,
7SSO_2,,,,
7SSO_5,,,,
7SSO_6,,,,
7SSW_2,,,,
7SSW_5,,,,
7SSW_6,,,,
7ST2_2,,,,
7ST2_5,,,,
7ST2_6,,,,
7ST6_2,,,,
7ST6_5,,,,
7ST6_6,,,,
7ST6_7,,,,
7ST7_2,,,,
7ST7_5,,,,
7ST7_6,,,,
7TDA_A,,,,
7TDB_A,,,,
7TDC_A,,,,
7TRC_B,0.654,0.708,0.68,0.681
7TRD_B,0.242,0.341,0.283,0.287
7TRE_B,0.29,0.391,0.333,0.337
7TRF_B,0.254,0.356,0.296,0.3
7V99_R,0.418,0.509,0.459,0.461
7V9A_R,0.471,0.432,0.451,0.451
7VNV_A,,,,
7VNV_B,,,,
7VNW_A,,,,
7VNW_B,,,,
1M5K_B,0.944,1.0,0.971,0.972
1M5K_E,0.952,1.0,0.976,0.976
1M5O_B,0.9,0.947,0.923,0.923
1M5O_E,0.905,0.95,0.927,0.927
1M5P_B,0.895,0.944,0.919,0.919
1M5P_E,0.9,0.947,0.923,0.923
1M5V_B,0.895,0.944,0.919,0.919
1M5V_E,0.895,0.944,0.919,0.919
3IZZ_D,,,,
4V9I_AY,,,,
4V9I_CY,,,,
5T5A_A,0.524,0.688,0.595,0.6
6JQ6_U,0.947,1.0,0.973,0.973
6LKQ_u,,,,
6LQM_5,,,,
6LSR_5,,,,
6LSS_5,,,,
6LU8_5,,,,
6M62_3,,,,
6NSH_RB,,,,
6NSH_YB,,,,
6NTA_RB,,,,
6NTA_YB,,,,
6NUO_QV,,,,
6NUO_RB,,,,
6NUO_XV,,,,
6NUO_YB,,,,
6NWY_QV,,,,
6NWY_RB,,,,
6NWY_XV,,,,
6NWY_YB,,,,
6O3M_QV,,,,
6O3M_RB,,,,
6O3M_XV,,,,
6O3M_YB,,,,
6O8W_B,,,,
6O8W_u,,,,
6O8X_B,,,,
6O8Y_B,,,,
6O8Z_B,,,,
6O90_B,,,,
6OF6_QV,,,,
6OF6_QW,,,,
6OF6_QY,,,,
6OF6_RB,,,,
6OF6_XV,,,,
6OF6_XW,,,,
6OF6_XY,,,,
6OF6_YB,,,,
6OJ2_QV,,,,
6OJ2_QW,,,,
6OJ2_QY,,,,
6OJ2_RB,,,,
6OJ2_XV,,,,
6OJ2_XW,,,,
6OJ2_XY,,,,
6OJ2_YB,,,,
6OM6_3,,,,
6OPE_QV,,,,
6OPE_QY,,,,
6OPE_RB,,,,
6OPE_XV,,,,
6OPE_XY,,,,
6OPE_YB,,,,
6ORD_QV,,,,
6ORD_QY,,,,
6ORD_RB,,,,
6ORD_XV,,,,
6ORD_XY,,,,
6ORD_YB,,,,
6OSI_QV,,,,
6OSI_RB,,,,
6OSI_XV,,,,
6OSI_YB,,,,
6PC5_J,,,,
6PC6_J,,,,
6PC7_J,,,,
6PC8_J,,,,
6PCH_J,,,,
6PCQ_J,,,,
6PCR_J,,,,
6PCS_J,,,,
6PCT_J,,,,
6SKF_BB,,,,
6SKG_BB,,,,
6SWA_s,,,,
6T3K_A,,,,
6T3S_A,,,,
6TB7_A,0.9,1.0,0.947,0.949
6TF1_A,0.9,1.0,0.947,0.949
6TF2_A,0.9,1.0,0.947,0.949
6TF3_A,0.9,1.0,0.947,0.949
6TFE_A,0.9,1.0,0.947,0.949
6TFF_A,0.9,1.0,0.947,0.949
6TFG_A,0.9,1.0,0.947,0.949
6TH6_BB,,,,
6TNN_V,,,,
6VMY_A,,,,
6VU3_A,,,,
6VU3_B,,,,
6VU3_d,,,,
6VVJ_A,,,,
6VWL_3,,,,
6VWL_5,,,,
6VWM_3,,,,
6VWM_5,,,,
6VWN_3,,,,
6VWN_5,,,,
6VWT_A,,,,
6VWT_B,,,,
6VWV_A,,,,
6VWV_B,,,,
6VYQ_A,,,,
6VYQ_B,,,,
6VYQ_d,,,,
6VYR_A,,,,
6VYR_B,,,,
6VYR_d,,,,
6VYS_A,,,,
6VYS_B,,,,
6VYS_d,,,,
6VYT_A,,,,
6VYT_B,,,,
6VYT_d,,,,
6VYU_A,,,,
6VYU_B,,,,
6VYU_d,,,,
6VYW_A,,,,
6VYW_B,,,,
6VYW_d,,,,
6VYX_A,,,,
6VYX_B,,,,
6VYX_d,,,,
6VYY_A,,,,
6VYY_B,,,,
6VYY_d,,,,
6VYZ_A,,,,
6VYZ_B,,,,
6VYZ_d,,,,
6VZ2_A,,,,
6VZ2_B,,,,
6VZ2_d,,,,
6VZ3_A,,,,
6VZ3_B,,,,
6VZ3_d,,,,
6VZ5_A,,,,
6VZ5_B,,,,
6VZ5_d,,,,
6VZ7_A,,,,
6VZ7_B,,,,
6VZ7_d,,,,
6VZJ_A,,,,
6VZJ_B,,,,
6VZJ_d,,,,
6W6L_E,,,,
6W6L_u,,,,
6W6L_v,,,,
6W6P_B,,,,
6W6V_A,0.6,0.806,0.688,0.695
6WD0_2,,,,
6WD0_5,,,,
6WD0_6,,,,
6WD1_2,,,,
6WD1_5,,,,
6WD2_2,,,,
6WD2_5,,,,
6WD2_6,,,,
6WD2_7,,,,
6WD3_2,,,,
6WD3_5,,,,
6WD3_6,,,,
6WD3_7,,,,
6WD4_2,,,,
6WD4_5,,,,
6WD4_6,,,,
6WD4_7,,,,
6WD5_2,,,,
6WD5_5,,,,
6WD5_6,,,,
6WD5_7,,,,
6WD6_2,,,,
6WD6_5,,,,
6WD6_6,,,,
6WD6_7,,,,
6WD7_2,,,,
6WD7_5,,,,
6WD7_6,,,,
6WD7_7,,,,
6WD8_2,,,,
6WD8_5,,,,
6WD8_6,,,,
6WD8_7,,,,
6WD9_2,,,,
6WD9_5,,,,
6WD9_6,,,,
6WD9_7,,,,
6WDA_2,,,,
6WDA_5,,,,
6WDA_6,,,,
6WDA_7,,,,
6WDB_2,,,,
6WDB_5,,,,
6WDB_6,,,,
6WDB_7,,,,
6WDC_2,,,,
6WDC_5,,,,
6WDC_6,,,,
6WDC_7,,,,
6WDD_2,,,,
6WDD_5,,,,
6WDD_6,,,,
6WDD_7,,,,
6WDE_2,,,,
6WDE_5,,,,
6WDE_6,,,,
6WDE_7,,,,
6WDF_2,,,,
6WDF_5,,,,
6WDF_7,,,,
6WDG_2,,,,
6WDG_5,,,,
6WDG_7,,,,
6WDH_2,,,,
6WDH_5,,,,
6WDH_6,,,,
6WDH_7,,,,
6WDI_2,,,,
6WDI_5,,,,
6WDI_6,,,,
6WDI_7,,,,
6WDJ_2,,,,
6WDJ_5,,,,
6WDJ_6,,,,
