,PPV,TPR,F1,INF
7MQ8_L2,0.61,0.72,0.661,0.663
7MQ9_L2,0.574,0.714,0.636,0.64
7MQA_L2,0.569,0.579,0.574,0.574
7QXA_B,0.2,0.274,0.231,0.234
7V9A_R,0.125,0.171,0.144,0.146
7TRD_B,0.291,0.397,0.336,0.34
7BG9_B,0.0,0.0,0.0,0.0
7TRE_B,0.282,0.393,0.329,0.333
7V99_R,0.0,0.0,0.0,0.0
7TRF_B,0.291,0.391,0.333,0.337
7TRC_B,0.595,0.926,0.725,0.742
7BGB_B,0.722,0.963,0.825,0.834
7QXS_B,0.0,0.0,0.0,0.0
7QXB_B,0.0,0.0,0.0,0.0
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.473,0.642,0.545,0.551
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.358,0.5,0.417,0.423
7C79_A,0.492,0.646,0.559,0.564
7ELD_B,0.661,1.0,0.796,0.813
6XRZ_A,0.426,0.69,0.526,0.542
7O7Z_AH,0.667,0.69,0.678,0.678
7KGA_B,0.636,1.0,0.778,0.798
7KGA_A,0.636,1.0,0.778,0.798
7MQ9_L0,0.284,0.377,0.324,0.327
7MQ8_L0,0.307,0.377,0.338,0.34
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.885,0.958,0.92,0.921
7SAM_A,0.658,0.926,0.769,0.78
7SCQ_C,0.533,0.907,0.671,0.695
7SC6_C,0.588,0.926,0.719,0.738
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.705,0.956,0.811,0.821
6JQ6_U,0.621,0.857,0.72,0.729
5T5A_A,0.414,0.571,0.48,0.486
6TFE_A,0.435,0.667,0.526,0.538
6TF0_A,0.227,0.385,0.286,0.296
6TFH_A,0.227,0.385,0.286,0.296
6TFF_A,0.435,0.667,0.526,0.538
6TFG_A,0.435,0.667,0.526,0.538
6TB7_A,0.435,0.667,0.526,0.538
7D7V_A,0.727,1.0,0.842,0.853
7D7Y_A,0.727,0.941,0.821,0.827
6TF3_A,0.435,0.667,0.526,0.538
6TF1_A,0.435,0.667,0.526,0.538
7D7X_A,0.727,0.941,0.821,0.827
7D82_A,0.85,1.0,0.919,0.922
7D81_A,0.773,1.0,0.872,0.879
7D7W_A,0.727,0.941,0.821,0.827
7D7Z_A,0.727,0.941,0.821,0.827
6TF2_A,0.435,0.667,0.526,0.538
7ELR_B,0.478,0.733,0.579,0.592
7ELS_A,0.5,0.733,0.595,0.606
7ELQ_A,0.478,0.733,0.579,0.592
7ELR_A,0.478,0.733,0.579,0.592
7ELS_B,0.458,0.733,0.564,0.58
7ELQ_B,0.458,0.733,0.564,0.58
7ELP_B,0.458,0.733,0.564,0.58
7ELP_A,0.5,0.733,0.595,0.606
1M5V_E,0.606,0.8,0.69,0.696
1M5K_B,0.556,0.8,0.656,0.667
1M5P_B,0.571,0.8,0.667,0.676
1M5P_E,0.625,0.8,0.702,0.707
1M5O_E,0.606,0.8,0.69,0.696
1M5V_B,0.606,0.8,0.69,0.696
1M5K_E,0.588,0.8,0.678,0.686
1M5O_B,0.588,0.8,0.678,0.686
