,PPV,TPR,F1,INF
7A01_d2,0.943,1.0,0.971,0.971
7A09_f,0.95,1.0,0.974,0.975
7A0R_Y,0.794,0.818,0.806,0.806
7A0S_Y,0.813,0.839,0.825,0.826
7A18_Y,0.833,0.862,0.847,0.848
7A5F_24,0.875,0.778,0.824,0.825
7A5F_C,0.875,0.778,0.824,0.825
7A5G_24,0.875,0.778,0.824,0.825
7A5G_C,0.875,0.778,0.824,0.825
7A5G_j,0.556,0.769,0.645,0.654
7A5H_24,1.0,1.0,1.0,1.0
7A5I_94,0.875,0.778,0.824,0.825
7A5I_99,0.778,0.7,0.737,0.738
7A5I_X,0.875,0.778,0.824,0.825
7A5J_G,0.875,0.778,0.824,0.825
7A5J_x,0.875,0.778,0.824,0.825
7A5K_24,0.875,0.778,0.824,0.825
7A5K_FE,0.875,0.778,0.824,0.825
7A5P_2,0.71,1.0,0.83,0.842
7ABF_6,0.636,0.7,0.667,0.667
7ABG_5,0.75,0.84,0.792,0.794
7ABI_5,0.75,0.778,0.764,0.764
7ABZ_3,0.943,1.0,0.971,0.971
7ABZ_7,0.933,1.0,0.966,0.966
7AC7_3,0.941,1.0,0.97,0.97
7AC7_7,0.35,0.412,0.378,0.38
7ACJ_3,0.939,1.0,0.969,0.969
7ACR_3,0.939,1.0,0.969,0.969
7AJT_D4,0.091,0.138,0.11,0.112
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.968,1.0,0.984,0.984
7AQC_T,0.95,1.0,0.974,0.975
7AQD_B,0.968,1.0,0.984,0.984
7AQD_T,0.952,1.0,0.976,0.976
7AS8_B,0.968,1.0,0.984,0.984
7AS9_2,0.955,1.0,0.977,0.977
7AS9_B,0.968,1.0,0.984,0.984
7ASA_A,0.706,0.857,0.774,0.778
7ASM_B,0.897,1.0,0.945,0.947
7ASN_B,0.579,0.733,0.647,0.652
7ASO_C,0.222,0.222,0.222,0.222
7ASP_3,0.375,0.353,0.364,0.364
7AZY_F,0.838,0.912,0.873,0.874
7B0Y_a,0.625,0.735,0.676,0.678
7B5K_9,0.944,1.0,0.971,0.972
7B5K_B,0.944,1.0,0.971,0.972
7B5K_x,0.905,0.95,0.927,0.927
7B5K_z,0.947,1.0,0.973,0.973
7B7D_LB,0.838,0.912,0.873,0.874
7B7D_Sm,0.81,0.944,0.872,0.874
7B7D_Sn,0.81,0.944,0.872,0.874
7B9V_5,0.51,0.667,0.578,0.583
7BG9_B,0.182,0.207,0.194,0.194
7BGB_B,0.815,0.917,0.863,0.864
7BHP_L7,0.944,1.0,0.971,0.972
7BL2_B,0.97,1.0,0.985,0.985
7BL3_B,0.944,1.0,0.971,0.972
7BL4_B,0.944,1.0,0.971,0.972
7BL5_B,0.968,1.0,0.984,0.984
7BL6_B,0.944,1.0,0.971,0.972
7BT6_3,0.793,0.885,0.836,0.838
7BTB_3,0.8,0.857,0.828,0.828
7BV8_B,0.944,1.0,0.971,0.972
7C79_A,0.741,0.833,0.784,0.786
7C7A_A,0.707,0.784,0.744,0.745
7CHD_I,0.524,0.579,0.55,0.551
7CHD_J,0.524,0.579,0.55,0.551
7CPJ_9,0.952,1.0,0.976,0.976
7CPJ_B,0.941,1.0,0.97,0.97
7CPU_L7,0.944,1.0,0.971,0.972
7CPV_L7,0.944,1.0,0.971,0.972
7D4I_3A,0.591,0.684,0.634,0.636
7D6Z_2,0.923,0.857,0.889,0.889
7D6Z_3,0.737,0.933,0.824,0.829
7D6Z_4,0.765,0.867,0.813,0.814
7D6Z_B,0.943,1.0,0.971,0.971
7D7V_A,0.0,0.0,0.0,0.0
7D80_a,0.939,1.0,0.969,0.969
7D80_X,0.833,0.714,0.769,0.772
7D80_y,0.8,0.923,0.857,0.859
7D80_Z,0.556,0.556,0.556,0.556
7DCO_B,0.532,0.676,0.595,0.6
7E8O_X,0.955,1.0,0.977,0.977
7EAF_A,0.733,0.88,0.8,0.803
7ELP_A,0.733,1.0,0.846,0.856
7ELP_B,0.733,1.0,0.846,0.856
7ELQ_A,0.733,1.0,0.846,0.856
7ELQ_B,0.733,1.0,0.846,0.856
7ELR_A,0.733,1.0,0.846,0.856
7ELR_B,0.733,1.0,0.846,0.856
7ELS_A,0.733,1.0,0.846,0.856
7ELS_B,0.733,1.0,0.846,0.856
7EQJ_A,0.955,1.0,0.977,0.977
7EQJ_B,0.955,1.0,0.977,0.977
7EZ0_N,0.833,0.955,0.89,0.892
7F36_E,0.955,1.0,0.977,0.977
7F36_F,0.913,1.0,0.955,0.956
7F36_G,0.955,1.0,0.977,0.977
7JIL_3,0.903,0.966,0.933,0.934
7JQC_i,0.438,0.5,0.467,0.468
7JQL_1B,0.947,1.0,0.973,0.973
7JQL_1x,0.524,0.611,0.564,0.566
7JQL_2B,0.939,1.0,0.969,0.969
7JQL_2x,0.524,0.611,0.564,0.566
7JQM_1B,0.947,1.0,0.973,0.973
7JQM_1x,0.524,0.611,0.564,0.566
7JQM_2B,0.943,1.0,0.971,0.971
7JQM_2x,0.55,0.611,0.579,0.58
7JQQ_K,0.727,0.923,0.814,0.819
7JQQ_L,0.621,0.783,0.692,0.697
7JQQ_M,0.697,0.885,0.78,0.785
