,PPV,TPR,F1,INF
6YWE_1_bb,0.95,1.0,0.974,0.975
6P7M_1_B,1.0,1.0,1.0,1.0
4N0T_1_B,0.375,0.462,0.414,0.416
2PJP_1_B,0.8,0.889,0.842,0.843
4XNR_1_X,0.84,1.0,0.913,0.917
2XLK_1_C,0.8,1.0,0.889,0.894
2XDB_1_G,0.571,1.0,0.727,0.756
6SKG_1_BB,0.946,0.946,0.946,0.946
5MGA_1_B,1.0,1.0,1.0,1.0
4K27_1_U,1.0,1.0,1.0,1.0
6ZDQ_1_C,0.222,0.267,0.242,0.243
3BT7_1_D,1.0,1.0,1.0,1.0
361D_1_A,1.0,1.0,1.0,1.0
5E81_1_1K,0.643,0.643,0.643,0.643
7AS8_1_2,0.211,0.222,0.216,0.216
6RFL_1_U,0.556,0.667,0.606,0.609
3K1V_1_A,0.5,1.0,0.667,0.707
4FEN_1_B,0.783,0.947,0.857,0.861
4V8D_1_CD,0.958,1.0,0.979,0.979
3DIL_1_A,0.548,0.642,0.591,0.593
3NVI_1_F,0.667,0.667,0.667,0.667
5L4O_1_A,0.524,0.524,0.524,0.524
5M0H_1_A,0.933,1.0,0.966,0.966
7MSF_1_R,1.0,1.0,1.0,1.0
4KR6_1_D,0.8,0.889,0.842,0.843
2Y8W_1_B,0.833,1.0,0.909,0.913
1A9N_1_Q,0.0,0.0,0.0,0.0
6N2V_1_A,0.625,0.667,0.645,0.645
3RKF_1_C,0.792,1.0,0.884,0.89
5NFV_1_B,0.8,1.0,0.889,0.894
1U1Y_1_R,0.4,0.5,0.444,0.447
6LT7_1_C,0.857,1.0,0.923,0.926
7MLW_1_F,0.7,0.778,0.737,0.738
6YDP_1_AV,0.529,0.75,0.621,0.63
7OLC_1_3,0.568,0.6,0.583,0.584
3HAX_1_E,1.0,1.0,1.0,1.0
2ZZM_1_B,0.2,0.25,0.222,0.224
2OIU_1_Q,0.913,0.913,0.913,0.913
6UGI_1_A,0.917,1.0,0.957,0.957
5B2T_1_A,0.824,0.778,0.8,0.8
