,PPV,TPR,F1,INF
7A01_d2,0.971,0.971,0.971,0.971
7A09_f,1.0,1.0,1.0,1.0
7A0R_Y,0.912,1.0,0.954,0.955
7A0S_Y,0.906,1.0,0.951,0.952
7A18_Y,0.933,1.0,0.966,0.966
7A5F_24,0.875,0.778,0.824,0.825
7A5F_C,0.875,0.778,0.824,0.825
7A5G_24,0.875,0.778,0.824,0.825
7A5G_C,0.875,0.778,0.824,0.825
7A5G_j,0.889,0.889,0.889,0.889
7A5H_24,1.0,1.0,1.0,1.0
7A5I_94,0.875,0.778,0.824,0.825
7A5I_99,0.778,0.636,0.7,0.704
7A5I_X,0.875,0.778,0.824,0.825
7A5J_G,0.875,0.778,0.824,0.825
7A5J_x,0.875,0.778,0.824,0.825
7A5K_24,0.875,0.778,0.824,0.825
7A5K_FE,0.875,0.778,0.824,0.825
7A5P_2,0.903,1.0,0.949,0.95
7ABF_6,0.636,1.0,0.778,0.798
7ABG_5,0.857,0.96,0.906,0.907
7ABI_5,0.893,0.962,0.926,0.927
7ABZ_3,0.971,1.0,0.986,0.986
7ABZ_7,0.867,1.0,0.929,0.931
7AC7_3,0.971,1.0,0.985,0.985
7AC7_7,0.95,1.0,0.974,0.975
7ACJ_3,0.97,1.0,0.985,0.985
7ACR_3,0.97,1.0,0.985,0.985
7AJT_D4,0.295,0.684,0.413,0.45
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.871,0.871,0.871,0.871
7AQC_T,0.95,1.0,0.974,0.975
7AQD_B,0.871,0.871,0.871,0.871
7AQD_T,0.952,1.0,0.976,0.976
7AS8_B,0.871,0.871,0.871,0.871
7AS9_2,0.955,1.0,0.977,0.977
7AS9_B,0.871,0.871,0.871,0.871
7ASA_A,0.706,1.0,0.828,0.84
7ASM_B,0.966,0.966,0.966,0.966
7ASN_B,0.895,0.944,0.919,0.919
7ASO_C,0.444,0.333,0.381,0.385
7ASP_3,0.688,0.579,0.629,0.631
7AZY_F,0.919,0.971,0.944,0.945
7B0Y_a,0.675,0.771,0.72,0.722
7B5K_9,0.944,1.0,0.971,0.972
7B5K_B,0.972,1.0,0.986,0.986
7B5K_x,0.952,1.0,0.976,0.976
7B5K_z,0.947,1.0,0.973,0.973
7B7D_LB,0.919,0.971,0.944,0.945
7B7D_Sm,1.0,1.0,1.0,1.0
7B7D_Sn,1.0,1.0,1.0,1.0
7B9V_5,0.373,0.633,0.469,0.486
7BG9_B,0.167,0.314,0.218,0.229
7BGB_B,0.889,0.96,0.923,0.924
7BHP_L7,0.972,0.972,0.972,0.972
7BL2_B,1.0,1.0,1.0,1.0
7BL3_B,0.972,1.0,0.986,0.986
7BL4_B,0.972,1.0,0.986,0.986
7BL5_B,1.0,1.0,1.0,1.0
7BL6_B,0.972,1.0,0.986,0.986
7BT6_3,0.897,0.963,0.929,0.929
7BTB_3,0.933,0.933,0.933,0.933
7BV8_B,0.972,1.0,0.986,0.986
7C79_A,0.593,0.857,0.701,0.713
7C7A_A,0.573,0.825,0.676,0.687
7CHD_I,0.905,0.95,0.927,0.927
7CHD_J,0.905,0.95,0.927,0.927
7CPJ_9,0.952,1.0,0.976,0.976
7CPJ_B,0.971,1.0,0.985,0.985
7CPU_L7,0.972,0.972,0.972,0.972
7CPV_L7,0.972,0.972,0.972,0.972
7D4I_3A,0.75,0.943,0.835,0.841
7D6Z_2,0.615,0.8,0.696,0.702
7D6Z_3,0.947,0.947,0.947,0.947
7D6Z_4,1.0,1.0,1.0,1.0
7D6Z_B,0.971,1.0,0.986,0.986
7D7V_A,0.632,0.667,0.649,0.649
7D80_a,0.97,1.0,0.985,0.985
7D80_X,0.667,0.667,0.667,0.667
