,PPV,TPR,F1,INF
7MQ8_L2,0.78,0.821,0.8,0.8
7MQ9_L2,0.775,0.816,0.795,0.795
7MQA_L2,0.791,0.829,0.81,0.81
7QXA_B,0.203,0.232,0.217,0.217
7V9A_R,0.294,0.323,0.308,0.308
7TRD_B,0.226,0.28,0.25,0.251
7BG9_B,0.212,0.237,0.224,0.224
7TRE_B,0.242,0.3,0.268,0.269
7V99_R,0.343,0.377,0.359,0.36
7TRF_B,0.238,0.294,0.263,0.265
7TRC_B,0.923,0.96,0.941,0.941
7BGB_B,0.889,0.923,0.906,0.906
7QXS_B,0.212,0.23,0.22,0.221
7QXB_B,0.212,0.23,0.22,0.221
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.61,0.704,0.654,0.655
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.522,0.681,0.591,0.596
7C79_A,0.617,0.725,0.667,0.669
7ELD_B,0.929,1.0,0.963,0.964
6XRZ_A,0.643,0.783,0.706,0.709
7O7Z_AH,0.692,0.947,0.8,0.81
7KGA_B,0.724,1.0,0.84,0.851
7KGA_A,0.75,1.0,0.857,0.866
7MQ9_L0,0.276,0.302,0.288,0.289
7MQ8_L0,0.276,0.302,0.288,0.289
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.957,1.0,0.978,0.978
7SAM_A,0.923,0.941,0.932,0.932
7SCQ_C,0.882,0.938,0.909,0.91
7SC6_C,0.887,0.94,0.913,0.913
4C9D_D,1.0,1.0,1.0,1.0
7LYF_A,0.932,1.0,0.965,0.965
6JQ6_U,0.947,1.0,0.973,0.973
5T5A_A,0.524,0.846,0.647,0.666
6TFE_A,0.8,0.889,0.842,0.843
6TF0_A,0.421,0.727,0.533,0.553
6TFH_A,0.421,0.727,0.533,0.553
6TFF_A,0.8,0.889,0.842,0.843
6TFG_A,0.8,0.889,0.842,0.843
6TB7_A,0.8,0.889,0.842,0.843
7D7V_A,0.526,0.588,0.556,0.556
7D7Y_A,0.526,1.0,0.69,0.725
6TF3_A,0.8,0.889,0.842,0.843
6TF1_A,0.8,0.889,0.842,0.843
7D7X_A,0.526,1.0,0.69,0.725
7D82_A,1.0,1.0,1.0,1.0
7D81_A,1.0,1.0,1.0,1.0
7D7W_A,0.526,1.0,0.69,0.725
7D7Z_A,0.526,1.0,0.69,0.725
6TF2_A,0.8,0.889,0.842,0.843
7ELR_B,0.667,1.0,0.8,0.816
7ELS_A,0.667,1.0,0.8,0.816
7ELQ_A,0.667,1.0,0.8,0.816
7ELR_A,0.667,1.0,0.8,0.816
7ELS_B,0.667,1.0,0.8,0.816
7ELQ_B,0.667,1.0,0.8,0.816
7ELP_B,0.667,1.0,0.8,0.816
7ELP_A,0.667,1.0,0.8,0.816
1M5V_E,0.947,1.0,0.973,0.973
1M5K_B,0.944,1.0,0.971,0.972
1M5P_B,0.947,1.0,0.973,0.973
1M5P_E,0.95,1.0,0.974,0.975
1M5O_E,0.952,1.0,0.976,0.976
1M5V_B,0.947,1.0,0.973,0.973
1M5K_E,0.952,1.0,0.976,0.976
1M5O_B,0.95,1.0,0.974,0.975
