,PPV,TPR,F1,INF
6YWE_1_bb,0.647,1.0,0.786,0.804
6P7M_1_B,0.556,1.0,0.714,0.745
4N0T_1_B,0.318,0.5,0.389,0.399
2PJP_1_B,0.8,0.889,0.842,0.843
4XNR_1_X,0.553,1.0,0.712,0.743
2XLK_1_C,0.833,1.0,0.909,0.913
2XDB_1_G,0.25,0.8,0.381,0.447
6SKG_1_BB,0.522,0.897,0.66,0.685
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.654,1.0,0.791,0.809
6ZDQ_1_C,0.682,0.882,0.769,0.776
3BT7_1_D,1.0,1.0,1.0,1.0
361D_1_A,0.875,1.0,0.933,0.935
5E81_1_1K,0.406,0.929,0.565,0.614
7AS8_1_2,0.206,0.269,0.233,0.235
6RFL_1_U,0.3,0.563,0.391,0.411
3K1V_1_A,0.227,1.0,0.37,0.477
4FEN_1_B,0.514,1.0,0.679,0.717
4V8D_1_CD,0.273,0.48,0.348,0.362
3DIL_1_A,0.479,0.776,0.592,0.609
3NVI_1_F,0.286,0.333,0.308,0.309
5L4O_1_A,0.414,0.522,0.462,0.465
5M0H_1_A,0.789,1.0,0.882,0.889
7MSF_1_R,0.8,1.0,0.889,0.894
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,0.909,0.909,0.909,0.909
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,1.0,1.0,1.0
1A9N_1_Q,0.714,1.0,0.833,0.845
6N2V_1_A,0.689,0.969,0.805,0.817
3RKF_1_C,0.571,1.0,0.727,0.756
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.429,0.6,0.5,0.507
6LT7_1_C,0.857,1.0,0.923,0.926
7MLW_1_F,0.426,0.725,0.537,0.556
6YDP_1_AV,0.25,0.6,0.353,0.387
7OLC_1_3,0.492,0.763,0.598,0.612
3HAX_1_E,0.762,1.0,0.865,0.873
2ZZM_1_B,0.175,0.292,0.219,0.226
2OIU_1_Q,0.71,1.0,0.83,0.842
6UGI_1_A,0.923,1.0,0.96,0.961
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.583,0.7,0.636,0.639
7ODF_1_F,0.714,0.833,0.769,0.772
5WTI_1_B,0.467,0.656,0.545,0.553
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.289,0.458,0.355,0.364
7C79_1_A,0.492,0.646,0.559,0.564
5T5A_1_A,0.414,0.571,0.48,0.486
6DVK_1_H,0.711,0.914,0.8,0.806
6Y2L_1_B4,0.579,1.0,0.733,0.761
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.257,0.333,0.29,0.293
5DH6_1_A,0.455,1.0,0.625,0.674
7REX_1_A,0.174,1.0,0.296,0.417
1ZBH_1_F,0.857,1.0,0.923,0.926
4X4V_1_B,0.917,1.0,0.957,0.957
7DCO_1_B,0.414,0.604,0.492,0.5
4C8Z_1_C,0.75,1.0,0.857,0.866
3GS5_1_A,0.5,0.75,0.6,0.612
3NPQ_1_A,0.25,0.429,0.316,0.327
5M0I_1_E,0.75,0.857,0.8,0.802
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,0.714,1.0,0.833,0.845
7OIF_1_z,0.415,0.68,0.515,0.531
3AKZ_1_E,0.27,0.476,0.345,0.359
6OL3_1_C,0.792,1.0,0.884,0.89
3MJA_1_B,0.833,0.833,0.833,0.833
5W1H_1_B,0.571,1.0,0.727,0.756
3MXH_1_R,0.13,0.25,0.171,0.181
4V90_1_AV,0.71,1.0,0.83,0.842
1F1T_1_A,0.357,0.833,0.5,0.546
5VW1_1_C,0.667,1.0,0.8,0.816
7O7Y_1_AT,0.286,0.333,0.308,0.309
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.389,0.667,0.491,0.509
7N2V_1_Dt,0.214,0.286,0.245,0.247
6XKO_1_A,0.667,0.889,0.762,0.77
7KGA_1_A,0.636,1.0,0.778,0.798
3G9C_1_Q,0.458,0.659,0.54,0.549
3DD2_1_B,0.0,0.0,0.0,0.0
6P2H_1_A,0.361,0.765,0.491,0.525
2BTE_1_B,0.447,0.81,0.576,0.602
6MWN_1_B,0.634,0.813,0.712,0.718
1F7U_1_B,0.0,0.0,0.0,0.0
5HR6_1_C,0.344,0.611,0.44,0.458
3LQX_1_B,0.714,1.0,0.833,0.845
1QU2_1_T,0.212,0.269,0.237,0.239
6PIJ_1_1,0.0,0.0,0.0,0.0
5Y85_1_D,0.278,0.455,0.345,0.355
3CUL_1_C,0.794,1.0,0.885,0.891
1R3E_1_C,0.714,1.0,0.833,0.845
3OVB_1_C,0.923,1.0,0.96,0.961
6DU4_1_B,0.7,0.875,0.778,0.783
3EPH_1_E,0.471,0.8,0.593,0.614
1G2E_1_B,0.0,0.0,0.0,0.0
