,PPV,TPR,F1,INF
6YWE_1_bb,0.676,0.958,0.793,0.805
6P7M_1_B,0.75,0.6,0.667,0.671
4N0T_1_B,0.529,0.9,0.667,0.69
2PJP_1_B,0.857,0.75,0.8,0.802
4XNR_1_X,0.773,0.85,0.81,0.81
2XLK_1_C,1.0,0.8,0.889,0.894
2XDB_1_G,0.0,0.0,0.0,0.0
6SKG_1_BB,0.522,0.897,0.66,0.685
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.571,0.857,0.686,0.7
3BT7_1_D,1.0,0.833,0.909,0.913
361D_1_A,1.0,0.833,0.909,0.913
5E81_1_1K,0.469,0.789,0.588,0.608
7AS8_1_2,0.789,0.682,0.732,0.734
3K1V_1_A,0.267,1.0,0.421,0.516
4FEN_1_B,0.714,0.833,0.769,0.772
4V8D_1_CD,0.455,0.952,0.615,0.658
3NVI_1_F,0.667,0.667,0.667,0.667
7MSF_1_R,1.0,0.75,0.857,0.866
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,1.0,0.818,0.9,0.905
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,0.2,0.333,0.447
3RKF_1_C,0.789,0.789,0.789,0.789
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.6,0.75,0.667,0.671
6LT7_1_C,1.0,0.75,0.857,0.866
7MLW_1_F,0.522,0.75,0.615,0.626
6YDP_1_AV,0.139,0.5,0.217,0.264
7OLC_1_3,0.579,0.667,0.62,0.621
3HAX_1_E,0.813,0.813,0.813,0.813
2ZZM_1_B,0.556,0.556,0.556,0.556
2OIU_1_Q,0.857,0.818,0.837,0.837
6UGI_1_A,0.909,0.833,0.87,0.87
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.737,0.933,0.824,0.829
7ODF_1_F,0.667,0.4,0.5,0.516
5WTI_1_B,0.214,0.3,0.25,0.254
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.6,1.0,0.75,0.775
5AH5_1_D,0.421,0.5,0.457,0.459
6DVK_1_H,0.794,0.9,0.844,0.845
6Y2L_1_B4,0.368,0.737,0.491,0.521
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.273,0.353,0.308,0.31
5DH6_1_A,0.0,0.0,0.0,0.0
1ZBH_1_F,0.8,0.667,0.727,0.73
4X4V_1_B,0.9,0.9,0.9,0.9
7DCO_1_B,0.386,0.447,0.415,0.416
4C8Z_1_C,1.0,0.667,0.8,0.816
3GS5_1_A,0.6,0.6,0.6,0.6
3NPQ_1_A,0.176,0.375,0.24,0.257
5M0I_1_E,0.833,0.833,0.833,0.833
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,0.8,1.0,0.889,0.894
7OIF_1_z,0.667,0.7,0.683,0.683
3AKZ_1_E,0.696,0.889,0.78,0.786
3MJA_1_B,0.9,0.818,0.857,0.858
5W1H_1_B,0.0,0.0,0.0,0.0
4V90_1_AV,0.452,0.737,0.56,0.577
1F1T_1_A,0.625,0.714,0.667,0.668
7O7Y_1_AT,0.333,0.467,0.389,0.394
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.542,0.684,0.605,0.609
3G9C_1_Q,0.372,0.571,0.451,0.461
3DD2_1_B,0.0,0.0,0.0,0.0
2BTE_1_B,0.636,0.667,0.651,0.651
6MWN_1_B,0.714,0.893,0.794,0.799
1F7U_1_B,0.0,0.0,0.0,0.0
3LQX_1_B,0.733,0.846,0.786,0.788
6PIJ_1_1,0.667,0.667,0.667,0.667
5Y85_1_D,0.714,0.833,0.769,0.772
1R3E_1_C,1.0,0.8,0.889,0.894
3OVB_1_C,0.0,0.0,0.0,0.0
6DU4_1_B,1.0,1.0,1.0,1.0
3EPH_1_E,0.632,0.667,0.649,0.649
1G2E_1_B,0.0,0.0,0.0,0.0
2OEU_1_A,0.5,0.75,0.6,0.612
7RYG_1_B,0.457,0.64,0.533,0.541
3JCS_1_6,0.0,0.0,0.0,0.0
6X5M_1_r,1.0,0.444,0.615,0.667
5M0J_1_E,0.833,0.833,0.833,0.833
7CPU_1_S6,0.529,0.9,0.667,0.69
4M6D_1_H,0.462,0.857,0.6,0.629
3EGZ_1_B,0.75,0.938,0.833,0.839
5VJ9_1_C,1.0,0.8,0.889,0.894
2Y9H_1_F,1.0,0.667,0.8,0.816
4Z31_1_E,0.0,0.0,0.0,0.0
7OS0_1_F,1.0,0.333,0.5,0.577
5AXM_1_P,0.105,0.125,0.114,0.115
6IV9_1_B,0.0,0.0,0.0,0.0
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,1.0,0.909,0.952,0.953
5D0B_1_F,0.833,1.0,0.909,0.913
5WWF_1_B,0.0,0.0,0.0,0.0
5JBG_1_X,0.778,0.875,0.824,0.825
3VJR_1_B,0.909,0.833,0.87,0.87
7D8O_1_B,0.0,0.0,0.0,0.0
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.3,0.462,0.364,0.372
7O1A_1_B8,0.636,1.0,0.778,0.798
6CFJ_1_1x,0.423,0.579,0.489,0.495
1L9A_1_B,0.436,0.548,0.486,0.489
4V8B_1_AB,0.579,1.0,0.733,0.761
7KGA_1_B,0.593,0.762,0.667,0.672
3HHN_1_E,0.564,0.647,0.603,0.604
2BH2_1_D,0.833,1.0,0.909,0.913
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.6,1.0,0.75,0.775
3IEV_1_D,0.0,0.0,0.0,0.0
7A9W_1_B,0.0,0.0,0.0,0.0
4ZLD_1_B,0.0,0.0,0.0,0.0
3AGV_1_S,0.0,0.0,0.0,0.0
7P3K_1_V,0.7,0.737,0.718,0.718
2B3J_1_E,0.8,1.0,0.889,0.894
7CPU_1_L7,0.453,0.829,0.586,0.613
7P48_1_5,0.636,0.824,0.718,0.724
7MQA_1_L0,0.0,0.0,0.0,0.0
4ZDO_1_E,0.583,0.583,0.583,0.583
1Y26_1_X,0.667,0.8,0.727,0.73
7EQJ_1_B,0.565,0.591,0.578,0.578
6XH2_1_D,0.889,1.0,0.941,0.943
4PRF_1_B,0.222,0.316,0.261,0.265
2C4Q_1_R,1.0,0.833,0.909,0.913
7QEP_1_2,0.432,0.571,0.492,0.497
1L2X_1_A,0.5,1.0,0.667,0.707
6AZ3_1_5,0.406,0.619,0.491,0.501
3SUX_1_X,0.625,0.833,0.714,0.722
6VRB_1_B,0.8,1.0,0.889,0.894
1EC6_1_C,0.8,1.0,0.889,0.894
6ZVI_1_e,0.647,0.688,0.667,0.667
3BOY_1_D,0.0,0.0,0.0,0.0
4JRC_1_B,0.55,0.733,0.629,0.635
6XRQ_1_B,0.0,0.0,0.0,0.0
5F5F_1_B,0.0,0.0,0.0,0.0
7B5K_1_x,0.263,0.313,0.286,0.287
6BHJ_1_E,0.0,0.0,0.0,0.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,0.692,0.9,0.783,0.789
7KKV_1_B,0.789,0.75,0.769,0.769
4TUW_1_C,1.0,0.667,0.8,0.816
2Y9H_1_J,1.0,0.333,0.5,0.577
4YYE_1_C,0.346,0.6,0.439,0.456
7MJV_1_E,1.0,1.0,1.0,1.0
5DEA_1_A,0.333,0.5,0.4,0.408
7MQA_1_L2,0.426,0.588,0.494,0.5
6XU8_1_A7,0.277,0.563,0.371,0.395
2Y9H_1_N,1.0,0.714,0.833,0.845
2Y9H_1_H,1.0,0.833,0.909,0.913
5ZQ8_1_D,1.0,0.667,0.8,0.816
5NDH_1_A,0.0,0.0,0.0,0.0
3RG5_1_B,0.821,0.885,0.852,0.852
5FJ4_1_H,0.714,0.833,0.769,0.772
7OT5_1_z,0.308,0.286,0.296,0.296
5XH7_1_B,0.0,0.0,0.0,0.0
7KI3_1_C,1.0,0.5,0.667,0.707
4FRG_1_B,0.481,0.765,0.591,0.607
6GSJ_1_3L,0.606,0.952,0.741,0.76
6XRQ_1_A,0.0,0.0,0.0,0.0
6W5C_1_B,0.0,0.0,0.0,0.0
7D81_1_A,0.75,0.706,0.727,0.728
5WZK_1_B,0.0,0.0,0.0,0.0
6UGG_1_B,0.5,0.526,0.513,0.513
6F4H_1_D,1.0,0.833,0.909,0.913
1HMH_1_A,0.2,0.333,0.25,0.258
6KC8_1_B,0.655,0.613,0.633,0.634
5IB7_1_3L,0.472,0.895,0.618,0.65
6ZU5_1_L70,0.18,0.324,0.232,0.242
5F5H_1_C,0.6,1.0,0.75,0.775
6KYV_1_G,1.0,0.889,0.941,0.943
4C8Y_1_C,0.667,0.667,0.667,0.667
6T4Q_1_6,0.0,0.0,0.0,0.0
7EU9_1_B,1.0,0.6,0.75,0.775
4C9D_1_D,0.0,0.0,0.0,0.0
3SNP_1_D,1.0,0.7,0.824,0.837
3IBK_1_A,0.0,0.0,0.0,0.0
1Q96_1_A,0.667,1.0,0.8,0.816
2DRA_1_B,0.9,0.75,0.818,0.822
2Y8Y_1_B,1.0,0.4,0.571,0.632
7NHN_1_B,0.268,0.355,0.306,0.309
5MSF_1_R,0.25,0.333,0.286,0.289
7A9X_1_B,0.0,0.0,0.0,0.0
1MMS_1_C,0.6,0.8,0.686,0.693
5F5F_1_F,0.0,0.0,0.0,0.0
5UDZ_1_W,1.0,1.0,1.0,1.0
4ZT0_1_D,0.765,0.813,0.788,0.788
6T4Q_1_7,0.45,0.563,0.5,0.503
7OZQ_1_H,0.875,0.875,0.875,0.875
6UFM_1_B,0.481,0.52,0.5,0.5
5D5L_1_A,0.654,0.85,0.739,0.745
5NS3_1_C,0.636,1.0,0.778,0.798
1H4S_1_T,0.412,0.5,0.452,0.454
4X4U_1_G,0.778,1.0,0.875,0.882
2ZUE_1_B,0.0,0.0,0.0,0.0
1KUQ_1_B,0.619,0.929,0.743,0.758
6KWQ_1_B,1.0,1.0,1.0,1.0
2UWM_1_D,0.818,1.0,0.9,0.905
5WZJ_1_B,0.0,0.0,0.0,0.0
5B2P_1_B,0.273,0.375,0.316,0.32
6FZ0_1_A,0.0,0.0,0.0,0.0
6RJA_1_D,0.643,0.6,0.621,0.621
3IBK_1_B,0.0,0.0,0.0,0.0
361D_1_B,1.0,0.8,0.889,0.894
4LX6_1_A,0.692,0.9,0.783,0.789
5L2L_1_D,0.0,0.0,0.0,0.0
5ZTM_1_C,0.571,0.615,0.593,0.593
6PMO_1_A,0.833,0.789,0.811,0.811
4Z7K_1_C,0.0,0.0,0.0,0.0
5WLH_1_B,0.0,0.0,0.0,0.0
1MJI_1_D,0.7,0.875,0.778,0.783
3OXE_1_A,0.68,0.739,0.708,0.709
4QIL_1_C,1.0,0.6,0.75,0.775
1U0B_1_A,0.474,0.474,0.474,0.474
6ERI_1_Ax,0.483,0.806,0.604,0.624
6LAX_1_A,0.688,0.688,0.688,0.688
7LYT_1_B,0.0,0.0,0.0,0.0
6F4G_1_C,1.0,0.667,0.8,0.816
6KWR_1_B,0.0,0.0,0.0,0.0
5J7L_1_DB,0.156,0.333,0.213,0.228
7KGB_1_B,0.486,0.667,0.563,0.569
6CB3_1_B,0.789,0.968,0.87,0.874
4YCO_1_D,0.6,0.632,0.615,0.616
6ASO_1_I,0.5,0.583,0.538,0.54
6S0Z_1_B,0.367,0.379,0.373,0.373
2Z75_1_B,0.564,0.786,0.657,0.666
2QUX_1_F,0.875,0.778,0.824,0.825
3GS5_1_C,0.263,0.625,0.37,0.406
2JLT_1_A,0.0,0.0,0.0,0.0
6ZDP_1_B,0.304,0.467,0.368,0.377
3TS2_1_V,1.0,1.0,1.0,1.0
5E81_1_2K,0.423,0.579,0.489,0.495
5DEA_1_C,0.375,0.5,0.429,0.433
5F9F_1_F,1.0,0.9,0.947,0.949
6FQ3_1_B,1.0,1.0,1.0,1.0
6ZMI_1_L7,0.453,0.829,0.586,0.613
6O16_1_C,0.0,0.0,0.0,0.0
1N78_1_C,0.727,0.762,0.744,0.744
5XTM_1_D,0.583,1.0,0.737,0.764
6GSJ_1_1K,0.31,0.529,0.391,0.405
6AZ4_1_A,0.714,1.0,0.833,0.845
6YML_1_A,0.333,0.333,0.333,0.333
6ERI_1_AB,0.475,0.905,0.623,0.656
7R81_1_t1,0.176,0.333,0.231,0.243
4OOG_1_D,1.0,0.786,0.88,0.886
6SQN_1_Y,1.0,1.0,1.0,1.0
1F27_1_A,1.0,0.8,0.889,0.894
7KVT_1_B,0.63,0.85,0.723,0.732
7D3J_1_B,1.0,0.8,0.889,0.894
6R5Q_1_2,0.0,0.0,0.0,0.0
1S03_1_B,0.667,0.667,0.667,0.667
2QUW_1_B,0.75,0.818,0.783,0.783
5D0A_1_F,0.833,1.0,0.909,0.913
6WBR_1_B,0.929,0.684,0.788,0.797
7MJW_1_G,1.0,1.0,1.0,1.0
5T5H_1_H,0.133,0.19,0.157,0.159
2ATW_1_B,0.0,0.0,0.0,0.0
6ZM6_1_x,0.625,0.882,0.732,0.743
6E8S_1_A,0.429,0.75,0.545,0.567
3P22_1_A,1.0,0.909,0.952,0.953
2I82_1_F,0.0,0.0,0.0,0.0
3HJW_1_D,0.778,0.875,0.824,0.825
5LYS_1_B,0.7,0.824,0.757,0.759
7O7Y_1_B7,0.444,0.824,0.577,0.605
5HC9_1_D,0.542,0.684,0.605,0.609
7RYG_1_v,0.563,0.529,0.545,0.546
6PMO_1_B,0.529,0.563,0.545,0.546
4K50_1_B,0.857,1.0,0.923,0.926
3AM1_1_B,0.96,0.857,0.906,0.907
3NDB_1_M,0.651,0.667,0.659,0.659
1ET4_1_A,0.0,0.0,0.0,0.0
6F4H_1_B,1.0,0.833,0.909,0.913
5T16_1_H,1.0,0.538,0.7,0.734
6TQB_1_B,1.0,1.0,1.0,1.0
3SIU_1_F,0.5,0.6,0.545,0.548
6ZM6_1_w,0.32,0.727,0.444,0.482
7EL1_1_B,0.684,0.867,0.765,0.77
3ZGZ_1_B,0.591,0.65,0.619,0.62
4PR6_1_B,0.241,0.438,0.311,0.325
6H9H_1_D,0.75,0.6,0.667,0.671
7B5K_1_z,0.227,0.313,0.263,0.267
4V99_1_C2,0.0,0.0,0.0,0.0
6HC5_1_A,0.75,1.0,0.857,0.866
5WTK_1_B,0.5,0.333,0.4,0.408
1ZL3_1_B,1.0,0.857,0.923,0.926
7OL0_1_P,0.0,0.0,0.0,0.0
6E8T_1_D,0.5,0.714,0.588,0.598
1XOK_1_A,0.75,0.6,0.667,0.671
5UD5_1_C,0.609,0.737,0.667,0.67
6E8T_1_A,0.455,0.833,0.588,0.615
4Z0C_1_C,0.0,0.0,0.0,0.0
5XTM_1_B,0.538,1.0,0.7,0.734
4L8H_1_R,1.0,0.625,0.769,0.791
2ZZN_1_D,0.842,0.696,0.762,0.765
7OBR_1_1,0.286,0.377,0.325,0.328
6SZV_1_V,0.0,0.0,0.0,0.0
6WOO_1_3,0.455,0.667,0.541,0.55
1JID_1_B,0.5,0.429,0.462,0.463
5X2G_1_B,0.692,0.783,0.735,0.736
4AY2_1_C,1.0,0.857,0.923,0.926
3OIN_1_C,1.0,1.0,1.0,1.0
7OX8_1_A,0.769,0.714,0.741,0.741
3RW6_1_H,0.619,0.813,0.703,0.709
5HO4_1_B,0.0,0.0,0.0,0.0
5ZW4_1_D,1.0,0.6,0.75,0.775
4ENC_1_A,0.667,0.909,0.769,0.778
7R81_1_B1,0.517,0.886,0.653,0.676
7MKY_1_A,0.731,0.95,0.826,0.833
6VQV_1_L,0.0,0.0,0.0,0.0
6SY6_1_D,0.3,0.6,0.4,0.424
5SWD_1_B,0.682,0.938,0.789,0.8
5HR7_1_D,0.65,0.813,0.722,0.727
6JOO_1_B,1.0,0.958,0.979,0.979
7OB9_1_R,0.0,0.0,0.0,0.0
5H9F_1_L,1.0,0.8,0.889,0.894
6YS3_1_v,0.364,0.4,0.381,0.381
4JF2_1_A,0.667,0.9,0.766,0.775
6TC3_1_PTR1,0.0,0.0,0.0,0.0
5F5H_1_D,0.556,1.0,0.714,0.745
5V3F_1_A,0.3,0.75,0.429,0.474
1SDS_1_D,0.0,0.0,0.0,0.0
6TQA_1_G,1.0,0.75,0.857,0.866
6M0X_1_B,0.571,0.571,0.571,0.571
6AZ3_1_4,0.397,0.511,0.447,0.45
6YDP_1_BB,0.267,0.667,0.381,0.422
6YYM_1_B,0.0,0.0,0.0,0.0
5ID6_1_G,0.714,1.0,0.833,0.845
1S03_1_A,0.688,0.786,0.733,0.735
5D8H_1_A,0.536,0.75,0.625,0.634
7RQB_1_1B,0.394,0.788,0.525,0.557
6AZ3_1_3,0.345,0.528,0.418,0.427
5T5H_1_D,0.167,0.304,0.215,0.225
6AZ3_1_8,0.175,0.241,0.203,0.206
7AQC_1_B,0.513,0.741,0.606,0.616
2VPL_1_B,0.875,0.875,0.875,0.875
3QJJ_1_Q,0.0,0.0,0.0,0.0
5BTM_1_A,0.5,1.0,0.667,0.707
6H9H_1_E,0.0,0.0,0.0,0.0
6MSF_1_S,0.0,0.0,0.0,0.0
6PRV_1_A,0.688,0.786,0.733,0.735
6B44_1_M,1.0,1.0,1.0,1.0
6UFG_1_B,0.529,0.6,0.563,0.564
6JJH_1_B,0.0,0.0,0.0,0.0
5XJ2_1_G,0.0,0.0,0.0,0.0
7ONU_1_T,0.667,0.933,0.778,0.789
7JNH_1_B,0.833,0.8,0.816,0.816
3JCS_1_5,0.143,0.19,0.163,0.165
6QW6_1_5,0.842,0.552,0.667,0.682
4AL5_1_B,1.0,0.75,0.857,0.866
3JCS_1_3,0.228,0.382,0.286,0.295
2HW8_1_B,0.857,1.0,0.923,0.926
1HMH_1_E,0.25,0.333,0.286,0.289
1EC6_1_D,0.8,1.0,0.889,0.894
4PKD_1_V,0.0,0.0,0.0,0.0
5TBW_1_AS,0.422,0.794,0.551,0.579
1RLG_1_D,0.5,0.333,0.4,0.408
5NDI_1_B,0.667,1.0,0.8,0.816
7O7Z_1_AH,0.773,0.895,0.829,0.831
4QOZ_1_A,1.0,0.5,0.667,0.707
7JIL_1_3,0.333,0.5,0.4,0.408
6LTU_1_B,1.0,1.0,1.0,1.0
6ZP4_1_1,0.609,0.7,0.651,0.653
6DB9_1_R,0.5,0.571,0.533,0.535
4V9F_1_9,0.214,0.31,0.254,0.258
3SKL_1_B,0.789,0.75,0.769,0.769
6SY4_1_C,0.364,0.571,0.444,0.456
5WZI_1_B,0.0,0.0,0.0,0.0
4YAZ_1_R,0.37,0.588,0.455,0.467
4BW0_1_A,0.857,1.0,0.923,0.926
6FQL_1_B,1.0,0.75,0.857,0.866
6DCC_1_B,0.857,0.75,0.8,0.802
5M0J_1_F,0.833,0.833,0.833,0.833
6R5Q_1_3,0.667,0.842,0.744,0.749
1GAX_1_D,0.778,0.7,0.737,0.738
6E8U_1_B,0.333,1.0,0.5,0.577
4W5N_1_B,0.0,0.0,0.0,0.0
1XJR_1_A,0.588,0.909,0.714,0.731
5UZ6_1_A,1.0,1.0,1.0,1.0
6QW6_1_4,0.263,0.313,0.286,0.287
6H0R_1_A,0.923,0.923,0.923,0.923
1KXK_1_A,0.714,0.75,0.732,0.732
5XUZ_1_B,0.0,0.0,0.0,0.0
2OZB_1_C,0.5,0.667,0.571,0.577
4IFD_1_R,0.0,0.0,0.0,0.0
6AZ3_1_6,0.667,0.857,0.75,0.756
1OOA_1_C,0.727,1.0,0.842,0.853
7D7W_1_A,0.706,0.857,0.774,0.778
3TRZ_1_U,1.0,1.0,1.0,1.0
3FOZ_1_D,0.5,0.667,0.571,0.577
5WWE_1_B,0.0,0.0,0.0,0.0
6E1S_1_A,0.0,0.0,0.0,0.0
5E81_1_3L,0.515,1.0,0.68,0.718
1QTQ_1_B,0.789,0.833,0.811,0.811
4XWF_1_A,0.722,0.722,0.722,0.722
1M5K_1_B,0.464,0.722,0.565,0.579
6MSF_1_R,0.5,0.5,0.5,0.5
4C4W_1_H,0.0,0.0,0.0,0.0
5Y58_1_X,0.8,0.889,0.842,0.843
5M0I_1_F,0.833,0.833,0.833,0.833
5IBB_1_1L,0.355,0.55,0.431,0.442
4JXZ_1_B,0.667,0.778,0.718,0.72
6YL5_1_I,0.4,0.333,0.364,0.365
