,contextFold,contrafold,e2efold,ipknot,mxfold,mxfold2,rna-state-inf,rna-structure,rnafold,spot-rna,ufold
100D_1_A-B,0.894,1.0,0.183,0.894,0.894,0.894,0.894,0.0,0.894,0.949,0.894
157D_1_A-B,0.0,0.845,0.478,0.338,0.598,0.661,0.0,0.0,0.0,0.802,0.802
165D_1_A-B,0.612,0.5,0.0,0.316,0.0,0.612,0.0,0.0,0.0,0.0,0.791
17RA_7_A,0.943,0.943,0.149,0.943,0.943,0.943,0.943,0.882,0.943,0.943,0.943
1A1T_1_B,0.894,0.894,0.474,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894
1A34_1_B-C,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.802,0.802,0.12,0.756,0.756,0.802,0.802,0.756,0.802,0.886,0.845
1A4D_1_A-B,0.827,0.858,0.0,0.858,0.827,0.858,0.858,0.827,0.858,0.973,0.889
1A4T_1_A,0.913,0.913,0.0,0.913,0.816,0.913,0.913,0.816,0.913,0.913,0.816
1A51_3_A,0.827,0.858,0.0,0.858,0.827,0.858,0.858,0.827,0.858,0.973,0.889
1A60_1_A,0.337,0.707,0.0,0.627,0.643,0.337,0.707,0.674,0.707,0.707,0.798
1A9L_1_A,0.874,0.907,0.367,0.907,0.874,0.907,0.907,0.874,0.907,0.907,0.907
1A9N_1_Q,0.845,0.668,0.436,0.845,0.845,0.845,0.845,0.0,0.845,0.714,0.463
1A9N_1_R,0.845,0.668,0.436,0.845,0.845,0.845,0.845,0.0,0.845,0.714,0.463
1AFX_2_A,0.894,0.894,0.775,0.894,0.894,0.894,0.894,0.775,0.894,1.0,0.894
1AJF_1_A,0.935,0.935,0.204,0.935,0.935,0.935,0.935,0.866,0.935,1.0,0.935
1AJL_1_A-B,0.612,0.53,0.0,0.53,0.612,0.53,0.0,0.0,0.53,0.433,0.354
1AJT_1_A-B,0.655,0.567,0.0,0.567,0.655,0.567,0.0,0.0,0.567,0.463,0.378
1AJU_9_A,0.829,0.829,0.167,0.829,0.791,0.829,0.829,0.791,0.829,0.794,0.829
1AKX_1_A,0.856,0.856,0.172,0.856,0.816,0.856,0.856,0.816,0.856,0.894,0.856
1AL5_1_A-B,0.866,1.0,0.144,0.913,0.913,0.913,0.866,0.866,0.913,0.957,1.0
1AM0_2_A,0.0,0.0,0.0,0.0,0.0,0.408,0.0,0.0,0.0,0.0,0.0
1ANR_2_A,0.905,0.953,0.405,0.953,0.953,0.953,0.953,0.905,0.953,1.0,0.953
1AQ3_1_R,1.0,0.632,0.0,0.632,0.0,1.0,1.0,1.0,1.0,1.0,0.775
1AQ3_1_S,0.0,0.816,0.0,0.816,0.0,1.0,0.0,0.0,0.0,0.0,0.577
1AQ4_1_R,1.0,0.632,0.0,0.632,0.0,1.0,1.0,0.0,1.0,1.0,0.775
1AQ4_1_S,0.0,0.707,0.0,0.707,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1AQO_3_A,0.655,0.886,0.12,0.886,0.845,0.886,0.886,0.845,0.886,0.926,0.926
1ARJ_7_N,0.866,0.913,0.354,0.913,0.913,0.913,0.913,0.866,0.913,0.913,0.913
1ASY_1_R,0.55,0.479,0.06,0.278,0.371,0.577,0.281,0.18,0.431,0.745,0.431
1ASY_1_S,0.559,0.487,0.061,0.283,0.377,0.586,0.286,0.183,0.438,0.757,0.438
1ASZ_1_R,0.533,0.464,0.058,0.27,0.359,0.559,0.272,0.174,0.418,0.722,0.418
1ASZ_1_S,0.559,0.487,0.061,0.283,0.377,0.586,0.286,0.183,0.438,0.757,0.438
1ATO_1_A,0.866,0.866,0.408,0.866,0.866,0.866,0.866,0.791,0.866,0.866,0.866
1ATV_1_A,0.775,0.775,0.365,0.775,0.775,0.775,0.775,0.707,0.775,0.775,0.775
1ATW_1_A,0.791,0.791,0.0,0.791,0.791,0.791,0.791,0.707,0.791,0.791,0.791
1AUD_8_B,0.728,0.728,0.121,0.728,0.728,0.728,0.343,0.343,0.343,0.767,0.731
1B23_1_R,0.228,0.463,0.067,0.446,0.442,0.474,0.474,0.25,0.474,0.75,0.472
1B36_8_A,0.688,0.596,0.0,0.688,0.725,0.688,0.688,0.649,0.688,0.725,0.636
1B7F_1_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.316,0.274,0.0,0.289,0.297,0.289,0.289,0.297,0.289,0.312,0.274
1BGZ_1_A,0.62,0.49,0.16,0.49,0.784,0.686,0.686,0.392,0.462,0.647,0.647
1BIV_5_A,0.866,0.957,0.385,0.913,0.866,0.957,0.957,0.866,0.957,0.957,0.957
1BJ2_1_A-B,0.418,0.391,0.0,0.418,0.404,0.418,0.391,0.391,0.391,0.671,0.474
1BN0_2_A,1.0,1.0,0.53,1.0,1.0,1.0,1.0,0.935,1.0,1.0,1.0
1BVJ_1_A,0.615,0.853,0.348,0.853,0.798,0.853,0.853,0.853,0.853,0.798,0.853
1BYJ_31_A,0.866,0.866,0.129,0.816,0.816,0.866,0.866,0.816,0.866,0.957,0.913
1BZ2_1_A,0.845,0.845,0.0,0.845,0.845,0.845,0.845,0.756,0.845,0.926,0.926
1BZ3_1_A,0.791,0.791,0.0,0.791,0.791,0.791,0.791,0.707,0.791,0.866,0.866
1BZT_1_A,0.816,0.816,0.408,0.816,0.816,0.816,0.816,0.707,0.816,0.913,0.816
1BZU_1_A,0.894,0.894,0.447,0.894,0.894,0.894,0.894,0.775,0.894,0.8,0.894
1C04_1_E,0.709,0.709,0.2,0.709,0.537,0.39,0.39,0.732,0.709,0.629,0.586
1C04_1_F,0.632,0.689,0.105,0.632,0.683,0.683,0.683,0.577,0.602,0.778,0.73
1C0O_1_A,0.791,0.791,0.0,0.791,0.791,0.791,0.612,0.177,0.791,0.866,0.866
1C2X_1_C,0.847,0.242,0.86,0.596,0.269,0.77,0.239,0.218,0.233,0.886,0.872
1C4L_1_A-B,0.577,0.943,0.192,0.816,0.816,0.816,0.745,0.745,0.816,0.943,0.667
1CQ5_1_A,0.722,0.722,0.085,0.722,0.692,0.722,0.722,0.692,0.722,0.834,0.722
1CQL_10_A,0.756,0.756,0.089,0.756,0.724,0.756,0.756,0.724,0.756,0.818,0.756
1CSL_1_B-A,0.816,0.577,0.236,0.577,0.77,0.866,0.866,0.816,0.866,1.0,0.73
1D0T_1_A,0.745,0.745,0.0,0.745,0.667,0.745,0.745,0.667,0.745,0.882,0.816
1D0U_14_A,0.739,0.853,0.174,0.853,0.798,0.853,0.853,0.798,0.853,0.905,0.853
1D4R_1_B-A,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411
1D6K_4_B,0.782,0.782,0.0,0.64,0.745,0.782,0.782,0.782,0.782,0.943,0.784
1DDY_1_A,0.0,0.087,0.0,0.306,0.087,0.344,0.087,0.087,0.087,0.692,0.308
1DDY_1_C,0.0,0.092,0.0,0.323,0.092,0.364,0.092,0.092,0.092,0.658,0.325
1DDY_1_E,0.0,0.087,0.0,0.306,0.087,0.344,0.087,0.087,0.087,0.692,0.308
1DDY_1_G,0.0,0.089,0.0,0.314,0.089,0.354,0.089,0.089,0.089,0.64,0.316
1DFU_1_M-N,0.583,0.829,0.112,0.678,0.791,0.829,0.217,0.791,0.0,0.829,0.693
1DI2_1_C-D,0.894,1.0,0.0,0.894,0.894,0.894,0.894,0.837,0.894,0.949,0.837
1DK1_1_B,0.722,0.529,0.167,0.473,0.696,0.795,0.59,0.289,0.59,0.904,0.544
1DQF_1_B-A,0.882,1.0,0.0,0.882,0.882,0.882,0.882,0.816,0.882,0.943,0.0
1DQH_1_B-A,0.882,1.0,0.0,0.882,0.882,0.882,0.882,0.816,0.882,0.943,0.0
1DRZ_1_B,0.579,0.283,0.0,0.355,0.268,0.624,0.0,0.0,0.0,0.511,0.178
1DUL_1_B,0.845,0.845,0.109,0.787,0.787,0.845,0.845,0.845,0.845,0.951,0.845
1DUQ_1_B-A,0.707,0.87,0.354,0.436,0.327,0.436,0.0,0.0,0.0,0.436,0.471
1DUQ_1_D-C,0.739,0.909,0.369,0.456,0.342,0.456,0.0,0.0,0.0,0.456,0.492
1DUQ_1_F-E,0.707,0.87,0.354,0.436,0.327,0.436,0.0,0.0,0.0,0.436,0.471
1DUQ_1_H-G,0.739,0.909,0.369,0.456,0.342,0.456,0.0,0.0,0.0,0.456,0.492
1DZ5_1_C-D,0.0,0.0,0.118,0.252,0.0,0.567,0.0,0.0,0.0,0.745,0.654
1E4P_8_A,0.764,0.764,0.333,0.764,0.707,0.764,0.764,0.645,0.764,0.764,0.764
1E7K_1_C,0.655,0.0,0.0,0.0,0.655,0.655,0.0,0.0,0.0,0.655,0.0
1E7K_1_D,0.655,0.0,0.0,0.0,0.655,0.655,0.0,0.0,0.0,0.655,0.0
1E8O_1_E,0.845,0.845,0.098,0.772,0.583,0.845,0.787,0.0,0.845,0.666,0.845
