,PPV,TPR,F1,INF-MCC
100D_1_A-B,0.8,1.0,0.889,0.894
157D_1_A-B,0.357,1.0,0.526,0.598
165D_1_A-B,0.0,0.0,0.0,0.0
17RA_7_A,0.889,1.0,0.941,0.943
1A1T_1_B,0.8,1.0,0.889,0.894
1A34_1_B-C,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.571,1.0,0.727,0.756
1A4D_1_A-B,0.684,1.0,0.813,0.827
1A4T_1_A,0.667,1.0,0.8,0.816
1A51_3_A,0.684,1.0,0.813,0.827
1A60_1_A,0.455,0.909,0.606,0.643
1A9L_1_A,0.765,1.0,0.867,0.874
1A9N_1_Q,0.714,1.0,0.833,0.845
1A9N_1_R,0.714,1.0,0.833,0.845
1AFX_2_A,0.8,1.0,0.889,0.894
1AJF_1_A,0.875,1.0,0.933,0.935
1AJL_1_A-B,0.375,1.0,0.545,0.612
1AJT_1_A-B,0.429,1.0,0.6,0.655
1AJU_9_A,0.625,1.0,0.769,0.791
1AKX_1_A,0.667,1.0,0.8,0.816
1AL5_1_A-B,0.833,1.0,0.909,0.913
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,0.909,1.0,0.952,0.953
1AQ3_1_R,0.0,0.0,0.0,0.0
1AQ3_1_S,0.0,0.0,0.0,0.0
1AQ4_1_R,0.0,0.0,0.0,0.0
1AQ4_1_S,0.0,0.0,0.0,0.0
1AQO_3_A,0.714,1.0,0.833,0.845
1ARJ_7_N,0.833,1.0,0.909,0.913
1ASY_1_R,0.29,0.474,0.36,0.371
1ASY_1_S,0.3,0.474,0.367,0.377
1ASZ_1_R,0.273,0.474,0.346,0.359
1ASZ_1_S,0.3,0.474,0.367,0.377
1ATO_1_A,0.75,1.0,0.857,0.866
1ATV_1_A,0.6,1.0,0.75,0.775
1ATW_1_A,0.625,1.0,0.769,0.791
1AUD_8_B,0.529,1.0,0.692,0.728
1B23_1_R,0.313,0.625,0.417,0.442
1B36_8_A,0.526,1.0,0.69,0.725
1B7F_1_Q,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.25,0.353,0.293,0.297
1BGZ_1_A,0.615,1.0,0.762,0.784
1BIV_5_A,0.75,1.0,0.857,0.866
1BJ2_1_A-B,0.35,0.467,0.4,0.404
1BN0_2_A,1.0,1.0,1.0,1.0
1BVJ_1_A,0.636,1.0,0.778,0.798
1BYJ_31_A,0.667,1.0,0.8,0.816
1BZ2_1_A,0.714,1.0,0.833,0.845
1BZ3_1_A,0.625,1.0,0.769,0.791
1BZT_1_A,0.667,1.0,0.8,0.816
1BZU_1_A,0.8,1.0,0.889,0.894
1C04_1_E,0.393,0.733,0.512,0.537
1C04_1_F,0.467,1.0,0.636,0.683
1C0O_1_A,0.625,1.0,0.769,0.791
1C2X_1_C,0.217,0.333,0.263,0.269
1C4L_1_A-B,0.667,1.0,0.8,0.816
1CQ5_1_A,0.478,1.0,0.647,0.692
1CQL_10_A,0.524,1.0,0.688,0.724
1CSL_1_B-A,0.667,0.889,0.762,0.77
1D0T_1_A,0.444,1.0,0.615,0.667
1D0U_14_A,0.636,1.0,0.778,0.798
1D4R_1_B-A,0.0,0.0,0.0,0.0
1D6K_4_B,0.556,1.0,0.714,0.745
1DDY_1_A,0.053,0.143,0.077,0.087
1DDY_1_C,0.059,0.143,0.083,0.092
1DDY_1_E,0.053,0.143,0.077,0.087
1DDY_1_G,0.056,0.143,0.08,0.089
1DFU_1_M-N,0.625,1.0,0.769,0.791
1DI2_1_C-D,0.8,1.0,0.889,0.894
1DK1_1_B,0.519,0.933,0.667,0.696
1DQF_1_B-A,0.778,1.0,0.875,0.882
1DQH_1_B-A,0.778,1.0,0.875,0.882
1DRZ_1_B,0.194,0.368,0.255,0.268
1DUL_1_B,0.619,1.0,0.765,0.787
1DUQ_1_B-A,0.25,0.429,0.316,0.327
1DUQ_1_D-C,0.273,0.429,0.333,0.342
1DUQ_1_F-E,0.25,0.429,0.316,0.327
1DUQ_1_H-G,0.273,0.429,0.333,0.342
1DZ5_1_C-D,0.0,0.0,0.0,0.0
1E4P_8_A,0.5,1.0,0.667,0.707
1E7K_1_C,0.429,1.0,0.6,0.655
1E7K_1_D,0.429,1.0,0.6,0.655
1E8O_1_E,0.476,0.714,0.571,0.583
1E95_14_A,0.316,1.0,0.48,0.562
1EBQ_1_A,0.769,1.0,0.87,0.877
1EBR_1_A,0.692,0.9,0.783,0.789
1EBS_1_A,0.769,1.0,0.87,0.877
1EC6_1_C,0.667,1.0,0.8,0.816
1EC6_1_D,0.8,1.0,0.889,0.894
1EFW_1_C,0.241,0.438,0.311,0.325
1EFW_1_D,0.212,0.438,0.286,0.305
1EHT_3_A,0.318,1.0,0.483,0.564
1EHZ_1_A,0.304,0.5,0.378,0.39
1EI2_9_A,0.889,1.0,0.941,0.943
1EIY_1_C,0.5,0.842,0.627,0.649
1EKA_1_A-B,0.75,1.0,0.857,0.866
1EKD_1_A-B,0.25,0.5,0.333,0.354
1EKZ_4_B,0.765,1.0,0.867,0.874
1ELH_1_B-A,0.529,1.0,0.692,0.728
1ESH_1_A,0.625,1.0,0.769,0.791
1ESY_2_A,0.455,1.0,0.625,0.674
1ET4_1_A,0.059,0.143,0.083,0.092
1ET4_1_B,0.059,0.143,0.083,0.092
1ET4_1_C,0.056,0.143,0.08,0.089
1ET4_1_D,0.063,0.143,0.087,0.094
1ET4_1_E,0.059,0.143,0.083,0.092
1ETF_1_A,0.688,0.917,0.786,0.794
1ETG_14_A,0.647,0.917,0.759,0.77
1EUQ_1_B,0.514,1.0,0.679,0.717
1EUY_1_B,0.441,0.833,0.577,0.606
1EVV_1_A,0.304,0.5,0.378,0.39
1EXD_1_B,0.576,1.0,0.731,0.759
1EXY_1_A,0.455,0.909,0.606,0.643
1F1T_1_A,0.429,0.75,0.545,0.567
1F27_1_A,1.0,1.0,1.0,1.0
1F5G_1_A-B,0.167,0.333,0.222,0.236
1F5H_1_A-B,0.2,0.333,0.25,0.258
1F5U_1_A,0.7,1.0,0.824,0.837
1F5U_1_B,0.636,1.0,0.778,0.798
1F6U_2_B,0.444,1.0,0.615,0.667
1F6X_1_A,0.786,1.0,0.88,0.886
