,PPV,TPR,F1,INF
6YWE_1_bb,0.647,0.957,0.772,0.787
6P7M_1_B,0.75,0.6,0.667,0.671
4N0T_1_B,0.353,0.545,0.429,0.439
2PJP_1_B,1.0,0.778,0.875,0.882
4XNR_1_X,0.773,0.85,0.81,0.81
2XLK_1_C,0.75,0.75,0.75,0.75
2XDB_1_G,0.3,0.6,0.4,0.424
6SKG_1_BB,0.552,0.902,0.685,0.706
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.667,0.824,0.737,0.741
3BT7_1_D,1.0,0.833,0.909,0.913
361D_1_A,0.8,0.8,0.8,0.8
5E81_1_1K,0.469,0.714,0.566,0.579
7AS8_1_2,0.211,0.222,0.216,0.216
3K1V_1_A,0.2,1.0,0.333,0.447
4FEN_1_B,0.667,0.824,0.737,0.741
4V8D_1_CD,0.523,0.958,0.676,0.708
3NVI_1_F,0.333,0.2,0.25,0.258
7MSF_1_R,1.0,0.75,0.857,0.866
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,0.889,0.8,0.842,0.843
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,0.2,0.333,0.447
3RKF_1_C,0.737,0.778,0.757,0.757
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.4,0.667,0.5,0.516
6LT7_1_C,1.0,0.75,0.857,0.866
7MLW_1_F,0.457,0.583,0.512,0.516
6YDP_1_AV,0.25,0.6,0.353,0.387
7OLC_1_3,0.395,0.441,0.417,0.417
3HAX_1_E,0.813,0.813,0.813,0.813
2ZZM_1_B,0.167,0.2,0.182,0.183
2OIU_1_Q,0.857,0.75,0.8,0.802
6UGI_1_A,0.818,0.818,0.818,0.818
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.737,0.875,0.8,0.803
7ODF_1_F,0.667,0.333,0.444,0.471
5WTI_1_B,0.536,0.6,0.566,0.567
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.0,0.0,0.0,0.0
6DVK_1_H,0.794,0.844,0.818,0.819
6Y2L_1_B4,0.553,0.955,0.7,0.726
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.364,0.4,0.381,0.381
5DH6_1_A,0.571,0.8,0.667,0.676
1ZBH_1_F,0.6,0.6,0.6,0.6
4X4V_1_B,0.8,0.8,0.8,0.8
7DCO_1_B,0.795,0.745,0.769,0.77
4C8Z_1_C,1.0,0.667,0.8,0.816
3GS5_1_A,0.6,0.429,0.5,0.507
3NPQ_1_A,0.294,0.417,0.345,0.35
5M0I_1_E,0.0,0.0,0.0,0.0
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.81,0.708,0.756,0.757
3AKZ_1_E,0.652,0.714,0.682,0.683
3MJA_1_B,0.8,0.8,0.8,0.8
5W1H_1_B,0.0,0.0,0.0,0.0
4V90_1_AV,0.677,1.0,0.808,0.823
1F1T_1_A,0.375,0.75,0.5,0.53
7O7Y_1_AT,0.238,0.313,0.27,0.273
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.25,0.429,0.316,0.327
3G9C_1_Q,0.395,0.447,0.42,0.421
3DD2_1_B,0.0,0.0,0.0,0.0
2BTE_1_B,0.409,0.45,0.429,0.429
6MWN_1_B,0.629,0.733,0.677,0.679
1F7U_1_B,0.0,0.0,0.0,0.0
3LQX_1_B,0.8,0.8,0.8,0.8
6PIJ_1_1,1.0,0.75,0.857,0.866
5Y85_1_D,0.714,0.909,0.8,0.806
1R3E_1_C,0.75,0.75,0.75,0.75
3OVB_1_C,0.0,0.0,0.0,0.0
6DU4_1_B,0.857,1.0,0.923,0.926
3EPH_1_E,0.579,0.647,0.611,0.612
1G2E_1_B,0.0,0.0,0.0,0.0
2OEU_1_A,0.5,0.75,0.6,0.612
7RYG_1_B,0.514,0.581,0.545,0.546
3JCS_1_6,0.0,0.0,0.0,0.0
6X5M_1_r,1.0,0.444,0.615,0.667
5M0J_1_E,0.0,0.0,0.0,0.0
7CPU_1_S6,0.294,0.476,0.364,0.374
4M6D_1_H,0.0,0.0,0.0,0.0
3EGZ_1_B,0.7,0.933,0.8,0.808
5VJ9_1_C,0.75,0.75,0.75,0.75
2Y9H_1_F,1.0,0.8,0.889,0.894
4Z31_1_E,0.8,0.8,0.8,0.8
7OS0_1_F,1.0,0.333,0.5,0.577
5AXM_1_P,0.105,0.105,0.105,0.105
6IV9_1_B,0.0,0.0,0.0,0.0
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,1.0,0.909,0.952,0.953
5D0B_1_F,0.667,1.0,0.8,0.816
5WWF_1_B,0.0,0.0,0.0,0.0
5JBG_1_X,0.778,0.875,0.824,0.825
3VJR_1_B,0.909,0.833,0.87,0.87
7D8O_1_B,0.0,0.0,0.0,0.0
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.3,0.6,0.4,0.424
7O1A_1_B8,0.636,1.0,0.778,0.798
6CFJ_1_1x,0.769,1.0,0.87,0.877
1L9A_1_B,0.385,0.385,0.385,0.385
4V8B_1_AB,0.474,0.643,0.545,0.552
7KGA_1_B,0.63,0.81,0.708,0.714
3HHN_1_E,0.538,0.656,0.592,0.594
2BH2_1_D,0.833,1.0,0.909,0.913
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.0,0.0,0.0,0.0
3IEV_1_D,0.0,0.0,0.0,0.0
7A9W_1_B,0.0,0.0,0.0,0.0
4ZLD_1_B,1.0,0.833,0.909,0.913
3AGV_1_S,0.0,0.0,0.0,0.0
7P3K_1_V,0.65,0.765,0.703,0.705
2B3J_1_E,0.0,0.0,0.0,0.0
7CPU_1_L7,0.516,0.892,0.653,0.678
7P48_1_5,0.773,0.895,0.829,0.831
7MQA_1_L0,0.0,0.0,0.0,0.0
4ZDO_1_E,0.542,0.565,0.553,0.553
1Y26_1_X,0.667,0.8,0.727,0.73
7EQJ_1_B,0.261,0.333,0.293,0.295
6XH2_1_D,0.778,0.875,0.824,0.825
4PRF_1_B,0.0,0.0,0.0,0.0
2C4Q_1_R,0.8,0.8,0.8,0.8
7QEP_1_2,0.703,0.743,0.722,0.723
1L2X_1_A,0.5,1.0,0.667,0.707
6AZ3_1_5,0.375,0.444,0.407,0.408
3SUX_1_X,0.594,0.731,0.655,0.659
6VRB_1_B,0.8,1.0,0.889,0.894
1EC6_1_C,0.6,1.0,0.75,0.775
6ZVI_1_e,0.647,0.688,0.667,0.667
3BOY_1_D,0.0,0.0,0.0,0.0
4JRC_1_B,0.2,0.235,0.216,0.217
6XRQ_1_B,0.0,0.0,0.0,0.0
5F5F_1_B,0.571,1.0,0.727,0.756
7B5K_1_x,0.263,0.263,0.263,0.263
6BHJ_1_E,0.0,0.0,0.0,0.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,0.692,1.0,0.818,0.832
7KKV_1_B,0.842,0.8,0.821,0.821
4TUW_1_C,1.0,0.667,0.8,0.816
2Y9H_1_J,1.0,0.4,0.571,0.632
4YYE_1_C,0.462,0.632,0.533,0.54
7MJV_1_E,1.0,1.0,1.0,1.0
5DEA_1_A,0.222,0.333,0.267,0.272
7MQA_1_L2,0.66,0.775,0.713,0.715
6XU8_1_A7,0.277,0.529,0.364,0.383
2Y9H_1_N,0.8,0.8,0.8,0.8
2Y9H_1_H,0.8,0.8,0.8,0.8
5ZQ8_1_D,0.0,0.0,0.0,0.0
5NDH_1_A,1.0,1.0,1.0,1.0
3RG5_1_B,0.821,0.885,0.852,0.852
5FJ4_1_H,0.0,0.0,0.0,0.0
7OT5_1_z,0.462,0.353,0.4,0.404
5XH7_1_B,0.0,0.0,0.0,0.0
7KI3_1_C,1.0,0.5,0.667,0.707
4FRG_1_B,0.222,0.333,0.267,0.272
6GSJ_1_3L,0.667,1.0,0.8,0.816
6XRQ_1_A,0.0,0.0,0.0,0.0
6W5C_1_B,0.0,0.0,0.0,0.0
7D81_1_A,0.813,0.765,0.788,0.788
5WZK_1_B,0.0,0.0,0.0,0.0
6UGG_1_B,0.2,0.182,0.19,0.191
6F4H_1_D,1.0,0.833,0.909,0.913
1HMH_1_A,0.2,0.333,0.25,0.258
6KC8_1_B,0.793,0.657,0.719,0.722
5IB7_1_3L,0.556,1.0,0.714,0.745
6ZU5_1_L70,0.459,0.718,0.56,0.574
5F5H_1_C,0.7,1.0,0.824,0.837
6KYV_1_G,0.875,0.875,0.875,0.875
4C8Y_1_C,0.0,0.0,0.0,0.0
6T4Q_1_6,0.0,0.0,0.0,0.0
7EU9_1_B,1.0,0.6,0.75,0.775
4C9D_1_D,0.0,0.0,0.0,0.0
3SNP_1_D,0.857,0.6,0.706,0.717
3IBK_1_A,0.0,0.0,0.0,0.0
1Q96_1_A,0.444,1.0,0.615,0.667
2DRA_1_B,0.8,0.727,0.762,0.763
2Y8Y_1_B,1.0,0.4,0.571,0.632
7NHN_1_B,0.366,0.417,0.39,0.39
5MSF_1_R,0.75,0.75,0.75,0.75
7A9X_1_B,0.0,0.0,0.0,0.0
1MMS_1_C,0.5,0.667,0.571,0.577
5F5F_1_F,0.5,0.75,0.6,0.612
5UDZ_1_W,0.8,1.0,0.889,0.894
4ZT0_1_D,0.765,0.813,0.788,0.788
6T4Q_1_7,0.6,0.632,0.615,0.616
7OZQ_1_H,0.875,0.778,0.824,0.825
6UFM_1_B,0.519,0.538,0.528,0.528
5D5L_1_A,0.654,0.895,0.756,0.765
5NS3_1_C,0.636,0.875,0.737,0.746
1H4S_1_T,0.588,0.625,0.606,0.606
4X4U_1_G,0.667,1.0,0.8,0.816
2ZUE_1_B,0.0,0.0,0.0,0.0
1KUQ_1_B,0.571,0.8,0.667,0.676
6KWQ_1_B,1.0,1.0,1.0,1.0
2UWM_1_D,0.727,1.0,0.842,0.853
5WZJ_1_B,0.0,0.0,0.0,0.0
5B2P_1_B,0.409,0.6,0.486,0.495
6FZ0_1_A,0.0,0.0,0.0,0.0
6RJA_1_D,0.5,0.5,0.5,0.5
3IBK_1_B,0.0,0.0,0.0,0.0
361D_1_B,1.0,0.8,0.889,0.894
4LX6_1_A,0.692,0.9,0.783,0.789
5L2L_1_D,0.0,0.0,0.0,0.0
5ZTM_1_C,0.857,0.667,0.75,0.756
6PMO_1_A,0.833,0.789,0.811,0.811
4Z7K_1_C,0.0,0.0,0.0,0.0
5WLH_1_B,0.0,0.0,0.0,0.0
1MJI_1_D,0.6,0.75,0.667,0.671
3OXE_1_A,0.8,0.8,0.8,0.8
4QIL_1_C,1.0,0.5,0.667,0.707
1U0B_1_A,0.474,0.429,0.45,0.451
6ERI_1_Ax,0.483,0.806,0.604,0.624
6LAX_1_A,0.688,0.733,0.71,0.71
7LYT_1_B,0.0,0.0,0.0,0.0
6F4G_1_C,1.0,0.667,0.8,0.816
6KWR_1_B,0.0,0.0,0.0,0.0
5J7L_1_DB,0.156,0.256,0.194,0.2
7KGB_1_B,0.541,0.69,0.606,0.611
6CB3_1_B,0.684,0.813,0.743,0.746
4YCO_1_D,0.75,0.714,0.732,0.732
6ASO_1_I,0.357,0.5,0.417,0.423
6S0Z_1_B,0.433,0.433,0.433,0.433
2Z75_1_B,0.564,0.759,0.647,0.654
2QUX_1_F,0.75,0.75,0.75,0.75
3GS5_1_C,0.474,0.818,0.6,0.623
