,PPV,TPR,F1,INF-MCC
100D_1_A-B,1.0,1.0,1.0,1.0
157D_1_A-B,1.0,1.0,1.0,1.0
165D_1_A-B,0.333,1.0,0.5,0.577
17RA_7_A,1.0,1.0,1.0,1.0
1A1T_1_B,1.0,1.0,1.0,1.0
1A34_1_B-C,0.0,0.0,0.0,0.0
1A3M_1_A-B,1.0,1.0,1.0,1.0
1A4D_1_A-B,1.0,1.0,1.0,1.0
1A4T_1_A,1.0,1.0,1.0,1.0
1A51_3_A,1.0,1.0,1.0,1.0
1A60_1_A,0.786,1.0,0.88,0.886
1A9L_1_A,1.0,1.0,1.0,1.0
1A9N_1_Q,1.0,1.0,1.0,1.0
1A9N_1_R,1.0,1.0,1.0,1.0
1AFX_2_A,1.0,1.0,1.0,1.0
1AJF_1_A,1.0,1.0,1.0,1.0
1AJL_1_A-B,0.333,0.667,0.444,0.471
1AJT_1_A-B,0.333,0.667,0.444,0.471
1AJU_9_A,1.0,1.0,1.0,1.0
1AKX_1_A,1.0,1.0,1.0,1.0
1AL5_1_A-B,1.0,1.0,1.0,1.0
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,1.0,1.0,1.0,1.0
1AQ3_1_R,0.4,1.0,0.571,0.632
1AQ3_1_S,0.667,1.0,0.8,0.816
1AQ4_1_R,0.4,1.0,0.571,0.632
1AQ4_1_S,0.5,1.0,0.667,0.707
1AQO_3_A,0.917,1.0,0.957,0.957
1ARJ_7_N,1.0,1.0,1.0,1.0
1ASY_1_R,0.55,0.688,0.611,0.615
1ASY_1_S,0.55,0.688,0.611,0.615
1ASZ_1_R,0.55,0.688,0.611,0.615
1ASZ_1_S,0.55,0.688,0.611,0.615
1ATO_1_A,1.0,1.0,1.0,1.0
1ATV_1_A,1.0,1.0,1.0,1.0
1ATW_1_A,1.0,1.0,1.0,1.0
1AUD_8_B,1.0,1.0,1.0,1.0
1B23_1_R,0.6,0.6,0.6,0.6
1B36_8_A,1.0,1.0,1.0,1.0
1BAU_1_A-B,0.294,0.294,0.294,0.294
1BGZ_1_A,0.5,0.5,0.5,0.5
1BIV_5_A,1.0,1.0,1.0,1.0
1BJ2_1_A-B,0.35,0.438,0.389,0.391
1BN0_2_A,1.0,1.0,1.0,1.0
1BVJ_1_A,1.0,1.0,1.0,1.0
1BYJ_31_A,1.0,1.0,1.0,1.0
1BZ2_1_A,1.0,1.0,1.0,1.0
1BZ3_1_A,0.833,1.0,0.909,0.913
1BZT_1_A,1.0,1.0,1.0,1.0
1BZU_1_A,1.0,1.0,1.0,1.0
1C04_1_E,0.933,1.0,0.966,0.966
1C04_1_F,1.0,1.0,1.0,1.0
1C0O_1_A,1.0,1.0,1.0,1.0
1C2X_1_C,0.31,0.265,0.286,0.287
1C4L_1_A-B,1.0,1.0,1.0,1.0
1CQ5_1_A,1.0,1.0,1.0,1.0
1CQL_10_A,1.0,1.0,1.0,1.0
1CSL_1_B-A,0.333,1.0,0.5,0.577
1D0T_1_A,0.833,1.0,0.909,0.913
1D0U_14_A,1.0,1.0,1.0,1.0
1D4R_1_B-A,0.0,0.0,0.0,0.0
1D6K_4_B,1.0,1.0,1.0,1.0
1DDY_1_A,0.125,0.167,0.143,0.144
1DDY_1_C,0.125,0.167,0.143,0.144
1DDY_1_E,0.125,0.167,0.143,0.144
1DDY_1_G,0.125,0.167,0.143,0.144
1DFU_1_M-N,1.0,1.0,1.0,1.0
1DI2_1_C-D,1.0,1.0,1.0,1.0
1DK1_1_B,0.579,0.688,0.629,0.631
1DQF_1_B-A,1.0,1.0,1.0,1.0
1DQH_1_B-A,1.0,1.0,1.0,1.0
1DRZ_1_B,0.318,0.538,0.4,0.414
1DUL_1_B,1.0,1.0,1.0,1.0
1DUQ_1_B-A,1.0,1.0,1.0,1.0
1DUQ_1_D-C,1.0,1.0,1.0,1.0
1DUQ_1_F-E,1.0,1.0,1.0,1.0
1DUQ_1_H-G,1.0,1.0,1.0,1.0
1DZ5_1_C-D,0.0,0.0,0.0,0.0
1E4P_8_A,1.0,1.0,1.0,1.0
1E7K_1_C,0.0,0.0,0.0,0.0
1E7K_1_D,0.0,0.0,0.0,0.0
1E8O_1_E,0.833,1.0,0.909,0.913
1E95_14_A,0.5,1.0,0.667,0.707
1EBQ_1_A,1.0,1.0,1.0,1.0
1EBR_1_A,1.0,1.0,1.0,1.0
1EBS_1_A,1.0,1.0,1.0,1.0
1EC6_1_C,1.0,1.0,1.0,1.0
1EC6_1_D,1.0,1.0,1.0,1.0
1EFW_1_C,0.476,0.526,0.5,0.501
1EFW_1_D,0.476,0.526,0.5,0.501
1EHT_3_A,1.0,1.0,1.0,1.0
1EHZ_1_A,0.556,0.714,0.625,0.63
1EI2_9_A,1.0,1.0,1.0,1.0
1EIY_1_C,0.909,0.952,0.93,0.93
1EKA_1_A-B,1.0,1.0,1.0,1.0
1EKD_1_A-B,1.0,1.0,1.0,1.0
1EKZ_4_B,1.0,1.0,1.0,1.0
1ELH_1_B-A,1.0,1.0,1.0,1.0
1ESH_1_A,1.0,1.0,1.0,1.0
1ESY_2_A,1.0,1.0,1.0,1.0
1ET4_1_A,0.125,0.167,0.143,0.144
1ET4_1_B,0.125,0.167,0.143,0.144
1ET4_1_C,0.125,0.167,0.143,0.144
1ET4_1_D,0.125,0.167,0.143,0.144
1ET4_1_E,0.125,0.167,0.143,0.144
1ETF_1_A,1.0,1.0,1.0,1.0
1ETG_14_A,1.0,1.0,1.0,1.0
1EUQ_1_B,0.8,0.8,0.8,0.8
1EUY_1_B,0.9,0.947,0.923,0.923
1EVV_1_A,0.556,0.714,0.625,0.63
1EXD_1_B,0.8,0.762,0.78,0.781
1EXY_1_A,1.0,1.0,1.0,1.0
1F1T_1_A,0.7,0.875,0.778,0.783
1F27_1_A,1.0,1.0,1.0,1.0
1F5G_1_A-B,0.0,0.0,0.0,0.0
1F5H_1_A-B,0.0,0.0,0.0,0.0
1F5U_1_A,1.0,1.0,1.0,1.0
1F5U_1_B,1.0,1.0,1.0,1.0
1F6U_2_B,1.0,1.0,1.0,1.0
1F6X_1_A,1.0,1.0,1.0,1.0
1F6Z_1_A,1.0,1.0,1.0,1.0
1F78_1_A,1.0,1.0,1.0,1.0
1F79_1_A,1.0,1.0,1.0,1.0
1F7F_3_A,1.0,1.0,1.0,1.0
1F7G_1_A,1.0,1.0,1.0,1.0
1F7H_5_A,1.0,1.0,1.0,1.0
1F7I_2_A,1.0,1.0,1.0,1.0
1F7U_1_B,0.353,0.353,0.353,0.353
1F7V_1_B,0.353,0.353,0.353,0.353
1F7Y_1_B,0.579,0.688,0.629,0.631
1F84_10_A,1.0,1.0,1.0,1.0
1F85_1_A,1.0,1.0,1.0,1.0
1F9L_1_A,1.0,1.0,1.0,1.0
1FCW_1_A,0.556,0.714,0.625,0.63
1FCW_1_B,0.556,0.714,0.625,0.63
1FCW_1_C,0.556,0.714,0.625,0.63
1FCW_1_D,0.556,0.714,0.625,0.63
1FCW_1_E,0.556,0.714,0.625,0.63
1FEQ_1_A,1.0,1.0,1.0,1.0
1FEU_1_C-B,1.0,1.0,1.0,1.0
1FEU_1_F-E,1.0,1.0,1.0,1.0
1FFK_1_9,0.912,0.939,0.925,0.925
1FFY_1_T,0.955,1.0,0.977,0.977
1FFZ_1_A,0.697,0.721,0.709,0.709
1FG0_1_A,0.694,0.719,0.707,0.707
1FHK_4_A,1.0,1.0,1.0,1.0
1FIR_1_A,0.529,0.529,0.529,0.529
1FJE_1_A,1.0,1.0,1.0,1.0
1FL8_1_A,1.0,1.0,1.0,1.0
1FMN_1_A,0.7,0.875,0.778,0.783
1FOQ_1_A,1.0,1.0,1.0,1.0
1FOQ_1_B,1.0,1.0,1.0,1.0
1FOQ_1_C,1.0,1.0,1.0,1.0
1FOQ_1_D,1.0,1.0,1.0,1.0
1FOQ_1_E,1.0,1.0,1.0,1.0
1FQZ_1_A,1.0,1.0,1.0,1.0
1FUF_1_A-B,0.0,0.0,0.0,0.0
1FYO_1_A,1.0,1.0,1.0,1.0
1FYP_1_A,1.0,1.0,1.0,1.0
1G1X_1_D-E,0.815,0.815,0.815,0.815
1G1X_1_J-I,0.815,0.815,0.815,0.815
1G59_1_B,0.955,1.0,0.977,0.977
1G59_1_D,0.955,1.0,0.977,0.977
1G70_1_A,1.0,1.0,1.0,1.0
1GAX_1_C,0.955,1.0,0.977,0.977
1GAX_1_D,0.955,1.0,0.977,0.977
1GID_1_A,0.917,0.898,0.907,0.907
1GID_1_B,0.917,0.898,0.907,0.907
1GRZ_1_A,0.803,0.877,0.838,0.839
1GRZ_1_B,0.825,0.881,0.852,0.853
1GTR_1_B,0.95,1.0,0.974,0.975
1GTS_1_B,0.95,1.0,0.974,0.975
1GUC_1_A-B,1.0,1.0,1.0,1.0
1H3E_1_B,0.56,0.667,0.609,0.611
1H4Q_1_T,0.5,0.5,0.5,0.5
1H4S_1_T,0.5,0.5,0.5,0.5
1HC8_1_C,0.929,1.0,0.963,0.964
1HC8_1_D,0.929,1.0,0.963,0.964
1HJI_1_A,1.0,1.0,1.0,1.0
1HLX_1_A,1.0,1.0,1.0,1.0
1HMH_1_A,1.0,1.0,1.0,1.0
1HMH_1_C,1.0,1.0,1.0,1.0
1HMH_1_E,1.0,1.0,1.0,1.0
1HQ1_1_B,1.0,1.0,1.0,1.0
1HR2_1_A,0.913,0.913,0.913,0.913
1HR2_1_B,0.894,0.894,0.894,0.894
1HS1_1_A,1.0,1.0,1.0,1.0
