,PPV,TPR,F1,INF
7A01_d2,0.524,0.892,0.66,0.684
7A09_f,0.571,1.0,0.727,0.756
7A0R_Y,0.323,0.69,0.44,0.472
7A0S_Y,0.333,0.704,0.452,0.484
7A18_Y,0.317,0.731,0.442,0.481
7A5F_24,0.171,0.368,0.233,0.251
7A5F_C,0.146,0.75,0.245,0.331
7A5G_24,0.15,0.333,0.207,0.224
7A5G_C,0.15,0.75,0.25,0.335
7A5G_j,0.0,0.0,0.0,0.0
7A5H_24,0.154,0.316,0.207,0.22
7A5I_94,0.167,0.333,0.222,0.236
7A5I_99,0.188,0.333,0.24,0.25
7A5I_X,0.167,0.316,0.218,0.229
7A5J_G,0.15,0.75,0.25,0.335
7A5J_x,0.15,0.333,0.207,0.224
7A5K_24,0.154,0.316,0.207,0.22
7A5K_FE,0.154,0.316,0.207,0.22
7A5P_2,0.721,1.0,0.838,0.849
7ABF_6,0.667,1.0,0.8,0.816
7ABG_5,0.738,0.939,0.827,0.833
7ABI_5,0.707,0.879,0.784,0.788
7ABZ_3,0.155,0.237,0.188,0.192
7ABZ_7,0.25,0.421,0.314,0.324
7AC7_3,0.167,0.263,0.204,0.209
7AC7_7,0.192,0.227,0.208,0.209
7ACJ_3,0.169,0.27,0.208,0.214
7ACR_3,0.172,0.256,0.206,0.21
7AJT_D4,0.2,0.34,0.252,0.261
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.386,0.611,0.473,0.486
7AQC_T,0.313,0.588,0.408,0.429
7AQD_B,0.386,0.611,0.473,0.486
7AQD_T,0.324,0.611,0.423,0.445
7AS8_B,0.362,0.6,0.452,0.466
7AS9_2,0.158,0.261,0.197,0.203
7AS9_B,0.323,0.618,0.424,0.447
7ASA_A,0.29,0.529,0.375,0.392
7ASM_B,0.29,0.514,0.371,0.386
7ASN_B,0.196,0.344,0.25,0.26
7ASO_C,0.0,0.0,0.0,0.0
7ASP_3,0.033,0.061,0.043,0.045
7AZY_F,0.484,0.795,0.602,0.62
7B0Y_a,0.365,0.657,0.469,0.49
7B5K_9,0.378,0.636,0.475,0.491
7B5K_B,0.164,0.256,0.2,0.205
7B5K_x,0.161,0.2,0.179,0.18
7B5K_z,0.176,0.24,0.203,0.206
7B7D_LB,0.5,0.795,0.614,0.63
7B7D_Sm,0.588,1.0,0.741,0.767
7B7D_Sn,0.5,0.81,0.618,0.636
7B9V_5,0.699,0.944,0.803,0.812
7BG9_B,0.168,0.241,0.198,0.201
7BGB_B,0.694,0.962,0.806,0.817
7BHP_L7,0.508,0.892,0.647,0.673
7BL2_B,0.153,0.243,0.188,0.193
7BL3_B,0.15,0.237,0.184,0.188
7BL4_B,0.148,0.237,0.182,0.187
7BL5_B,0.155,0.243,0.189,0.194
7BL6_B,0.145,0.237,0.18,0.185
7BT6_3,0.464,0.703,0.559,0.571
7BTB_3,0.492,0.784,0.604,0.621
7BV8_B,0.164,0.256,0.2,0.205
7C79_A,0.365,0.597,0.453,0.467
7C7A_A,0.364,0.595,0.452,0.466
7CHD_I,0.8,0.952,0.87,0.873
7CHD_J,0.769,0.952,0.851,0.856
7CPJ_9,0.636,0.955,0.764,0.779
7CPJ_B,0.145,0.237,0.18,0.185
7CPU_L7,0.516,0.892,0.653,0.678
7CPV_L7,0.516,0.892,0.653,0.678
7D4I_3A,0.257,0.514,0.342,0.363
7D6Z_2,0.079,0.158,0.105,0.112
7D6Z_3,0.129,0.2,0.157,0.161
7D6Z_4,0.5,0.667,0.571,0.577
7D6Z_B,0.143,0.237,0.178,0.184
7D7V_A,0.0,0.0,0.0,0.0
7D80_a,0.129,0.265,0.173,0.184
7D80_X,0.061,0.111,0.078,0.082
7D80_y,0.0,0.0,0.0,0.0
7D80_Z,0.321,0.474,0.383,0.39
7DCO_B,0.7,0.925,0.797,0.804
7E8O_X,0.606,1.0,0.755,0.778
7EAF_A,0.356,0.727,0.478,0.509
7ELP_A,0.409,0.692,0.514,0.532
7ELP_B,0.5,0.857,0.632,0.655
7ELQ_A,0.391,0.692,0.5,0.52
7ELQ_B,0.5,0.857,0.632,0.655
7ELR_A,0.391,0.692,0.5,0.52
7ELR_B,0.522,0.857,0.649,0.669
7ELS_A,0.409,0.692,0.514,0.532
7ELS_B,0.5,0.857,0.632,0.655
7EQJ_A,0.441,0.682,0.536,0.548
7EQJ_B,0.176,0.25,0.207,0.21
7EZ0_N,0.418,0.75,0.537,0.56
7F36_E,0.389,0.667,0.491,0.509
7F36_F,0.438,0.609,0.509,0.516
7F36_G,0.412,0.7,0.519,0.537
7JIL_3,0.167,0.303,0.215,0.225
7JQC_i,0.222,0.457,0.299,0.319
7JQL_1B,0.441,0.714,0.545,0.561
7JQL_1x,0.741,0.952,0.833,0.84
7JQL_2B,0.138,0.243,0.176,0.184
7JQL_2x,0.714,1.0,0.833,0.845
7JQM_1B,0.435,0.714,0.541,0.557
7JQM_1x,0.769,1.0,0.87,0.877
7JQM_2B,0.149,0.27,0.192,0.201
7JQM_2x,0.741,0.952,0.833,0.84
7JQQ_K,0.585,0.905,0.71,0.727
7JQQ_L,0.597,0.881,0.712,0.725
7JQQ_M,0.644,0.927,0.76,0.773
7JQQ_N,0.433,0.906,0.586,0.626
7JQQ_O,0.547,0.875,0.673,0.692
7JSS_2,0.153,0.237,0.186,0.19
7JSS_5,0.606,1.0,0.755,0.778
7JSW_2,0.145,0.231,0.178,0.183
7JSW_5,0.588,1.0,0.741,0.767
7JSZ_2,0.138,0.211,0.167,0.17
7JSZ_5,0.606,1.0,0.755,0.778
7JT1_2,0.129,0.211,0.16,0.165
7JT1_5,0.69,1.0,0.816,0.83
7JT2_2,0.136,0.211,0.165,0.169
7JT2_5,0.606,1.0,0.755,0.778
7JT3_2,0.133,0.211,0.163,0.168
7JT3_5,0.645,1.0,0.784,0.803
7K00_b,0.141,0.237,0.176,0.182
7K00_Y,0.111,0.211,0.145,0.153
7K00_Z,0.625,1.0,0.769,0.791
7K50_2,0.145,0.237,0.18,0.185
7K50_5,0.645,1.0,0.784,0.803
7K50_6,0.633,0.95,0.76,0.776
7K50_7,0.6,0.955,0.737,0.757
7K51_2,0.158,0.237,0.189,0.193
7K51_5,0.625,0.952,0.755,0.772
7K51_6,0.645,1.0,0.784,0.803
7K52_2,0.155,0.237,0.188,0.192
7K52_5,0.656,0.955,0.778,0.791
7K52_6,0.645,1.0,0.784,0.803
7K53_2,0.148,0.237,0.182,0.187
7K53_5,0.645,1.0,0.784,0.803
7K53_6,0.655,0.95,0.776,0.789
7K53_7,0.583,0.955,0.724,0.746
7K54_2,0.148,0.237,0.182,0.187
7K54_5,0.583,0.955,0.724,0.746
7K54_6,0.606,1.0,0.755,0.778
7K55_2,0.143,0.231,0.176,0.182
7K55_5,0.6,0.955,0.737,0.757
7K55_6,0.556,1.0,0.714,0.745
7K98_C,0.457,0.762,0.571,0.59
7K98_F,0.167,0.261,0.203,0.209
7KD1_A,0.14,0.261,0.182,0.191
7KGA_A,0.636,0.84,0.724,0.731
7KGA_B,0.636,1.0,0.778,0.798
7KGB_B,0.492,1.0,0.659,0.701
7KGB_y,0.206,0.318,0.25,0.256
7LH5_AW,0.452,0.7,0.549,0.562
7LH5_BB,0.448,0.732,0.556,0.572
7LH5_CW,0.265,0.474,0.34,0.354
7LH5_DB,0.448,0.714,0.55,0.566
7LJ3_A,0.0,0.0,0.0,0.0
7LJ3_B,0.442,1.0,0.613,0.665
7LJ3_C,0.0,0.0,0.0,0.0
7LMB_B,0.446,0.658,0.532,0.542
7LS1_B2,0.517,0.838,0.639,0.658
7LS2_B2,0.5,0.838,0.626,0.647
7LV0_2,0.155,0.237,0.188,0.192
7LV0_5,0.656,0.955,0.778,0.791
7LV0_6,0.645,1.0,0.784,0.803
