,PPV,TPR,F1,INF
7MQ8_L2,0.0,0.0,0.0,0.0
7MQ9_L2,0.0,0.0,0.0,0.0
7MQA_L2,0.0,0.0,0.0,0.0
7QXA_B,0.0,0.0,0.0,0.0
7V9A_R,0.0,0.0,0.0,0.0
7TRD_B,0.0,0.0,0.0,0.0
7BG9_B,0.0,0.0,0.0,0.0
7TRE_B,0.0,0.0,0.0,0.0
7V99_R,0.0,0.0,0.0,0.0
7TRF_B,0.0,0.0,0.0,0.0
7TRC_B,0.0,0.0,0.0,0.0
7BGB_B,0.0,0.0,0.0,0.0
7QXS_B,0.0,0.0,0.0,0.0
7QXB_B,0.0,0.0,0.0,0.0
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.0,0.0,0.0,0.0
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.0,0.0,0.0,0.0
7C79_A,0.0,0.0,0.0,0.0
7ELD_B,0.0,0.0,0.0,0.0
6XRZ_A,0.0,0.0,0.0,0.0
7O7Z_AH,0.0,0.0,0.0,0.0
7KGA_B,0.0,0.0,0.0,0.0
7KGA_A,0.0,0.0,0.0,0.0
7MQ9_L0,0.0,0.0,0.0,0.0
7MQ8_L0,0.0,0.0,0.0,0.0
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.0,0.0,0.0,0.0
7SAM_A,0.0,0.0,0.0,0.0
7SCQ_C,0.0,0.0,0.0,0.0
7SC6_C,0.0,0.0,0.0,0.0
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.0,0.0,0.0,0.0
6JQ6_U,0.0,0.0,0.0,0.0
5T5A_A,0.0,0.0,0.0,0.0
6TFE_A,0.0,0.0,0.0,0.0
6TF0_A,0.0,0.0,0.0,0.0
6TFH_A,0.0,0.0,0.0,0.0
6TFF_A,0.0,0.0,0.0,0.0
6TFG_A,0.0,0.0,0.0,0.0
6TB7_A,0.0,0.0,0.0,0.0
7D7V_A,0.0,0.0,0.0,0.0
7D7Y_A,0.0,0.0,0.0,0.0
6TF3_A,0.0,0.0,0.0,0.0
6TF1_A,0.0,0.0,0.0,0.0
7D7X_A,0.0,0.0,0.0,0.0
7D82_A,0.0,0.0,0.0,0.0
7D81_A,0.0,0.0,0.0,0.0
7D7W_A,0.0,0.0,0.0,0.0
7D7Z_A,0.0,0.0,0.0,0.0
6TF2_A,0.0,0.0,0.0,0.0
7ELR_B,0.0,0.0,0.0,0.0
7ELS_A,0.0,0.0,0.0,0.0
7ELQ_A,0.0,0.0,0.0,0.0
7ELR_A,0.0,0.0,0.0,0.0
7ELS_B,0.0,0.0,0.0,0.0
7ELQ_B,0.0,0.0,0.0,0.0
7ELP_B,0.0,0.0,0.0,0.0
7ELP_A,0.0,0.0,0.0,0.0
1M5V_E,0.0,0.0,0.0,0.0
1M5K_B,0.0,0.0,0.0,0.0
1M5P_B,0.0,0.0,0.0,0.0
1M5P_E,0.0,0.0,0.0,0.0
1M5O_E,0.0,0.0,0.0,0.0
1M5V_B,0.0,0.0,0.0,0.0
1M5K_E,0.0,0.0,0.0,0.0
1M5O_B,0.0,0.0,0.0,0.0
