,PPV,TPR,F1,INF
6YWE_1_bb,1.0,1.0,1.0,1.0
6P7M_1_B,1.0,1.0,1.0,1.0
4N0T_1_B,0.875,1.0,0.933,0.935
2PJP_1_B,0.9,0.9,0.9,0.9
4XNR_1_X,1.0,1.0,1.0,1.0
2XLK_1_C,1.0,1.0,1.0,1.0
2XDB_1_G,0.714,0.714,0.714,0.714
6SKG_1_BB,0.946,0.972,0.959,0.959
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.941,0.941,0.941,0.941
6ZDQ_1_C,0.222,0.333,0.267,0.272
3BT7_1_D,1.0,1.0,1.0,1.0
361D_1_A,1.0,1.0,1.0,1.0
5E81_1_1K,0.929,1.0,0.963,0.964
7AS8_1_2,0.947,1.0,0.973,0.973
6RFL_1_U,0.944,1.0,0.971,0.972
3K1V_1_A,1.0,1.0,1.0,1.0
4FEN_1_B,0.957,0.957,0.957,0.957
4V8D_1_CD,0.958,1.0,0.979,0.979
3DIL_1_A,0.968,0.968,0.968,0.968
3NVI_1_F,1.0,1.0,1.0,1.0
5L4O_1_A,0.905,1.0,0.95,0.951
5M0H_1_A,1.0,1.0,1.0,1.0
7MSF_1_R,1.0,1.0,1.0,1.0
4KR6_1_D,0.9,0.9,0.9,0.9
2Y8W_1_B,1.0,1.0,1.0,1.0
1A9N_1_Q,0.6,0.6,0.6,0.6
6N2V_1_A,0.656,0.677,0.667,0.667
3RKF_1_C,0.875,0.955,0.913,0.914
5NFV_1_B,1.0,1.0,1.0,1.0
1U1Y_1_R,1.0,1.0,1.0,1.0
6LT7_1_C,0.929,0.929,0.929,0.929
7MLW_1_F,0.775,0.912,0.838,0.841
6YDP_1_AV,0.882,1.0,0.938,0.939
7OLC_1_3,0.946,1.0,0.972,0.973
3HAX_1_E,1.0,1.0,1.0,1.0
2ZZM_1_B,0.95,0.905,0.927,0.927
2OIU_1_Q,0.739,0.85,0.791,0.793
6UGI_1_A,1.0,1.0,1.0,1.0
5B2T_1_A,0.765,0.722,0.743,0.743
7ODF_1_F,1.0,1.0,1.0,1.0
5WTI_1_B,0.533,0.842,0.653,0.67
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.957,1.0,0.978,0.978
7C79_1_A,0.741,0.822,0.779,0.78
5T5A_1_A,0.524,0.688,0.595,0.6
6DVK_1_H,1.0,1.0,1.0,1.0
6Y2L_1_B4,0.95,1.0,0.974,0.975
5U30_1_B,0.393,0.458,0.423,0.424
5DH6_1_A,0.833,1.0,0.909,0.913
7REX_1_A,1.0,1.0,1.0,1.0
1ZBH_1_F,1.0,1.0,1.0,1.0
4X4V_1_B,1.0,1.0,1.0,1.0
7DCO_1_B,0.426,0.476,0.449,0.45
4C8Z_1_C,1.0,1.0,1.0,1.0
3GS5_1_A,0.375,1.0,0.545,0.612
3NPQ_1_A,0.714,0.769,0.741,0.741
5M0I_1_E,1.0,1.0,1.0,1.0
2F8K_1_B,0.833,1.0,0.909,0.913
7OIF_1_z,0.792,0.95,0.864,0.867
3AKZ_1_E,1.0,1.0,1.0,1.0
6OL3_1_C,0.935,0.935,0.935,0.935
3MJA_1_B,1.0,1.0,1.0,1.0
5W1H_1_B,0.8,1.0,0.889,0.894
3MXH_1_R,0.32,0.4,0.356,0.358
4V90_1_AV,0.95,1.0,0.974,0.975
1F1T_1_A,0.7,0.778,0.737,0.738
5VW1_1_C,0.882,0.882,0.882,0.882
7O7Y_1_AT,0.412,0.412,0.412,0.412
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.737,0.737,0.737,0.737
7N2V_1_Dt,0.857,0.947,0.9,0.901
6XKO_1_A,0.643,0.818,0.72,0.725
7KGA_1_A,0.571,0.889,0.696,0.713
3G9C_1_Q,0.905,0.905,0.905,0.905
6P2H_1_A,0.65,0.722,0.684,0.685
2BTE_1_B,0.625,0.789,0.698,0.702
6MWN_1_B,0.867,0.897,0.881,0.881
1F7U_1_B,0.353,0.375,0.364,0.364
5HR6_1_C,0.952,1.0,0.976,0.976
3LQX_1_B,1.0,1.0,1.0,1.0
1QU2_1_T,0.955,1.0,0.977,0.977
6PIJ_1_1,1.0,1.0,1.0,1.0
5Y85_1_D,0.9,0.9,0.9,0.9
3CUL_1_C,0.808,0.875,0.84,0.841
1R3E_1_C,1.0,1.0,1.0,1.0
3OVB_1_C,1.0,1.0,1.0,1.0
6DU4_1_B,1.0,1.0,1.0,1.0
3EPH_1_E,0.889,0.941,0.914,0.915
2OEU_1_A,0.8,0.8,0.8,0.8
7RYG_1_B,0.906,1.0,0.951,0.952
3JCS_1_6,0.0,0.0,0.0,0.0
1B23_1_R,0.55,0.688,0.611,0.615
5M0J_1_E,1.0,1.0,1.0,1.0
6X5M_1_r,1.0,1.0,1.0,1.0
7CPU_1_S6,0.941,0.889,0.914,0.915
6ZMI_1_CC,0.9,0.947,0.923,0.923
4M6D_1_H,0.583,0.778,0.667,0.674
3EGZ_1_B,1.0,1.0,1.0,1.0
5VJ9_1_C,1.0,1.0,1.0,1.0
2Y9H_1_F,1.0,1.0,1.0,1.0
6TFF_1_A,0.9,1.0,0.947,0.949
4Z31_1_E,1.0,1.0,1.0,1.0
7OS0_1_F,0.833,0.833,0.833,0.833
5AXM_1_P,0.95,1.0,0.974,0.975
6IV9_1_B,0.889,1.0,0.941,0.943
6AAY_1_B,1.0,1.0,1.0,1.0
5D0B_1_F,0.833,1.0,0.909,0.913
2QWY_1_C,0.462,0.75,0.571,0.588
5JBG_1_X,1.0,1.0,1.0,1.0
3VJR_1_B,1.0,1.0,1.0,1.0
4P95_1_A,0.467,0.778,0.583,0.602
7D8O_1_B,0.714,0.714,0.714,0.714
7K16_1_P,0.375,0.857,0.522,0.567
7O1A_1_B8,0.909,1.0,0.952,0.953
6CFJ_1_1x,0.952,1.0,0.976,0.976
1L9A_1_B,0.769,0.909,0.833,0.836
4V8B_1_AB,0.952,0.909,0.93,0.93
7KGA_1_B,0.586,0.895,0.708,0.724
3HHN_1_E,0.978,0.978,0.978,0.978
2BH2_1_D,1.0,1.0,1.0,1.0
4QI2_1_G,1.0,1.0,1.0,1.0
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.4,1.0,0.571,0.632
4ZLD_1_B,1.0,1.0,1.0,1.0
7P3K_1_V,0.952,1.0,0.976,0.976
2B3J_1_E,1.0,1.0,1.0,1.0
7CPU_1_L7,0.944,1.0,0.971,0.972
7P48_1_5,0.952,1.0,0.976,0.976
4ZDO_1_E,0.556,0.833,0.667,0.68
1Y26_1_X,1.0,1.0,1.0,1.0
7EQJ_1_B,1.0,1.0,1.0,1.0
6XH2_1_D,0.9,1.0,0.947,0.949
4PRF_1_B,0.409,0.45,0.429,0.429
2C4Q_1_R,0.667,1.0,0.8,0.816
7QEP_1_2,0.943,1.0,0.971,0.971
1L2X_1_A,1.0,1.0,1.0,1.0
6AZ3_1_5,0.24,0.375,0.293,0.3
3SUX_1_X,0.967,0.967,0.967,0.967
6VRB_1_B,0.8,1.0,0.889,0.894
3D0U_1_A,0.964,0.982,0.973,0.973
1EC6_1_C,1.0,1.0,1.0,1.0
6ZVI_1_e,0.9,0.947,0.923,0.923
5CCB_1_N,0.87,1.0,0.93,0.933
4JRC_1_B,0.765,0.684,0.722,0.723
5F5F_1_B,1.0,1.0,1.0,1.0
7B5K_1_x,0.952,1.0,0.976,0.976
6BHJ_1_E,1.0,1.0,1.0,1.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,1.0,1.0,1.0,1.0
5DM6_1_Y,0.943,1.0,0.971,0.971
7KKV_1_B,0.762,0.941,0.842,0.847
4TUW_1_C,1.0,1.0,1.0,1.0
2Y9H_1_J,1.0,1.0,1.0,1.0
4YYE_1_C,0.952,1.0,0.976,0.976
7MJV_1_E,1.0,1.0,1.0,1.0
5DEA_1_A,0.714,0.833,0.769,0.772
7MQA_1_L2,0.767,0.846,0.805,0.806
6XU8_1_A7,0.933,1.0,0.966,0.966
2Y9H_1_N,1.0,1.0,1.0,1.0
2Y9H_1_H,1.0,1.0,1.0,1.0
5ZQ8_1_D,1.0,1.0,1.0,1.0
5NDH_1_A,0.0,0.0,0.0,0.0
3RG5_1_B,0.9,0.9,0.9,0.9
5WT1_1_C,0.7,0.875,0.778,0.783
5FJ4_1_H,0.375,0.375,0.375,0.375
7OT5_1_z,0.579,0.786,0.667,0.674
5XH7_1_B,0.2,0.2,0.2,0.2
7KI3_1_C,1.0,1.0,1.0,1.0
7EOG_1_A,0.867,1.0,0.929,0.931
4FRG_1_B,0.72,0.9,0.8,0.805
6GSJ_1_3L,0.947,1.0,0.973,0.973
6W5C_1_B,0.0,0.0,0.0,0.0
7D81_1_A,0.941,0.941,0.941,0.941
6UGG_1_B,0.955,1.0,0.977,0.977
6F4H_1_D,1.0,1.0,1.0,1.0
1HMH_1_A,1.0,1.0,1.0,1.0
4PCJ_1_A,0.833,1.0,0.909,0.913
4RGE_1_C,0.55,0.688,0.611,0.615
6KC8_1_B,0.897,1.0,0.946,0.947
5IB7_1_3L,1.0,1.0,1.0,1.0
6TB3_1_n,0.81,0.944,0.872,0.874
6ZU5_1_L70,0.943,1.0,0.971,0.971
5F5H_1_C,1.0,1.0,1.0,1.0
6KYV_1_G,1.0,1.0,1.0,1.0
4C8Y_1_C,1.0,1.0,1.0,1.0
6T4Q_1_6,1.0,1.0,1.0,1.0
7EU9_1_B,0.833,1.0,0.909,0.913
4C9D_1_D,1.0,1.0,1.0,1.0
3SNP_1_D,1.0,1.0,1.0,1.0
7LJ3_1_A,0.952,1.0,0.976,0.976
6UFM_1_A,0.955,1.0,0.977,0.977
1Q96_1_A,0.833,0.833,0.833,0.833
2DRA_1_B,1.0,1.0,1.0,1.0
2Y8Y_1_B,1.0,1.0,1.0,1.0
7K98_1_C,0.955,1.0,0.977,0.977
7NHN_1_B,0.727,0.774,0.75,0.75
5MSF_1_R,0.4,1.0,0.571,0.632
1MMS_1_C,0.857,0.8,0.828,0.828
5F5F_1_F,1.0,1.0,1.0,1.0
5UDZ_1_W,1.0,1.0,1.0,1.0
4ZT0_1_D,0.941,0.941,0.941,0.941
6T4Q_1_7,0.95,1.0,0.974,0.975
7OZQ_1_H,1.0,1.0,1.0,1.0
6UFM_1_B,0.724,0.913,0.808,0.813
4L81_1_A,0.968,0.968,0.968,0.968
5D5L_1_A,0.917,0.957,0.936,0.936
5NS3_1_C,1.0,1.0,1.0,1.0
1H4S_1_T,0.85,0.85,0.85,0.85
7ELQ_1_A,0.8,1.0,0.889,0.894
4X4U_1_G,0.0,0.0,0.0,0.0
