,PPV,TPR,F1,INF
6YWE_1_bb,0.647,1.0,0.786,0.804
6P7M_1_B,0.667,0.75,0.706,0.707
4N0T_1_B,0.682,0.938,0.789,0.8
2PJP_1_B,0.9,0.9,0.9,0.9
4XNR_1_X,0.737,0.933,0.824,0.829
2XLK_1_C,0.833,0.833,0.833,0.833
2XDB_1_G,0.313,0.625,0.417,0.442
6SKG_1_BB,0.552,0.949,0.698,0.724
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.962,1.0,0.98,0.981
6ZDQ_1_C,0.182,0.308,0.229,0.237
3BT7_1_D,1.0,1.0,1.0,1.0
361D_1_A,0.875,1.0,0.933,0.935
5E81_1_1K,0.594,0.95,0.731,0.751
7AS8_1_2,0.618,1.0,0.764,0.786
6RFL_1_U,0.567,0.944,0.708,0.732
3K1V_1_A,0.409,0.818,0.545,0.579
4FEN_1_B,0.757,1.0,0.862,0.87
4V8D_1_CD,0.523,1.0,0.687,0.723
3DIL_1_A,0.809,0.962,0.879,0.882
3NVI_1_F,0.714,0.714,0.714,0.714
5L4O_1_A,0.724,0.955,0.824,0.831
5M0H_1_A,0.947,1.0,0.973,0.973
7MSF_1_R,1.0,1.0,1.0,1.0
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,0.909,0.909,0.909,0.909
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,1.0,1.0,1.0
1A9N_1_Q,0.429,0.5,0.462,0.463
6N2V_1_A,0.467,0.656,0.545,0.553
3RKF_1_C,0.629,1.0,0.772,0.793
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.714,1.0,0.833,0.845
6LT7_1_C,0.929,0.929,0.929,0.929
7MLW_1_F,0.485,0.868,0.623,0.649
6YDP_1_AV,0.417,1.0,0.588,0.645
7OLC_1_3,0.593,0.972,0.737,0.759
3HAX_1_E,0.762,1.0,0.865,0.873
2ZZM_1_B,0.6,0.75,0.667,0.671
2OIU_1_Q,0.548,0.85,0.667,0.683
6UGI_1_A,1.0,1.0,1.0,1.0
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.542,0.684,0.605,0.609
7ODF_1_F,0.714,1.0,0.833,0.845
5WTI_1_B,0.422,0.792,0.551,0.578
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.579,1.0,0.733,0.761
7C79_1_A,0.524,0.733,0.611,0.62
5T5A_1_A,0.414,0.706,0.522,0.54
6DVK_1_H,0.911,1.0,0.953,0.955
6Y2L_1_B4,0.632,1.0,0.774,0.795
3MIJ_1_A,0.25,0.333,0.286,0.289
5U30_1_B,0.314,0.423,0.361,0.365
5DH6_1_A,0.455,0.833,0.588,0.615
7REX_1_A,0.217,0.714,0.333,0.394
1ZBH_1_F,0.857,1.0,0.923,0.926
4X4V_1_B,1.0,1.0,1.0,1.0
7DCO_1_B,0.286,0.417,0.339,0.345
4C8Z_1_C,0.75,1.0,0.857,0.866
3GS5_1_A,0.333,0.8,0.471,0.516
3NPQ_1_A,0.417,0.667,0.513,0.527
5M0I_1_E,0.875,0.875,0.875,0.875
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,0.714,1.0,0.833,0.845
7OIF_1_z,0.512,0.913,0.656,0.684
3AKZ_1_E,0.649,0.923,0.762,0.774
6OL3_1_C,0.849,0.957,0.9,0.902
3MJA_1_B,0.833,0.833,0.833,0.833
5W1H_1_B,0.571,1.0,0.727,0.756
3MXH_1_R,0.174,0.364,0.235,0.251
4V90_1_AV,0.742,1.0,0.852,0.861
1F1T_1_A,0.571,0.727,0.64,0.645
5VW1_1_C,0.625,0.789,0.698,0.702
7O7Y_1_AT,0.333,0.389,0.359,0.36
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.389,0.7,0.5,0.522
7N2V_1_Dt,0.643,0.9,0.75,0.761
6XKO_1_A,0.5,0.818,0.621,0.64
7KGA_1_A,0.485,0.889,0.627,0.656
3G9C_1_Q,0.678,0.889,0.769,0.776
3DD2_1_B,0.0,0.0,0.0,0.0
6P2H_1_A,0.361,0.619,0.456,0.473
2BTE_1_B,0.395,0.789,0.526,0.558
6MWN_1_B,0.634,0.813,0.712,0.718
1F7U_1_B,0.0,0.0,0.0,0.0
5HR6_1_C,0.625,1.0,0.769,0.791
3LQX_1_B,0.714,1.0,0.833,0.845
1QU2_1_T,0.636,1.0,0.778,0.798
6PIJ_1_1,0.833,0.714,0.769,0.772
5Y85_1_D,0.556,0.833,0.667,0.68
3CUL_1_C,0.676,0.793,0.73,0.732
1R3E_1_C,0.714,1.0,0.833,0.845
3OVB_1_C,0.923,1.0,0.96,0.961
