,PPV,TPR,F1,INF
7MQ8_L2,0.322,0.514,0.396,0.407
7MQ9_L2,0.295,0.486,0.367,0.379
7MQA_L2,0.345,0.541,0.421,0.432
7QXA_B,0.04,0.065,0.049,0.051
7V9A_R,0.0,0.0,0.0,0.0
7TRD_B,0.163,0.286,0.207,0.216
7BG9_B,0.059,0.108,0.076,0.08
7TRE_B,0.153,0.289,0.2,0.21
7V99_R,0.043,0.071,0.053,0.055
7TRF_B,0.163,0.286,0.207,0.216
7TRC_B,0.5,0.955,0.656,0.691
7BGB_B,0.583,0.955,0.724,0.746
7QXS_B,0.068,0.109,0.084,0.086
7QXB_B,0.069,0.109,0.084,0.087
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.426,0.64,0.512,0.522
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.308,0.481,0.376,0.385
7C79_A,0.429,0.635,0.512,0.522
7ELD_B,0.532,0.971,0.688,0.719
6XRZ_A,0.362,0.81,0.5,0.541
7O7Z_AH,0.567,0.85,0.68,0.694
7KGA_B,0.606,0.952,0.741,0.76
7KGA_A,0.636,1.0,0.778,0.798
7MQ9_L0,0.173,0.275,0.212,0.218
7MQ8_L0,0.187,0.275,0.222,0.226
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.654,0.85,0.739,0.745
7SAM_A,0.474,0.735,0.576,0.59
7SCQ_C,0.391,0.735,0.511,0.536
7SC6_C,0.435,0.755,0.552,0.573
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.672,0.953,0.788,0.801
6JQ6_U,0.517,1.0,0.682,0.719
5T5A_A,0.414,0.667,0.511,0.525
6TFE_A,0.435,0.667,0.526,0.538
6TF0_A,0.227,0.417,0.294,0.308
6TFH_A,0.227,0.417,0.294,0.308
6TFF_A,0.435,0.667,0.526,0.538
6TFG_A,0.435,0.667,0.526,0.538
6TB7_A,0.435,0.667,0.526,0.538
7D7V_A,0.0,0.0,0.0,0.0
7D7Y_A,0.591,0.929,0.722,0.741
6TF3_A,0.435,0.667,0.526,0.538
6TF1_A,0.435,0.667,0.526,0.538
7D7X_A,0.591,0.929,0.722,0.741
7D82_A,0.85,1.0,0.919,0.922
7D81_A,0.727,0.941,0.821,0.827
7D7W_A,0.591,0.929,0.722,0.741
7D7Z_A,0.591,0.929,0.722,0.741
6TF2_A,0.435,0.667,0.526,0.538
7ELR_B,0.348,1.0,0.516,0.59
7ELS_A,0.364,1.0,0.533,0.603
7ELQ_A,0.348,1.0,0.516,0.59
7ELR_A,0.348,1.0,0.516,0.59
7ELS_B,0.333,1.0,0.5,0.577
7ELQ_B,0.333,1.0,0.5,0.577
7ELP_B,0.333,1.0,0.5,0.577
7ELP_A,0.364,1.0,0.533,0.603
1M5V_E,0.515,0.944,0.667,0.698
1M5K_B,0.472,0.895,0.618,0.65
1M5P_B,0.486,0.944,0.642,0.677
1M5P_E,0.531,0.944,0.68,0.708
1M5O_E,0.515,0.944,0.667,0.698
1M5V_B,0.515,0.944,0.667,0.698
1M5K_E,0.5,0.895,0.642,0.669
1M5O_B,0.5,0.944,0.654,0.687
