,PPV,TPR,F1,INF
7MQ8_L2,0.492,0.853,0.624,0.647
7MQ9_L2,0.459,0.824,0.589,0.615
7MQA_L2,0.534,0.939,0.681,0.709
7QXA_B,0.06,0.2,0.092,0.11
7V9A_R,0.286,0.8,0.421,0.478
7TRD_B,0.174,0.326,0.227,0.238
7BG9_B,0.092,0.275,0.138,0.159
7TRE_B,0.2,0.395,0.266,0.281
7V99_R,0.074,0.194,0.108,0.12
7TRF_B,0.186,0.348,0.242,0.254
7TRC_B,0.548,0.885,0.676,0.696
7BGB_B,0.667,0.923,0.774,0.784
7QXS_B,0.107,0.275,0.154,0.171
7QXB_B,0.108,0.275,0.155,0.172
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.403,0.754,0.525,0.551
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.4,0.787,0.53,0.561
7C79_A,0.405,0.729,0.52,0.543
7ELD_B,0.774,0.98,0.865,0.871
6XRZ_A,0.383,0.947,0.545,0.602
7O7Z_AH,0.6,0.9,0.72,0.735
7KGA_B,0.727,1.0,0.842,0.853
7KGA_A,0.606,1.0,0.755,0.778
7MQ9_L0,0.272,0.537,0.361,0.382
7MQ8_L0,0.293,0.537,0.379,0.397
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.923,1.0,0.96,0.961
7SAM_A,0.566,0.915,0.699,0.719
7SCQ_C,0.457,0.894,0.604,0.639
7SC6_C,0.494,0.913,0.641,0.672
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.754,0.958,0.844,0.85
6JQ6_U,0.517,1.0,0.682,0.719
5T5A_A,0.414,0.8,0.545,0.575
6TFE_A,0.783,0.947,0.857,0.861
6TF0_A,0.591,0.813,0.684,0.693
6TFH_A,0.591,0.813,0.684,0.693
6TFF_A,0.783,0.947,0.857,0.861
6TFG_A,0.783,0.947,0.857,0.861
6TB7_A,0.783,0.947,0.857,0.861
7D7V_A,0.545,0.632,0.585,0.587
7D7Y_A,0.773,0.895,0.829,0.831
6TF3_A,0.783,0.947,0.857,0.861
6TF1_A,0.783,0.947,0.857,0.861
7D7X_A,0.773,0.895,0.829,0.831
7D82_A,0.9,0.947,0.923,0.923
7D81_A,0.818,1.0,0.9,0.905
7D7W_A,0.773,0.895,0.829,0.831
7D7Z_A,0.773,0.895,0.829,0.831
6TF2_A,0.783,0.947,0.857,0.861
7ELR_B,0.522,1.0,0.686,0.722
7ELS_A,0.545,1.0,0.706,0.739
7ELQ_A,0.522,1.0,0.686,0.722
7ELR_A,0.522,1.0,0.686,0.722
7ELS_B,0.5,1.0,0.667,0.707
7ELQ_B,0.5,1.0,0.667,0.707
7ELP_B,0.5,1.0,0.667,0.707
7ELP_A,0.545,1.0,0.706,0.739
1M5V_E,0.424,0.737,0.538,0.559
1M5K_B,0.389,0.737,0.509,0.535
1M5P_B,0.4,0.737,0.519,0.543
1M5P_E,0.438,0.778,0.56,0.583
1M5O_E,0.424,0.737,0.538,0.559
1M5V_B,0.424,0.737,0.538,0.559
1M5K_E,0.412,0.737,0.528,0.551
1M5O_B,0.412,0.737,0.528,0.551
