,PPV,TPR,F1,INF
7MQ8_L2,0.39,0.523,0.447,0.451
7MQ9_L2,0.361,0.537,0.431,0.44
7MQA_L2,0.328,0.463,0.384,0.39
7QXA_B,0.09,0.13,0.107,0.108
7V9A_R,0.143,0.205,0.168,0.171
7TRD_B,0.244,0.362,0.292,0.297
7BG9_B,0.109,0.183,0.137,0.141
7TRE_B,0.259,0.393,0.312,0.319
7V99_R,0.213,0.328,0.258,0.264
7TRF_B,0.256,0.379,0.306,0.312
7TRC_B,0.548,0.885,0.676,0.696
7BGB_B,0.667,0.923,0.774,0.784
7QXS_B,0.136,0.2,0.162,0.165
7QXB_B,0.137,0.2,0.163,0.166
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.512,0.742,0.606,0.616
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.383,0.613,0.472,0.485
7C79_A,0.524,0.733,0.611,0.62
7ELD_B,0.565,0.921,0.7,0.721
6XRZ_A,0.149,0.333,0.206,0.223
7O7Z_AH,0.133,0.211,0.163,0.168
7KGA_B,0.515,1.0,0.68,0.718
7KGA_A,0.515,0.944,0.667,0.698
7MQ9_L0,0.247,0.408,0.308,0.317
7MQ8_L0,0.267,0.408,0.323,0.33
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.846,1.0,0.917,0.92
7SAM_A,0.5,0.809,0.618,0.636
7SCQ_C,0.402,0.787,0.532,0.563
7SC6_C,0.447,0.809,0.576,0.601
4C9D_D,0.6,1.0,0.75,0.775
7LYF_A,0.689,0.955,0.8,0.811
6JQ6_U,0.517,0.789,0.625,0.639
5T5A_A,0.414,0.632,0.5,0.511
6TFE_A,0.696,0.941,0.8,0.809
6TF0_A,0.545,0.75,0.632,0.64
6TFH_A,0.545,0.75,0.632,0.64
6TFF_A,0.696,0.941,0.8,0.809
6TFG_A,0.696,0.941,0.8,0.809
6TB7_A,0.696,0.941,0.8,0.809
7D7V_A,0.0,0.0,0.0,0.0
7D7Y_A,0.591,1.0,0.743,0.769
6TF3_A,0.696,0.941,0.8,0.809
6TF1_A,0.696,0.941,0.8,0.809
7D7X_A,0.591,1.0,0.743,0.769
7D82_A,0.7,1.0,0.824,0.837
7D81_A,0.636,1.0,0.778,0.798
7D7W_A,0.591,1.0,0.743,0.769
7D7Z_A,0.591,1.0,0.743,0.769
6TF2_A,0.696,0.941,0.8,0.809
7ELR_B,0.478,1.0,0.647,0.692
7ELS_A,0.5,1.0,0.667,0.707
7ELQ_A,0.478,1.0,0.647,0.692
7ELR_A,0.478,1.0,0.647,0.692
7ELS_B,0.458,1.0,0.629,0.677
7ELQ_B,0.458,1.0,0.629,0.677
7ELP_B,0.458,1.0,0.629,0.677
7ELP_A,0.5,1.0,0.667,0.707
1M5V_E,0.606,0.87,0.714,0.726
1M5K_B,0.556,0.87,0.678,0.695
1M5P_B,0.571,0.87,0.69,0.705
1M5P_E,0.625,0.87,0.727,0.737
1M5O_E,0.606,0.87,0.714,0.726
1M5V_B,0.606,0.87,0.714,0.726
1M5K_E,0.588,0.87,0.702,0.715
1M5O_B,0.588,0.87,0.702,0.715
