,contextFold,contrafold,e2efold,ipknot,mxfold,mxfold2,rna-state-inf,rna-structure,rnafold,spot-rna,ufold
100D_1_A-B,0.894,1.0,0.183,0.894,0.894,0.894,0.894,0.0,0.894,0.949,0.894
157D_1_A-B,0.0,1.0,0.566,0.4,0.707,0.783,0.0,0.0,0.0,0.894,0.949
165D_1_A-B,0.707,0.577,0.0,0.365,0.0,0.707,0.0,0.0,0.0,0.0,0.913
17RA_7_A,0.875,1.0,0.158,1.0,1.0,0.875,1.0,0.935,1.0,0.875,0.875
1A1T_1_B,1.0,1.0,0.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1A34_1_B-C,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1A3M_1_A-B,1.0,1.0,0.192,0.943,0.943,1.0,1.0,0.943,1.0,1.0,1.0
1A4D_1_A-B,0.957,1.0,0.0,1.0,1.0,1.0,1.0,0.957,1.0,1.0,1.0
1A4T_1_A,1.0,1.0,0.0,1.0,0.894,1.0,1.0,0.894,1.0,1.0,0.894
1A51_3_A,0.957,1.0,0.0,1.0,1.0,1.0,1.0,0.957,1.0,1.0,1.0
1A60_1_A,0.423,0.886,0.0,0.786,0.806,0.423,0.886,0.845,0.886,0.886,1.0
1A9L_1_A,0.964,1.0,0.303,1.0,0.964,1.0,1.0,0.964,1.0,1.0,1.0
1A9N_1_Q,1.0,1.0,0.632,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6
1A9N_1_R,1.0,1.0,0.632,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6
1AFX_2_A,1.0,1.0,0.866,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
1AJF_1_A,1.0,1.0,0.218,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0
1AJL_1_A-B,0.577,0.471,0.0,0.471,0.577,0.471,0.0,0.0,0.471,0.365,0.408
1AJT_1_A-B,0.577,0.471,0.0,0.471,0.577,0.471,0.0,0.0,0.471,0.365,0.408
1AJU_9_A,1.0,1.0,0.201,1.0,0.953,1.0,1.0,0.953,1.0,1.0,1.0
1AKX_1_A,1.0,1.0,0.201,1.0,0.953,1.0,1.0,0.953,1.0,1.0,1.0
1AL5_1_A-B,0.866,1.0,0.144,0.913,0.913,0.913,0.866,0.866,0.913,0.957,1.0
1AM0_2_A,0.0,0.0,0.0,0.0,0.0,0.707,0.0,0.0,0.0,0.0,0.0
1ANR_2_A,0.949,1.0,0.424,1.0,1.0,1.0,1.0,0.949,1.0,1.0,1.0
1AQ3_1_R,1.0,0.632,0.0,0.632,0.0,1.0,1.0,1.0,1.0,1.0,0.775
1AQ3_1_S,0.0,0.816,0.0,0.816,0.0,1.0,0.0,0.0,0.0,0.0,0.577
1AQ4_1_R,1.0,0.632,0.0,0.632,0.0,1.0,1.0,0.0,1.0,1.0,0.775
1AQ4_1_S,0.0,0.707,0.0,0.707,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1AQO_3_A,0.707,0.957,0.129,0.957,0.913,0.957,0.957,0.913,0.957,1.0,1.0
1ARJ_7_N,0.949,1.0,0.424,1.0,1.0,1.0,1.0,0.949,1.0,1.0,1.0
1ASY_1_R,0.705,0.615,0.085,0.359,0.488,0.738,0.369,0.239,0.564,0.975,0.564
