,PPV,TPR,F1,INF
7A01_d2,0.46,0.674,0.547,0.557
7A09_f,0.457,0.667,0.542,0.552
7A0R_Y,0.548,0.944,0.694,0.72
7A0S_Y,0.596,0.971,0.739,0.761
7A18_Y,0.55,0.943,0.695,0.72
7A5F_24,0.171,0.438,0.246,0.273
7A5F_C,0.171,0.438,0.246,0.273
7A5G_24,0.175,0.438,0.25,0.277
7A5G_C,0.175,0.438,0.25,0.277
7A5G_j,0.263,0.714,0.385,0.434
7A5H_24,0.179,0.438,0.255,0.28
7A5I_94,0.194,0.438,0.269,0.292
7A5I_99,0.219,0.467,0.298,0.32
7A5I_X,0.194,0.438,0.269,0.292
7A5J_G,0.175,0.467,0.255,0.286
7A5J_x,0.175,0.467,0.255,0.286
7A5K_24,0.179,0.438,0.255,0.28
7A5K_FE,0.179,0.438,0.255,0.28
7A5P_2,0.698,0.968,0.811,0.822
7ABF_6,0.467,1.0,0.636,0.683
7ABG_5,0.571,0.96,0.716,0.741
7ABI_5,0.537,0.88,0.667,0.687
7ABZ_3,0.345,0.769,0.476,0.515
7ABZ_7,0.281,0.474,0.353,0.365
7AC7_3,0.35,0.808,0.488,0.532
7AC7_7,0.346,0.429,0.383,0.385
7ACJ_3,0.356,0.84,0.5,0.547
7ACR_3,0.362,0.778,0.494,0.531
7AJT_D4,0.165,0.359,0.226,0.243
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.351,0.625,0.449,0.468
7AQC_T,0.531,0.85,0.654,0.672
7AQD_B,0.351,0.625,0.449,0.468
7AQD_T,0.5,0.85,0.63,0.652
7AS8_B,0.345,0.625,0.444,0.464
7AS9_2,0.316,0.5,0.387,0.397
7AS9_B,0.323,0.677,0.438,0.468
7ASA_A,0.387,0.75,0.511,0.539
7ASM_B,0.226,0.389,0.286,0.296
7ASN_B,0.161,0.321,0.214,0.227
7ASO_C,0.0,0.0,0.0,0.0
7ASP_3,0.0,0.0,0.0,0.0
7AZY_F,0.359,0.852,0.505,0.553
7B0Y_a,0.524,0.786,0.629,0.642
7B5K_9,0.432,0.727,0.542,0.561
7B5K_B,0.344,0.778,0.477,0.517
7B5K_x,0.452,0.667,0.538,0.549
7B5K_z,0.176,0.24,0.203,0.206
7B7D_LB,0.371,0.852,0.517,0.562
7B7D_Sm,0.5,0.895,0.642,0.669
7B7D_Sn,0.5,0.895,0.642,0.669
7B9V_5,0.329,0.649,0.436,0.462
7BG9_B,0.134,0.216,0.166,0.171
7BGB_B,0.667,0.857,0.75,0.756
7BHP_L7,0.446,0.674,0.537,0.549
7BL2_B,0.356,0.808,0.494,0.536
7BL3_B,0.35,0.778,0.483,0.522
7BL4_B,0.344,0.778,0.477,0.517
7BL5_B,0.328,0.731,0.452,0.489
7BL6_B,0.339,0.778,0.472,0.513
7BT6_3,0.321,0.692,0.439,0.472
7BTB_3,0.356,0.778,0.488,0.526
7BV8_B,0.344,0.778,0.477,0.517
7C79_A,0.444,0.615,0.516,0.523
7C7A_A,0.442,0.626,0.518,0.526
7CHD_I,0.44,0.611,0.512,0.519
7CHD_J,0.423,0.611,0.5,0.508
7CPJ_9,0.667,0.917,0.772,0.782
7CPJ_B,0.323,0.741,0.449,0.489
7CPU_L7,0.453,0.674,0.542,0.553
7CPV_L7,0.453,0.674,0.542,0.553
7D4I_3A,0.459,0.872,0.602,0.633
7D6Z_2,0.105,0.211,0.14,0.149
7D6Z_3,0.387,0.667,0.49,0.508
7D6Z_4,0.571,0.696,0.627,0.63
7D6Z_B,0.317,0.769,0.449,0.494
7D7V_A,0.455,0.556,0.5,0.503
7D80_a,0.271,0.76,0.4,0.454
7D80_X,0.091,0.167,0.118,0.123
7D80_y,0.367,0.647,0.468,0.487
7D80_Z,0.357,0.476,0.408,0.412
7DCO_B,0.443,0.608,0.512,0.519
7E8O_X,0.394,0.684,0.5,0.519
7EAF_A,0.489,0.733,0.587,0.599
7ELP_A,0.455,1.0,0.625,0.674
7ELP_B,0.417,1.0,0.588,0.645
7ELQ_A,0.435,1.0,0.606,0.659
7ELQ_B,0.417,1.0,0.588,0.645
7ELR_A,0.435,1.0,0.606,0.659
7ELR_B,0.435,1.0,0.606,0.659
7ELS_A,0.455,1.0,0.625,0.674
7ELS_B,0.417,1.0,0.588,0.645
7EQJ_A,0.5,0.654,0.567,0.572
7EQJ_B,0.5,0.654,0.567,0.572
7EZ0_N,0.537,0.885,0.669,0.69
7F36_E,0.556,0.909,0.69,0.711
7F36_F,0.563,0.818,0.667,0.678
7F36_G,0.529,0.818,0.643,0.658
7JIL_3,0.117,0.368,0.177,0.207
7JQC_i,0.347,0.862,0.495,0.547
7JQL_1B,0.515,0.795,0.625,0.64
7JQL_1x,0.556,0.75,0.638,0.645
7JQL_2B,0.492,0.744,0.593,0.605
7JQL_2x,0.536,0.789,0.638,0.65
7JQM_1B,0.507,0.795,0.619,0.635
7JQM_1x,0.577,0.789,0.667,0.675
7JQM_2B,0.507,0.81,0.624,0.641
7JQM_2x,0.556,0.75,0.638,0.645
7JQQ_K,0.6,0.848,0.703,0.713
7JQQ_L,0.613,0.826,0.704,0.712
7JQQ_M,0.661,0.886,0.757,0.765
7JQQ_N,0.567,0.844,0.679,0.692
7JQQ_O,0.563,0.857,0.679,0.694
7JSS_2,0.356,0.778,0.488,0.526
7JSS_5,0.455,0.789,0.577,0.599
7JSW_2,0.339,0.778,0.472,0.513
7JSW_5,0.441,0.789,0.566,0.59
7JSZ_2,0.345,0.769,0.476,0.515
7JSZ_5,0.455,0.789,0.577,0.599
7JT1_2,0.323,0.741,0.449,0.489
7JT1_5,0.517,0.789,0.625,0.639
7JT2_2,0.339,0.741,0.465,0.501
7JT2_5,0.455,0.789,0.577,0.599
7JT3_2,0.333,0.741,0.46,0.497
7JT3_5,0.484,0.789,0.6,0.618
7K00_b,0.328,0.778,0.462,0.505
7K00_Y,0.278,0.417,0.333,0.34
7K00_Z,0.469,0.789,0.588,0.608
7K50_2,0.339,0.778,0.472,0.513
7K50_5,0.484,0.789,0.6,0.618
7K50_6,0.467,0.737,0.571,0.586
7K50_7,0.629,0.917,0.746,0.759
7K51_2,0.368,0.778,0.5,0.535
7K51_5,0.656,0.84,0.737,0.742
7K51_6,0.484,0.789,0.6,0.618
7K52_2,0.362,0.778,0.494,0.531
7K52_5,0.688,0.917,0.786,0.794
7K52_6,0.484,0.789,0.6,0.618
7K53_2,0.344,0.778,0.477,0.517
