,PPV,TPR,F1,INF
1M5K_E,0.667,1.0,0.8,0.816
1M5O_B,0.621,0.9,0.735,0.747
1M5O_E,0.63,0.895,0.739,0.751
1M5P_B,0.593,0.842,0.696,0.706
1M5P_E,0.63,0.85,0.723,0.732
1M5V_B,0.63,0.85,0.723,0.732
1M5V_E,0.667,1.0,0.8,0.816
4C9D_D,0.0,0.0,0.0,0.0
6LQM_5,,,,
6LSR_5,,,,
6LSS_5,,,,
6LU8_5,,,,
6LVR_B,0.929,0.813,0.867,0.869
6LVR_D,0.929,0.813,0.867,0.869
6M62_3,,,,
6NSH_RB,,,,
6NSH_YB,,,,
6NTA_RB,,,,
6NTA_YB,,,,
6NUO_QV,,,,
6NUO_RB,,,,
6NUO_XV,,,,
6NUO_YB,,,,
6NWY_QV,,,,
6NWY_RB,,,,
6NWY_XV,,,,
6NWY_YB,,,,
6O3M_QV,,,,
6O3M_RB,,,,
6O3M_XV,,,,
6O3M_YB,,,,
6O8W_B,,,,
6O8X_B,,,,
6O8Y_B,,,,
6O8Z_B,,,,
6O90_B,,,,
6OF6_QV,,,,
6OF6_QW,,,,
6OF6_RB,,,,
6OF6_XV,,,,
6OF6_XW,,,,
6OF6_YB,,,,
6OIG_7,,,,
6OJ2_QV,,,,
6OJ2_QW,,,,
6OJ2_RB,,,,
6OJ2_XV,,,,
6OJ2_XW,,,,
6OJ2_YB,,,,
6OM6_3,,,,
6OM6_5,,,,
6OPE_QV,,,,
6OPE_RB,,,,
6OPE_XV,,,,
6OPE_YB,,,,
6ORD_QV,,,,
6ORD_RB,,,,
6ORD_XV,,,,
6ORD_YB,,,,
6OSI_RB,,,,
6OSI_YB,,,,
6PC5_J,,,,
6PC6_J,,,,
6PC7_J,,,,
6PC8_J,,,,
6PCH_J,,,,
6PCQ_J,,,,
6PCR_J,,,,
6PCS_J,,,,
6PCT_J,,,,
6SKF_BB,,,,
6SKG_BB,,,,
6SWA_s,,,,
6TF0_A,,,,
6TFH_A,,,,
6TH6_BB,,,,
6TNN_V,,,,
6TPQ_V,,,,
6UBU_B,0.682,0.882,0.769,0.776
6UC7_B,0.667,0.875,0.757,0.764
6UC8_B,0.714,0.882,0.789,0.794
6UC9_B,0.652,0.882,0.75,0.759
6VU3_B,,,,
6VU3_d,,,,
6VWL_3,,,,
6VWL_4,0.4,0.2,0.267,0.283
6VWL_5,,,,
6VWM_3,,,,
6VWM_4,0.429,0.3,0.353,0.359
6VWM_5,0.571,0.632,0.6,0.601
6VWN_3,,,,
6VWN_4,0.375,0.3,0.333,0.335
6VWN_5,0.591,0.65,0.619,0.62
6VWT_B,0.8,0.8,0.8,0.8
6VWV_B,0.762,0.842,0.8,0.801
6VYQ_B,,,,
6VYQ_d,,,,
6VYR_B,,,,
6VYR_d,,,,
6VYS_B,,,,
6VYS_d,,,,
6VYT_B,,,,
6VYT_d,,,,
6VYU_B,,,,
6VYU_d,,,,
6VYW_B,,,,
6VYW_d,,,,
6VYX_B,,,,
6VYX_d,,,,
6VYY_B,,,,
6VYY_d,,,,
6VYZ_B,,,,
6VYZ_d,,,,
6VZ2_B,,,,
6VZ2_d,,,,
6VZ3_B,,,,
6VZ3_d,,,,
6VZ5_B,,,,
6VZ5_d,,,,
6VZ7_B,,,,
6VZ7_d,,,,
6VZJ_B,,,,
6VZJ_d,,,,
6W6L_E,,,,
6W6L_v,0.455,0.556,0.5,0.503
6W6P_B,,,,
6WD0_2,,,,
6WD0_5,,,,
6WD0_6,,,,
6WD1_2,,,,
6WD1_5,,,,
6WD2_2,,,,
6WD2_5,,,,
6WD2_6,,,,
6WD2_7,0.826,0.864,0.844,0.845
6WD3_2,,,,
6WD3_5,,,,
6WD3_6,,,,
6WD3_7,0.818,0.818,0.818,0.818
6WD4_2,,,,
6WD4_5,,,,
6WD4_6,,,,
6WD4_7,0.773,0.773,0.773,0.773
6WD5_2,,,,
6WD5_5,,,,
6WD5_6,,,,
6WD5_7,0.75,0.682,0.714,0.715
6WD6_2,,,,
6WD6_5,,,,
6WD6_6,,,,
6WD6_7,0.833,0.714,0.769,0.772
6WD7_2,,,,
6WD7_5,,,,
6WD7_6,,,,
6WD7_7,0.85,0.773,0.81,0.81
6WD8_2,,,,
6WD8_5,,,,
6WD8_6,,,,
6WD8_7,0.737,0.667,0.7,0.701
6WD9_2,,,,
6WD9_5,,,,
6WD9_6,,,,
6WD9_7,0.85,0.773,0.81,0.81
6WDA_2,,,,
6WDA_5,,,,
6WDA_6,,,,
6WDA_7,0.85,0.773,0.81,0.81
6WDB_2,,,,
6WDB_5,,,,
6WDB_6,,,,
6WDB_7,,,,
6WDC_2,,,,
6WDC_5,,,,
6WDC_6,,,,
6WDC_7,,,,
6WDD_2,,,,
6WDD_5,,,,
6WDD_6,,,,
6WDD_7,0.81,0.773,0.791,0.791
6WDE_2,,,,
6WDE_5,,,,
6WDE_6,,,,
6WDE_7,0.762,0.762,0.762,0.762
6WDF_2,,,,
6WDF_5,,,,
6WDF_7,0.778,0.667,0.718,0.72
6WDG_2,,,,
6WDG_5,,,,
6WDG_7,0.8,0.8,0.8,0.8
6WDH_2,,,,
6WDH_5,,,,
6WDH_6,,,,
6WDH_7,,,,
6WDI_2,,,,
6WDI_5,,,,
6WDI_6,,,,
6WDI_7,,,,
6WDJ_2,,,,
6WDJ_5,,,,
6WDJ_6,,,,
6WDJ_7,0.818,0.857,0.837,0.837
6WDK_2,,,,
6WDK_5,,,,
6WDK_6,,,,
6WDK_7,0.905,0.905,0.905,0.905
6WDL_2,,,,
6WDL_5,,,,
6WDL_6,,,,
6WDL_7,0.762,0.762,0.762,0.762
6WDM_2,,,,
6WDM_5,,,,
6WDM_6,,,,
6WDM_7,0.762,0.8,0.78,0.781
6WJR_X,,,,
6WJS_X,,,,
6WNW_5,,,,
6WNW_7,0.75,0.818,0.783,0.783
6WOO_3,,,,
6WOO_7,,,,
6WQN_2,,,,
6WQQ_2,,,,
6WRS_2,,,,
6WRU_2,,,,
6WU9_B,,,,
6WYV_J,,,,
6WZR_A,0.316,0.857,0.462,0.52
6WZR_B,0.353,0.857,0.5,0.55
6WZS_B,0.278,0.714,0.4,0.445
6X6T_B,,,,
6X6T_d,,,,
6X7F_B,,,,
6X7F_d,,,,
6X7K_B,,,,
6X7K_d,,,,
6X9Q_B,,,,
6X9Q_d,,,,
6XA1_Bv,,,,
6XA1_L7,,,,
6XDQ_B,,,,
6XDQ_d,,,,
6XDR_B,,,,
6XDR_d,,,,
6XGF_B,,,,
6XGF_d,,,,
6XHV_1B,,,,
6XHV_1w,0.741,1.0,0.851,0.861
6XHV_1x,,,,
6XHV_2B,,,,
6XHV_2w,0.214,0.273,0.24,0.242
6XHV_2x,,,,
6XHV_2y,0.212,0.304,0.25,0.254
6XHW_1B,,,,
6XHW_1w,0.714,1.0,0.833,0.845
6XHW_1x,,,,
6XHW_2B,,,,
6XHW_2w,0.231,0.273,0.25,0.251
6XHW_2x,,,,
6XHW_2y,0.212,0.304,0.25,0.254
6XHX_1B,,,,
6XHX_2B,,,,
6XHY_1B,,,,
6XHY_1w,0.69,1.0,0.816,0.83
6XHY_1x,,,,
6XHY_2B,,,,
6XHY_2w,0.214,0.273,0.24,0.242
6XHY_2x,,,,
6XHY_2y,0.206,0.292,0.241,0.245
6XII_B,,,,
6XII_d,,,,
6XIJ_B,,,,
6XIJ_d,,,,
6XIQ_3,,,,
6XIQ_AX,,,,
6XIQ_AZ,,,,
6XIR_3,,,,
6XIR_AX,,,,
6XIR_AZ,,,,
6XQD_1B,,,,
6XQD_1x,,,,
6XQD_2B,,,,
6XQD_2x,,,,
6XQE_1B,,,,
6XQE_1x,,,,
6XQE_2B,,,,
6XQE_2x,,,,
6XU6_A7,,,,
6XU7_A7,,,,
6XU8_A7,,,,
6XZ7_B,,,,
6XZ7_f,,,,
6XZ7_g,0.909,0.625,0.741,0.754
6XZA_B2,,,,
6XZA_f2,,,,
6XZB_B2,,,,
6XZB_f2,,,,
6XZB_g2,0.708,0.944,0.81,0.818
6Y3G_F,0.786,0.579,0.667,0.674
6Y4B_F,0.786,0.611,0.688,0.693
6Y50_2,0.0,0.0,0.0,0.0
6Y53_2,0.8,0.696,0.744,0.746
6Y5Q_2,0.613,0.613,0.613,0.613
6Y69_B,,,,
6Y69_w,,,,
6Y6X_L7,,,,
6YDP_BB,,,,
6YDW_BB,,,,
6YEF_B,,,,
6YEF_x,,,,
6YHS_5,,,,
6YLG_3,,,,
6YLH_3,,,,
6YPU_4,0.366,0.375,0.37,0.37
6YS3_v,,,,
6YS5_3,0.441,0.513,0.474,0.476
6YS5_7,0.667,0.8,0.727,0.73
6YSI_5,,,,
6YSR_B,,,,
6YSR_w,0.833,0.526,0.645,0.662
6YSS_B,,,,
6YSS_w,0.8,0.632,0.706,0.711
6YST_B,,,,
6YST_w,0.684,0.684,0.684,0.684
6YSU_B,,,,
6YSU_w,0.6,0.563,0.581,0.581
6YT9_4,0.366,0.349,0.357,0.357
6YTF_3,0.414,0.487,0.448,0.449
6YTF_7,0.75,0.6,0.667,0.671
6YWE_bb,0.676,0.958,0.793,0.805
6YWX_bb,0.457,1.0,0.627,0.676
6YWY_bb,0.568,0.913,0.7,0.72
6Z6J_C4,,,,
6Z6K_C4,,,,
6Z6L_L7,,,,
6Z6M_L7,,,,
6Z6N_L7,,,,
6ZJ3_LJ,0.235,0.296,0.262,0.264
6ZJ3_LO,,,,
6ZJ3_S2,0.588,1.0,0.741,0.767
6ZJ3_S3,0.559,0.905,0.691,0.711
6ZJ3_S4,0.6,1.0,0.75,0.775
6ZM5_w,,,,
6ZM5_x,0.72,0.9,0.8,0.805
6ZM6_w,,,,
