,PPV,TPR,F1,INF-MCC
100D_1_A-B,0.9,1.0,0.947,0.949
157D_1_A-B,0.643,1.0,0.783,0.802
165D_1_A-B,0.0,0.0,0.0,0.0
17RA_7_A,0.889,1.0,0.941,0.943
1A1T_1_B,0.8,1.0,0.889,0.894
1A34_1_B-C,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.786,1.0,0.88,0.886
1A4D_1_A-B,0.947,1.0,0.973,0.973
1A4T_1_A,0.833,1.0,0.909,0.913
1A51_3_A,0.947,1.0,0.973,0.973
1A60_1_A,0.5,1.0,0.667,0.707
1A9L_1_A,0.824,1.0,0.903,0.907
1A9N_1_Q,0.714,0.714,0.714,0.714
1A9N_1_R,0.714,0.714,0.714,0.714
1AFX_2_A,1.0,1.0,1.0,1.0
1AJF_1_A,1.0,1.0,1.0,1.0
1AJL_1_A-B,0.375,0.5,0.429,0.433
1AJT_1_A-B,0.429,0.5,0.462,0.463
1AJU_9_A,0.688,0.917,0.786,0.794
1AKX_1_A,0.8,1.0,0.889,0.894
1AL5_1_A-B,0.917,1.0,0.957,0.957
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,1.0,1.0,1.0,1.0
1AQ3_1_R,1.0,1.0,1.0,1.0
1AQ3_1_S,0.0,0.0,0.0,0.0
1AQ4_1_R,1.0,1.0,1.0,1.0
1AQ4_1_S,0.0,0.0,0.0,0.0
1AQO_3_A,0.857,1.0,0.923,0.926
1ARJ_7_N,0.833,1.0,0.909,0.913
1ASY_1_R,0.613,0.905,0.731,0.745
1ASY_1_S,0.633,0.905,0.745,0.757
1ASZ_1_R,0.576,0.905,0.704,0.722
1ASZ_1_S,0.633,0.905,0.745,0.757
1ATO_1_A,0.75,1.0,0.857,0.866
1ATV_1_A,0.6,1.0,0.75,0.775
1ATW_1_A,0.625,1.0,0.769,0.791
1AUD_8_B,0.588,1.0,0.741,0.767
1B23_1_R,0.563,1.0,0.72,0.75
