,PPV,TPR,F1,INF
157D_1_A-B,0.25,0.25,0.25,0.25
165D_1_A-B,0.0,0.0,0.0,0.0
17RA_7_A,1.0,1.0,1.0,1.0
1A1T_1_B,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.25,0.25,0.25,0.25
1A4D_1_A-B,0.833,1.0,0.909,0.913
1A4T_1_A,0.0,0.0,0.0,0.0
1A51_3_A,0.833,1.0,0.909,0.913
1A60_1_A,0.0,0.0,0.0,0.0
1A9L_1_A,0.0,0.0,0.0,0.0
1A9N_1_Q,0.0,0.0,0.0,0.0
1A9N_1_R,0.0,0.0,0.0,0.0
1AFX_2_A,1.0,1.0,1.0,1.0
1AJF_1_A,1.0,1.0,1.0,1.0
1AJL_1_A-B,0.5,0.333,0.4,0.408
1AJT_1_A-B,1.0,1.0,1.0,1.0
1AJU_9_A,0.0,0.0,0.0,0.0
1AKX_1_A,0.25,0.25,0.25,0.25
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,1.0,1.0,1.0,1.0
1AQO_3_A,0.0,0.0,0.0,0.0
1ARJ_7_N,0.0,0.0,0.0,0.0
1ASY_1_R,0.0,0.0,0.0,0.0
1ASY_1_S,0.0,0.0,0.0,0.0
1ASZ_1_R,0.0,0.0,0.0,0.0
1ASZ_1_S,0.0,0.0,0.0,0.0
1ATO_1_A,0.0,0.0,0.0,0.0
1ATV_1_A,0.0,0.0,0.0,0.0
1ATW_1_A,0.0,0.0,0.0,0.0
1AUD_8_B,0.0,0.0,0.0,0.0
1B23_1_R,0.0,0.0,0.0,0.0
1B36_8_A,0.0,0.0,0.0,0.0
1B7F_1_Q,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.286,0.25,0.267,0.267
1BGZ_1_A,0.0,0.0,0.0,0.0
1BIV_5_A,0.0,0.0,0.0,0.0
1BVJ_1_A,0.0,0.0,0.0,0.0
1BYJ_31_A,0.5,1.0,0.667,0.707
1BZ2_1_A,0.5,1.0,0.667,0.707
1BZ3_1_A,0.5,0.5,0.5,0.5
1BZT_1_A,0.5,1.0,0.667,0.707
1BZU_1_A,0.0,0.0,0.0,0.0
1C04_1_E,0.077,0.167,0.105,0.113
1C04_1_F,0.429,1.0,0.6,0.655
1C0O_1_A,0.0,0.0,0.0,0.0
1C2X_1_C,0.385,0.455,0.417,0.418
1C4L_1_A-B,1.0,1.0,1.0,1.0
1CQ5_1_A,0.4,1.0,0.571,0.632
1CQL_10_A,0.333,0.6,0.429,0.447
1CSL_1_B-A,1.0,1.0,1.0,1.0
1D0T_1_A,0.333,0.333,0.333,0.333
1D0U_14_A,0.333,0.25,0.286,0.289
1D4R_1_B-A,0.0,0.0,0.0,0.0
1D6K_4_B,0.714,0.714,0.714,0.714
1DDY_1_A,0.273,0.375,0.316,0.32
1DDY_1_C,0.25,0.333,0.286,0.289
1DDY_1_E,0.3,0.333,0.316,0.316
1DDY_1_G,0.2,0.25,0.222,0.224
1DFU_1_M-N,0.167,1.0,0.286,0.408
1DK1_1_B,0.5,0.6,0.545,0.548
1DRZ_1_B,0.0,0.0,0.0,0.0
1DUL_1_B,0.667,1.0,0.8,0.816
1DUQ_1_B-A,0.0,0.0,0.0,0.0
1DUQ_1_D-C,0.0,0.0,0.0,0.0
1DUQ_1_F-E,0.0,0.0,0.0,0.0
1DUQ_1_H-G,0.0,0.0,0.0,0.0
1DZ5_1_C-D,0.0,0.0,0.0,0.0
1E4P_8_A,0.167,0.25,0.2,0.204
1E7K_1_C,0.0,0.0,0.0,0.0
1E7K_1_D,0.0,0.0,0.0,0.0
1E8O_1_E,0.0,0.0,0.0,0.0
1E95_14_A,0.0,0.0,0.0,0.0
1EBQ_1_A,0.0,0.0,0.0,0.0
1EBR_1_A,0.5,0.5,0.5,0.5
1EBS_1_A,0.0,0.0,0.0,0.0
1EC6_1_C,0.0,0.0,0.0,0.0
1EC6_1_D,0.0,0.0,0.0,0.0
1EFW_1_C,0.125,0.167,0.143,0.144
1EFW_1_D,0.091,0.125,0.105,0.107
1EHT_3_A,0.154,0.286,0.2,0.21
1EHZ_1_A,0.0,0.0,0.0,0.0
1EIY_1_C,0.333,0.6,0.429,0.447
1EKZ_4_B,0.0,0.0,0.0,0.0
1ELH_1_B-A,0.286,0.286,0.286,0.286
1ESH_1_A,0.0,0.0,0.0,0.0
1ESY_2_A,0.2,0.25,0.222,0.224
1ET4_1_A,0.25,0.333,0.286,0.289
1ET4_1_B,0.222,0.286,0.25,0.252
1ET4_1_C,0.333,0.5,0.4,0.408
1ET4_1_D,0.25,0.333,0.286,0.289
1ET4_1_E,0.25,0.333,0.286,0.289
1ETF_1_A,0.5,0.5,0.5,0.5
1ETG_14_A,0.4,0.5,0.444,0.447
1EUQ_1_B,0.267,0.444,0.333,0.344
1EUY_1_B,0.333,0.8,0.471,0.516
1EVV_1_A,0.0,0.0,0.0,0.0
1EXD_1_B,0.4,0.8,0.533,0.566
1EXY_1_A,0.111,0.125,0.118,0.118
1F1T_1_A,0.25,1.0,0.4,0.5
1F5G_1_A-B,1.0,1.0,1.0,1.0
1F5H_1_A-B,1.0,1.0,1.0,1.0
1F5U_1_A,0.0,0.0,0.0,0.0
1F5U_1_B,0.0,0.0,0.0,0.0
1F6U_2_B,0.0,0.0,0.0,0.0
1F6X_1_A,0.0,0.0,0.0,0.0
1F6Z_1_A,0.0,0.0,0.0,0.0
1F78_1_A,0.0,0.0,0.0,0.0
1F79_1_A,0.0,0.0,0.0,0.0
1F7F_3_A,0.0,0.0,0.0,0.0
1F7G_1_A,0.0,0.0,0.0,0.0
1F7H_5_A,0.0,0.0,0.0,0.0
1F7I_2_A,0.0,0.0,0.0,0.0
1F7U_1_B,0.0,0.0,0.0,0.0
1F7V_1_B,0.0,0.0,0.0,0.0
1F7Y_1_B,0.5,0.6,0.545,0.548
1F84_10_A,0.1,0.143,0.118,0.12
1F85_1_A,0.0,0.0,0.0,0.0
1F9L_1_A,0.25,1.0,0.4,0.5
1FCW_1_A,0.0,0.0,0.0,0.0
1FCW_1_B,0.0,0.0,0.0,0.0
1FCW_1_C,0.0,0.0,0.0,0.0
1FCW_1_D,0.0,0.0,0.0,0.0
1FCW_1_E,0.0,0.0,0.0,0.0
1FEQ_1_A,0.5,0.5,0.5,0.5
1FEU_1_C-B,0.833,1.0,0.909,0.913
1FEU_1_F-E,0.833,1.0,0.909,0.913
1FFK_1_9,0.242,0.381,0.296,0.304
1FFY_1_T,0.5,0.714,0.588,0.598
1FFZ_1_A,0.043,0.111,0.062,0.069
1FG0_1_A,0.06,0.2,0.093,0.11
1FHK_4_A,0.0,0.0,0.0,0.0
1FIR_1_A,0.0,0.0,0.0,0.0
1FJE_1_A,0.25,0.5,0.333,0.354
1FL8_1_A,0.0,0.0,0.0,0.0
1FMN_1_A,0.2,0.25,0.222,0.224
1FOQ_1_A,0.0,0.0,0.0,0.0
1FOQ_1_B,0.0,0.0,0.0,0.0
1FOQ_1_C,0.0,0.0,0.0,0.0
1FOQ_1_D,0.0,0.0,0.0,0.0
1FOQ_1_E,0.0,0.0,0.0,0.0
1FQZ_1_A,0.25,1.0,0.4,0.5
1FUF_1_A-B,0.0,0.0,0.0,0.0
1FYO_1_A,0.143,0.2,0.167,0.169
1FYP_1_A,0.125,0.125,0.125,0.125
1G1X_1_D-E,0.111,0.25,0.154,0.167
1G1X_1_J-I,0.3,0.375,0.333,0.335
1G2E_1_B,0.0,0.0,0.0,0.0
1G59_1_B,0.3,0.6,0.4,0.424
1G59_1_D,0.273,0.429,0.333,0.342
1G70_1_A,0.2,0.2,0.2,0.2
1GAX_1_C,0.4,0.4,0.4,0.4
1GAX_1_D,0.5,0.571,0.533,0.535
1GID_1_A,0.056,0.154,0.082,0.092
1GID_1_B,0.054,0.182,0.083,0.099
1GRZ_1_A,0.057,0.333,0.097,0.137
1GRZ_1_B,0.07,0.273,0.111,0.138
1GTR_1_B,0.417,0.833,0.556,0.589
1GTS_1_B,0.455,0.833,0.588,0.615
1H3E_1_B,0.143,0.333,0.2,0.218
1H4Q_1_T,0.143,0.2,0.167,0.169
1H4S_1_T,0.25,0.4,0.308,0.316
1HC8_1_C,0.077,0.167,0.105,0.113
1HC8_1_D,0.071,0.167,0.1,0.109
1HJI_1_A,0.0,0.0,0.0,0.0
1HLX_1_A,0.0,0.0,0.0,0.0
1HMH_1_A,0.25,1.0,0.4,0.5
1HMH_1_C,0.25,1.0,0.4,0.5
1HMH_1_E,0.25,1.0,0.4,0.5
1HQ1_1_B,0.667,1.0,0.8,0.816
1HR2_1_A,0.032,0.125,0.051,0.064
1HR2_1_B,0.051,0.143,0.075,0.086
1HS1_1_A,0.5,1.0,0.667,0.707
1HS2_1_A,0.0,0.0,0.0,0.0
1HS3_1_A,0.5,1.0,0.667,0.707
1HS4_1_A,0.0,0.0,0.0,0.0
1HS8_1_A,0.0,0.0,0.0,0.0
1HVU_1_C,0.0,0.0,0.0,0.0
1HVU_1_F,0.0,0.0,0.0,0.0
1HVU_1_I,0.0,0.0,0.0,0.0
1HVU_1_L,0.0,0.0,0.0,0.0
1HWQ_1_A,0.0,0.0,0.0,0.0
1I3X_1_A,0.0,0.0,0.0,0.0
1I3Y_8_A,0.0,0.0,0.0,0.0
1I46_1_A,0.0,0.0,0.0,0.0
1I6U_1_C,0.0,0.0,0.0,0.0
1I6U_1_D,0.0,0.0,0.0,0.0
1I9F_5_A,0.4,0.5,0.444,0.447
1I9V_1_A,0.222,0.4,0.286,0.298
1I9X_1_A-B,0.0,0.0,0.0,0.0
1IBL_1_Y-Z,0.333,0.333,0.333,0.333
1IBM_1_Y-Z,0.5,1.0,0.667,0.707
