,PPV,TPR,F1,INF
7MQ8_L2,0.927,0.884,0.905,0.905
7MQ9_L2,0.925,0.881,0.902,0.903
7MQA_L2,0.93,0.889,0.909,0.909
7QXA_B,0.281,0.273,0.277,0.277
7V9A_R,0.353,0.316,0.333,0.334
7TRD_B,0.403,0.455,0.427,0.428
7BG9_B,0.288,0.279,0.284,0.284
7TRE_B,0.387,0.444,0.414,0.415
7V99_R,0.06,0.06,0.06,0.06
7TRF_B,0.397,0.455,0.424,0.425
7TRC_B,0.962,1.0,0.98,0.981
7BGB_B,0.926,0.962,0.943,0.944
7QXS_B,0.273,0.269,0.271,0.271
7QXB_B,0.273,0.269,0.271,0.271
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.707,0.682,0.695,0.695
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.6,0.628,0.614,0.614
7C79_A,0.753,0.735,0.744,0.744
7ELD_B,0.976,1.0,0.988,0.988
6XRZ_A,0.321,0.409,0.36,0.363
7O7Z_AH,0.692,0.9,0.783,0.789
7KGA_B,0.724,1.0,0.84,0.851
7KGA_A,0.75,1.0,0.857,0.866
7MQ9_L0,0.379,0.367,0.373,0.373
7MQ8_L0,0.379,0.367,0.373,0.373
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.957,1.0,0.978,0.978
7SAM_A,0.923,0.923,0.923,0.923
7SCQ_C,0.882,0.918,0.9,0.9
7SC6_C,0.887,0.922,0.904,0.904
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.932,0.953,0.943,0.943
6JQ6_U,0.947,0.947,0.947,0.947
5T5A_A,0.238,0.278,0.256,0.257
6TFE_A,0.85,0.944,0.895,0.896
6TF0_A,0.526,0.588,0.556,0.556
6TFH_A,0.526,0.588,0.556,0.556
6TFF_A,0.85,0.944,0.895,0.896
6TFG_A,0.85,0.944,0.895,0.896
6TB7_A,0.85,0.944,0.895,0.896
7D7V_A,0.842,1.0,0.914,0.918
7D7Y_A,0.842,0.941,0.889,0.89
6TF3_A,0.85,0.944,0.895,0.896
6TF1_A,0.85,0.944,0.895,0.896
7D7X_A,0.842,0.941,0.889,0.89
7D82_A,1.0,1.0,1.0,1.0
7D81_A,1.0,1.0,1.0,1.0
7D7W_A,0.842,0.941,0.889,0.89
7D7Z_A,0.842,0.941,0.889,0.89
6TF2_A,0.85,0.944,0.895,0.896
7ELR_B,0.8,1.0,0.889,0.894
7ELS_A,0.8,1.0,0.889,0.894
7ELQ_A,0.8,1.0,0.889,0.894
7ELR_A,0.8,1.0,0.889,0.894
7ELS_B,0.8,1.0,0.889,0.894
7ELQ_B,0.8,1.0,0.889,0.894
7ELP_B,0.8,1.0,0.889,0.894
7ELP_A,0.8,1.0,0.889,0.894
1M5V_E,0.947,0.9,0.923,0.923
1M5K_B,0.944,0.895,0.919,0.919
1M5P_B,0.947,0.9,0.923,0.923
1M5P_E,0.95,0.905,0.927,0.927
1M5O_E,0.952,0.909,0.93,0.93
1M5V_B,0.947,0.9,0.923,0.923
1M5K_E,0.952,0.909,0.93,0.93
1M5O_B,0.95,0.905,0.927,0.927
