,PPV,TPR,F1,INF
7MQ8_L2,0.634,0.619,0.627,0.627
7MQ9_L2,0.625,0.61,0.617,0.617
7MQA_L2,0.628,0.628,0.628,0.628
7QXA_B,0.281,0.269,0.275,0.275
7V9A_R,0.353,0.343,0.348,0.348
7TRD_B,0.403,0.5,0.446,0.449
7BG9_B,0.288,0.297,0.292,0.292
7TRE_B,0.387,0.48,0.429,0.431
7V99_R,0.06,0.065,0.062,0.062
7TRF_B,0.397,0.5,0.442,0.445
7TRC_B,0.923,0.96,0.941,0.941
7BGB_B,0.889,0.923,0.906,0.906
7QXS_B,0.273,0.281,0.277,0.277
7QXB_B,0.273,0.281,0.277,0.277
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.671,0.655,0.663,0.663
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.511,0.575,0.541,0.542
7C79_A,0.716,0.707,0.712,0.712
7ELD_B,0.976,1.0,0.988,0.988
6XRZ_A,0.643,1.0,0.783,0.802
7O7Z_AH,0.577,0.714,0.638,0.642
7KGA_B,0.724,1.0,0.84,0.851
7KGA_A,0.75,1.0,0.857,0.866
7MQ9_L0,0.379,0.393,0.386,0.386
7MQ8_L0,0.379,0.393,0.386,0.386
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.957,1.0,0.978,0.978
7SAM_A,0.923,0.923,0.923,0.923
7SCQ_C,0.882,0.918,0.9,0.9
7SC6_C,0.887,0.922,0.904,0.904
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.932,0.953,0.943,0.943
6JQ6_U,0.947,0.947,0.947,0.947
5T5A_A,0.381,0.5,0.432,0.436
6TFE_A,0.5,0.667,0.571,0.577
6TF0_A,0.263,0.385,0.313,0.318
6TFH_A,0.263,0.385,0.313,0.318
6TFF_A,0.5,0.667,0.571,0.577
6TFG_A,0.5,0.667,0.571,0.577
6TB7_A,0.5,0.667,0.571,0.577
7D7V_A,0.842,1.0,0.914,0.918
7D7Y_A,0.842,0.941,0.889,0.89
6TF3_A,0.5,0.667,0.571,0.577
6TF1_A,0.5,0.667,0.571,0.577
7D7X_A,0.842,0.941,0.889,0.89
7D82_A,1.0,1.0,1.0,1.0
7D81_A,1.0,1.0,1.0,1.0
7D7W_A,0.842,0.941,0.889,0.89
7D7Z_A,0.842,0.941,0.889,0.89
6TF2_A,0.5,0.667,0.571,0.577
7ELR_B,0.8,1.0,0.889,0.894
7ELS_A,0.8,1.0,0.889,0.894
7ELQ_A,0.8,1.0,0.889,0.894
7ELR_A,0.8,1.0,0.889,0.894
7ELS_B,0.8,1.0,0.889,0.894
7ELQ_B,0.8,1.0,0.889,0.894
7ELP_B,0.8,1.0,0.889,0.894
7ELP_A,0.8,1.0,0.889,0.894
1M5V_E,0.947,1.0,0.973,0.973
1M5K_B,0.944,1.0,0.971,0.972
1M5P_B,0.947,1.0,0.973,0.973
1M5P_E,0.95,1.0,0.974,0.975
1M5O_E,0.952,1.0,0.976,0.976
1M5V_B,0.947,1.0,0.973,0.973
1M5K_E,0.952,1.0,0.976,0.976
1M5O_B,0.95,1.0,0.974,0.975
