,PPV,TPR,F1,INF
5D0A_1_F,0.833,1.0,0.909,0.913
1ZL3_1_B,0.875,1.0,0.933,0.935
7ONU_1_T,0.679,1.0,0.809,0.824
1QTQ_1_B,0.576,1.0,0.731,0.759
6QW6_1_5,0.488,0.714,0.58,0.59
3OIN_1_C,1.0,1.0,1.0,1.0
2XDB_1_G,0.0,0.0,0.0,0.0
7P48_1_5,0.645,1.0,0.784,0.803
7MLW_1_F,0.529,0.9,0.667,0.69
3JCS_1_5,0.343,0.522,0.414,0.423
3JCS_1_3,0.215,0.488,0.299,0.324
6M0X_1_B,0.522,1.0,0.686,0.722
6W5C_1_B,0.0,0.0,0.0,0.0
7N2V_1_Pt,0.516,1.0,0.681,0.718
6PRV_1_A,0.519,0.933,0.667,0.696
5T16_1_H,0.923,1.0,0.96,0.961
5E81_1_2K,0.423,0.611,0.5,0.508
6TB3_1_n,0.567,1.0,0.723,0.753
6JQ6_1_U,0.517,0.789,0.625,0.639
6LTU_1_B,0.833,1.0,0.909,0.913
1H4S_1_T,0.621,1.0,0.766,0.788
1F27_1_A,1.0,1.0,1.0,1.0
6E8T_1_D,0.286,0.857,0.429,0.495
6U8D_1_A,0.714,1.0,0.833,0.845
1E7K_1_C,0.429,1.0,0.6,0.655
4ZDO_1_E,0.472,0.773,0.586,0.604
5WZJ_1_B,0.0,0.0,0.0,0.0
3NDB_1_M,0.634,0.938,0.756,0.771
6KWQ_1_B,0.857,1.0,0.923,0.926
6SY4_1_C,0.389,1.0,0.56,0.624
7RYG_1_B,0.544,0.969,0.697,0.726
4PRF_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.429,0.6,0.5,0.507
4BW0_1_A,0.545,1.0,0.706,0.739
6KYV_1_G,0.9,1.0,0.947,0.949
3ZGZ_1_B,0.595,1.0,0.746,0.771
6ZVI_1_e,0.514,0.947,0.667,0.698
2ZZM_1_B,0.425,0.68,0.523,0.538
7LJ3_1_A,0.477,1.0,0.646,0.691
4Z7K_1_C,1.0,1.0,1.0,1.0
6XN5_1_R,0.0,0.0,0.0,0.0
1Y26_1_X,0.5,1.0,0.667,0.707
5B2T_1_A,0.333,0.727,0.457,0.492
5HR6_1_C,0.625,1.0,0.769,0.791
7OZQ_1_H,0.571,0.8,0.667,0.676
4FAR_1_A,0.407,0.794,0.538,0.569
4ZNP_1_A,0.129,0.2,0.157,0.161
5F5F_1_F,0.714,0.833,0.769,0.772
4AL5_1_B,0.833,1.0,0.909,0.913
4PR6_1_B,0.333,0.929,0.491,0.556
3FOZ_1_D,0.563,1.0,0.72,0.75
2VPL_1_B,0.789,0.938,0.857,0.86
6TC3_1_PTR1,0.138,0.19,0.16,0.162
5WT1_1_C,0.581,1.0,0.735,0.762
5K7D_1_A,0.273,0.857,0.414,0.483
1XJR_1_A,0.583,1.0,0.737,0.764
7JRR_1_A,0.0,0.0,0.0,0.0
5M0J_1_E,0.5,1.0,0.667,0.707
7RQB_1_1B,0.561,1.0,0.718,0.749
5B2P_1_B,0.229,0.348,0.276,0.282
6YDP_1_AV,0.472,1.0,0.642,0.687
1ET4_1_A,0.0,0.0,0.0,0.0
7AQC_1_B,0.561,1.0,0.719,0.749
7C7L_1_C,0.364,0.615,0.457,0.473
6H9H_1_D,0.0,0.0,0.0,0.0
4LX6_1_A,0.525,1.0,0.689,0.725
2A43_1_A,0.267,0.8,0.4,0.462
6ZU5_1_L70,0.492,0.811,0.612,0.631
2Z75_1_B,0.463,0.714,0.562,0.575
4Z0C_1_C,0.0,0.0,0.0,0.0
7KI3_1_C,0.75,1.0,0.857,0.866
6TQA_1_G,1.0,1.0,1.0,1.0
4XNR_1_X,0.553,1.0,0.712,0.743
5FJC_1_A,0.477,0.808,0.6,0.621
7D7W_1_A,0.591,1.0,0.743,0.769
5DEA_1_A,0.238,0.833,0.37,0.445
6ZM6_1_x,0.5,1.0,0.667,0.707
6WBR_1_B,0.44,0.458,0.449,0.449
6H0R_1_A,0.857,1.0,0.923,0.926
6UGG_1_B,0.636,1.0,0.778,0.798
6DLR_1_A,0.397,0.885,0.548,0.592
7A9X_1_B,0.0,0.0,0.0,0.0
4IFD_1_R,1.0,1.0,1.0,1.0
6SZV_1_V,0.0,0.0,0.0,0.0
5WZI_1_B,0.0,0.0,0.0,0.0
5T5H_1_G,0.182,0.278,0.22,0.225
6XKO_1_A,0.5,0.75,0.6,0.612
4PCJ_1_A,0.471,1.0,0.64,0.686
3MXH_1_R,0.13,0.273,0.176,0.189
7N2V_1_Dt,0.714,1.0,0.833,0.845
6JOO_1_B,0.655,0.576,0.613,0.614
7KVT_1_B,0.396,0.95,0.559,0.613
7O80_1_AT,0.385,0.625,0.476,0.49
6ZMI_1_CC,0.514,0.864,0.644,0.666
5L4O_1_A,0.414,0.6,0.49,0.498
7O7Z_1_AH,0.133,0.211,0.163,0.168
6ZP4_1_1,0.571,0.952,0.714,0.738
3KFU_1_L,0.618,1.0,0.764,0.786
6XH2_1_D,0.727,1.0,0.842,0.853
2Y8Y_1_B,1.0,1.0,1.0,1.0
2ZUE_1_B,0.486,0.739,0.586,0.599
5F9F_1_F,0.909,1.0,0.952,0.953
5XTM_1_D,0.15,0.375,0.214,0.237
5XTM_1_B,0.136,0.375,0.2,0.226
6F4H_1_D,0.857,1.0,0.923,0.926
6MSF_1_S,0.667,1.0,0.8,0.816
7AS8_1_2,0.618,1.0,0.764,0.786
1QU2_1_T,0.606,1.0,0.755,0.778
3SN2_1_B,0.846,1.0,0.917,0.92
5DEA_1_C,0.25,0.833,0.385,0.456
4QI2_1_G,0.0,0.0,0.0,0.0
2Y9H_1_N,1.0,1.0,1.0,1.0
7JIL_1_3,0.5,0.968,0.659,0.696
