,PPV,TPR,F1,INF-MCC
100D_1_A-B,0.8,1.0,0.889,0.894
157D_1_A-B,0.286,0.4,0.333,0.338
165D_1_A-B,0.25,0.4,0.308,0.316
17RA_7_A,0.889,1.0,0.941,0.943
1A1T_1_B,0.8,1.0,0.889,0.894
1A34_1_B-C,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.571,1.0,0.727,0.756
1A4D_1_A-B,0.737,1.0,0.848,0.858
1A4T_1_A,0.833,1.0,0.909,0.913
1A51_3_A,0.737,1.0,0.848,0.858
1A60_1_A,0.5,0.786,0.611,0.627
1A9L_1_A,0.824,1.0,0.903,0.907
1A9N_1_Q,0.714,1.0,0.833,0.845
1A9N_1_R,0.714,1.0,0.833,0.845
1AFX_2_A,0.8,1.0,0.889,0.894
1AJF_1_A,0.875,1.0,0.933,0.935
1AJL_1_A-B,0.375,0.75,0.5,0.53
1AJT_1_A-B,0.429,0.75,0.545,0.567
1AJU_9_A,0.688,1.0,0.815,0.829
1AKX_1_A,0.733,1.0,0.846,0.856
1AL5_1_A-B,0.833,1.0,0.909,0.913
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,0.909,1.0,0.952,0.953
1AQ3_1_R,0.4,1.0,0.571,0.632
1AQ3_1_S,0.667,1.0,0.8,0.816
1AQ4_1_R,0.4,1.0,0.571,0.632
1AQ4_1_S,0.5,1.0,0.667,0.707
1AQO_3_A,0.786,1.0,0.88,0.886
1ARJ_7_N,0.833,1.0,0.909,0.913
1ASY_1_R,0.194,0.4,0.261,0.278
1ASY_1_S,0.2,0.4,0.267,0.283
1ASZ_1_R,0.182,0.4,0.25,0.27
1ASZ_1_S,0.2,0.4,0.267,0.283
1ATO_1_A,0.75,1.0,0.857,0.866
1ATV_1_A,0.6,1.0,0.75,0.775
1ATW_1_A,0.625,1.0,0.769,0.791
1AUD_8_B,0.529,1.0,0.692,0.728
1B23_1_R,0.344,0.579,0.431,0.446
1B36_8_A,0.474,1.0,0.643,0.688
1B7F_1_Q,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.25,0.333,0.286,0.289
1BGZ_1_A,0.385,0.625,0.476,0.49
1BIV_5_A,0.833,1.0,0.909,0.913
1BJ2_1_A-B,0.35,0.5,0.412,0.418
1BN0_2_A,1.0,1.0,1.0,1.0
1BVJ_1_A,0.727,1.0,0.842,0.853
1BYJ_31_A,0.667,1.0,0.8,0.816
1BZ2_1_A,0.714,1.0,0.833,0.845
1BZ3_1_A,0.625,1.0,0.769,0.791
1BZT_1_A,0.667,1.0,0.8,0.816
1BZU_1_A,0.8,1.0,0.889,0.894
1C04_1_E,0.536,0.938,0.682,0.709
1C04_1_F,0.4,1.0,0.571,0.632
1C0O_1_A,0.625,1.0,0.769,0.791
1C2X_1_C,0.457,0.778,0.575,0.596
1C4L_1_A-B,0.667,1.0,0.8,0.816
1CQ5_1_A,0.522,1.0,0.686,0.722
1CQL_10_A,0.571,1.0,0.727,0.756
1CSL_1_B-A,0.333,1.0,0.5,0.577
1D0T_1_A,0.556,1.0,0.714,0.745
1D0U_14_A,0.727,1.0,0.842,0.853
1D4R_1_B-A,0.0,0.0,0.0,0.0
1D6K_4_B,0.5,0.818,0.621,0.64
1DDY_1_A,0.211,0.444,0.286,0.306
1DDY_1_C,0.235,0.444,0.308,0.323
1DDY_1_E,0.211,0.444,0.286,0.306
1DDY_1_G,0.222,0.444,0.296,0.314
1DFU_1_M-N,0.563,0.818,0.667,0.678
1DI2_1_C-D,0.8,1.0,0.889,0.894
1DK1_1_B,0.407,0.55,0.468,0.473
1DQF_1_B-A,0.778,1.0,0.875,0.882
1DQH_1_B-A,0.778,1.0,0.875,0.882
1DRZ_1_B,0.278,0.455,0.345,0.355
1DUL_1_B,0.619,1.0,0.765,0.787
1DUQ_1_B-A,0.333,0.571,0.421,0.436
1DUQ_1_D-C,0.364,0.571,0.444,0.456
1DUQ_1_F-E,0.333,0.571,0.421,0.436
1DUQ_1_H-G,0.364,0.571,0.444,0.456
1DZ5_1_C-D,0.222,0.286,0.25,0.252
1E4P_8_A,0.583,1.0,0.737,0.764
1E7K_1_C,0.0,0.0,0.0,0.0
1E7K_1_D,0.0,0.0,0.0,0.0
1E8O_1_E,0.714,0.833,0.769,0.772
1E95_14_A,0.316,1.0,0.48,0.562
1EBQ_1_A,0.769,1.0,0.87,0.877
1EBR_1_A,0.769,1.0,0.87,0.877
1EBS_1_A,0.769,1.0,0.87,0.877
1EC6_1_C,0.667,1.0,0.8,0.816
1EC6_1_D,0.8,1.0,0.889,0.894
1EFW_1_C,0.448,0.65,0.531,0.54
1EFW_1_D,0.394,0.65,0.491,0.506
1EHT_3_A,0.409,0.818,0.545,0.579
1EHZ_1_A,0.391,0.5,0.439,0.442
1EI2_9_A,1.0,1.0,1.0,1.0
1EIY_1_C,0.625,0.87,0.727,0.737
1EKA_1_A-B,0.75,1.0,0.857,0.866
1EKD_1_A-B,0.75,1.0,0.857,0.866
1EKZ_4_B,0.765,1.0,0.867,0.874
1ELH_1_B-A,0.588,1.0,0.741,0.767
