,PPV,TPR,F1,INF
6PIJ_1_1,0.0,0.0,0.0,0.0
5IB7_1_3L,1.0,1.0,1.0,1.0
1L2X_1_A,0.625,0.833,0.714,0.722
5D8H_1_A,0.882,0.882,0.882,0.882
6Y2L_1_B4,0.95,1.0,0.974,0.975
5ZQ8_1_D,1.0,1.0,1.0,1.0
6QW6_1_5,0.588,0.714,0.645,0.648
1E7K_1_C,0.6,1.0,0.75,0.775
7REX_1_A,1.0,1.0,1.0,1.0
5D5L_1_A,0.5,0.75,0.6,0.612
4JRC_1_B,0.824,1.0,0.903,0.907
1MJI_1_D,0.9,1.0,0.947,0.949
6R5Q_1_3,0.952,1.0,0.976,0.976
5B63_1_D,0.889,1.0,0.941,0.943
7ONU_1_T,0.95,1.0,0.974,0.975
2Y9H_1_H,1.0,1.0,1.0,1.0
6F4H_1_B,1.0,1.0,1.0,1.0
6TQB_1_B,0.875,1.0,0.933,0.935
6E8S_1_A,1.0,1.0,1.0,1.0
7K16_1_P,0.313,0.417,0.357,0.361
5F5H_1_D,1.0,1.0,1.0,1.0
7CPU_1_L7,0.944,1.0,0.971,0.972
4QIL_1_C,0.833,1.0,0.909,0.913
6PMO_1_A,0.9,1.0,0.947,0.949
6AZ3_1_6,0.7,0.7,0.7,0.7
7JRR_1_A,0.0,0.0,0.0,0.0
6DLR_1_A,0.719,0.885,0.793,0.797
4X4N_1_D,1.0,1.0,1.0,1.0
5NDI_1_B,0.571,0.8,0.667,0.676
2DRA_1_B,1.0,1.0,1.0,1.0
2BH2_1_D,0.0,0.0,0.0,0.0
6N2V_1_A,0.844,0.964,0.9,0.902
4PRF_1_B,0.0,0.0,0.0,0.0
3EPH_1_E,0.722,1.0,0.839,0.85
6KYV_1_G,1.0,1.0,1.0,1.0
6UFG_1_B,0.955,1.0,0.977,0.977
2JLT_1_A,1.0,1.0,1.0,1.0
6LTU_1_B,0.833,1.0,0.909,0.913
4AY2_1_C,1.0,1.0,1.0,1.0
6WJR_1_X,0.258,0.348,0.296,0.3
3LA5_1_A,0.833,1.0,0.909,0.913
6P7M_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.958,1.0,0.979,0.979
5F5F_1_B,0.833,1.0,0.909,0.913
3D0U_1_A,0.857,0.96,0.906,0.907
5BTM_1_A,0.833,1.0,0.909,0.913
3DIL_1_A,0.839,0.963,0.897,0.899
5H9F_1_L,1.0,1.0,1.0,1.0
5MSF_1_R,0.6,1.0,0.75,0.775
4Z0C_1_C,0.0,0.0,0.0,0.0
4IFD_1_R,1.0,1.0,1.0,1.0
6P2H_1_A,0.3,0.429,0.353,0.359
4Z31_1_E,0.8,1.0,0.889,0.894
4FRG_1_B,0.72,0.947,0.818,0.826
2ZY6_1_A,0.778,0.778,0.778,0.778
7L0Z_1_G,0.476,0.5,0.488,0.488
2Y9H_1_N,1.0,1.0,1.0,1.0
7P48_1_5,0.952,1.0,0.976,0.976
5M0H_1_A,0.8,1.0,0.889,0.894
5VW1_1_C,0.471,0.533,0.5,0.501
1JID_1_B,0.5,0.5,0.5,0.5
5D0A_1_F,1.0,1.0,1.0,1.0
6QW6_1_4,0.536,0.714,0.612,0.619
6DU4_1_B,1.0,1.0,1.0,1.0
3AKZ_1_E,1.0,1.0,1.0,1.0
2Y8Y_1_B,1.0,1.0,1.0,1.0
6T4Q_1_7,0.85,0.85,0.85,0.85
6YL5_1_I,0.5,1.0,0.667,0.707
7JIL_1_3,0.903,0.966,0.933,0.934
4AOB_1_A,0.586,0.739,0.654,0.658
4RUM_1_A,0.862,0.926,0.893,0.893
1SER_1_T,0.45,0.529,0.486,0.488
2ZZM_1_B,0.8,0.842,0.821,0.821
3HAX_1_E,1.0,1.0,1.0,1.0
1U1Y_1_R,0.6,0.6,0.6,0.6
2XDB_1_G,0.0,0.0,0.0,0.0
4LX6_1_A,0.84,1.0,0.913,0.917
7NQ4_1_C,0.833,1.0,0.909,0.913
6AJK_1_B,1.0,1.0,1.0,1.0
3OVB_1_C,1.0,1.0,1.0,1.0
6SZV_1_V,0.0,0.0,0.0,0.0
2ANN_1_B,0.0,0.0,0.0,0.0
5E81_1_3L,1.0,1.0,1.0,1.0
3GS5_1_A,0.375,0.6,0.462,0.474
7OX8_1_A,0.471,0.5,0.485,0.485
4LGT_1_E,0.667,0.8,0.727,0.73
7EU9_1_B,0.833,1.0,0.909,0.913
4K50_1_B,1.0,1.0,1.0,1.0
5T5A_1_A,0.524,0.611,0.564,0.566
2Y9H_1_J,1.0,1.0,1.0,1.0
5UDZ_1_W,1.0,1.0,1.0,1.0
4QLM_1_A,0.571,0.909,0.702,0.721
6SKG_1_BB,0.973,1.0,0.986,0.986
3NVI_1_F,0.667,1.0,0.8,0.816
4JXZ_1_B,0.95,1.0,0.974,0.975
5NDH_1_A,0.0,0.0,0.0,0.0
3NPQ_1_A,0.571,0.727,0.64,0.645
6ERI_1_AB,0.708,0.895,0.791,0.796
2QUW_1_B,0.75,0.818,0.783,0.783
6UFM_1_B,0.897,1.0,0.945,0.947
5WTI_1_B,0.567,0.773,0.654,0.662
2A43_1_A,0.571,0.8,0.667,0.676
6JQ6_1_U,0.789,0.882,0.833,0.835
4TUW_1_C,1.0,1.0,1.0,1.0
6AAY_1_B,0.0,0.0,0.0,0.0
7KGB_1_B,0.933,0.966,0.949,0.949
1B23_1_R,0.25,0.385,0.303,0.31
5UD5_1_C,0.792,1.0,0.884,0.89
6ZP4_1_1,0.952,1.0,0.976,0.976
6TB3_1_n,0.81,1.0,0.895,0.9
6TC3_1_PTR1,1.0,1.0,1.0,1.0
6MWN_1_B,0.767,0.767,0.767,0.767
5X2G_1_B,0.75,0.857,0.8,0.802
6ERI_1_Ax,0.8,0.966,0.875,0.879
6DVK_1_H,0.968,1.0,0.984,0.984
5WLH_1_B,0.8,1.0,0.889,0.894
6LT7_1_C,0.857,1.0,0.923,0.926
6AAX_1_B,1.0,1.0,1.0,1.0
5MGA_1_B,1.0,1.0,1.0,1.0
4JF2_1_A,0.5,0.75,0.6,0.612
4V99_1_C2,1.0,1.0,1.0,1.0
5SWD_1_B,0.739,1.0,0.85,0.86
