,PPV,TPR,F1,INF
6YWE_1_bb,0.385,0.556,0.455,0.462
6P7M_1_B,0.0,0.0,0.0,0.0
4N0T_1_B,0.5,0.75,0.6,0.612
4XNR_1_X,0.0,0.0,0.0,0.0
2XLK_1_C,0.0,0.0,0.0,0.0
2XDB_1_G,0.0,0.0,0.0,0.0
6SKG_1_BB,0.259,0.412,0.318,0.327
5MGA_1_B,0.0,0.0,0.0,0.0
6ZDQ_1_C,0.0,0.0,0.0,0.0
4K27_1_U,0.444,1.0,0.615,0.667
361D_1_A,0.0,0.0,0.0,0.0
5E81_1_1K,0.278,0.417,0.333,0.34
7AS8_1_2,0.308,0.5,0.381,0.392
6RFL_1_U,0.4,0.571,0.471,0.478
3K1V_1_A,0.0,0.0,0.0,0.0
4FEN_1_B,0.167,0.4,0.235,0.258
4V8D_1_CD,0.111,0.286,0.16,0.178
3DIL_1_A,0.103,0.375,0.162,0.197
3NVI_1_F,0.25,0.5,0.333,0.354
5L4O_1_A,0.375,0.429,0.4,0.401
5M0H_1_A,0.5,0.667,0.571,0.577
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,1.0,1.0,1.0,1.0
6IFN_1_N,0.0,0.0,0.0,0.0
1A9N_1_Q,0.0,0.0,0.0,0.0
6N2V_1_A,0.273,0.6,0.375,0.405
3RKF_1_C,0.1,0.167,0.125,0.129
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.5,0.5,0.5,0.5
7MLW_1_F,0.087,0.125,0.103,0.104
6YDP_1_AV,0.105,0.25,0.148,0.162
7OLC_1_3,0.211,0.333,0.258,0.265
3HAX_1_E,0.6,0.6,0.6,0.6
2ZZM_1_B,0.235,0.444,0.308,0.323
2OIU_1_Q,0.75,0.75,0.75,0.75
6UGI_1_A,1.0,1.0,1.0,1.0
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.333,0.4,0.364,0.365
7ODF_1_F,0.0,0.0,0.0,0.0
5WTI_1_B,0.267,0.4,0.32,0.327
1E7K_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.143,0.5,0.222,0.267
7C79_1_A,0.028,0.042,0.033,0.034
5T5A_1_A,0.0,0.0,0.0,0.0
6DVK_1_H,0.143,0.333,0.2,0.218
6Y2L_1_B4,0.4,0.545,0.462,0.467
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.0,0.0,0.0,0.0
5DH6_1_A,0.0,0.0,0.0,0.0
7REX_1_A,0.0,0.0,0.0,0.0
1ZBH_1_F,0.0,0.0,0.0,0.0
4X4V_1_B,0.0,0.0,0.0,0.0
7DCO_1_B,0.056,0.143,0.08,0.089
4C8Z_1_C,0.0,0.0,0.0,0.0
3GS5_1_A,0.333,0.333,0.333,0.333
3NPQ_1_A,0.0,0.0,0.0,0.0
5M0I_1_E,1.0,1.0,1.0,1.0
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,0.0,0.0,0.0,0.0
7OIF_1_z,0.214,0.375,0.273,0.283
3AKZ_1_E,0.231,0.333,0.273,0.277
6OL3_1_C,0.0,0.0,0.0,0.0
3MJA_1_B,0.0,0.0,0.0,0.0
5W1H_1_B,0.0,0.0,0.0,0.0
3MXH_1_R,0.15,0.3,0.2,0.212
4V90_1_AV,0.636,0.875,0.737,0.746
1F1T_1_A,0.25,1.0,0.4,0.5
5VW1_1_C,0.333,0.4,0.364,0.365
7O7Y_1_AT,0.0,0.0,0.0,0.0
3NKB_1_B,0.063,0.167,0.091,0.102
7N2V_1_Dt,0.167,0.333,0.222,0.236
6XKO_1_A,0.0,0.0,0.0,0.0
7KGA_1_A,0.0,0.0,0.0,0.0
3G9C_1_Q,0.077,0.2,0.111,0.124
3DD2_1_B,0.0,0.0,0.0,0.0
6P2H_1_A,0.0,0.0,0.0,0.0
2BTE_1_B,0.154,0.333,0.211,0.226
6MWN_1_B,0.0,0.0,0.0,0.0
1F7U_1_B,0.0,0.0,0.0,0.0
5HR6_1_C,0.1,0.333,0.154,0.183
3LQX_1_B,0.667,1.0,0.8,0.816
1QU2_1_T,0.5,0.714,0.588,0.598
6PIJ_1_1,0.0,0.0,0.0,0.0
5Y85_1_D,0.167,0.333,0.222,0.236
