,PPV,TPR,F1,INF
1M5K_E,0.667,0.909,0.769,0.778
1M5O_B,0.621,0.818,0.706,0.713
1M5O_E,0.63,0.81,0.708,0.714
1M5P_B,0.593,0.762,0.667,0.672
1M5P_E,0.63,0.773,0.694,0.698
1M5V_B,0.63,0.773,0.694,0.698
1M5V_E,0.667,0.909,0.769,0.778
4C9D_D,0.667,0.667,0.667,0.667
6LQM_5,,,,
6LSR_5,,,,
6LSS_5,,,,
6LU8_5,,,,
6LVR_B,0.429,0.6,0.5,0.507
6LVR_D,0.429,0.6,0.5,0.507
6M62_3,,,,
6NSH_RB,,,,
6NSH_YB,,,,
6NTA_RB,,,,
6NTA_YB,,,,
6NUO_QV,,,,
6NUO_RB,,,,
6NUO_XV,,,,
6NUO_YB,,,,
6NWY_QV,,,,
6NWY_RB,,,,
6NWY_XV,,,,
6NWY_YB,,,,
6O3M_QV,,,,
6O3M_RB,,,,
6O3M_XV,,,,
6O3M_YB,,,,
6O8W_B,,,,
6O8X_B,,,,
6O8Y_B,,,,
6O8Z_B,,,,
6O90_B,,,,
6OF6_QV,,,,
6OF6_QW,,,,
6OF6_RB,,,,
6OF6_XV,,,,
6OF6_XW,,,,
6OF6_YB,,,,
6OIG_7,,,,
6OJ2_QV,,,,
6OJ2_QW,,,,
6OJ2_RB,,,,
6OJ2_XV,,,,
6OJ2_XW,,,,
6OJ2_YB,,,,
6OM6_3,,,,
6OM6_5,,,,
6OPE_QV,,,,
6OPE_RB,,,,
6OPE_XV,,,,
6OPE_YB,,,,
6ORD_QV,,,,
6ORD_RB,,,,
6ORD_XV,,,,
6ORD_YB,,,,
6OSI_RB,,,,
6OSI_YB,,,,
6PC5_J,,,,
6PC6_J,,,,
6PC7_J,,,,
6PC8_J,,,,
6PCH_J,,,,
6PCQ_J,,,,
6PCR_J,,,,
6PCS_J,,,,
6PCT_J,,,,
6SKF_BB,,,,
6SKG_BB,,,,
6SWA_s,,,,
6TF0_A,,,,
6TFH_A,,,,
6TH6_BB,,,,
6TNN_V,,,,
6TPQ_V,,,,
6UBU_B,0.682,0.882,0.769,0.776
6UC7_B,0.667,0.875,0.757,0.764
6UC8_B,0.714,0.882,0.789,0.794
6UC9_B,0.652,0.882,0.75,0.759
6VU3_B,,,,
6VU3_d,,,,
6VWL_3,,,,
6VWL_4,0.6,0.25,0.353,0.387
6VWL_5,,,,
6VWM_3,,,,
6VWM_4,0.571,0.333,0.421,0.436
6VWM_5,0.571,0.667,0.615,0.617
6VWN_3,,,,
6VWN_4,0.5,0.333,0.4,0.408
6VWN_5,0.591,0.684,0.634,0.636
6VWT_B,0.8,0.8,0.8,0.8
6VWV_B,0.762,0.842,0.8,0.801
6VYQ_B,,,,
6VYQ_d,,,,
6VYR_B,,,,
6VYR_d,,,,
6VYS_B,,,,
6VYS_d,,,,
6VYT_B,,,,
6VYT_d,,,,
6VYU_B,,,,
6VYU_d,,,,
6VYW_B,,,,
6VYW_d,,,,
6VYX_B,,,,
6VYX_d,,,,
6VYY_B,,,,
6VYY_d,,,,
6VYZ_B,,,,
6VYZ_d,,,,
6VZ2_B,,,,
6VZ2_d,,,,
6VZ3_B,,,,
6VZ3_d,,,,
6VZ5_B,,,,
6VZ5_d,,,,
6VZ7_B,,,,
6VZ7_d,,,,
6VZJ_B,,,,
6VZJ_d,,,,
6W6L_E,,,,
6W6L_v,0.455,0.769,0.571,0.591
6W6P_B,,,,
6WD0_2,,,,
6WD0_5,,,,
6WD0_6,,,,
6WD1_2,,,,
6WD1_5,,,,
6WD2_2,,,,
6WD2_5,,,,
6WD2_6,,,,
6WD2_7,0.783,0.857,0.818,0.819
6WD3_2,,,,
6WD3_5,,,,
6WD3_6,,,,
6WD3_7,0.818,0.857,0.837,0.837
6WD4_2,,,,
6WD4_5,,,,
6WD4_6,,,,
6WD4_7,0.773,0.81,0.791,0.791
6WD5_2,,,,
6WD5_5,,,,
6WD5_6,,,,
6WD5_7,0.75,0.714,0.732,0.732
6WD6_2,,,,
6WD6_5,,,,
6WD6_6,,,,
6WD6_7,0.833,0.75,0.789,0.791
6WD7_2,,,,
6WD7_5,,,,
6WD7_6,,,,
6WD7_7,0.85,0.81,0.829,0.83
6WD8_2,,,,
6WD8_5,,,,
6WD8_6,,,,
6WD8_7,0.737,0.7,0.718,0.718
6WD9_2,,,,
6WD9_5,,,,
6WD9_6,,,,
6WD9_7,0.85,0.81,0.829,0.83
6WDA_2,,,,
6WDA_5,,,,
6WDA_6,,,,
6WDA_7,0.85,0.81,0.829,0.83
6WDB_2,,,,
