,PPV,TPR,F1,INF
6YWE_1_bb,0.647,1.0,0.786,0.804
6P7M_1_B,1.0,0.667,0.8,0.816
4N0T_1_B,0.647,0.688,0.667,0.667
2PJP_1_B,1.0,0.7,0.824,0.837
4XNR_1_X,0.909,0.741,0.816,0.821
2XLK_1_C,1.0,0.8,0.889,0.894
2XDB_1_G,0.4,0.667,0.5,0.516
6SKG_1_BB,0.552,0.949,0.698,0.724
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.952,0.8,0.87,0.873
3BT7_1_D,1.0,0.833,0.909,0.913
361D_1_A,1.0,0.833,0.909,0.913
5E81_1_1K,0.594,0.95,0.731,0.751
7AS8_1_2,0.842,0.762,0.8,0.801
3K1V_1_A,0.467,0.778,0.583,0.602
4FEN_1_B,0.857,0.72,0.783,0.786
4V8D_1_CD,0.523,1.0,0.687,0.723
3NVI_1_F,1.0,0.75,0.857,0.866
7MSF_1_R,1.0,0.75,0.857,0.866
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,0.889,0.8,0.842,0.843
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,0.2,0.333,0.447
3RKF_1_C,0.842,0.8,0.821,0.821
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,1.0,1.0,1.0,1.0
6LT7_1_C,1.0,0.75,0.857,0.866
7MLW_1_F,0.5,0.676,0.575,0.582
6YDP_1_AV,0.417,1.0,0.588,0.645
7OLC_1_3,0.684,0.743,0.712,0.713
3HAX_1_E,0.813,0.813,0.813,0.813
2ZZM_1_B,0.833,0.682,0.75,0.754
2OIU_1_Q,0.667,0.7,0.683,0.683
6UGI_1_A,1.0,0.846,0.917,0.92
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.684,0.765,0.722,0.723
7ODF_1_F,0.667,0.4,0.5,0.516
5WTI_1_B,0.464,0.619,0.531,0.536
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.632,0.571,0.6,0.601
6DVK_1_H,0.912,0.795,0.849,0.851
6Y2L_1_B4,0.632,1.0,0.774,0.795
3MIJ_1_A,0.333,0.5,0.4,0.408
5U30_1_B,0.318,0.35,0.333,0.334
5DH6_1_A,0.571,0.667,0.615,0.617
1ZBH_1_F,0.8,0.667,0.727,0.73
4X4V_1_B,1.0,0.833,0.909,0.913
7DCO_1_B,0.318,0.35,0.333,0.334
4C8Z_1_C,1.0,0.667,0.8,0.816
3GS5_1_A,0.4,0.5,0.444,0.447
3NPQ_1_A,0.471,0.533,0.5,0.501
5M0I_1_E,0.833,0.833,0.833,0.833
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.667,0.667,0.667,0.667
3AKZ_1_E,0.739,0.739,0.739,0.739
3MJA_1_B,0.9,0.818,0.857,0.858
5W1H_1_B,0.0,0.0,0.0,0.0
4V90_1_AV,0.742,1.0,0.852,0.861
1F1T_1_A,0.75,0.75,0.75,0.75
7O7Y_1_AT,0.333,0.389,0.359,0.36
7NQ4_1_C,1.0,1.0,1.0,1.0
3NKB_1_B,0.542,0.722,0.619,0.625
3G9C_1_Q,0.698,0.698,0.698,0.698
3DD2_1_B,0.0,0.0,0.0,0.0
2BTE_1_B,0.5,0.579,0.537,0.538
6MWN_1_B,0.629,0.733,0.677,0.679
1F7U_1_B,0.0,0.0,0.0,0.0
3LQX_1_B,0.8,0.8,0.8,0.8
6PIJ_1_1,1.0,0.6,0.75,0.775
5Y85_1_D,0.643,0.9,0.75,0.761
1R3E_1_C,1.0,0.8,0.889,0.894
3OVB_1_C,0.0,0.0,0.0,0.0
6DU4_1_B,1.0,0.875,0.933,0.935
3EPH_1_E,0.895,0.68,0.773,0.78
1G2E_1_B,0.0,0.0,0.0,0.0
2OEU_1_A,0.5,0.75,0.6,0.612
7RYG_1_B,0.657,0.793,0.719,0.722
3JCS_1_6,0.0,0.0,0.0,0.0
6X5M_1_r,1.0,0.444,0.615,0.667
5M0J_1_E,0.833,0.833,0.833,0.833
7CPU_1_S6,0.588,0.952,0.727,0.748
4M6D_1_H,0.308,0.5,0.381,0.392
3EGZ_1_B,0.75,0.789,0.769,0.769
5VJ9_1_C,1.0,0.8,0.889,0.894
2Y9H_1_F,1.0,0.667,0.8,0.816
4Z31_1_E,0.8,0.8,0.8,0.8
7OS0_1_F,0.5,0.25,0.333,0.354
5AXM_1_P,0.737,0.737,0.737,0.737
6IV9_1_B,0.0,0.0,0.0,0.0
5WZG_1_B,0.0,0.0,0.0,0.0
6AAY_1_B,1.0,0.909,0.952,0.953
5D0B_1_F,1.0,1.0,1.0,1.0
5WWF_1_B,0.0,0.0,0.0,0.0
5JBG_1_X,0.889,0.889,0.889,0.889
3VJR_1_B,0.909,0.833,0.87,0.87
7D8O_1_B,0.5,0.667,0.571,0.577
2ASB_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.3,0.857,0.444,0.507
7O1A_1_B8,0.606,1.0,0.755,0.778
6CFJ_1_1x,0.769,1.0,0.87,0.877
1L9A_1_B,0.436,0.5,0.466,0.467
4V8B_1_AB,0.658,1.0,0.794,0.811
7KGA_1_B,0.519,0.737,0.609,0.618
3HHN_1_E,0.795,0.705,0.747,0.748
2BH2_1_D,0.833,1.0,0.909,0.913
1YLS_1_B,0.0,0.0,0.0,0.0
6Q8V_1_A,0.4,1.0,0.571,0.632
3IEV_1_D,0.0,0.0,0.0,0.0
7A9W_1_B,0.0,0.0,0.0,0.0
4ZLD_1_B,1.0,0.833,0.909,0.913
3AGV_1_S,0.0,0.0,0.0,0.0
7P3K_1_V,0.7,0.737,0.718,0.718
2B3J_1_E,0.8,1.0,0.889,0.894
7CPU_1_L7,0.547,0.972,0.7,0.729
7P48_1_5,0.773,0.895,0.829,0.831
7MQA_1_L0,0.0,0.0,0.0,0.0
4ZDO_1_E,0.5,0.667,0.571,0.577
1Y26_1_X,0.833,0.741,0.784,0.786
7EQJ_1_B,0.826,0.792,0.809,0.809
6XH2_1_D,0.889,0.889,0.889,0.889
4PRF_1_B,0.333,0.474,0.391,0.397
2C4Q_1_R,0.6,0.75,0.667,0.671
7QEP_1_2,0.73,0.794,0.761,0.761
1L2X_1_A,0.6,0.75,0.667,0.671
6AZ3_1_5,0.188,0.429,0.261,0.283
3SUX_1_X,0.875,0.875,0.875,0.875
6VRB_1_B,0.8,1.0,0.889,0.894
1EC6_1_C,0.8,1.0,0.889,0.894
6ZVI_1_e,0.647,0.688,0.667,0.667
3BOY_1_D,0.0,0.0,0.0,0.0
4JRC_1_B,0.45,0.5,0.474,0.474
6XRQ_1_B,0.0,0.0,0.0,0.0
5F5F_1_B,0.857,1.0,0.923,0.926
7B5K_1_x,0.789,0.75,0.769,0.769
6BHJ_1_E,0.0,0.0,0.0,0.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,0.769,0.833,0.8,0.801
7KKV_1_B,0.737,0.824,0.778,0.779
4TUW_1_C,1.0,0.667,0.8,0.816
2Y9H_1_J,1.0,0.333,0.5,0.577
4YYE_1_C,0.654,0.85,0.739,0.745
7MJV_1_E,1.0,0.75,0.857,0.866
5DEA_1_A,0.333,0.375,0.353,0.354
7MQA_1_L2,0.617,0.725,0.667,0.669
6XU8_1_A7,0.477,0.912,0.626,0.659
2Y9H_1_N,1.0,0.714,0.833,0.845
2Y9H_1_H,1.0,0.833,0.909,0.913
5ZQ8_1_D,1.0,1.0,1.0,1.0
