,PPV,TPR,F1,INF
7MQ8_L2,0.644,0.745,0.691,0.693
7MQ9_L2,0.607,0.74,0.667,0.67
7MQA_L2,0.69,0.8,0.741,0.743
7QXA_B,0.2,0.25,0.222,0.224
7V9A_R,0.268,0.333,0.297,0.299
7TRD_B,0.291,0.403,0.338,0.342
7BG9_B,0.168,0.235,0.196,0.199
7TRE_B,0.282,0.407,0.333,0.339
7V99_R,0.043,0.053,0.047,0.048
7TRF_B,0.291,0.403,0.338,0.342
7TRC_B,0.595,0.926,0.725,0.742
7BGB_B,0.722,0.963,0.825,0.834
7QXS_B,0.194,0.247,0.217,0.219
7QXB_B,0.196,0.247,0.219,0.22
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.512,0.653,0.574,0.578
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.458,0.579,0.512,0.515
7C79_A,0.532,0.657,0.588,0.591
7ELD_B,0.677,1.0,0.808,0.823
6XRZ_A,0.191,0.391,0.257,0.274
7O7Z_AH,0.6,0.783,0.679,0.685
7KGA_B,0.636,1.0,0.778,0.798
7KGA_A,0.636,1.0,0.778,0.798
7MQ9_L0,0.284,0.371,0.322,0.325
7MQ8_L0,0.307,0.371,0.336,0.337
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.885,0.958,0.92,0.921
7SAM_A,0.658,0.893,0.758,0.766
7SCQ_C,0.543,0.893,0.676,0.697
7SC6_C,0.6,0.911,0.723,0.739
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.705,0.956,0.811,0.821
6JQ6_U,0.621,0.857,0.72,0.729
5T5A_A,0.207,0.316,0.25,0.256
6TFE_A,0.739,0.944,0.829,0.836
6TF0_A,0.455,0.588,0.513,0.517
6TFH_A,0.455,0.588,0.513,0.517
6TFF_A,0.739,0.944,0.829,0.836
6TFG_A,0.739,0.944,0.829,0.836
6TB7_A,0.739,0.944,0.829,0.836
7D7V_A,0.727,1.0,0.842,0.853
7D7Y_A,0.727,0.941,0.821,0.827
6TF3_A,0.739,0.944,0.829,0.836
6TF1_A,0.739,0.944,0.829,0.836
7D7X_A,0.727,0.941,0.821,0.827
7D82_A,0.85,1.0,0.919,0.922
7D81_A,0.773,1.0,0.872,0.879
7D7W_A,0.727,0.941,0.821,0.827
7D7Z_A,0.727,0.941,0.821,0.827
6TF2_A,0.739,0.944,0.829,0.836
7ELR_B,0.522,0.857,0.649,0.669
7ELS_A,0.545,0.857,0.667,0.684
7ELQ_A,0.522,0.857,0.649,0.669
7ELR_A,0.522,0.857,0.649,0.669
7ELS_B,0.5,0.857,0.632,0.655
7ELQ_B,0.5,0.857,0.632,0.655
7ELP_B,0.5,0.857,0.632,0.655
7ELP_A,0.545,0.857,0.667,0.684
1M5V_E,0.636,0.84,0.724,0.731
1M5K_B,0.583,0.84,0.689,0.7
1M5P_B,0.6,0.84,0.7,0.71
1M5P_E,0.656,0.84,0.737,0.742
1M5O_E,0.636,0.84,0.724,0.731
1M5V_B,0.636,0.84,0.724,0.731
1M5K_E,0.618,0.84,0.712,0.72
1M5O_B,0.618,0.84,0.712,0.72
